[00:00:06.124 --> 00:00:10.327]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:10.967 --> 00:00:11.768]  You want answers?
[00:00:12.548 --> 00:00:13.469]  Well, so does he.
[00:00:14.089 --> 00:00:17.692]  He's Alex Jones on the GCN Radio Network.
[00:00:18.292 --> 00:00:22.335]  And now, live from Austin, Texas, Alex Jones.
[00:00:24.727 --> 00:00:31.771]  Welcome ladies and gentlemen to the Friday, February 25th edition of the Alex Jones Show Live.
[00:00:32.451 --> 00:00:33.852]  I'm Paul Joseph Watson.
[00:00:33.892 --> 00:00:44.698]  I'll be filling in just for the first couple of segments of today's show as Alex does live interviews and Alex will be back at about 20 past the hour.
[00:00:46.059 --> 00:00:56.744]  As you know, the unfolding, escalating crisis in Libya and the Middle East, North African region continues to rage.
[00:00:57.384 --> 00:01:04.728]  The Obama administration and the Pentagon are now preparing to launch a multilateral invasion
[00:01:05.428 --> 00:01:09.910]  ...of Libya with the complicity of the United Nations and NATO.
[00:01:10.431 --> 00:01:14.993]  Serious discussions now on the table for that eventuality.
[00:01:15.994 --> 00:01:20.436]  And of course, it's all going to be on humanitarian grounds.
[00:01:20.896 --> 00:01:30.941]  Nothing to do with the fact that the US military-industrial complex failed to overthrow Gaddafi in the 80s and they want a second bite at the cherry.
[00:01:31.382 --> 00:01:39.746]  And of course, I'm sure it's nothing to do with the fact that Libya has the largest supply of oil reserves in the whole continent of Africa.
[00:01:40.086 --> 00:01:42.107]  Complete coincidence, I'm sure.
[00:01:43.308 --> 00:02:01.950]  And now, the same US military-industrial complex that has killed well over a million innocent people in the last 10 years, including several hundreds a year, annually, with the Predator drone bombings, deaths of innocent people, has now suddenly found a conscience!
[00:02:02.972 --> 00:02:19.413]  And it's concerning itself with the humanitarian plight of the people of Libya and this is the excuse now being forwarded as the pretext for military assault on the country with the acquiescence of NATO and the United Nations.
[00:02:20.054 --> 00:02:20.414]  CNN!
[00:02:21.295 --> 00:02:26.641]  Analysts, more Libyan bloodshed could prompt US-NATO intervention.
[00:02:27.121 --> 00:02:40.456]  If the US military were to intervene in an increasingly chaotic Libya, it would most likely be part of a NATO action in which Libyan bloodshed has reached a humanitarian crisis, analysts said Thursday.
[00:02:42.423 --> 00:02:55.388]  Military intervention, quote, is something which I hope doesn't happen, but it looks as though at some point that it should happen, said Simon Henderson, Senior Fellow at the Washington Institute for Near East Policy.
[00:02:55.748 --> 00:03:04.852]  So now we've got all these big globalist NGOs coming out, laying the groundwork for this military invasion of Libya as the crisis escalates.
[00:03:04.892 --> 00:03:09.134]  We've got the entire global corporate establishment media in cahoots.
[00:03:09.794 --> 00:03:13.538]  Uh, aggressively pushing Gaddafi as this horrible dictator.
[00:03:14.219 --> 00:03:22.408]  Which he is, but he is a horrible dictator with the aid of British-made weapons, which he's now been- which are now being used to subjugate his own population.
[00:03:22.828 --> 00:03:27.914]  And of course, uh, they have to portray Gaddafi as the monster who kills his own people.
[00:03:28.394 --> 00:03:38.061]  Just as they did with Saddam Hussein, who they also sold the weapon to do so, to create that pretext for, quote, humanitarian military intervention.
[00:03:38.321 --> 00:03:56.735]  And now you have two of the most odious and self-serving lawmakers in the history of the United States, Lieberman and McCain, saying that Obama should arm the rebels there in Libya, which, of course, the whole rebel campaign is being run out of Washington, D.C., as we documented.
[00:03:57.555 --> 00:04:09.418]  And basically bankroll an insurgency war against Gaddafi with US taxpayers' money, even as Americans struggle to afford their own grocery bill.
[00:04:09.518 --> 00:04:26.342]  So while you're going to be made to cut back, while people are getting their welfare sliced in half, while people are being forced to double their pension and healthcare contributions, that money's all going to be spent on a nice little military intervention in the oil rich.
[00:04:27.202 --> 00:04:28.644]  African country of Libya.
[00:04:29.145 --> 00:04:29.946]  Bloomberg.
[00:04:29.966 --> 00:04:34.292]  Gaddafi cracks down on Tripoli as Sarkozy calls for departure.
[00:04:34.853 --> 00:04:43.965]  Muammar Gaddafi tried to tighten his grip on Tripoli as French President Nicolas Sarkozy called on him to resign amid reports that worshippers were being shot as they left Mosul.
[00:04:43.985 --> 00:04:44.545]  We'll be right back.
[00:05:01.500 --> 00:05:02.640]  A very wealthy U.S.
[00:05:02.680 --> 00:05:09.343]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:05:09.603 --> 00:05:11.883]  He says it will change everything about our lives.
[00:05:12.144 --> 00:05:17.345]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:05:17.525 --> 00:05:20.306]  Now this man has made some outrageous predictions over the years.
[00:05:20.586 --> 00:05:22.647]  The crazy part is, he's usually right.
[00:05:22.887 --> 00:05:28.811]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:05:29.152 --> 00:05:32.334]  In fact, Barron's called his work a dire prophecy.
[00:05:32.514 --> 00:05:38.058]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:05:38.298 --> 00:05:39.599]  And it's a real eye-opener.
[00:05:39.939 --> 00:05:41.180]  I can't stress this enough.
[00:05:41.240 --> 00:05:43.762]  You should at least watch this free video online today.
[00:05:43.902 --> 00:05:47.966]  He explains everything you need to know, including simple steps you can take to protect yourself.
[00:05:48.126 --> 00:05:52.630]  You can find the video at www.EndOfAmerica3.com.
[00:05:52.750 --> 00:05:55.192]  That's End of America, the number 3.com.
[00:05:55.333 --> 00:05:59.056]  Watch the free video at www.EndOfAmerica3.com.
[00:05:59.216 --> 00:06:00.217]  That's EndOfAmerica3.com.
[00:06:01.258 --> 00:06:05.199]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:06:05.439 --> 00:06:11.481]  Not detergents, but good old-fashioned pure soap made by the Cal Bend Soap Company, a family-owned and operated American company.
[00:06:11.841 --> 00:06:18.942]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[00:06:19.223 --> 00:06:23.804]  There is nothing like these factory-direct, big-money-saving, triple-concentrated soaps anywhere.
[00:06:24.104 --> 00:06:26.244]  Get a free, detailed catalog by calling 800-340-7091.
[00:06:29.065 --> 00:06:32.567]  As founder and owner for over 63 years, people keep asking me, how's business?
[00:06:32.807 --> 00:06:35.068]  I'm happy to say our business is going down the drain.
[00:06:35.088 --> 00:06:35.429]  Call us!
[00:07:01.902 --> 00:07:16.328]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:07:17.355 --> 00:07:21.076]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
