[00:00:00.613 --> 00:00:01.216]  Oh, no!
[00:00:05.236 --> 00:00:10.080]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:10.080 --> 00:00:11.661]  You want answers?
[00:00:11.661 --> 00:00:13.222]  Well, so does he.
[00:00:13.222 --> 00:00:17.405]  He's Alex Jones on the GCN Radio Network.
[00:00:17.405 --> 00:00:26.072]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.072 --> 00:00:29.555]  It is Monday, the 21st day of March 2011.
[00:00:29.555 --> 00:00:34.438]  We're going to be live here for at least the next three hours.
[00:00:35.319 --> 00:00:50.962]  With some of the gravest information ever developing out of the Middle East and North Africa, also the ongoing whitewash and cover-up unfolding in Japan, centering in and around the Fukushima 6 nuclear reactor complex.
[00:00:52.990 --> 00:00:54.991]  Also, it is in the news, U.S.
[00:00:54.991 --> 00:01:02.897]  Army kill team in Afghanistan posed for photos of, with murdered civilians, commanders braced for backlash of anti-U.S.
[00:01:02.897 --> 00:01:07.600]  sentiment that could be more damaging than Abu Ghraib's scandal.
[00:01:07.600 --> 00:01:08.320]  Will the U.N.
[00:01:08.320 --> 00:01:12.143]  call for invading the United States because their military is engaged in atrocities?
[00:01:13.317 --> 00:01:14.557]  Certainly not.
[00:01:14.557 --> 00:01:18.939]  But you are seeing and hearing that now coming out of North Africa.
[00:01:18.939 --> 00:01:25.120]  And I have the NBC headline here, Illinois National Guard heads to Libya.
[00:01:25.120 --> 00:01:32.903]  And of course there are two Marine Corps amphibious landing aircraft carriers off the coast.
[00:01:32.903 --> 00:01:38.504]  The bombardments, the hundreds of cruise missiles, the bombings, the attempted assassination of Muammar Gaddafi.
[00:01:38.504 --> 00:01:40.725]  That's quite a no-fly zone.
[00:01:41.565 --> 00:01:52.688]  And lots of arrested development men feel very manly and feel powerful through the New World Order as they buy their 12 packs of beer and go home and watch the explosions.
[00:01:52.688 --> 00:02:06.811]  They are cheering and running around happily as the very same bankers taking over from a lower-level minion, a lower-level corrupt individual, a lower-level strongman, Muammar Gaddafi.
[00:02:06.811 --> 00:02:10.412]  The very same banksters are robbing you at the same time.
[00:02:11.092 --> 00:02:20.134]  And they'd love to drop cruise missiles on your head if they thought they could take over some living space, some territory in doing it.
[00:02:20.134 --> 00:02:21.614]  So that is all coming up.
[00:02:21.614 --> 00:02:23.694]  Here's the really bad news.
[00:02:23.694 --> 00:02:26.795]  And I began to cover this yesterday.
[00:02:26.795 --> 00:02:31.816]  The media is now in overdrive right now.
[00:02:31.816 --> 00:02:37.077]  The media is now in hyper overdrive, hyping attacks by Muammar Gaddafi.
[00:02:37.987 --> 00:02:49.429]  So you go in and you attack Qaddafi, then you stage terror attacks that legitimize your full-bore invasion that's already building up the preparations for off their coast.
[00:02:51.371 --> 00:03:08.178]  And then it legitimizes your war and allows you to crack down on your real prey, the 300 million Americans who you're putting through slave training, dog training, of taking your shoes and belt off and your jacket off and having the government grab your genitals and then put you in a radiation baker.
[00:03:09.665 --> 00:03:12.006]  It will work quite nicely for them.
[00:03:12.006 --> 00:03:15.048]  US eyes Qaddafi terror response.
[00:03:15.048 --> 00:03:18.310]  Of course, it's on record, and that was in my stack yesterday.
[00:03:18.310 --> 00:03:24.534]  Well, you guys pulled me the London Telegraph and the PrisonPlanet.com article about al-Qaeda leading the attack on Qaddafi.
[00:03:24.534 --> 00:03:31.858]  It's admitted that al-Qaeda, out of Egypt and Saudi Arabia, are running the operation against Muammar Qaddafi.
[00:03:32.628 --> 00:03:35.450]  And so we're gonna be going over that as well.
[00:03:35.450 --> 00:03:41.953]  Meanwhile, SAS smash squads are on the ground in Libya to mark targets for coalition jets.
[00:03:41.953 --> 00:03:43.514]  So the troops are on the ground.
[00:03:43.514 --> 00:04:00.043]  Of course, that's why the SAS went in weeks ago, as we told you, was to laze targets and to call in grid coordinates for cruise missiles, fighter bombers, and drones to drop their loving humanitarian payloads
[00:04:01.679 --> 00:04:04.261]  on the populations.
[00:04:04.261 --> 00:04:09.446]  But hey, will our country, controlled by the globalists, now invade Syria?
[00:04:11.038 --> 00:04:12.898]  Wave of unrest shakes Syria.
[00:04:12.898 --> 00:04:16.059]  Crowds torch party headquarters.
[00:04:16.059 --> 00:04:22.881]  And you better believe that's the black op teams inside Syria implementing what they did two years ago trying to overthrow Iran.
[00:04:22.881 --> 00:04:24.121]  It's on!
[00:04:24.121 --> 00:04:26.662]  Oh, the Iranians are crushing people.
[00:04:26.662 --> 00:04:27.782]  Invade!
[00:04:27.782 --> 00:04:29.182]  The Syrians are crushing.
[00:04:29.182 --> 00:04:30.563]  Invade!
[00:04:30.563 --> 00:04:31.343]  Bombard!
[00:04:32.432 --> 00:04:34.733]  This is World War Three unfolding.
[00:04:34.733 --> 00:04:37.995]  World War Three in regions all over the Middle East, Central Asia.
[00:04:37.995 --> 00:04:39.677]  Bombardments, invasions.
[00:04:39.677 --> 00:04:43.079]  But it's humanitarian!
[00:04:43.079 --> 00:04:52.224]  And it's also a nice little distraction for the nuclear radiation fallout intensifying as it heads across the Pacific towards the United States' West Coast.
[00:04:52.224 --> 00:04:54.346]  It's all coming up today.
[00:04:54.346 --> 00:04:55.166]  Stay with us.
[00:04:55.166 --> 00:04:56.667]  Infowars.com.
[00:04:56.667 --> 00:04:57.528]  PrisonPlanet.tv.
[00:05:04.787 --> 00:05:06.048]  Tyranny is here.
[00:05:06.048 --> 00:05:09.970]  The grim future foretold in 1984 has become reality.
[00:05:09.970 --> 00:05:12.211]  It really says that the state is God.
[00:05:12.211 --> 00:05:18.074]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:05:18.074 --> 00:05:24.317]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:05:24.737 --> 00:05:30.719]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:05:30.719 --> 00:05:34.880]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:05:34.880 --> 00:05:39.181]  Prepare to enter the secretive world of emergency dictatorship.
[00:05:39.181 --> 00:05:45.122]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[00:05:45.122 --> 00:05:48.683]  It's only the beginning of the New World Order's hellish plan.
[00:05:48.683 --> 00:05:50.664]  The police state isn't coming.
[00:05:50.664 --> 00:05:51.104]  It's here.
[00:05:51.764 --> 00:06:00.950]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:06:00.950 --> 00:06:07.614]  When you're out on the road, the last place you want to be is on the road.
[00:06:07.614 --> 00:06:12.757]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:06:12.757 --> 00:06:19.441]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:06:21.482 --> 00:06:27.862]  They sew pride in every stitch Guarantee you love the way they fit
[00:06:29.964 --> 00:06:34.545]  They put a Diamond Gusset in the crotch, where you need it most.
[00:06:34.545 --> 00:06:38.406]  Blue Diamond Gussets, got it.
[00:06:38.406 --> 00:06:39.626]  Others don't.
[00:06:39.626 --> 00:06:41.766]  We turn jeans inside out.
[00:06:41.766 --> 00:06:43.547]  Diamond Gusset Jeans.
[00:06:43.547 --> 00:06:46.447]  Made in the USA with unparalleled quality.
[00:06:46.447 --> 00:06:53.069]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:06:53.069 --> 00:06:55.769]  Order yours at gusset.com.
[00:06:55.769 --> 00:06:58.130]  Diamond Gusset Jeans, got it.
[00:06:58.130 --> 00:06:58.990]  Others don't.
[00:07:00.094 --> 00:07:04.657]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:07:04.657 --> 00:07:05.558]  Number one.
[00:07:05.558 --> 00:07:08.981]  New climate legislation could easily double or triple your electric bill.
[00:07:08.981 --> 00:07:09.861]  Number two.
[00:07:09.861 --> 00:07:14.745]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:07:14.745 --> 00:07:15.485]  It's true.
[00:07:15.485 --> 00:07:20.369]  Total government control of electricity in the name of smart grid technology is coming.
[00:07:20.369 --> 00:07:21.190]  Number three.
[00:07:21.190 --> 00:07:24.772]  In some areas of the country, the power grid is dangerously overloaded.
[00:07:24.772 --> 00:07:28.475]  And now, new socialist legislation is only compounding the problem.
[00:07:28.675 --> 00:07:29.475]  Number 4.
[00:07:29.475 --> 00:07:32.216]  Dangerous weather is always a threat to local grids.
[00:07:32.216 --> 00:07:35.917]  Every year, thousands of families lose their power from weather-related outages.
[00:07:35.917 --> 00:07:36.697]  Number 5.
[00:07:36.697 --> 00:07:40.838]  A solar power generator provides powerful backup, insurance, and peace of mind.
