[00:00:23.638 --> 00:00:28.986]  Welcome ladies and gentlemen to this Friday, October 7th edition of the InfoWars Nightly News.
[00:00:29.427 --> 00:00:38.922]  I'm Aaron Dyke sitting in as Alex is in Dallas right now leading a protest against the Federal Reserve dubbed the Occupy the Federal Reserve protest.
[00:00:39.322 --> 00:00:41.764]  If you're anywhere in the area, please join him.
[00:00:41.844 --> 00:00:45.866]  The address is 2200 North Pearl Street in Dallas.
[00:00:46.226 --> 00:00:57.592]  And again, he's going to be at the Houston branch tomorrow, October 8th at 1801 Allen Parkway at noon and in San Antonio on Sunday, October 9th from 10 to noon.
[00:00:57.992 --> 00:00:59.373]  So join him if you can.
[00:00:59.713 --> 00:01:04.316]  Check the Alex Jones channel on YouTube for continued coverage of those rallies.
[00:01:04.556 --> 00:01:06.037]  And let's occupy the Fed.
[00:01:06.337 --> 00:01:15.867]  Now, coming up tonight, we have an interview with Oath Keepers founder Stuart Rhodes, as he tells us about his call for people to join Occupy the Fed protests.
[00:01:16.427 --> 00:01:21.913]  And we also have an exclusive interview, part two, from what you saw last night with G. Edward Griffin.
[00:01:22.353 --> 00:01:27.758]  Alex asked him about the collectivist government and the move to end the Federal Reserve.
[00:01:27.818 --> 00:01:29.100]  But first, the news.
[00:01:31.704 --> 00:01:39.348]  Now the State Department has said don't invade the privacy of cleric Anwar al-Awlaki who is on the CIA kill list.
[00:01:40.008 --> 00:01:48.693]  We know that's of course because the war on terror is fraudulent and phony and they don't want to disclose the many connections between al-Awlaki and the system.
[00:01:49.013 --> 00:01:52.715]  For instance, it's known that he dined at the Pentagon with top brass.
[00:01:53.235 --> 00:02:00.904]  But the government has said it refuses to release the records for the terror leader who is well known to be the first American that the U.S.
[00:02:00.944 --> 00:02:03.667]  government has green-lighted to be killed or captured.
[00:02:04.724 --> 00:02:23.175]  Now furthermore, a secret panel has said it can now put Americans on a kill list, further eroding the protections of the Constitution, and it says there is no public record of the operations or decisions of the panel, which is a subset of the National Security Council, or how they come to their decision.
[00:02:23.675 --> 00:02:35.845]  Neither is there any law establishing its existence or setting out the rules by which it is supposed to operate and even the role of the president is fuzzy in how these decisions were made.
[00:02:36.545 --> 00:02:40.888]  Now it's no surprise that the National Security Council set up under the 1947 National Security Act
[00:02:42.990 --> 00:02:46.452]  Would continue to be extremely secretive, but it's a very bad sign.
[00:02:47.113 --> 00:02:51.176]  They're really a backdoor for the elitist who secretly run this country.
[00:02:51.576 --> 00:03:01.542]  So surprised they don't want to disclose what's going on, but we need to pressure them nonetheless not to operate the government in secret and not to have ad hoc rule of
[00:03:02.463 --> 00:03:03.283]  Foreign policy.
[00:03:04.584 --> 00:03:17.150]  Meanwhile, the Predator drone fleets which took out Anwar al-Awlaki in Yemen have been hijacked by a computer virus and the government does not know why and cannot get it out.
[00:03:17.210 --> 00:03:20.652]  We keep wiping it off, they say, and it keeps coming back.
[00:03:21.192 --> 00:03:26.414]  Says a source familiar with the network infection, one of three that told Danger Room about the virus.
[00:03:26.874 --> 00:03:29.435]  We think it's benign, but we just don't know.
[00:03:29.455 --> 00:03:35.698]  Now this has taken place nearly two weeks ago at the Creech Air Force Base in Nevada.
[00:03:36.058 --> 00:03:42.301]  The military's host base security system doesn't know why it's happening and has tried to remove it multiple times.
[00:03:42.921 --> 00:03:44.102]  But they cannot.
[00:03:44.842 --> 00:03:46.162]  We don't know what this is going to be.
[00:03:46.203 --> 00:03:47.883]  We're going to keep an eye on the story.
[00:03:47.943 --> 00:03:53.926]  But it may well be another, quote, mole inside the government subverting the chain of military command.
