[00:00:01.291 --> 00:00:05.912]  Here is our sit-down interview with Joel Skousen, editor of World Affairs Brief.
[00:00:06.432 --> 00:00:12.753]  Skousen was the chairman of the Conservative National Committee in the 1980s, and the executive editor of Conservative Digest.
[00:00:13.013 --> 00:00:26.316]  Skousen talks about the hidden power structure who control the politicians of both parties from behind the scenes, the nature of the manipulated press, the reality behind the Tea Party, and the ongoing conspiracy to complete a One World Dictatorship.
[00:00:27.970 --> 00:00:30.853]  I'm Joel Skousen, editor of World Affairs Brief.
[00:00:31.814 --> 00:00:45.971]  I'm a political scientist by training, was the former chairman of the Conservative National Committee during the Reagan administration, and have been active ever since in trying to alert people to what's going on in the world.
[00:00:47.168 --> 00:01:00.733]  Today I'd like to start off by talking about the reasons that a dialectic philosophy of conflict is used by the opposition, at least the opposition to liberty.
[00:01:01.713 --> 00:01:07.636]  I think this is very important to understand that there is real systematic good and evil in the world.
[00:01:08.997 --> 00:01:09.277]  I think?
[00:01:30.902 --> 00:01:35.266]  But we essentially allow people to follow the path that they want to follow.
[00:01:35.726 --> 00:01:36.887]  But evil isn't that way.
[00:01:37.227 --> 00:01:41.671]  Evil wants to progenitate and it uses certain techniques to do this.
[00:01:41.751 --> 00:01:43.252]  And one of them is the dialectic.
[00:01:43.712 --> 00:01:52.199]  The dialectic is where you create crises in order to induce good people to do things or accept things that they wouldn't ordinarily do.
[00:01:53.640 --> 00:02:11.714]  The reason for this, that you need to deceive people, and in all of this we're talking about the Tea Party deception, we're talking about the deception of political parties, we need to understand that deception is something that has always been with us in the world and always will because of this systematic battle between good and evil.
[00:02:13.055 --> 00:02:17.798]  But there is a systematic good as well and that is the role of conscience in people.
[00:02:18.759 --> 00:02:22.562]  And it's because certain people can sense that something's wrong.
[00:02:24.246 --> 00:02:34.033]  That evil has to use deception and dialectic in order to get people to do things in spite of conscience, in spite of sensing that something's wrong.
[00:02:34.974 --> 00:02:39.017]  In essence, when you create a big enough crisis, there's a feeling of panic.
[00:02:39.197 --> 00:02:40.138]  We have no choice.
[00:02:41.038 --> 00:02:42.540]  We have no power to resist.
[00:02:42.660 --> 00:02:44.441]  There's this feeling of futility.
[00:02:44.981 --> 00:02:47.823]  So even though people can sense what's right in conscience,
[00:02:48.704 --> 00:02:55.507]  They don't act according to it or they follow along the path of least resistance because of the severity of the crisis.
[00:02:56.268 --> 00:03:01.030]  That's the reason why evil uses crises to change the world.
[00:03:02.433 --> 00:03:10.358]  When I was growing up, I was first exposed to the writings of my uncle, W. Cleon Skousen, who wrote The Naked Communist.
[00:03:11.058 --> 00:03:19.543]  The most dramatic story in that book, and I still highly recommend it today, the most highly prized story in that book is The Fall of China.
[00:03:21.348 --> 00:03:22.329]  To Mao Tse Tung.
[00:03:23.850 --> 00:03:42.721]  And it was clearly outlined in the book how our own State Department, in league with George Catlett Marshall, who was head of our armed forces during World War II, actually set about to destroy the power of Chiang Kai-shek to win the battles against Mao Tse Tung.
[00:03:42.761 --> 00:03:43.981]  They set him up for failure.
[00:03:44.001 --> 00:03:49.665]  They withdraw armed support from him so that he basically could not win against Mao.
[00:03:50.779 --> 00:03:53.220]  And I thought to myself, what's going on here?
[00:03:55.120 --> 00:03:56.480]  Are these communists in our government?
[00:03:56.500 --> 00:03:59.221]  Was Catlett Marshall or was George Marshall a communist?
[00:03:59.241 --> 00:04:00.921]  Were the State Department people communists?
[00:04:01.662 --> 00:04:06.863]  So as I began to research this and talk to my uncle about it, I found out that they were not communists.
[00:04:08.123 --> 00:04:16.745]  There were communists in the State Department, especially the second floor, which had to do with foreign policy, did have some communists in it.
[00:04:17.485 --> 00:04:19.206]  And then there was the story of Alger Hiss,
[00:04:20.199 --> 00:04:22.201]  Who was accused of being a communist.
[00:04:22.401 --> 00:04:24.302]  In fact, he did join the Communist Party.
[00:04:24.883 --> 00:04:33.931]  But there was something strange about Alger Hiss in that he was highly protected by the establishment, those that weren't communists.
[00:04:34.992 --> 00:04:38.034]  Whitaker Chambers is the one who outed Alger Hiss.
[00:04:38.454 --> 00:04:43.219]  Whitaker Chambers was a dedicated ideological Marxist communist.
[00:04:43.259 --> 00:04:44.259]  He repented of that.
[00:04:45.861 --> 00:04:46.401]  Changed.
[00:04:47.442 --> 00:04:49.964]  Decided to tell all.
[00:04:50.485 --> 00:04:51.546]  He was very, very honest.
[00:04:51.706 --> 00:04:55.429]  He was vilified for his honesty and he's the one who named Alger Hiss.
[00:04:57.371 --> 00:04:59.613]  But the establishment came out for years.
[00:04:59.633 --> 00:05:02.395]  I mean, Alger Hiss went to prison eventually on perjury.
[00:05:03.396 --> 00:05:06.258]  The establishment never gave up on Alger Hiss.
[00:05:06.298 --> 00:05:08.380]  They always continued to support him.
[00:05:09.621 --> 00:05:12.243]  And one day a light came on in my mind and I realized
[00:05:13.123 --> 00:05:16.225]  I think Alger Hiss was in fact a globalist.
[00:05:17.526 --> 00:05:31.876]  He's part of this broader conspiracy, was not a communist, but that in fact he joined the Communist Party to help facilitate Communist Party infiltration into the State Department, into the Roosevelt and Truman administrations, which is exactly what he did.
[00:05:32.837 --> 00:05:39.802]  But when he wrote the United Nations Charter, it became very clear this was more than just a communist, this was a globalist.
[00:05:41.022 --> 00:05:44.883]  Using communism to facilitate the goals of globalism.
[00:05:45.484 --> 00:05:54.087]  And so when I finally had this new paradigm, this perspective, and this is something that no one else has ever written about, to my knowledge.
[00:05:54.627 --> 00:05:57.968]  Everyone in the conservative movement thinks that Al Jahias was a communist.
[00:05:59.073 --> 00:06:03.198]  But it doesn't explain why the non-communists were defending him so vociferously.
[00:06:03.619 --> 00:06:11.348]  As I began to look historically at what was happening, as nation after nation was falling to communism.
