[00:00:00.009 --> 00:00:01.855]  Waging War on Corruption.
[00:00:02.336 --> 00:00:05.104]  Alex Jones on the GCN Radio Network.
[00:00:11.633 --> 00:00:15.837]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:16.477 --> 00:00:17.278]  You want answers?
[00:00:18.059 --> 00:00:19.000]  Well, so does he.
[00:00:19.600 --> 00:00:23.203]  He's Alex Jones on the GCN Radio Network.
[00:00:23.804 --> 00:00:27.867]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.679 --> 00:00:35.464]  It is Wednesday, the 21st day of December, 2011.
[00:00:36.466 --> 00:00:42.517]  Our nation and the rest of the world, from China to England.
[00:00:44.261 --> 00:00:51.403]  From Russia to Mexico is being imploded by design and brought to its knees through controlled depression.
[00:00:51.903 --> 00:00:58.965]  We have this from the IMF and World Bank documents, BBC 2002, their plan, and they are now carrying it out.
[00:00:59.725 --> 00:01:08.287]  Massive new banker bailouts, which is really just direct taxation over the population to the big six megabanks, much of it U.S.
[00:01:08.347 --> 00:01:10.568]  taxpayer money, has now been announced in Europe.
[00:01:12.014 --> 00:01:17.903]  Last year at Davos, they wanted $100 trillion in new taxpayer money.
[00:01:19.606 --> 00:01:21.629]  The power to tax is the power to destroy.
[00:01:21.649 --> 00:01:25.054]  The globalists want to shut down all of their competition.
[00:01:26.161 --> 00:01:30.664]  The worst of the worst have competed to get control of society.
[00:01:31.364 --> 00:01:40.009]  They engage in high-tech propaganda to manipulate and befuddle and bamboozle the dumbstruck population.
[00:01:40.249 --> 00:01:50.515]  We are here to shake people out of their morass, out of their dazed existence, to become actual
[00:01:51.803 --> 00:01:52.303]  We're good to go.
[00:02:21.528 --> 00:02:22.788]  Sheriffs and others went public.
[00:02:23.168 --> 00:02:37.391]  They jammed police communications as the storm hit so they could claim that the police stood down and set a pretext for FBI leading regular army, big army, National Guard and military police and SWAT teams from around the country.
[00:02:40.472 --> 00:02:42.352]  You saw that happen almost six years ago.
[00:02:43.733 --> 00:02:49.514]  Now, as the welfare state implodes, as the crime accelerates in Chicago,
[00:02:50.888 --> 00:02:53.830]  I'm going to have Paul Watson and Nemo add this right now.
[00:02:54.510 --> 00:03:10.721]  In Chicago and in New Orleans, but the new article is on Louisiana and New Orleans, remember Blagojevich just a month or so before he got indicted, he pulled this up, it was in the Associated Press and the audio of it, and said we want National Guard and regular Army doing door-to-door gun sweeps.
[00:03:10.741 --> 00:03:13.923]  And they've actually had them now in Chicago quietly.
[00:03:14.183 --> 00:03:17.965]  So we should, by the way, add that caveat to this to show folks that it is a
[00:03:18.945 --> 00:03:29.929]  Democratic Party, but Bush did it as well, operation where they've got state reps on TV saying we want troops on the streets to stop the guns and the drugs.
[00:03:29.969 --> 00:03:33.050]  The guns the government ships in and the drugs the government ships in.
[00:03:33.830 --> 00:03:36.912]  Here are the articles by Paul Joseph Watson and Alex Jones.
[00:03:36.952 --> 00:03:39.653]  Louisiana state officials calls for troops on the streets.
[00:03:40.113 --> 00:03:44.454]  National Guard engage in door-to-door gun confiscation during Hurricane Katrina.
[00:03:44.775 --> 00:03:45.635]  That was a beta test.
[00:03:46.602 --> 00:03:51.663]  And here is Kurt Nemo's excellent article, top story at Infowars.com as well.
[00:03:52.203 --> 00:03:56.484]  Martial law attempt in Louisiana echoes Ron Paul's warning.
[00:03:57.685 --> 00:04:06.287]  Do I need to tell you to get these articles and get them out on Facebook, Twitter, YouTube's got social network systems as well?
[00:04:07.007 --> 00:04:08.047]  Do I need to tell you to do that?
[00:04:08.367 --> 00:04:10.808]  This is an absolute red alert because in Iowa,
[00:04:11.969 --> 00:04:24.900]  In Indiana, in California, in Florida, in Michigan, in Illinois, in Boston, in Dallas, Texas, different cities statewide, you name it.
[00:04:25.300 --> 00:04:29.104]  They're having knock and talk where they come now with the army, with the police.
[00:04:29.124 --> 00:04:29.844]  This is in the news.
[00:04:30.184 --> 00:04:32.406]  We'd like to talk about your firearms today, ma'am.
[00:04:33.227 --> 00:04:34.068]  Mind if we come in?
[00:04:35.342 --> 00:04:36.683]  And they basically forced their way in.
[00:04:36.743 --> 00:04:38.746]  In Boston, they admit they just forced their way in.
[00:04:39.026 --> 00:04:39.586]  No warrants.
[00:04:40.187 --> 00:04:45.853]  And they're really getting the police drilled and ready to commit these crimes under peer pressure.
[00:04:46.674 --> 00:04:47.374]  And so it's on.
[00:04:47.434 --> 00:04:49.136]  I've got the audio and the video from CNN.
[00:04:51.377 --> 00:04:57.944]  Coming up on the other side of this break where they're like, absolutely, let's put troops on the streets and let's get those guns.
[00:04:58.305 --> 00:04:59.586]  That's how you fight crime.
[00:04:59.986 --> 00:05:02.649]  The war on drugs is not going to be the war on your guns.
[00:05:03.470 --> 00:05:05.653]  And the same people ship both in to the criminals.
[00:05:08.320 --> 00:05:11.944]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:05:12.324 --> 00:05:15.347]  This is our last chance to not relive history.
[00:05:15.567 --> 00:05:20.351]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:05:20.371 --> 00:05:26.597]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:05:26.757 --> 00:05:29.000]  I think it's incumbent upon all of us
[00:05:29.540 --> 00:05:29.820]  Tim Geithner?
[00:05:29.840 --> 00:05:30.260]  Bernanke?
[00:05:30.360 --> 00:05:30.981]  They're arsonists!
[00:05:31.021 --> 00:05:32.281]  They're asking for more matches!
[00:05:32.301 --> 00:05:34.543]  And the Congress is saying, who do we make the check out to?
[00:05:48.430 --> 00:05:52.374]  Today seems like nobody does care and right now in Washington D.C.
[00:05:52.814 --> 00:05:55.377]  we have seen a fall of the Republic.
[00:05:55.717 --> 00:06:04.845]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:06:06.912 --> 00:06:08.153]  Hi, this is Alex Jones.
[00:06:08.514 --> 00:06:14.320]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[00:06:14.820 --> 00:06:18.444]  So now is the time to express the holiday spirit more than ever.
[00:06:18.844 --> 00:06:22.048]  Consider helping those you love with the most important gift.
[00:06:22.428 --> 00:06:27.673]  A supply of delicious, easy to fix, and very storable foods from efoodsdirect.com.
[00:06:28.434 --> 00:06:40.806]  Their Holiday Gift and Family Pack start at $99 for a 16-day supply, while their 5-week supply of quick and easy-to-fix meals includes a personal backpack in case of a grab-and-go emergency.
[00:06:41.127 --> 00:06:46.732]  Order their Combo Gift Pack and you'll save hundreds, plus get free shipping on your entire order.
[00:06:46.992 --> 00:06:49.234]  Call eFoods today at 800-409-5633 or visit them online
[00:06:52.938 --> 00:06:56.561]  At efoodsdirect.com forward slash Alex to find the special.
[00:06:56.841 --> 00:07:02.926]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:07:03.186 --> 00:07:05.528]  You can bet your life on efoods direct.
[00:07:06.761 --> 00:07:14.583]  A very wealthy US citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:07:14.843 --> 00:07:17.143]  He says it will change everything about our lives.
[00:07:17.404 --> 00:07:22.605]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:07:22.785 --> 00:07:25.565]  Now this man has made some outrageous predictions over the years.
[00:07:25.825 --> 00:07:27.886]  The crazy part is, he's usually right.
[00:07:28.146 --> 00:07:34.070]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:07:34.390 --> 00:07:37.592]  In fact, Barron's called his work a dire prophecy.
[00:07:37.772 --> 00:07:43.296]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:07:43.556 --> 00:07:44.857]  And it's a real eye-opener.
[00:07:45.197 --> 00:07:46.358]  I can't stress this enough.
[00:07:46.498 --> 00:07:49.039]  You should at least watch this free video online today.
[00:07:49.160 --> 00:07:53.222]  He explains everything you need to know, including simple steps you can take to protect yourself.
[00:07:53.382 --> 00:07:55.424]  You can find the video at www.
[00:07:56.184 --> 00:07:57.845]  Endofamerica3.com.
[00:07:57.985 --> 00:08:00.447]  That's End of America, the number three.com.
[00:08:00.587 --> 00:08:04.289]  Watch the free video at www.endofamerica3.com.
[00:08:04.449 --> 00:08:06.170]  That's endofamerica3.com.
[00:08:08.051 --> 00:08:10.253]  He's the T-Rex of political talk.
[00:08:10.273 --> 00:08:13.675]  Alex Jones on the GCN Radio Network.
[00:08:20.399 --> 00:08:23.040]  Strap yourselves in today, my friends.
[00:08:23.321 --> 00:08:25.402]  This is incredibly important information.
[00:08:27.017 --> 00:08:32.917]  Unfortunately, day by day, week by week, month by month, year by year, our worst concerns
[00:08:34.784 --> 00:08:40.046]  Are proven right, and our analysis is just absolutely devastatingly on.
[00:08:40.926 --> 00:08:50.189]  Because we're following globalist documents, planning, drills, we reversed engineered the parts that aren't declassified, and have just been absolutely spot on.
[00:08:51.330 --> 00:08:58.312]  If I have to say we've been 99% correct on the big picture, it's because the 1% is that it's just always worse than we thought.
[00:08:59.713 --> 00:09:01.656]  It's always worse than we thought.
[00:09:01.676 --> 00:09:11.390]  The criminality that we have in the government and in the megacorporations that control it is unparalleled in history.
[00:09:13.393 --> 00:09:23.399]  Now, you know that there are literally hundreds of newspapers and TV stations right now, including CBS News, Bloomberg, Associated Press.
[00:09:23.960 --> 00:09:25.401]  I can't even track it all.
[00:09:26.001 --> 00:09:27.062]  And I got up at 5 a.m.
[00:09:27.082 --> 00:09:33.426]  this morning, only spent about 30 minutes on that, and there were hundreds of them saying, Ron Paul is nuts.
[00:09:34.046 --> 00:09:36.388]  He believes there's a plan to put military on the streets.
[00:09:37.088 --> 00:09:37.929]  He is insane.
[00:09:38.490 --> 00:09:41.913]  This is, and of course Alex Jones is just as evil.
[00:09:42.494 --> 00:09:45.997]  I'm in the articles as well, and they have links to where he said it on my show.
[00:09:46.458 --> 00:09:57.709]  This is when we have endless congressional clips and more we found on C-SPAN that are up at InfoWars.com right now, with the entire Congress basically going, yes,
[00:09:58.710 --> 00:10:00.631]  Obama can now kill any U.S.
[00:10:00.671 --> 00:10:04.051]  citizens he wants, torture them, arrest anybody.
[00:10:04.071 --> 00:10:15.234]  But let me tell you something, just because you claim you have dictatorial powers, just because some teleprompter reader and the criminals that put him in office and bankrolled him say that, doesn't mean it's so.
[00:10:18.335 --> 00:10:21.015]  And, of course, these powers will be passed on to the next person.
[00:10:21.095 --> 00:10:23.396]  I don't even think they plan on making Obama a dictator.
[00:10:24.480 --> 00:10:29.661]  It's the office of the presidency that the bureaucracy and the special interest puppeteer.
[00:10:30.081 --> 00:10:31.941]  That's who is going to use this power.
[00:10:32.161 --> 00:10:34.282]  And they might use it next month, they might use it two years from now.
[00:10:34.502 --> 00:10:40.923]  I'm not saying they couldn't pull something like that, stage a bunch of domestic terror attacks, start arresting opposition, shut down the Internet.
[00:10:41.183 --> 00:10:42.843]  I mean, they've said they're going to do all of this.
[00:10:42.863 --> 00:10:46.124]  You know, it's not kooky anymore.
[00:10:47.304 --> 00:10:50.284]  When you talk about Internet censorship, it's all over the Internet.
[00:10:50.705 --> 00:10:52.905]  The head of the FCC is warning about it right now.
[00:10:54.434 --> 00:10:59.057]  Google's come out and said it's true, and the Pentagon says, we don't care, we'll shut down what we want.
[00:10:59.717 --> 00:11:05.540]  I mean, it's even creeping out some of the powerful elites that are out there, because this is getting down to the wire.
[00:11:07.221 --> 00:11:08.161]  And I want to say something.
[00:11:08.322 --> 00:11:23.049]  I have seen, again, literally scanning over them, 50 or more articles that I had time to look at, from Red State and CBS, you name it, attacking Ron Paul.
[00:11:25.490 --> 00:11:28.412]  Almost every comment is for Ron Paul.
[00:11:29.292 --> 00:11:33.415]  It is not just some highly vocal minority that swarms every article.
[00:11:34.115 --> 00:11:39.318]  It is people on RedState that say, hey, I'm not even a Ron Paul supporter, but stop lying about him.
[00:11:42.540 --> 00:11:54.407]  And so, since they pulled out the stops two days ago and started the racist smear, like they did on Rand, and all the rest of it, his numbers have gone up even more in Iowa and New Hampshire.
[00:11:55.836 --> 00:12:06.001]  So it's definitely backfiring right now, which shows you, and I've watched this process for 17 years on air, 19 years awake tracking media intensely every day.
[00:12:07.622 --> 00:12:11.244]  I've never seen the awakening this turbocharged.
[00:12:13.524 --> 00:12:30.293]  Man, I can tell you, we are, I can feel the establishment, I can see it in their actions, their memos that are public because they're so arrogant still, about how great a new Oklahoma City would be to blame on domestic groups, Financial Times of London, Democratic Party press releases.
[00:12:30.554 --> 00:12:32.555]  I mean, they don't even veil them.
[00:12:32.635 --> 00:12:40.279]  Even Glenn Beck said a year ago, they're getting ready to stage new Oklahoma Cities, pointing at Democrats on the screen, and blaming on conservatives.
[00:12:40.619 --> 00:12:41.460]  You bet they are!
[00:12:42.540 --> 00:12:44.321]  I mean, they don't even hide it.
[00:12:44.381 --> 00:12:45.762]  They think we're so dumb.
[00:12:46.102 --> 00:12:47.222]  They think you're so dumb.
[00:12:47.642 --> 00:12:52.865]  Even though they're a little awake and a little concerned about the awakening, they still can't help their old arrogant instincts.
[00:12:54.546 --> 00:13:01.969]  And so last night we re-showed those memos and documents and clips of Glenn Beck admitting that the government's preparing to stage terror attacks.
[00:13:02.870 --> 00:13:07.772]  Look, if you don't come to grips with the fact that criminals have hijacked the federal government,
[00:13:09.096 --> 00:13:19.384]  And call their bluff, and realize that they're staging the terror attacks, and they're financing the Muslim terrorists in every major case, and protecting them, and that they're setting up domestic groups.
[00:13:19.925 --> 00:13:26.550]  If you don't come to grips with the facts, they're going to use this tool to gut this country.
[00:13:26.950 --> 00:13:28.471]  And that means devalue your dollar.
[00:13:29.409 --> 00:13:36.675]  And take your pension funds, just as sure as the sun rose this morning, and just as sure as it's going to set this evening, it is going to happen.
[00:13:36.895 --> 00:13:45.721]  They are following a recipe, a blueprint, a program, a plan, a operational manual that they've done in countless countries.
[00:13:47.102 --> 00:13:51.506]  The Army's false flag manual was leaked by WikiLeaks four years ago.
[00:13:51.746 --> 00:13:53.427]  The Army did not deny that that was theirs.
[00:13:53.687 --> 00:13:56.830]  They said, we're going to find out who released this, and we're going to prosecute them.
[00:13:58.464 --> 00:13:58.764]  Okay?
[00:13:59.644 --> 00:14:02.145]  I've had a lot of family in the Army, folks, who were officers.
[00:14:02.725 --> 00:14:05.926]  And let me tell you, what they will say will blow you away.
[00:14:05.946 --> 00:14:08.127]  And they're saying it's a lot worse than that.
[00:14:09.247 --> 00:14:09.567]  Okay?
[00:14:10.087 --> 00:14:12.408]  Stop being naive little kids, okay?
[00:14:13.008 --> 00:14:15.348]  America's the big global empire.
[00:14:16.909 --> 00:14:18.069]  Not the American people.
[00:14:18.109 --> 00:14:24.391]  They're in a narcoleptic state, walking through life literally in a dream state.
[00:14:25.336 --> 00:14:32.521]  America, look, America has murdered 51 million of its babies and just says, oh, they're not humans.
[00:14:33.062 --> 00:14:34.883]  So don't tell me evil can't happen.
[00:14:35.183 --> 00:14:35.904]  It is happening.
[00:14:36.304 --> 00:14:41.688]  We had a government 60 years ago shooting black men up with syphilis and watching them die over 45 years.
[00:14:43.328 --> 00:14:51.093]  We have a government that sterilized half a million women in this country on record because they had below a B plus average under eugenics.
[00:14:51.473 --> 00:15:07.384]  We have a government that five years ago was admitted in the New York Daily News until the story got shut down because CPS workers wouldn't be that evil, and they said, we grab little black kids and we take them who are totally healthy and we give them to Big Pharma, here are the facilities, and a month later they're dead.
[00:15:08.284 --> 00:15:08.965]  They're dead!
[00:15:10.429 --> 00:15:15.751]  In some of the studies, they give them pesticides and strap them down and kill them in the course of a month.
[00:15:16.051 --> 00:15:24.733]  I mean, ladies and gentlemen, you sign on to this government, you might as well get on your knees and say, Satan, I love you, and I want to go to hell.
[00:15:26.074 --> 00:15:28.635]  And I know you worldly people don't believe in the devil.
[00:15:29.255 --> 00:15:29.715]  Whatever.
[00:15:30.055 --> 00:15:31.816]  You're going to manifest hell on earth.
[00:15:32.076 --> 00:15:33.676]  I mean, really, let's grow up here.
[00:15:33.736 --> 00:15:36.017]  Okay, you know what, I'm not even getting to my top story yet, and I should.
[00:15:38.314 --> 00:15:39.957]  It's just, it's all coming true.
[00:15:40.097 --> 00:15:42.261]  I told you New Orleans was a beta test.
[00:15:43.541 --> 00:15:48.963]  Then we saw Governor Blagojevich one month before he got indicted, and I've got to call Paul and Kurt.
[00:15:49.843 --> 00:15:50.443]  Kurt's here in the office.
[00:15:50.463 --> 00:15:52.924]  I've got to call Paul and have him add this, because that just backs it up more.
[00:15:53.444 --> 00:15:58.826]  Looking at these articles, I just remembered the Marine Corps checkpoints in California, the gun confiscation drills in Iowa.
[00:15:58.846 --> 00:16:01.747]  We've got to give them full-spectrum analysis or folks are going to be in denial.
[00:16:01.967 --> 00:16:04.448]  We've got to show them more points.
[00:16:04.748 --> 00:16:11.370]  It's a standard system, graduated, successful approximation, incremental buildup, inchworm attack profile.
[00:16:12.421 --> 00:16:17.662]  And he said, because of the crime in Chicago, we're going to do door-to-door gun confiscation with the National Guard and regular army.
[00:16:17.842 --> 00:16:18.283]  And you know what?
[00:16:18.323 --> 00:16:23.824]  They've done some of those tests, but they'll have the army standing around outside while the police do it, which is still illegal.
[00:16:25.004 --> 00:16:33.387]  You saw the gun confiscation door-to-door in New Orleans, and the media, for six months after, said it isn't true till the videos of it got released.
[00:16:34.227 --> 00:16:38.688]  Even when we had ABC News reporting it, people said that's not true until it all came out.
[00:16:40.185 --> 00:16:41.486]  People were in denial.
[00:16:41.546 --> 00:16:44.027]  They went all over the state, not just New Orleans.
[00:16:44.247 --> 00:16:46.629]  They were confiscating guns in towns in Mississippi.
[00:16:47.009 --> 00:16:51.831]  They were taking guns in Red Stick, in Baton Rouge.
[00:16:52.232 --> 00:16:54.333]  They're doing this stuff all over the place!
[00:16:55.675 --> 00:16:57.957]  I've been to the drills where they train to take your guns.
[00:16:58.217 --> 00:17:13.449]  I've had the military send me Cooperative Nugget in Louisiana, training drills, 92, 93, 94, 95, 96, 97, the stuff's on YouTube, where the role players are Americans with foreign troops and they practice taking your guns!
[00:17:16.652 --> 00:17:17.833]  And what am I getting to now?
[00:17:18.153 --> 00:17:24.057]  CNN, up on Infowars.com right now, we'll show you on screen, the two top red links.
[00:17:25.049 --> 00:17:31.113]  Louisiana rep moves to violate posse comitatus and put troops on New Orleans streets.
[00:17:32.254 --> 00:17:35.076]  And Kurt's since changed that headline because the article is really about Ron Paul.
[00:17:35.456 --> 00:17:37.078]  It's now, hit refresh on that for me.
[00:17:37.378 --> 00:17:41.761]  Martial law attempt in Louisiana echoes Ron Paul's warning.
[00:17:42.121 --> 00:17:43.182]  Next article under it.
[00:17:45.097 --> 00:17:47.039]  The one that I put together with Paul Watson.
[00:17:47.719 --> 00:17:49.200]  Paul did the lion's share of the work there.
