[00:00:00.009 --> 00:00:00.749]  Radio Network.
[00:00:01.290 --> 00:00:05.372]  And now, live from Austin, Texas, Alex Jones.
[00:00:25.762 --> 00:00:30.486]  Good morning, good afternoon, good evening, wherever you may be listening.
[00:00:30.626 --> 00:00:32.468]  Alex Jones here live.
[00:00:32.488 --> 00:00:39.334]  We're going to be here for the next three hours on this now third live broadcast of 2011.
[00:00:39.374 --> 00:00:39.895]  It is January 4th.
[00:00:42.757 --> 00:00:46.678]  2011 and again we're going to be live here for the next 30 minutes.
[00:00:47.078 --> 00:01:00.561]  We've got Wayne Madsen coming up in about an hour and a half popping in, formerly with the NSA, writes on national security matters for some of the most prestigious publications in the country and just amazing predictions and a piercing analysis.
[00:01:01.201 --> 00:01:06.583]  He's saying that there's clear evidence of these rash of intensifying bombings
[00:01:07.683 --> 00:01:19.190]  Across Europe being brought in as a political smokescreen for the austerity measures that the large central banks are putting in place to further loot the population.
[00:01:19.290 --> 00:01:33.198]  There's clear evidence that it's connected to Operation Gladio that's been partially declassified and former Italian presidents, German former defense ministers and others have gone public detailing them the 60s, 70s and 80s elements of
[00:01:35.419 --> 00:01:42.687]  NATO and the US military staged literally hundreds of bombings all across Europe to blame it on their political enemies.
[00:01:42.767 --> 00:01:47.131]  If a right-wing group was getting too popular that the establishment didn't like, they'd stage a bombing.
[00:01:47.471 --> 00:01:50.655]  If a left-wing group was getting too popular and was seen as anti-establishment,
[00:01:51.415 --> 00:01:53.196]  They would stage a bombing and blame it on them.
[00:01:53.276 --> 00:02:01.658]  One of the more famous 1980 Bologna bombing that killed a whole bunch of people including men, women, and children at that train station.
[00:02:02.158 --> 00:02:05.900]  So Madsen will be popping in for about 20 minutes at the bottom of the next hour.
[00:02:05.920 --> 00:02:09.881]  We were going to have him on Friday but we had phone system problems on New Year's.
[00:02:10.201 --> 00:02:13.682]  I guess with the phone systems jammed over in Paris.
[00:02:14.622 --> 00:02:21.024]  But Max Keiser will be joining us to talk about the economy and his outlook going into 2011 and beyond.
[00:02:21.704 --> 00:02:27.525]  Always interesting and informative, Max Keiser will be joining us coming up in the last hour today.
[00:02:28.465 --> 00:02:35.327]  Now that said, I've got to control myself and not run down a rabbit trail, and we'll see if I can do it when we come back from break.
[00:02:36.327 --> 00:02:55.636]  uh... because we've got a lot of and very important geopolitical military news with afghanistan iraq you name it uh... big developments with the bird die-off uh... that story has now gone massive uh... and we're right at the forefront of the daily mail the huffington post
[00:02:56.496 --> 00:02:57.216]  We're good to go.
[00:03:17.302 --> 00:03:26.948]  Uh, now a similar species or the same species of, uh, cedar waxwing, uh, blackbird falling, uh, dead, uh, in Louisiana in mass.
[00:03:27.448 --> 00:03:36.194]  Just 500 counted off of one road alone and other reports coming out of, uh, around Louisiana and other parts, uh, of, uh, the South and the Midwest.
[00:03:38.322 --> 00:03:46.185]  They've had the veterinary head of the Fish and Wildlife group there in Arkansas that did autopsies on the birds saying that there was not disease that did this.
[00:03:46.705 --> 00:03:53.607]  So, now maybe we got blackbirds that are dead in another state, and maybe it was disease on that front.
[00:03:53.988 --> 00:04:00.370]  Because that's pretty common for birds to get sick and thousands can die, but they don't all just drop out of the sky and dead before they hit the ground.
[00:04:01.210 --> 00:04:02.911]  One dies here, one dies there.
[00:04:02.971 --> 00:04:05.994]  If you fall over here, if you fall over there, they die slowly.
[00:04:06.034 --> 00:04:13.399]  We've all seen dead birds, dead blackbirds especially, because they overpopulate and tend to cull themselves through starvation and disease.
[00:04:13.419 --> 00:04:19.943]  They're a very prodigious species, but clearly something else is going on here.
[00:04:20.364 --> 00:04:28.649]  Their organs were liquefied, and it wasn't done by a bacteria or a virus or other type of microbial infection.
[00:04:30.191 --> 00:04:31.914]  So we're going to be breaking that down.
[00:04:32.755 --> 00:04:38.183]  Also, big news on the political front with the corruption of the Obama crime machine.
[00:04:38.743 --> 00:04:43.070]  I want to hit that first when we come back from this quick break with big developments.
[00:04:43.090 --> 00:04:43.570]  Stay with us.
[00:04:44.619 --> 00:04:46.220]  Hello friends, this is Alex Jones.
[00:04:46.260 --> 00:04:49.063]  You've heard me talk about Calden 5 Star Soaps for years.
[00:04:49.623 --> 00:04:54.547]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[00:04:54.847 --> 00:04:58.030]  You can buy factory direct, shipped via UPS right to your door.
[00:04:58.290 --> 00:05:00.632]  Check them out on the web at 5starsoap.com.
[00:05:01.272 --> 00:05:02.133]  Or call 800-340-7091.
[00:05:04.796 --> 00:05:05.736]  Take my word for it.
[00:05:05.937 --> 00:05:08.259]  Once you've used pure soap, you won't buy anything else.
[00:05:08.579 --> 00:05:14.805]  Since 1947, Calvin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[00:05:15.106 --> 00:05:16.507]  Buy American and stay clean.
[00:05:16.607 --> 00:05:19.790]  As well as support InfoWars, visit 5StarsSoap.com today.
[00:05:19.910 --> 00:05:20.291]  Or call 1-800-340-7091.
[00:05:20.311 --> 00:05:21.632]  Well, Marty, what do you have to say?
[00:05:24.918 --> 00:05:32.165]  As founder and owner for over 63 years, satisfaction is guaranteed on W Dirtback.
[00:05:32.845 --> 00:05:36.609]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[00:05:36.649 --> 00:05:37.169]  Thank you!
[00:05:44.383 --> 00:05:46.666]  Folks, you've heard us talk about Home Gain before.
[00:05:47.427 --> 00:05:56.660]  Home Gain is now offering a special promo where you get up to $150 when you buy or sell a home with a Home Gain agent you find through their Find a REALTOR® program.
[00:05:57.580 --> 00:06:00.062]  HomeGain lets you compare realtors anonymously.
[00:06:00.402 --> 00:06:00.962]  It's easy.
[00:06:01.283 --> 00:06:06.586]  Go to HomeGain150.com to find and compare realtors anonymously.
[00:06:06.606 --> 00:06:14.191]  Enter promo code HomeGain150 and receive up to $150 when you close a deal with a HomeGain agent.
[00:06:14.591 --> 00:06:19.995]  Share the HomeGain150 promo code with your friends via Facebook, Twitter, text, and more.
[00:06:20.415 --> 00:06:25.359]  Look for Max the HomeGain Gorilla to find out more about how HomeGain is going to pay you.
[00:06:26.099 --> 00:06:32.450]  Visit HomeGain150.com today to enter your promo code and get paid for buying or selling a house.
[00:06:33.231 --> 00:06:33.992]  That's H-O-M-E-G-A-I-N-150.com.
[00:06:44.383 --> 00:06:46.984]  Hello, this is Alex Jones with some important questions.
[00:06:47.384 --> 00:06:52.345]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:06:52.705 --> 00:06:54.446]  My answer would be all I can get.
[00:06:54.766 --> 00:06:59.567]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:06:59.767 --> 00:07:00.728]  How much do you want?
[00:07:00.948 --> 00:07:01.688]  When do you want it?
[00:07:02.068 --> 00:07:03.669]  Now or after the battle starts?
[00:07:03.949 --> 00:07:04.769]  When will you need it?
[00:07:05.029 --> 00:07:07.090]  Can you buy it without proper identification?
[00:07:07.230 --> 00:07:08.210]  Will there be any food?
[00:07:08.550 --> 00:07:09.892]  Will it make your children sick?
[00:07:10.092 --> 00:07:15.158]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:07:15.358 --> 00:07:18.541]  You wipe out all these problems if you have a good food supply.
[00:07:18.942 --> 00:07:22.446]  Food is your ammunition to fight for your freedom and your life.
[00:07:22.766 --> 00:07:23.507]  How much will you need?
[00:07:23.967 --> 00:07:24.608]  We don't know.
[00:07:24.888 --> 00:07:25.788]  How much do you want?
[00:07:25.989 --> 00:07:26.729]  All you can get.
[00:07:26.909 --> 00:07:27.770]  I'm Alex Jones.
[00:07:28.010 --> 00:07:30.772]  I want all of you good guys to live to fight another day.
[00:07:31.072 --> 00:07:33.693]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:07:33.893 --> 00:07:34.674]  Again, that number 1-800-409-5633.
[00:07:45.874 --> 00:07:51.898]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:07:52.519 --> 00:07:55.501]  It's Alex Jones and the GCN Radio Network.
[00:07:59.673 --> 00:08:13.882]  This intriguing mystery of the 5,000 dead blackbirds in Arkansas, in BB, Arkansas, now in mass die-offs of the same species of blackbird in Louisiana and other areas of the United States.
[00:08:14.622 --> 00:08:20.766]  The fact that the Fish and Wildlife Department veterinarians that have looked at it have told CNN that it was trauma
[00:08:21.306 --> 00:08:34.918]  That it was not disease, well then if you have other birds that start dying and that's trauma, something's going on here and colliding with each other in the night is not going to liquefy the innards of 5,000 birds.
[00:08:35.918 --> 00:08:39.161]  And we've got a lot of other bizarre things happening like this big fish die off.
[00:08:39.441 --> 00:08:44.446]  There may be naturally occurring reasons for this, but I haven't figured out what they are yet.
[00:08:45.006 --> 00:08:52.411]  And I know that when the government tests chemical, biologicals, radiologicals, birds are some of the most susceptible to it.
[00:08:52.871 --> 00:08:55.193]  Hence the famous canary in the coal mine.
[00:08:55.773 --> 00:09:11.424]  There's many other examples reported on by the press that when somebody first cooks on a no-stick pan, that the chemicals that are in it off-gas, and that if you have a bird in a cage in the room like a canary, it will, or a parakeet, it will fall over dead.
