[00:00:00.000 --> 00:00:02.740]  (dramatic music)
[00:00:02.740 --> 00:00:05.500]  (dramatic music)
[00:00:06.500 --> 00:00:10.939]   Sis, since we're doing the remote guest, while we're talking--
[00:00:11.051 --> 00:00:20.895]  I just want to make sure our guests can hear everything we're saying and all that so I was told by everybody It's not the president Trump, but it is gonna make you guys wait.
[00:00:20.915 --> 00:00:22.315]  Do you see this all right?
[00:00:24.476 --> 00:00:38.764]   In fact this man is more hated by the media than Donald Trump and that says something okay, which is so I If you're going to talk about the Great Reset, then you have to have someone who's the most banned man in America.
[00:00:38.963 --> 00:00:40.963]  Alex Jones joins us.
[00:00:40.963 --> 00:01:08.963]  [Applause]
[00:01:08.963 --> 00:01:10.963]  To Alex-- whoa! Alex--
[00:01:10.546 --> 00:01:12.147]  Alex, welcome remotely.
[00:01:12.207 --> 00:01:17.871]  I was told by all the people like, oh, you can't have Alex at your event, which makes me just want to have Alex even more.
[00:01:20.393 --> 00:01:22.314]  Alex, you wrote a book on the Great Reset.
[00:01:22.575 --> 00:01:23.575]  What is the Great Reset?
[00:01:23.615 --> 00:01:24.336]  Why did you write the book?
[00:01:25.916 --> 00:01:28.777]  Well, I saw Steve Bannon yesterday, and he's absolutely right.
[00:01:28.857 --> 00:01:32.178]  And I love the title and the hashtag, Defeat the Great Reset.
[00:01:32.898 --> 00:01:38.460]  The Great Reset is what Ronald Reagan, when he was first running for office in 1979, spoke about.
[00:01:38.500 --> 00:01:52.164]  Nobody really talks about these speeches, but I've seen at least 10 of them, where he's talking about the New World Order and the globalists and how multinational corporations want to use a form of corporate communism to control everybody.
[00:01:52.584 --> 00:01:54.065]  And so I didn't discover all this.
[00:01:54.265 --> 00:02:05.738]   I grew up With my father in Dallas, where I grew up, taking me to see speeches by candidate and then President Ronald Reagan.
[00:02:05.838 --> 00:02:11.642]  And so Ronald Reagan, the first few years of his administration, really got into this big central topic.
[00:02:11.682 --> 00:02:14.084]  There's not just communism I'm worried about, not just China and Russia.
[00:02:15.000 --> 00:02:23.705]  Not just radical Islam, but really powerful corporations that are authoritarian and want to take over our nation that are really anti-free market.
[00:02:23.725 --> 00:02:32.407]   So the Great Reset is the Bilderberg Group, UN corporate And a month ago, they were given official U.N.
[00:02:33.108 --> 00:02:38.412]  advisory status or on par with the Secretary General that the U.N.
[00:02:38.452 --> 00:02:52.342]  signed a treaty with the World Economic Forum and Klaus Schwab, who is announcing world government, announcing global IDs, announcing carbon taxes, announcing social credit scores, announcing carbon lockdowns, announcing everything.
[00:02:52.762 --> 00:02:59.647]   So folks who really love the book, and it's been an off-and-on number one bestseller for the last two weeks, And people ask, how did you write this book?
[00:02:59.707 --> 00:03:00.508]  It's so powerful.
[00:03:01.028 --> 00:03:06.853]  This thing was about 800 pages long, and then Tony Lyons at Skyhorse's crew did a great job cutting it down to 300 pages.
[00:03:07.333 --> 00:03:09.035]  This thing could have been, again, 1,000 pages long.
[00:03:09.395 --> 00:03:12.798]  It's mainly their quotes, bibliography, showing where they said it.
[00:03:12.818 --> 00:03:15.960]  People read this, and they say, is this believable?
[00:03:16.240 --> 00:03:21.645]  Then you go to the back, it shows the YouTube links or the World Economic Forum links where they are admitting it.
[00:03:21.685 --> 00:03:30.470]   So Hitler, in the late 1920s, Wrote Mein Kampf, or My Struggle, which if people would listen to him, we could have stopped him early.
[00:03:31.051 --> 00:03:33.171]  Well, Klaus Schwab has written a bunch of books.
[00:03:33.192 --> 00:03:34.332]  They're basically his Mein Kampf.
[00:03:35.092 --> 00:03:46.578]  And this is a condensed breakdown of their own words and the blueprint of their global takeover plan and how they plan to turn the world energy off, implode the third world, flood the first world, replace it with migration.
[00:03:46.918 --> 00:03:48.679]  This is the Death Star plans.
[00:03:49.259 --> 00:04:06.049]   And so what's great is, I was talking about the Great Reset many, many years ago and how they were going to trigger this big event to force us into a worldwide economic collapse and a social credit score and a universal basic income that controls every facet of our lives, which is now being rolled out.
[00:04:06.409 --> 00:04:07.730]  And people really didn't listen back then.
[00:04:08.230 --> 00:04:11.812]  But now they're listening because we're living in this operation.
[00:04:12.152 --> 00:04:15.074]  And so that's why the Great Reset and the War for the World is so important.
[00:04:15.434 --> 00:04:16.395]  We will beat them.
[00:04:16.835 --> 00:04:23.940]  If mainline populist politics, which is the Republican Party now, we're taking over thanks to you, Charlie, and that great crowd and so many others.
[00:04:24.240 --> 00:04:28.262]  Thanks to loyal Americans, we are winning this fight right now for the hearts and minds of the world.
[00:04:28.342 --> 00:04:33.186]  That's why the deep state, not just here but around the world, is trying to silence people, trying to surveil people.
[00:04:33.246 --> 00:05:02.094]   It just came out, as you know, yesterday in federally released documents that not only is Facebook and other big tech companies taking direct orders from previously Obama, And then now under the third administration of Obama, Biden, but they are specifically spying on prominent conservatives' private text and delivering, without warrants, files on a minute-to-minute basis of everything we're saying and doing.
[00:05:02.894 --> 00:05:04.295]  And so it's far beyond censorship.
[00:05:04.355 --> 00:05:06.936]  It is total illegal criminal surveillance.
[00:05:07.036 --> 00:05:08.657]  They're going for broke.
[00:05:08.697 --> 00:05:16.900]  And just last Thursday in Senate hearings, the spokesperson, the corporate rep of Facebook admitted to all of this and just threw down the gauntlet.
[00:05:16.940 --> 00:05:20.562]  So the battle's joined, but I am extremely honored to literally be here.
[00:05:21.102 --> 00:05:24.685]  With the leader of the pack, Charlie Kirk, and the great Turning Point USA.
[00:05:24.705 --> 00:05:27.606]  I mean, your buzz has been giant for six years.
[00:05:27.927 --> 00:05:35.852]  And I'm telling you, everywhere there's victory, everywhere people are awakening, everywhere young people are being energized and others, it's Charlie Kirk and Turning Point USA and what you're doing.
[00:05:35.912 --> 00:05:40.232]   So I am very honored to be here and I salute you in the fight for Western civilization
[00:05:40.232 --> 00:05:52.672]   and the future of our world and in the battle to defeat the Great Reset.
[00:05:52.679 --> 00:05:54.761]  We see rolling blackouts across Europe.
[00:05:55.001 --> 00:05:58.523]  Can you talk about the role that energy plays in the Great Reset?
[00:05:58.543 --> 00:06:01.885]  This is a topic we haven't touched on very much in our conference here.
[00:06:02.226 --> 00:06:08.230]  What does the Green New Deal, all this environmentalism, environmental fascism, have to do with the Great Reset?
[00:06:08.250 --> 00:06:10.331]  Can you help connect the dots for our audience here?
[00:06:12.012 --> 00:06:22.708]   If energy was a chess piece, In the globalist game plan on the board, it's the Queen.
[00:06:23.524 --> 00:06:27.186]  And for those who don't know about chess, the queen is the most powerful, powerful piece.
[00:06:27.426 --> 00:06:29.587]  She can go any direction she wants, do whatever she wants.
[00:06:29.647 --> 00:06:38.850]  So, control of energy in their takeover plan isn't a pawn, it's not a rook, it's not a bishop, it's not a knight, it's not a king, it is the queen.
[00:06:39.491 --> 00:06:42.412]  And it is absolutely the most powerful piece and they admit that.
[00:06:42.812 --> 00:06:51.536]  If you control energy, you control populations, you can bring them to their knees and make them capitulate with a social credit score, universal basic income, everything they're doing.
[00:06:52.395 --> 00:06:56.957]  And so, yes, they're dissolving the borders and bringing in third-world populations as permanent underclass.
[00:06:57.478 --> 00:06:59.019]  Yes, they're attacking family values.
[00:06:59.339 --> 00:07:00.439]  Yes, they're funding our enemies.
[00:07:00.759 --> 00:07:02.060]  Yes, they're devaluing our currency.
[00:07:02.500 --> 00:07:04.201]  Yes, they are undermining our culture.
[00:07:04.601 --> 00:07:10.745]  And all those things are important, but the central piece is energy, and energy has two heads.
[00:07:11.846 --> 00:07:16.789]  Energy for electricity and cars and in factories and society.
[00:07:17.669 --> 00:07:22.172]  So energy for machines and then energy for humans.
[00:07:22.952 --> 00:07:29.716]  So we think as they cut off the pipelines and the Keystone and won't let us have new drilling permits in the U.S.
[00:07:29.756 --> 00:07:31.417]  or Gulf of Mexico or Alaska.
[00:07:32.423 --> 00:07:38.625]  All the great things Trump did within just four short years took us from the number three energy producer to the number one energy producer and a boom economy.
[00:07:39.385 --> 00:07:52.608]  By simple executive orders that Biden signed his second day in office, he turned off thousands of sub-pipelines, tens of thousands of pipeline spurs, killed more than 20,000 new pipeline spur permits.
[00:07:53.029 --> 00:07:57.790]  Even when they get the natural gas or oil, they can't get it to the central refining areas or to the trucks.
[00:07:58.470 --> 00:08:06.893]  Now, that sounds important, and we'll go more into actual energy for the internal combustion engine, for power plants, and things like that, but it's still not the most important head.
[00:08:06.953 --> 00:08:07.633]  It's the little head.
[00:08:08.354 --> 00:08:13.096]  The most important energy is for us, seven and a half billion of us, and it's called food.
[00:08:13.636 --> 00:08:16.177]  And their war on food is specific and direct.
[00:08:16.697 --> 00:08:27.109]   In more than a hundred countries, like Sri Lanka and the Netherlands, They're announcing the shutdown, Schrenk was started three years ago, of almost all farming, any nitrogen-based fertilizer that's totally healthy and good.
[00:08:27.750 --> 00:08:32.297]  They've already announced within six years they're going to ban 80% of cows, this year 30% in the Netherlands.
[00:08:34.025 --> 00:08:51.103]  That's why Klaus Schwab says you will have no beef, you'll own nothing, you'll like it, you're going to eat the bugs, is because they are literally listing not just carbon dioxide, a life-giving gas, the key fourth part of the carbon cycle, sunlight, water, oxygen, carbon dioxide, you have to have it for life.
[00:08:51.724 --> 00:08:56.605]  But they're now targeting methane that bovine burp and also pass through the rear end.
[00:08:57.125 --> 00:08:58.625]  And so this is happening.
[00:08:58.945 --> 00:08:59.886]  This isn't coming.
[00:09:00.306 --> 00:09:05.927]  Their revolution is now a revolution against prosperity, a revolution against humans, a transhumanist agenda.
[00:09:06.387 --> 00:09:14.148]  And so we've got to point out that the mass starvation of the third world, not from COVID-19, but from two plus years of IMF, World Bank imposed lockdowns.
[00:09:14.388 --> 00:09:17.549]  Whereas we had six months of lockdowns and whereas Australia had a year and a half.
[00:09:18.189 --> 00:09:22.354]  Some parts of Africa and Latin America just went out of lockdown the last six months.
[00:09:22.734 --> 00:09:23.816]  So they're collapsing.
[00:09:23.836 --> 00:09:25.798]  I've had national surveys, international surveys.
[00:09:27.600 --> 00:09:37.995]   90% of the illegal alien migrants coming here, who I don't blame, Some of them are criminals and we need to stop them, but 90% say, or 93%, depending on the poll, I'm starving.
[00:09:38.515 --> 00:09:41.318]  The farm I worked on is closed, or the factory I work at is closed.
[00:09:41.398 --> 00:09:42.259]  I have no food.
[00:09:42.739 --> 00:10:07.465]   And so they deliberately turn off the food, turn off the energy, the third world collapses, then it floods us, the Western lifeboats, the first world nations, we then sink, and the globalists organize after the Great Reset With their Build Back Better, which is the authoritarian technocracy transhumanist system, they want to build on the rubble of our great Renaissance, truly classical liberal civilization.
[00:10:07.765 --> 00:10:09.486]  And so, everything is energy.
[00:10:10.166 --> 00:10:14.649]  Energy for the combustion engine, energy for machines, and energy for humans.
[00:10:14.809 --> 00:10:17.791]  And they're coming directly at those two key sectors.
[00:10:18.686 --> 00:10:20.947]  So let's zero in on the food thing, Alex.
[00:10:21.027 --> 00:10:24.047]  In particular, they are fascinated with getting rid of meat.
[00:10:24.788 --> 00:10:28.649]  Talk more about that, but also talk about the other implications of getting rid of meat.
[00:10:28.709 --> 00:10:35.811]  Testosterone levels, maybe replacing it with this synthetic nonsense that Bill Gates just happens to also be an investor in, by the way.
[00:10:36.211 --> 00:10:37.531]  Super crony capitalist.
[00:10:37.851 --> 00:10:44.013]  Talk about why they're so incredibly focused on eradicating meat from our planet.
[00:10:44.033 --> 00:10:44.653]  What's going on with this?
[00:10:46.271 --> 00:10:53.825]  Well, if you go back to Genesis, anybody should go read it, written 3,000 plus years ago by amazing Jewish scribes, inspired by God.
[00:10:54.868 --> 00:11:00.032]  I mean, in the first chapter, they just keep talking about cows and meat all day long and saying that's the real symbol of freedom.
[00:11:00.332 --> 00:11:03.495]  Now, Moses said later, we're not going to worship the golden calf.
[00:11:03.515 --> 00:11:05.576]  That's idolatry, but they were worshipping a golden calf.
[00:11:05.596 --> 00:11:06.477]  They were worshipping a cow.
[00:11:08.018 --> 00:11:09.899]  And the cow is the perfect meat.
[00:11:09.960 --> 00:11:10.920]  The Native Americans knew it.
[00:11:11.281 --> 00:11:11.821]  Everybody knew it.
[00:11:12.041 --> 00:11:18.166]  You can mate a bison with a water buffalo from Africa or India or with a Holstein cow in France.
[00:11:19.170 --> 00:11:24.112]  So, meat, red meat they put out for 50 years is deadly and poisonous and horrible.
[00:11:24.332 --> 00:11:27.893]  There are now thousands of studies that it annihilates heart disease.
[00:11:28.113 --> 00:11:29.474]  It annihilates strokes.
[00:11:29.914 --> 00:11:31.154]  It's what our bodies are made of.
[00:11:31.234 --> 00:11:33.915]  We love red meat more than anything.
[00:11:33.955 --> 00:11:38.834]   What we don't need is highly cooked, burned meat like bacon and things,
[00:11:38.834 --> 00:11:43.195]   and things that turn into trans fats and artificial fats gum up our arteries and our veins.
[00:11:43.195 --> 00:11:47.195]   When people just eat a plant diet, they have lower IQs, they're not as healthy.
[00:11:47.195 --> 00:11:52.195]   When they don't eat meat as children, brain sizes and growth are up to a third smaller.
[00:11:52.195 --> 00:11:58.275]   So I don't really buy their official evolution line, but even the evolutionary scientists will tell you,
[00:11:58.275 --> 00:12:04.115]   humans, they believe, evolved and became powerful and smart and got big heads from eating lots of meat.
[00:12:04.115 --> 00:12:06.994]   It's as soon as humans started eating meat, even according to their theories,
[00:12:06.994 --> 00:12:08.835]  that we got advanced intelligences.
[00:12:08.835 --> 00:12:10.835]  So, I mean, it's simple.
[00:12:10.835 --> 00:12:16.955]   You didn't have the ancient Vikings taking over the world, sitting there, just eating their Wheaties.
[00:12:00.129 --> 00:12:04.110]   and became powerful and smart and got big heads from eating lots of meat.
[00:12:04.110 --> 00:12:07.009]   It's as soon as humans started eating meat, even according to their theories,
[00:12:07.009 --> 00:12:08.850]  that we got advanced intelligences.
[00:12:08.850 --> 00:12:10.830]  So, I mean, it's simple.
[00:12:10.830 --> 00:12:16.969]   You didn't have the ancient Vikings taking over the world, sitting there, you know, just eating their Wheaties.
[00:12:16.969 --> 00:12:19.450]  Red meat is key.
[00:12:19.450 --> 00:12:22.168]  Fish is incredible, shrimp are incredible.
[00:12:22.168 --> 00:12:26.168]   Grilled is probably the best superfood on earth, but not everybody lives by the ocean.
[00:12:26.168 --> 00:12:30.009]   But there's a reason the longest lived cultures, like the Japanese, mainly eat seafood.
[00:12:30.009 --> 00:12:33.970]   So in lieu of seafood, and most people can't afford it or get it,
[00:12:33.970 --> 00:12:36.168]  now I probably can't afford high quality seafood every day.
[00:12:36.168 --> 00:12:37.970]  My God, the bills are incredible.
[00:12:37.970 --> 00:12:40.489]   But my wife thought to eat seafood last week, it was like 150 bucks.
[00:12:40.489 --> 00:12:42.330]  The point is, but beef is still cheap.
[00:12:42.330 --> 00:12:46.090]   And whether you're in India or whether you're in the Netherlands,
[00:12:46.090 --> 00:12:49.208]   where they worship cows again in India, sacred cow, because the milk and the cheese,
[00:12:49.208 --> 00:12:50.450]  everything it gives them.
[00:12:51.321 --> 00:12:53.322]  Everywhere they have the cow, we have a ranch.
[00:12:53.362 --> 00:12:56.264]  We've had those Mexican land grants in 1826.
[00:12:56.464 --> 00:12:59.406]  And we still have the land, we still have cows on it.
[00:13:00.066 --> 00:13:06.710]  Well, without the property tax exemption or ag exemption, we couldn't pay for the couple thousand acres we still have left.
[00:13:07.310 --> 00:13:10.731]  And so most of these family farms also have cows.
[00:13:11.232 --> 00:13:18.494]  And so if you're not running a dairy or you're not running beef cattle, you have no money to even pay the limited reduced taxes you've got to pay.
[00:13:18.794 --> 00:13:27.378]  So if you undermine beef, anybody that's been in an airplane or flown cross-country in a helicopter, I don't care if you're in New Mexico or New York or Texas, cows are everywhere.
[00:13:27.798 --> 00:13:33.440]  And it's cows that are sustainable, renewable, delicious, and nutritious.
[00:13:33.780 --> 00:13:41.685]   And so it's basically, if you want to starve people, The first thing you do is target beef, and then you undermine all the rest of the agricultural system.
[00:13:42.846 --> 00:13:51.252]  So Alex, that segues to a question that some people have, which is, I want to just be as precise and factual with this as possible.
[00:13:52.513 --> 00:13:58.918]  Is there an agenda by the World Economic Forum, Klaus Schwab or Bill Gates, to depopulate the earth?
[00:13:59.639 --> 00:14:03.762]  What evidence do you have to show that and talk about the research you've done on that?
[00:14:05.040 --> 00:14:06.821]  I have so much evidence it gives me a headache.
[00:14:08.761 --> 00:14:14.603]  Anybody can see my seminal film that before Google took it off had over 80 million views.
[00:14:15.163 --> 00:14:22.585]  I put it out in 2017 and it's called Endgame Blueprint for Global Enslavement.
[00:14:23.436 --> 00:14:24.796]  And people are always re-uploading it.
[00:14:24.876 --> 00:14:25.677]  It's free to air.
[00:14:25.737 --> 00:14:27.197]  There's no trademark, copyright on it.
[00:14:27.497 --> 00:14:28.578]  It belongs to you folks.
[00:14:28.598 --> 00:14:29.278]  That means use it.
[00:14:29.918 --> 00:14:31.218]  And it's a two and a half hour movie.
[00:14:32.139 --> 00:14:41.361]  And probably 30 minutes of it is just global leaders saying, we're going to take over the world, cut off the energy, shut down the family farms, and starve people down to 500 million.
[00:14:41.922 --> 00:14:43.342]  The same thing was on the Georgia Guidestones.
[00:14:43.382 --> 00:14:45.643]  Incredibly ambitious, genocidal goal.
[00:14:46.611 --> 00:14:49.452]  And it is just replete, and so is this book.
[00:14:49.972 --> 00:15:00.936]  Anybody can pull up Yuval Harari, who is the high priest of this globalist group, the WEF, that is just the mouthpiece of the globalists.
[00:15:01.516 --> 00:15:06.678]  Anybody can pull up Klaus Schwab, or anybody can type in, World Economic Forum calls for depopulation.
[00:15:07.378 --> 00:15:08.299]  They are specific.
[00:15:08.459 --> 00:15:13.084]  King Charles III, he was Prince Charles, you know, said he wants to depopulate the earth.
[00:15:13.664 --> 00:15:15.366]  His father said he wants to come back.
[00:15:15.426 --> 00:15:29.660]  Prince Philip, in Reuters and in AFP, or the French News, and also in the Audubon Society, said, I want to come back as a virus to kill 80% of the world population.
[00:15:30.420 --> 00:15:33.111]   So, Bill Gates' foundation.
[00:15:33.532 --> 00:15:34.734]  You can find these clips online.
[00:15:35.356 --> 00:15:37.760]  Until the late 90s, it wasn't called Bill and Melinda Gates Foundation.
[00:15:37.780 --> 00:15:40.185]  It was called the Depopulation Foundation.
[00:15:41.089 --> 00:15:41.609]  Foundation.
[00:15:42.249 --> 00:15:43.990]  And so his father was the head of Planned Parenthood.
[00:15:44.050 --> 00:15:46.210]  So this has always been their agenda.
[00:15:46.690 --> 00:15:48.110]  This has always been their goal.
[00:15:48.610 --> 00:15:50.771]  They're not really bringing sustainable things to communities.
[00:15:50.871 --> 00:15:52.431]  I think we should industrialize the third world.
[00:15:52.731 --> 00:15:53.931]  I think we should have clean technologies.
[00:15:54.231 --> 00:15:56.732]  I think people should try to shoot for no more than three children.
[00:15:56.972 --> 00:15:57.472]  You want to have more?
[00:15:57.492 --> 00:15:57.932]  That's great.
[00:15:58.352 --> 00:16:11.163]   But we need, as all the scientists and demographers and historians and mathematicians and statisticians and Elon Musk have said, if you don't have 2.2 children on average,
[00:16:11.163 --> 00:16:17.083]   every two adults don't have 2.2 children in the aggregate, you will have societal collapse.
[00:16:17.083 --> 00:16:26.764]   And so England has a 1.4, the US 1.7, Italy a 1.2, Japan a 1.2, that is total collapse level.
[00:16:26.764 --> 00:16:30.283]   And then I'm sorry, nothing against third world populations, it doesn't work.
[00:16:30.283 --> 00:16:33.764]   You bring them in as the quote replacement group, all you've done is created
[00:16:33.764 --> 00:16:35.403]  a permanent third world population.
[00:16:35.403 --> 00:16:38.564]   You don't collapse the first world to save the first world.
[00:16:38.564 --> 00:16:43.523]   So the centerpiece of the globalist agenda, cutting off energy to machines
[00:16:43.523 --> 00:16:46.843]  and energy to homo sapiens is societal collapse.
[00:16:46.843 --> 00:16:50.484]  And then Klaus Schwab talks about the angrier world.
[00:16:50.484 --> 00:16:54.084]   And as things fall apart, as things disintegrate, and as crime explodes,
[00:16:54.084 --> 00:16:58.764]   they will then pose as the saviors with a global socialist communist government
[00:16:58.764 --> 00:17:04.044]   directed by crony capitalist fascists who are exempt from their own rules,
[00:17:04.044 --> 00:17:08.084]   just like Martha's Vineyard, threw out the illegal aliens in 24 hours,
[00:17:08.084 --> 00:17:13.124]   but tells Texas towns that have millions coming in, you just need to pay for them, poor Texas towns.
[00:17:13.124 --> 00:17:17.044]   And so everything they say for us, it's different from them.
[00:17:17.044 --> 00:17:22.524]   And it really is just a very evil, corrupt, selfish worldview.
[00:17:23.197 --> 00:18:06.770]   Folks don't have to be rocket scientists to understand, if somebody's trying to cut off all the major farms in the world that aren't corporate owned, if somebody's trying to make you eat synthetic gruel, if somebody's trying to make you drink sewage water and saying you'll own nothing, you'll have nothing, you'll be happy, if somebody's saying the age of humans being here is over, the post-human age is here, that's in the Wall Street Journal, that's in the New York Times, this is a sick Disconnected elite that disdain us and project their own hatred of themselves onto us, who have appointed themselves as God and they literally would make Hitler blush in how widespread and how wide-reaching their actual battle plan is.
[00:18:07.051 --> 00:18:10.492]  And what's insane, Charlie, is they're actually implementing it right now.
[00:18:10.552 --> 00:18:11.293]  We've left beta?
[00:18:12.037 --> 00:18:19.238]  In the New World Order, Agenda 21, George Herbert Walker Bush, 1992, Rio de Janeiro, everything they called for, by the year 2020, they did.
[00:18:20.680 --> 00:18:22.262]  They were a little bit behind, but almost got there.
[00:18:22.842 --> 00:18:24.544]  Now they're accelerating Agenda 2030.
[00:18:24.864 --> 00:18:31.751]  So don't believe me, they get up and say, great reset, build back better, Agenda 2030, and go read the Agenda 2030 plan.
[00:18:32.172 --> 00:18:43.263]  It is biomedical tyranny, forced inoculations, carbon rations, food rations, carbon lockdowns, and they said last year, we don't care if you don't like carbon lockdowns.
[00:18:43.683 --> 00:18:47.704]  We're not going to have to actually tell you you can't drive your car or you can't go to the store.
[00:18:47.944 --> 00:18:50.305]  You won't have the money for the energy.
[00:18:50.545 --> 00:19:02.469]  But who does have the energy is the third world and authoritarian countries, the globalists, these big corporations control, these crony capitalists, these middlemen that Trump talked about that are destroying the middle class worldwide to consolidate power.
[00:19:03.069 --> 00:19:04.950]  China builds new coal power plants every week.
[00:19:05.330 --> 00:19:06.550]  India builds them every few weeks.
[00:19:06.890 --> 00:19:08.291]  Mexico builds them every few weeks.
[00:19:08.591 --> 00:19:10.531]  But we've had over a thousand shut down here.
[00:19:11.052 --> 00:19:19.813]   They could build Again, hundreds and hundreds of new coal power plants, and it wouldn't pay for 30% of the electric cars they claim they're going to put on the road.
[00:19:20.193 --> 00:19:21.213]  Scientists have broke it down.
[00:19:21.554 --> 00:19:37.218]  There's not enough rare earth minerals in the world to actually make half the cars in the world by 2030 go to battery-driven, even though they're toxic and don't work, and most of the energy that gets delivered to the batteries comes from a type of carbon.
[00:19:37.618 --> 00:19:38.518]  It's all a lie.
[00:19:38.558 --> 00:19:44.806]   They're telling us they're replacing The old, quote, dirty system with something new, but they are not replacing it.
[00:19:45.106 --> 00:19:45.888]  It isn't going to work.
[00:19:46.128 --> 00:19:47.010]  It's not designed to work.
[00:19:47.110 --> 00:19:51.537]  Spain, a decade ago, was the first country to implement the windmills and all this crap.
[00:19:51.978 --> 00:19:54.663]  And they are in a sustained depression now.
[00:19:56.983 --> 00:19:58.424]  So I want to plug Alex's book here.
[00:19:58.464 --> 00:19:59.664]  We have it, The Great Reset.
[00:19:59.684 --> 00:20:01.766]  If you guys don't have a copy yet, you guys can get it.
[00:20:02.246 --> 00:20:07.689]  So Alex, I want you to dive a little bit deeper into part of what you mentioned, which is immigration.
[00:20:08.169 --> 00:20:11.291]  So what role does foreign policy also play in this?
[00:20:12.211 --> 00:20:20.113]  For example, it seems as if the Davos crowd was very much behind intervening in the Ukraine war, getting behind Zelensky.
[00:20:20.413 --> 00:20:22.193]  This can be confusing for some people.
[00:20:22.233 --> 00:20:39.638]  Can you talk about how, you know, what happened in Ukraine was almost a proxy conflict in some sense, and not saying that in any way, shape, or form we're not denouncing what Vladimir Putin did when he invaded Ukraine, but why is it that all of a sudden there was tens of billions of dollars being spent from the West, nearly 70 or 80 billion dollars to Ukraine?
[00:20:39.898 --> 00:20:41.458]  How does that fit in the Great Reset?
[00:20:43.029 --> 00:20:44.029]  Well absolutely, Charlie.
[00:20:44.130 --> 00:20:45.050]  I've never been to Russia.
[00:20:45.070 --> 00:20:46.070]  I'm not a Russophile.
[00:20:46.991 --> 00:20:50.873]  I know that Vladimir Putin is not a sweetie pie.
[00:20:51.533 --> 00:20:52.574]  Neither is Xi Jinping.
[00:20:52.734 --> 00:21:02.639]  That said, China has announced control of the whole South China Sea and is actually spying on us and infiltrating us and shipping fentanyl in.
[00:21:03.624 --> 00:21:07.607]  If Russia was doing any of that, I would be absolutely in Russia's face.
[00:21:07.667 --> 00:21:11.130]  The truth is, Russia is surrounded by the globalists in NATO.
[00:21:11.771 --> 00:21:13.752]  They overthrew the elected government eight years ago.
[00:21:13.772 --> 00:21:21.078]  I know guys that are my friends that have been over there the last eight years fighting and killing Russians in a proxy war with the U.S.
[00:21:21.178 --> 00:21:23.180]  and NATO, and now that's official.
[00:21:23.900 --> 00:21:31.023]  And so, they kept pushing the Russian border, they kept killing Russians in Russian areas that have been Russian since Russia was founded.
[00:21:31.383 --> 00:21:33.724]  Russia was founded in Ukraine a thousand years ago.
[00:21:34.165 --> 00:21:36.105]  The name basically translates to Slav the Great.
[00:21:36.366 --> 00:21:38.807]  He was named Slav, so they called themselves Slavs.
[00:21:39.167 --> 00:21:42.128]  He was like an Orthodox Christian bishop.
[00:21:43.028 --> 00:21:45.029]  And so, that's their birthplace.
