[00:00:00.709 --> 00:00:01.810]  Government cover-ups.
[00:00:02.470 --> 00:00:03.271]  You want answers?
[00:00:04.051 --> 00:00:04.932]  Well, so does he.
[00:00:05.612 --> 00:00:09.234]  He's Alex Jones on the GCN Radio Network.
[00:00:09.794 --> 00:00:13.897]  And now, live from Austin, Texas, Alex Jones.
[00:00:16.358 --> 00:00:17.759]  Welcome, ladies and gentlemen.
[00:00:17.839 --> 00:00:18.359]  Welcome.
[00:00:18.599 --> 00:00:21.041]  I am not Alex Jones, but I'm sitting in for him.
[00:00:21.121 --> 00:00:23.262]  I am Jason Burmess of Loose Change.
[00:00:23.362 --> 00:00:24.623]  I'll be here probably for the next...
[00:00:25.493 --> 00:00:28.395]  Three days, and we've got jam-packed shows for you.
[00:00:28.415 --> 00:00:29.536]  We're going to be taking your calls.
[00:00:29.716 --> 00:00:35.039]  Today alone, we have Bob Chapman, Peter Dale Scott, William Lewis, and Irene Spencer.
[00:00:35.059 --> 00:00:41.923]  If you're not familiar with Irene Spencer, she's one of the people that is involved in that whole siege in Texas, in that polygamous camp.
[00:00:42.303 --> 00:00:45.806]  I'm pretty sure she's one of the women who actually got out of there.
[00:00:46.206 --> 00:00:47.086]  So that should be interesting.
[00:00:47.106 --> 00:00:49.808]  That's coming up at 2 o'clock, Chapman, at 1130.
[00:00:50.188 --> 00:00:52.730]  So we've got a half an hour before we go to any guests.
[00:00:53.706 --> 00:01:04.032]  I just want to point out really quickly in the beginning that Alex Jones is going to be premiering the 9-11 Chronicles Part 1 Truth Rising over at the Alamo Draft House.
[00:01:05.053 --> 00:01:11.757]  Now, I just went to the Alamo Draft House for the first time, I believe it was last week, and it was really just a great time.
[00:01:11.797 --> 00:01:16.379]  If you've never been there, which I doubt if you're listening to this and you're in Austin, Texas, it's amazing.
[00:01:16.519 --> 00:01:22.343]  I mean, you sit down, you have a meal, it's a very theater-like atmosphere, huge screen, and I don't even think I was in one of the bigger theaters.
[00:01:23.723 --> 00:01:25.763]  And on Saturday, May 17th at 4 p.m.
[00:01:25.823 --> 00:01:27.764]  or Sunday, May 18th at 7 p.m.
[00:01:28.564 --> 00:01:32.085]  you can check out this new amazing film, The 9-11 Chronicles Part 1.
[00:01:33.065 --> 00:01:35.005]  And Alex really hasn't plugged it, so I'm going to.
[00:01:35.585 --> 00:01:42.207]  Because I sit in an office all day while I'm editing my movie and Rob Jacobson, the editor for the other film, is behind me most of the time.
[00:01:42.447 --> 00:01:43.687]  And I'm always checking out that film.
[00:01:44.207 --> 00:01:44.767]  And it's awesome.
[00:01:45.268 --> 00:01:48.888]  It is truly a different type of movie than Alex Jones has ever done.
[00:01:49.308 --> 00:01:50.329]  It is cinema verite.
[00:01:50.349 --> 00:01:52.329]  I know he's saying that over and over again, but
[00:01:53.243 --> 00:01:55.165]  I really want you to take that as a perspective.
[00:01:55.425 --> 00:01:58.507]  This is not an Alex Jones voiced over picture.
[00:01:58.527 --> 00:02:21.185]  This is a totally different style of movie and it really shows you that 9-11 Truth is not about just InfoWars.com or PrisonPlanet.com or WeAreChange.org, but about people around the world creating their own change by confronting the likes of Rudy Giuliani, Hillary Clinton, Barack Obama,
[00:02:21.946 --> 00:02:22.667]  We're good to go.
[00:02:41.437 --> 00:02:42.237]  Danny Bonaduce.
[00:02:43.438 --> 00:02:45.239]  I'm just really excited to see this movie come out.
[00:02:45.279 --> 00:02:47.460]  I've seen Rob put a lot of hard work into it.
[00:02:47.580 --> 00:02:49.041]  Alex put a lot of hard work into it, too.
[00:02:49.061 --> 00:02:55.444]  He was here late at night going over the movie, making sure it's perfect for you folks over at these screenings at the Alamo Draft House.
[00:02:55.724 --> 00:02:57.625]  Like I said, I'm just totally impressed with it.
[00:02:58.545 --> 00:03:01.407]  Again, so much different from anything else.
[00:03:02.918 --> 00:03:06.921]  You know, other 9-11 films really try to focus in on the evidence.
[00:03:06.961 --> 00:03:12.805]  This is focused in on the movement and how we can all create change in our lives, in our communities, and in the world.
[00:03:13.825 --> 00:03:24.612]  Because, in case you didn't know, folks, our entire foreign and domestic policy is still, and I repeat this, still based on what the government media has told us about 9-11.
[00:03:24.933 --> 00:03:28.495]  For example, the other night when Alex was on Geraldo,
[00:03:29.173 --> 00:03:34.155]  I was in the back office with Aaron Dykes, and we were setting up the recorder so we could get that and throw it up on YouTube.
[00:03:34.575 --> 00:03:36.436]  And prior to that was Sean Hannity's show.
[00:03:37.496 --> 00:03:39.377]  And this is how relevant 9-11 still is.
[00:03:40.037 --> 00:03:50.020]  They actually had on, I guess it was somebody who, Reverend Wright, who's big in the news right now, had quoted about 9-11, about chickens coming home to roost, and this and that.
[00:03:50.880 --> 00:03:56.402]  Well, Hannity had this guy on on the 15th, and they literally ran a 10-minute segment from 9-15 all based on 9-11.
[00:03:59.258 --> 00:04:00.079]  So why is this important?
[00:04:00.099 --> 00:04:02.521]  Well, it's still on the front page constantly.
[00:04:03.402 --> 00:04:15.171]  A couple weeks ago when I did this show and I was talking about how they were admitting to paying off top military personnel to be pundits on all the major networks such as CNN, Fox News, MSNBC, yadda yadda yadda.
[00:04:17.093 --> 00:04:19.935]  Right on the cover in this post 9-11 world.
[00:04:20.035 --> 00:04:23.138]  It's a post 9-11 world.
[00:04:23.178 --> 00:04:25.400]  Well, in a second I'm gonna
[00:04:26.198 --> 00:04:31.499]  I'm gonna bash that paradigm because if you found out yet, the USS Cole bombing suspects all got let go!
[00:04:31.959 --> 00:04:32.579]  Or they escaped.
[00:04:32.779 --> 00:04:34.379]  Terrorism is real, that wouldn't happen folks.
[00:04:34.839 --> 00:04:35.860]  We'll be back after this.
[00:04:36.620 --> 00:04:37.560]  PrisonPlanet.com.
[00:04:53.663 --> 00:04:54.983]  It is a big idea.
[00:04:56.129 --> 00:04:57.190]  A New World Order.
[00:04:57.890 --> 00:05:02.434]  In the near future, Earth is dominated by a powerful new world government.
[00:05:02.794 --> 00:05:05.596]  It's known as the Builderberg Group.
[00:05:05.636 --> 00:05:07.878]  Don't their objective be world domination?
[00:05:08.418 --> 00:05:10.840]  For thousands of years, their dark order grew.
[00:05:11.600 --> 00:05:18.926]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:21.957 --> 00:05:26.920]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:27.401 --> 00:05:30.823]  You will learn the secret that drives the entire New World Order agenda.
[00:05:31.243 --> 00:05:33.785]  Bill Burgess is making great progress toward a world government.
[00:05:33.825 --> 00:05:34.986]  Most people have no idea.
[00:05:35.006 --> 00:05:35.746]  They're not after money.
[00:05:35.766 --> 00:05:36.847]  They have all the money they need.
[00:05:37.067 --> 00:05:37.647]  They're after power.
[00:05:37.667 --> 00:05:38.868]  That's what they're after these years.
[00:05:39.189 --> 00:05:47.214]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:05:52.517 --> 00:05:57.659]  The Federal Trade Commission estimates that 9 million Americans are victims of identity theft each year.
[00:05:57.859 --> 00:06:02.621]  The crime of identity theft occurs every 3.5 seconds, costing the victims an average of $8,000.
[00:06:02.741 --> 00:06:10.724]  If you own a PC, passwords are a common form of authentication, and often the only protection between a hacker and your personal information.
