[00:00:11.548 --> 00:00:12.889]  He stands for truth.
[00:00:14.311 --> 00:00:16.172]  He stands for justice.
[00:00:17.513 --> 00:00:19.135]  He stands for what's right.
[00:00:19.935 --> 00:00:22.297]  This is the Alex Jones Show.
[00:00:23.258 --> 00:00:26.080]  Call Alex now, toll free at 877-590-5525.
[00:00:26.100 --> 00:00:28.763]  Now live from Austin, Texas.
[00:00:34.833 --> 00:00:35.893]  Here's Alex Jones.
[00:00:39.615 --> 00:00:41.496]  Yes, my friends, we are live.
[00:00:41.596 --> 00:00:43.957]  It is Sunday, the 20th day of January 2008.
[00:00:44.037 --> 00:00:48.018]  We'll be here live for the next two hours.
[00:00:48.058 --> 00:00:49.739]  We're going to have wide open phones.
[00:00:49.779 --> 00:00:50.419]  No guests today.
[00:00:50.459 --> 00:00:52.080]  A lot of your calls at 877-590-5525.
[00:00:52.100 --> 00:00:52.280]  877-590-5525.
[00:00:52.300 --> 00:00:54.121]  On stations from San Diego to Northern
[00:01:02.074 --> 00:01:12.940]  New York, down to Florida, to right here in Austin, Texas on NewsRadio 590K LBJ, the studios we come to you from locally in Texas, in the area, it's 836-0590.
[00:01:13.560 --> 00:01:15.441]  Here is the news I have in front of me.
[00:01:15.561 --> 00:01:29.268]  Seeking tools to calm the market, the New York Times, the establishment media is finally getting around to admitting that we're in a deep, deep recession that could gyrate into a massive currency collapse and total depression.
[00:01:29.932 --> 00:01:31.913]  And they're talking about the stock market going down to 6,000.
[00:01:32.414 --> 00:01:42.300]  Now, of course, those of you that understand inflation know that at 2,000 numbers, the stock market is below 6,000 in actual dollar value today.
[00:01:42.320 --> 00:01:46.143]  So they're talking about a stock market at 3,000 points the year 2000 level.
[00:01:49.824 --> 00:01:55.648]  Also, overseas investors are aggressively buying up the infrastructure and companies in the United States.
[00:01:55.728 --> 00:02:00.412]  The fire sale, we are now a third world nation, in case no one got around to telling you about it.
[00:02:01.761 --> 00:02:06.867]  Also, directly from the Council on Foreign Relations website, the organization sworn to destroy U.S.
[00:02:06.887 --> 00:02:15.938]  sovereignty, CFR, the historical anomaly of the dollar, they're going to talk about a world currency directly from them.
[00:02:16.418 --> 00:02:17.479]  So we'll be breaking that down.
[00:02:17.539 --> 00:02:21.384]  Also, Mexico is already interfering in the politics and internal workings.
[00:02:21.804 --> 00:02:22.264]  We're good to go.
[00:02:49.114 --> 00:02:51.257]  And it wasn't just somebody joking around on the radio.
[00:02:51.357 --> 00:02:52.758]  It was a staged event.
[00:02:53.619 --> 00:02:56.362]  And even mainstream media is now reporting that.
[00:02:56.382 --> 00:02:57.143]  See, that's the good news.
[00:02:57.163 --> 00:02:58.825]  They don't get away with this stuff most of the time.
[00:02:59.205 --> 00:03:05.312]  Now when they stage terror attacks or stage provocations, even the mainstream media has to report on it because it comes out.
[00:03:05.633 --> 00:03:07.715]  We know your tricks, but like an old dog,
[00:03:08.655 --> 00:03:10.836]  They just keep bringing out the same trick over and over again.
[00:03:11.217 --> 00:03:16.760]  Earlier in the week I talked about this on my weekday syndicated transmission, but I thought I'd talk about it again today.
[00:03:17.320 --> 00:03:25.546]  Fox News, foreign television, BBC, as well as British papers are reporting that there are secret armies of Al-Qaeda all over the West.
[00:03:27.053 --> 00:03:30.915]  1,400 strong, they're blonde-haired, blue-eyed, and it says, watch all white people.
