[00:00:00.229 --> 00:00:01.550]  ...storable food can be.
[00:00:01.550 --> 00:00:02.511]  Call 903-356-6443.
[00:00:02.511 --> 00:00:08.177]  That's 903-356-6443.
[00:00:08.177 --> 00:00:09.058]  Open from 9 a.m.
[00:00:09.058 --> 00:00:09.798]  to 6 p.m.
[00:00:09.798 --> 00:00:11.019]  Central Standard Time.
[00:00:11.019 --> 00:00:14.283]  Or shop online at internet-grocer.net.
[00:00:14.283 --> 00:00:21.549]  Again, that's internet-grocer.net.
[00:00:21.549 --> 00:00:22.911]  You're listening to GCN.
[00:00:30.675 --> 00:00:33.637]  IRN USA Radio News, I'm Jody Jordan.
[00:00:33.637 --> 00:00:36.399]  Israel has no plans to occupy Gaza.
[00:00:36.399 --> 00:00:39.481]  That word from the country's foreign minister, Tish B. Libby.
[00:00:39.481 --> 00:00:48.347]  She tells NBC's Meet the Press that the Israeli air assaults in Gaza came because the Hamas rulers there were smuggling weapons and building a small army.
[00:00:48.347 --> 00:00:52.430]  Hundreds of Palestinians have been killed and the Israeli action has brought protests.
[00:00:53.172 --> 00:00:57.795]  Secretary General of the Arab League, Hamer Moussa, says he condemns the attacks.
[00:00:57.795 --> 00:01:08.561]  The main message is to stop all the violent actions and to stop the aggression against the Palestinians in Gaza.
[00:01:08.561 --> 00:01:09.982]  And Mark Levy has more.
[00:01:09.982 --> 00:01:14.564]  The death toll in Gaza keeps rising and there's no sign this is anywhere near its conclusion.
[00:01:14.564 --> 00:01:16.845]  Israel's air force is still pounding targets.
[00:01:16.845 --> 00:01:19.387]  There are signs Israel is preparing a ground invasion as well.
[00:01:19.867 --> 00:01:23.808]  It's the bloodiest offensive in Gaza since the 1967 Mideast War.
[00:01:23.808 --> 00:01:27.410]  This is IRN USA Radio News.
[00:01:27.410 --> 00:01:31.231]  Americans paid over $65 billion in interest payments alone last year.
[00:01:31.231 --> 00:01:31.891]  Are you one of them?
[00:01:31.891 --> 00:01:32.892]  Don't be embarrassed.
[00:01:32.892 --> 00:01:36.113]  The average household owes over $25,000 in credit card debt.
[00:01:36.113 --> 00:01:40.174]  And 65% of those households can only afford to make the minimum monthly payment.
[00:01:40.174 --> 00:01:41.535]  90% of those payments are just interest.
[00:01:41.535 --> 00:01:43.595]  Are you running a hopeless financial marathon?
[00:01:43.595 --> 00:01:45.036]  I can't keep this up.
[00:01:45.036 --> 00:01:45.636]  I need relief.
[00:01:45.876 --> 00:01:47.517]  You can finally rest easy.
[00:01:47.517 --> 00:01:50.859]  Debt Relief USA has helped thousands of people just like you.
[00:01:50.859 --> 00:01:57.664]  If you owe more than $10,000 in credit card debt and are getting nowhere making minimum monthly payments, call the specialists at Debt Relief USA.
[00:01:57.664 --> 00:01:57.784]  800-515-3687.
[00:01:57.784 --> 00:02:05.509]  Debt Relief USA cleaned up my credit card problems and I saved almost 60% of what I owed.
[00:02:05.509 --> 00:02:07.790]  I'm saving tons of money just in interest payments.
[00:02:07.910 --> 00:02:11.191]  Debt Relief USA can typically save you about half of what you owe.
[00:02:11.191 --> 00:02:13.993]  You can truly be debt free in less than 36 months.
[00:02:13.993 --> 00:02:15.333]  For your free consultation, call 800-515-3687.
[00:02:15.333 --> 00:02:15.533]  That's 800-515-3687.
[00:02:15.533 --> 00:02:16.854]  Become debt free now with Debt Relief USA.
[00:02:16.854 --> 00:02:17.014]  Call 800-515-3687.
[00:02:27.481 --> 00:02:27.881]  The U.S.
[00:02:27.881 --> 00:02:34.786]  military says 14 Afghan schoolchildren are among the dead after a suicide bomb attack in eastern Afghanistan.
[00:02:34.786 --> 00:02:42.091]  Officials say the bomber tried to attack a meeting of tribal elders and instead set off the explosives near a primary school.
[00:02:42.091 --> 00:02:45.894]  In all, the military says 16 people died.
[00:02:45.894 --> 00:02:52.218]  Even amid the slowing economy, the incoming Obama administration still plans to provide a middle-class tax cut.
[00:02:52.916 --> 00:02:58.960]  Obama advisor David Alexrod tells NBC that it's important to get money in people's pockets.
[00:02:58.960 --> 00:03:07.186]  But he also says President Bush's tax cuts will still be allowed to expire, saying those tax cuts are geared to the wealthy.
[00:03:07.186 --> 00:03:10.869]  Laura Bush doesn't see her husband's eight years in office as a failure.
[00:03:10.869 --> 00:03:18.514]  She tells Fox News she disagrees with the critics who view it that way, but that she doesn't feel as if she needs to respond to them.
[00:03:18.514 --> 00:03:21.296]  She says history will judge her husband's presidency.
[00:03:21.966 --> 00:03:25.777]  For more news and analysis, log on to IRNnews.com.
[00:03:27.196 --> 00:03:30.919]  You could be financially independent and never have to worry about money again.
[00:03:30.919 --> 00:03:33.101]  Hi, how in the world are you anyway?
[00:03:33.101 --> 00:03:36.304]  This is Andy Willoughby speaking for the 3-Step Plan.
[00:03:36.304 --> 00:03:41.147]  The 3-Step Plan is a business system designed to help families start their own home-based business.
[00:03:41.147 --> 00:03:45.991]  If you like working with people with similar family values, you'll love the 3-Step Plan.
[00:03:45.991 --> 00:03:48.433]  Go to 3stepplan.com or call 800-658-0459 800-658-0459
[00:03:57.555 --> 00:03:59.436]  And more on the Middle East.
[00:03:59.436 --> 00:04:05.678]  Republican Senator Bob Corker says he's very saddened that lives have been lost in the Middle East conflict.
