[00:00:00.009 --> 00:00:01.631]  Welcome, welcome, welcome on this 19th day of November 2008.
[00:00:01.671 --> 00:00:03.593]  Got about 52 minutes left in this coast-to-coast broadcast.
[00:00:20.578 --> 00:00:29.123]  We are live, transmitting over the web at PrisonPlanet.tv on the visual, on the three-dimensional there, the two-dimensional.
[00:00:29.363 --> 00:00:37.147]  And we are going over the radio as well on the MNFM dial, Global Shortwave, the Internet at InfoWars.com and PrisonPlanet.com.
[00:00:37.507 --> 00:00:42.930]  Don't forget, for this month in November into December, you get five months free at PrisonPlanet.tv.
[00:00:44.671 --> 00:00:57.689]  All of my films are super high quality, hundreds of weekly TV reports, extras, a bunch of other films, four and a half years up and running, thousands of pieces of media, and your membership at PrisonPlanet.tv also makes this radio show.
[00:00:58.780 --> 00:01:05.423]  and future films possible, so be sure and check out the five months free right now at PrisonPlanet.tv.
[00:01:05.463 --> 00:01:07.483]  Now, I thought I'd get both these guys on together.
[00:01:07.663 --> 00:01:08.444]  Something a little different.
[00:01:09.264 --> 00:01:12.165]  I mean, obviously I could have one of them on for ten hours.
[00:01:12.185 --> 00:01:13.606]  They've got so much knowledge apiece.
[00:01:13.626 --> 00:01:22.049]  But we've got David Ray Griffin on with physics professor Stephen Jones together.
[00:01:22.609 --> 00:01:24.170]  And they're both big 9-11 truthers.
[00:01:24.630 --> 00:01:27.231]  And so I thought, well, originally I was going to have them on for this hour.
[00:01:29.097 --> 00:01:35.141]  Because National Geographic wanted to interview me and others about 9-11 Truth.
[00:01:35.801 --> 00:01:43.145]  And then I found out that the guy that was doing the piece, this Erickson, specializes in hit pieces on the JFK assassination.
[00:01:43.845 --> 00:01:47.447]  And I watched some of his programs, and let me tell you, I've never seen anything like it.
[00:01:48.308 --> 00:01:51.710]  So I didn't want to be a kind of a cardboard cutout in a stacked deck.
[00:01:52.170 --> 00:01:53.131]  I think Griffin and
[00:01:54.594 --> 00:02:03.276]  Jones are still being interviewed for it, but they were going to be here today, and I saw the program inside the shooter car this Sunday you made for Discovery, and it was ridiculous.
[00:02:03.716 --> 00:02:04.517]  It was ridiculous.
[00:02:04.877 --> 00:02:13.499]  I mean, bottom line, they admit they tore up the Chrysler, took it apart, hid the evidence, took it away, witnesses said there were bullet holes all over it, in the windshield, none of that.
[00:02:14.301 --> 00:02:18.002]  And a parade of spooks telling us that Oswald did it alone.
[00:02:18.042 --> 00:02:21.403]  And I just said, you know what, I just don't want to be around these people.
[00:02:21.423 --> 00:02:23.084]  And they're like, but you don't want to be on TV?
[00:02:23.184 --> 00:02:24.024]  No, I don't care.
[00:02:25.324 --> 00:02:33.427]  So, that said, I've never turned down an interview, but you know what, when it's this bad, I'm just not going to be part of it.
[00:02:34.547 --> 00:02:37.628]  Bringing that subject up, let's go to David Ray Griffin first, briefly.
[00:02:38.048 --> 00:02:40.149]  David, I guess you're still going to be interviewed by these guys?
[00:02:41.601 --> 00:02:44.782]  Well, it is scheduled, but it's up in the air.
[00:02:47.404 --> 00:02:54.367]  I felt the show they did on 9-11 was pretty horrible.
[00:02:54.947 --> 00:02:59.969]  Excuse me, I'm mixing with the JFK.
[00:03:00.009 --> 00:03:01.370]  The History Channel did that.
[00:03:02.550 --> 00:03:06.652]  And I haven't seen enough of the National Geographic.
[00:03:07.172 --> 00:03:10.934]  The one show I turned down was the second BBC show.
[00:03:12.424 --> 00:03:22.311]  Which was on World Trade Center 7, and Stephen went ahead and went on that one, and I'm glad he did, because he was able to get in a lot of good points, as did Richard Gage.
[00:03:23.212 --> 00:03:25.854]  And, you know, they said, well, that show was going to be better.
[00:03:26.354 --> 00:03:38.483]  It indeed was better than the original BBC show on the towers, but it was still full of lies, and mainly the big lie about Barry Jennings' timeline, which they totally
[00:03:39.278 --> 00:03:43.220]  Okay, we're going to go over that, and I'm glad that's why you're here today.
[00:03:43.521 --> 00:03:45.642]  I was originally going to have you talk about 9-11 evidence.
[00:03:46.282 --> 00:03:53.687]  Okay, I agreed to do BBC, and that was a hit piece and was twisted, but let me tell you, they at least acted like they were getting our side.
[00:03:54.207 --> 00:04:00.051]  This guy, this Erickson, if you watch the JFK shooter car, inside the shooter car,
[00:04:00.811 --> 00:04:02.491]  Completely one-sided.
[00:04:02.511 --> 00:04:06.632]  I have never seen a hit piece even approaching this.
[00:04:06.652 --> 00:04:10.693]  So, a word to the wise is sufficient to you and Professor Jones, both of you are professors.
[00:04:10.713 --> 00:04:15.295]  Believe me, I'm not afraid of going up against somebody, but if I know
[00:04:20.956 --> 00:04:30.418]  That their specialty is this type of intellectual quackery, then I'm not going to be part of it, so just a heads up.
[00:04:30.778 --> 00:04:32.018]  Let's bring Stephen Jones up.
[00:04:32.298 --> 00:04:38.340]  Speaking of that last BBC hit piece, what did you think of that, Professor Jones?
[00:04:39.680 --> 00:04:49.342]  Well, I want to talk about the BBC, but also the National Geographic interview that I have already had, actually, Alex, last week.
[00:04:50.199 --> 00:04:54.821]  So starting with BBC, like I say, I was able to get a few points in.
[00:04:54.842 --> 00:05:13.331]  I was very disappointed in their headline that came out before the preliminary report from NIST, and that was that the World Trade Center 7 mystery has been solved.
[00:05:13.592 --> 00:05:17.774]  Well, you know, it's not solved until they get the report, until we have a chance to respond.
[00:05:18.846 --> 00:05:19.887]  and review what they said.
[00:05:20.988 --> 00:05:31.616]  Overall, the piece was basically a hit piece, but like David said, we were able to get a few points across, which I was very gratified that we were able to get some truth out through that medium.
[00:05:31.636 --> 00:05:39.322]  I think it's very important that we continue to reach people through the media, even if they're not entirely friendly to us.
[00:05:39.623 --> 00:05:44.527]  You know, it gives us a chance to reach people, then they can get online and learn more.
[00:05:45.247 --> 00:05:46.248]  Now, Alex, I would like to
[00:05:46.995 --> 00:05:51.919]  About this Robert Erickson, I was interviewed by him last week.
[00:05:51.979 --> 00:05:53.200]  Let's see, it would be Thursday.
[00:05:53.941 --> 00:05:56.743]  And frankly, I thought his questions were very fair.
[00:05:58.164 --> 00:06:06.490]  I don't think I gave him a lot of ammunition to do a hit piece, because I was very circumspect in my answers.
[00:06:06.811 --> 00:06:14.116]  There was a question, there were a lot of questions about the science, the technical details, the dust of 9-11.
[00:06:15.270 --> 00:06:16.151]  Well, what they do is they do...
[00:06:27.688 --> 00:06:41.039]  But with Crop Circles, with other JFK events, they do specific little scientific tests, and then they say, case closed, Oswald alone, shot him from behind.
[00:06:41.059 --> 00:06:45.742]  I'm not saying you're bad for doing the interview, I'm glad you did it, I'm just saying look out.
[00:06:46.223 --> 00:06:48.244]  I also kept asking them, what do you want to interview me about?
[00:06:48.384 --> 00:06:49.225]  Send me questions.
[00:06:49.625 --> 00:06:51.207]  And they wouldn't give me the questions.
[00:06:52.087 --> 00:07:04.350]  So that's the main reason, but let's get into the latest BBC piece with David Ray Griffin, and then Professor Jones, come in with your own points on the science, as a physicist, dealing with this.
[00:07:05.010 --> 00:07:13.212]  Professor Griffin, breaking down the latest BBC piece, saying, we solved Building 7, and this is why it happened.
[00:07:13.712 --> 00:07:16.313]  Break that down for folks, the distortions.
[00:07:18.072 --> 00:07:25.036]  Well, partly they're basing it on what they assumed NIST was going to say.
[00:07:25.977 --> 00:07:37.683]  The report of the National Institute of Standards and Technology, which wasn't out yet, but they clearly were talking with them and had a pretty good idea what they were going to say.
[00:07:38.243 --> 00:07:44.787]  And one thing NIST had done was to distort the timeline of Barry Jennings and Michael Hess.
[00:07:45.508 --> 00:07:46.048]  As you know,
[00:07:47.683 --> 00:07:49.203]  And most of your listeners know.
[00:07:50.664 --> 00:07:59.065]  Jennings very clearly said that he and Hess went into the World Trade Center Building 7 very early, right after the first strike.
[00:07:59.125 --> 00:08:01.905]  So they were up there by about 9 o'clock.
[00:08:02.006 --> 00:08:07.026]  He's certain he was there at 9.03 when the second strike on the South Tower occurred.
[00:08:07.767 --> 00:08:11.327]  And shortly thereafter, they went down the stairs.
[00:08:12.267 --> 00:08:16.288]  The elevator wouldn't work, and Jennings said he was on the BBC show, he said,
[00:08:16.690 --> 00:08:18.492]  He was going a landing at a time.
[00:08:19.292 --> 00:08:21.394]  And so they were going down very fast.
[00:08:21.434 --> 00:08:27.839]  So that means they would have gotten down to the 6th floor by about 9.10 or 9.15 at the latest.
[00:08:28.300 --> 00:08:29.921]  And there was this huge explosion.
[00:08:29.961 --> 00:08:32.203]  They went back up to the 8th floor, broke a window.
[00:08:32.743 --> 00:08:36.266]  Jennings said, I looked out, and both towers were still standing.
[00:08:37.187 --> 00:08:41.831]  So what the Enists said, well, these two guys were in there.
[00:08:42.763 --> 00:08:48.186]  And there was a big event, but it was just the North Tower coming down.
[00:08:48.206 --> 00:08:52.369]  Well, of course, that was 1028, which is over an hour later.
[00:08:53.429 --> 00:08:57.171]  And Hess remained silent, of course, all those years.
[00:08:58.112 --> 00:09:08.358]  And then as soon as Jennings dies, the BBC interviews Hess, and Hess freely does an interview now.
[00:09:09.016 --> 00:09:12.582]  And of course tells this new story and tells the timeline.
[00:09:13.223 --> 00:09:15.988]  And interestingly, of course, Heath is still alive.
[00:09:18.753 --> 00:09:19.153]  Also...
[00:09:20.908 --> 00:09:34.073]  Also on record here, he went on Fox TV, he went on other news channels right after the towers had collapsed, and he's on tape talking about how he quickly got out of the building and then how the towers collapsed.
[00:09:34.133 --> 00:09:41.096]  So, clearly on record, BBC and everybody knows that that was a very short time frame, not three hours.
[00:09:41.496 --> 00:09:44.838]  So we're seeing massive deception right there on its face.
[00:09:45.498 --> 00:09:50.360]  Well, we know that Hess was being interviewed a half mile away before noon.
[00:09:51.357 --> 00:09:54.019]  Uh, probably 1134, but at least before noon.
[00:09:54.859 --> 00:10:01.243]  And, uh, in this claim, they didn't even get rescued until 10 after 12, or 10 or 15 minutes after 12.
[00:10:02.224 --> 00:10:03.905]  So we know they're lying about that.
[00:10:04.505 --> 00:10:11.809]  I don't think he has... I didn't hear him say anything about the towers coming down, but what he did say was that he... there was a big explosion.
[00:10:12.450 --> 00:10:19.114]  And now he's changed the story, and he says, well, yeah, I thought there was an explosion at the time, but now I realize it was just the...
[00:10:19.639 --> 00:10:19.799]  Well, um...
[00:10:47.512 --> 00:10:50.313]  I've been disappointed, you know, at what they did there.
[00:10:51.274 --> 00:10:53.034]  Let me put some background, Alex.
[00:10:53.514 --> 00:11:02.618]  About the time they interviewed me, we were finishing up our 14 points paper, which is published in the Open Civil Engineering Journal.
[00:11:02.738 --> 00:11:11.082]  So people can Google on that or go to journal on 911studies.com and it's right at the top, a link to this paper in an established journal.
[00:11:11.582 --> 00:11:16.344]  So, point 11 there, I discussed with the folks from BBC,
[00:11:17.672 --> 00:11:22.634]  Which has to do with the steel recovered from the site of World Trade Center 7.
[00:11:22.814 --> 00:11:25.235]  It just looks like Swiss cheese.
[00:11:25.295 --> 00:11:26.676]  I don't know if you've seen the photos.
[00:11:27.676 --> 00:11:34.879]  But it's heavily corroded and shows sulfur inside the steel.
[00:11:35.959 --> 00:11:42.382]  And of course that's been a point in my first paper on 9-11 and then again on this 14 points paper.
[00:11:43.579 --> 00:11:46.588]  And so I raised that with BBC and we discussed it at some length.
[00:11:46.608 --> 00:11:49.957]  In fact, I even did an experiment right there with them shaping it.
[00:11:51.836 --> 00:11:56.919]  Well, hold on one moment.
[00:11:56.979 --> 00:12:00.762]  I'm actually going to skip this break because this information is too important right now.
[00:12:22.736 --> 00:12:25.877]  So, here's what we did.
[00:12:26.658 --> 00:12:37.302]  FEMA, to their credit, put this data in Appendix C of their report that came out, and then NIST has totally ignored this data on the steel.
[00:12:37.342 --> 00:12:41.344]  In fact, NIST admits they didn't look at any steel from World Trade Center 7 in their report.
[00:12:41.364 --> 00:12:46.406]  Very blatant violation of normal scientific protocol.
[00:12:47.046 --> 00:12:48.287]  They've been lying, Stephen.
[00:12:49.131 --> 00:12:51.732]  They said there was no steel from Building 7.
[00:12:52.873 --> 00:12:54.094]  Very interesting point.
[00:12:54.134 --> 00:12:55.334]  There's a lot of steel there.
[00:12:55.794 --> 00:12:57.175]  I saw the photos of it, but anyway.
[00:12:57.695 --> 00:13:05.639]  Okay, and I know a lot of it was whisked away, but we do know of a sample that still exists, because we've been in touch with the people at Worcester Polytechnic Institute.
[00:13:06.240 --> 00:13:09.641]  They have the steel from the rubble pile of Building 7.
