[00:00:11.752 --> 00:00:13.093]  He stands for truth.
[00:00:14.513 --> 00:00:16.374]  He stands for justice.
[00:00:17.734 --> 00:00:20.095]  He stands for what's right.
[00:00:20.175 --> 00:00:22.536]  This is the Alex Jones Show.
[00:00:23.496 --> 00:00:26.277]  Call Alex now, toll free at 877-590-5525.
[00:00:26.297 --> 00:00:28.978]  Now live from Austin, Texas.
[00:00:35.057 --> 00:00:36.538]  Here's Alex Jones.
[00:00:39.399 --> 00:00:40.899]  Well, well, well, my friends.
[00:00:41.019 --> 00:00:42.860]  Thank you so much for joining us.
[00:00:42.980 --> 00:00:45.861]  It is March 2nd, 2008.
[00:00:46.701 --> 00:00:51.123]  Willie Nelson's gone public in the last few weeks saying 9-11 was a false flag inside job.
[00:00:51.937 --> 00:00:59.741]  The former Italian president for seven years, the former head of their intelligence agency as well, has gone public saying 9-11 was carried out by criminals in our government.
[00:01:00.222 --> 00:01:04.684]  Two former German defense ministers have gone public saying 9-11 is an inside job.
[00:01:04.724 --> 00:01:07.566]  Their former head of technology has gone public as well.
[00:01:07.966 --> 00:01:12.709]  Number two in the Japanese government has gone public saying that it's an inside job.
[00:01:12.749 --> 00:01:18.432]  The head of the second largest party and has multi-hour long TV live broadcasts.
[00:01:18.872 --> 00:01:23.174]  On national Japanese television, in the Diet, in their Congress, showing all the documents.
[00:01:23.895 --> 00:01:26.196]  But you notice you never hear about that in U.S.
[00:01:26.236 --> 00:01:26.536]  news.
[00:01:27.437 --> 00:01:28.457]  You never hear about that.
[00:01:28.697 --> 00:01:34.821]  It'll be on the cover of British papers, and Japanese, and German, and Dutch, and Russian, and South African.
[00:01:35.981 --> 00:01:40.223]  But never in the United States, unless it's a Charlie Sheen.
[00:01:40.483 --> 00:01:42.805]  Oh, he partied 15, 20 years ago.
[00:01:43.185 --> 00:01:47.027]  We'll think we can go after him and demonize him if he says it's an inside job.
[00:01:47.814 --> 00:02:08.688]  Not if it's the former CIA section chief for Europe, Bill Christensen, highly decorated, or if it's Bob Baer, they made the movie Syriana about, a famous, highly decorated CIA field commander, or if it's Ray McGovern, White House CIA briefer, high level for Ronald Reagan and George Bush Sr., when he says all the evidence shows inside job.
[00:02:09.088 --> 00:02:11.009]  There's a total news blackout.
[00:02:12.030 --> 00:02:16.473]  But you get a woman, and not just a woman, she's French.
[00:02:17.142 --> 00:02:22.084]  And she won Best Actress this year, the brunette bombshell.
[00:02:22.104 --> 00:02:28.527]  9-11 attacks were made up, says French Best Actress Oscar winner Marion Cartier.
[00:02:29.188 --> 00:02:33.430]  Sparked a political row yesterday after accusing America of fabricating the 9-11 attacks.
[00:02:33.690 --> 00:02:35.530]  She said it on national French television.
[00:02:35.851 --> 00:02:38.072]  Hundreds of newspapers covered it today.
[00:02:38.412 --> 00:02:42.994]  Now you're with the evil French, if you say it's an inside job.
[00:02:43.653 --> 00:02:47.557]  Ignore all the high-level people in our own government that have gone public.
[00:02:48.037 --> 00:02:55.284]  Ignore the fact that there's hundreds of declassified examples where our government admits that they have staged terror attacks and events.
[00:02:56.465 --> 00:02:57.746]  Oh, you didn't know that?
[00:02:57.786 --> 00:03:00.949]  There are hundreds of declassified admissions?
[00:03:01.795 --> 00:03:12.425]  Where the people running our intelligence agencies will bomb school buses, blow up buildings, shoot people, hijack jets, crash them, blow them up, and blame it on their political enemies.
[00:03:12.505 --> 00:03:13.646]  It's called a frame-up.
[00:03:14.326 --> 00:03:18.670]  And if you don't think intelligence agencies don't do this, you just don't know anything about history.
[00:03:18.710 --> 00:03:27.138]  So, before you get mad at me, and before you get mad at all these former top CIA people, and before you get mad at the Italian former president,
[00:03:28.041 --> 00:03:31.423]  Who, by the way, admitted and apologized that he helped stage terror attacks for the U.S.
[00:03:31.463 --> 00:03:32.664]  government in Italy.
[00:03:33.024 --> 00:03:34.005]  That's why he knows about it.
[00:03:34.085 --> 00:03:34.886]  They did it in the 80s.
[00:03:35.726 --> 00:03:36.867]  He's real sad about what he did.
[00:03:40.329 --> 00:03:42.591]  Why don't you just admit Gulf of Tonkin was staged?
[00:03:42.651 --> 00:03:43.652]  It's now declassified.
[00:03:43.672 --> 00:03:51.697]  Our government staged it, claimed our ships were attacked, and then launched a war that killed 58,000 Americans and a million and a half Vietnamese.
[00:03:52.541 --> 00:03:54.002]  Or it's now been declassified.
[00:03:54.042 --> 00:03:58.325]  Chicago Tribune's carried it that Israel premeditatedly attacked the U.S.'
[00:03:58.265 --> 00:03:59.606]  's liberty to blame it on Egypt.
[00:03:59.746 --> 00:04:00.647]  Now declassified.
[00:04:00.867 --> 00:04:01.648]  The debate's over.
[00:04:01.968 --> 00:04:05.271]  Chicago Tribune, Associated Press, NSA, Israel admits it.
[00:04:05.471 --> 00:04:05.991]  Debate over.
[00:04:06.271 --> 00:04:11.035]  All the lies, all the books debunking it, all the things saying we were liars, now declassified.
[00:04:11.621 --> 00:04:19.084]  Now, there's all the Operation Gladio, over 100 bombings itself in Europe, Germany, Italy, Spain, to blame it on their political enemies.
[00:04:19.325 --> 00:04:20.165]  You could be right-wing.
[00:04:20.185 --> 00:04:21.045]  You could be left-wing.
[00:04:21.305 --> 00:04:30.430]  If you started getting political power against the establishment candidates, a bomb would go off, and then they would plant explosives at your house and come arrest you and say that you did it.
[00:04:31.370 --> 00:04:33.071]  It's real simple.
[00:04:34.241 --> 00:04:35.002]  How this is done.
[00:04:35.242 --> 00:04:36.583]  Hitler gets elected president.
[00:04:36.803 --> 00:04:37.704]  He wants to be Fuhrer.
[00:04:37.744 --> 00:04:41.647]  He wants to be the head of the upper and lower house of the Reichstag, their parliamentary system.
[00:04:41.947 --> 00:04:43.328]  He firebombs his own building.
[00:04:44.549 --> 00:04:48.572]  We have the declassified documents over a decade ago, but people still wanted to say no.
[00:04:48.892 --> 00:04:51.915]  Hitler didn't firebomb his own building because they didn't want you to know about false flag.
[00:04:52.255 --> 00:04:58.540]  Then last month, Spiegel, BBC, London Guardian, all the documents were released.
[00:04:59.239 --> 00:05:13.450]  And Marinus Vanderlube, the retarded man that they framed, they went and just grabbed a retarded street person who couldn't even talk, totally insane, drooling, and they cut his head off for committing the attacks on the Capitals.
[00:05:15.035 --> 00:05:17.037]  And it's always the same thing.
[00:05:17.057 --> 00:05:19.318]  So now it's admitted the Reichstag was staged.
[00:05:19.458 --> 00:05:29.625]  Of course, we always knew from Nuremberg that to get into World War II, Hitler staged an attack on his own army base at Gleiwitz on the German-Polish border.
[00:05:30.366 --> 00:05:31.587]  That's always been admitted.
[00:05:31.987 --> 00:05:34.669]  So see, first off, governments do that.
[00:05:34.789 --> 00:05:36.010]  First we have to admit that.
[00:05:36.470 --> 00:05:41.493]  Then we have to move forward from there and see if our government's done it.
