[00:00:00.029 --> 00:00:02.173]  A program note for everyone out there.
[00:00:13.857 --> 00:00:17.800]  We are number one on Shoutcast for any talk show.
[00:00:18.641 --> 00:00:21.222]  About 18 or 19 rated total for Shoutcast.
[00:00:21.783 --> 00:00:27.007]  Hundreds of thousands of people every hour tune in to listen over the internet just on that system.
[00:00:28.047 --> 00:00:31.030]  We have over 100,000 people a day downloading the free podcast.
[00:00:31.610 --> 00:00:32.071]  That's right.
[00:00:48.607 --> 00:00:53.409]  With over 60 AM and FM affiliates and we've just gotten 3 or 4 more in the last week so it's actually growing.
[00:00:53.730 --> 00:00:55.010]  I need to revise the list.
[00:00:55.451 --> 00:00:56.931]  Probably over 70 stations now.
[00:00:57.852 --> 00:00:59.573]  That's where the lion's share of the audience is.
[00:00:59.653 --> 00:01:01.414]  You could have hundreds of thousands per station.
[00:01:01.654 --> 00:01:07.537]  With a station like News Radio 590 KLBJ or 1330 that covers half of Texas that's up in Taylor.
[00:01:08.416 --> 00:01:12.123]  We're a KCAA that goes into San Diego and places there in California.
[00:01:12.163 --> 00:01:13.185]  We're a KCXL.
[00:01:13.465 --> 00:01:19.676]  We've been on about nine years in Kansas City covering that entire city and surrounding areas out of Liberty, Missouri.
[00:01:21.129 --> 00:01:25.711]  But the shortwave is great as well as the world service we do for everybody.
[00:01:26.291 --> 00:01:30.953]  We have satellite systems people can listen over, several different satellite systems.
[00:01:31.393 --> 00:01:34.534]  It's all very important, but the internet is special because it puts us everywhere.
[00:01:35.114 --> 00:01:39.116]  You know, you can tell it, your friends, your family, your neighbors, even if you don't have a local AMREF affiliate,
[00:01:39.696 --> 00:01:42.417]  Or even if they don't, hey, you can listen at Infowars.com.
[00:01:42.737 --> 00:01:43.977]  Or you can listen at PrisonPlanet.com.
[00:01:44.017 --> 00:01:46.197]  And that's what's so great about the web.
[00:01:46.377 --> 00:01:51.399]  It is basically everywhere in the industrialized world, and now even in the third world and old world.
[00:01:52.299 --> 00:01:54.039]  And so that's why it's so important.
[00:01:54.059 --> 00:02:02.001]  And yes, we've had hundreds of calls about, you know, whenever our connection to our big servers goes down, James Bond music will play for five, ten minutes.
[00:02:02.601 --> 00:02:04.881]  That is our servers going down.
[00:02:05.562 --> 00:02:06.562]  The problem is, too,
[00:02:07.822 --> 00:02:12.811]  If we don't have it on these server farms and CDNs, when it goes down,
[00:02:15.754 --> 00:02:29.537]  Then that basically knocks out our shoutcast rating, and we like being number one on there because we get new listeners that way, but we're just going to have to give up our ranking because the number one thing is getting the message out and split the streams up into dozens of streams, not just five or six big streams.
[00:02:29.657 --> 00:02:30.877]  Also, there's other ways to listen.
[00:02:31.197 --> 00:02:39.679]  We have tens of thousands every show that listen on the Windows stream that comes out of another server system, and people are now using that a lot.
[00:02:40.639 --> 00:02:41.980]  And of course, that's an unrated stream.
[00:02:42.240 --> 00:02:43.260]  That's an internal stream.
