[00:00:04.622 --> 00:00:06.305]  There's too much confusion.
[00:00:08.928 --> 00:00:12.894]  I can't get no relief.
[00:00:13.094 --> 00:00:16.059]  Fit this man to drink my wine.
[00:00:28.248 --> 00:00:37.176]  We are live at PrisonPlanet.tv, live streaming video from in studio not just on a growing wonderful list of Eminem affiliates across the country.
[00:00:37.196 --> 00:00:38.938]  Global shortwave on WWCR.
[00:00:40.319 --> 00:00:43.845]  Number one radio talk show on shoutcast anywhere on the web.
[00:00:44.225 --> 00:00:48.612]  Hundreds of thousands listening on the different systems right now on the internet as well.
[00:00:48.632 --> 00:00:54.300]  83,000 a day on average now downloading the free podcast at infowars.com.
[00:00:55.436 --> 00:00:56.497]  And I'm not tooting our horn.
[00:00:56.537 --> 00:01:08.746]  I'm letting people realize with just this one radio show and others out there and other websites and other great people, we are carrying the message of truth to the people and they're listening like never before.
[00:01:08.846 --> 00:01:12.749]  Ron Paul coming up sometime in the next hour and a half for a quick interview.
[00:01:13.709 --> 00:01:18.112]  We have Congressman Brad Sherman who was told this has to be passed, or martial law.
[00:01:18.452 --> 00:01:24.336]  Not martial law with the House rules, like we heard from a congressman from North Texas, Burgess, on Monday.
[00:01:24.536 --> 00:01:25.756]  National martial law.
[00:01:26.197 --> 00:01:34.862]  NORTHCOM announcing they are going to use TRIPS domestically, activated brigades, not just one, but multiple brigades, for continutive government, for civil unrest.
[00:01:37.199 --> 00:01:38.099]  This is the takeover.
[00:01:38.119 --> 00:01:39.700]  You're seeing what happened in Nazi Germany.
[00:01:39.720 --> 00:01:40.961]  You're seeing what happened in Russia.
[00:01:40.981 --> 00:01:42.662]  You're seeing what happened with Pol Pot.
[00:01:42.722 --> 00:01:43.722]  I mean, this is it.
[00:01:44.162 --> 00:01:45.143]  We have to get the word out.
[00:01:45.183 --> 00:01:46.103]  We have to say no.
[00:01:46.424 --> 00:01:47.264]  We have to stop them.
[00:01:47.304 --> 00:01:48.365]  They engineered all this.
[00:01:48.825 --> 00:01:56.769]  And a man who valiantly exposed this over a year ago is Congressman Dan Hamburg.
[00:01:57.819 --> 00:02:23.695]  uh... from northern california federal congressman uh... several terms uh... now out of the uh... congress and he wrote a detailed report that we have a link to in the story that kurt nimmo wrote about this on info wars dot com read it carefully this is a san francisco chronicle picked up by other newspapers across the world because he's highly respected and uh... he started out with this quote rule by fear or rule by law
[00:02:25.390 --> 00:02:38.507]  The power of the executive to cast a man into prison without formulating any charge known to law, and particularly to deny him the judgment of his peers, is the highest degree of odious and is the foundation of all totalitarian governments, whether Nazi or Communist.
[00:02:38.527 --> 00:02:40.530]  Winston Churchill, November 21st, 1943.
[00:02:43.937 --> 00:03:04.408]  And then he goes through the systematic takeover, PDD 51, John Warren Defense Authorization Act, the Military Commissions Act, and then you've got all these covert operations of military buying off mayors and police chiefs that we've interviewed and brought on air about Delta Force and CIA showing up with bags of money saying, just be friends with us with what's coming.
[00:03:04.688 --> 00:03:12.572]  Governor Ventura, first day, this is years ago, as a governor, is called down to the basement, 23 CIA agents, not telling him who their names are.
[00:03:13.993 --> 00:03:15.755]  Black Ops are all around us, folks.
[00:03:16.696 --> 00:03:18.397]  This is the military-industrial complex.
[00:03:18.417 --> 00:03:31.450]  Just like in third world countries, the juntas, where the military takes over, or Roman Caesars being overthrown on a monthly basis in the deep decline before the sack in 410 by Alaric, overthrows every month by the generals.
[00:03:31.851 --> 00:03:32.752]  I mean, this is what
[00:03:33.979 --> 00:03:40.342]  Caesar did 2040-something years ago when he passed the Rubicon and brought his troops into Rome.
[00:03:41.062 --> 00:03:42.943]  Of course, that river in the north up by Austria.
[00:03:43.343 --> 00:03:44.824]  That's what it means to cross the Rubicon.
[00:03:45.384 --> 00:03:46.925]  So I've given you some background here.
[00:03:47.285 --> 00:03:48.646]  This is really happening!
[00:03:49.306 --> 00:03:52.107]  And it's being done, not in slow motion, but in medium motion.
[00:03:52.547 --> 00:03:53.448]  We can't accept it.
[00:03:53.488 --> 00:03:54.448]  We can't go along with it.
[00:03:55.289 --> 00:03:59.110]  To recap, 35 minutes ago, no, exactly 37 minutes ago, the house passed.
[00:04:04.068 --> 00:04:10.176]  Under threat of economic terrorism, where the Plunge Protection Team didn't bail out the stock market as they do daily.
[00:04:10.617 --> 00:04:14.342]  And so it plunged $1,200,000,000 plus in one day on Monday.
[00:04:14.442 --> 00:04:15.704]  That terrorizing didn't work.
[00:04:15.724 --> 00:04:18.547]  Still 90-plus percent against the Banker Empowerment Bill.
[00:04:20.506 --> 00:04:21.747]  The economic takeover bill.
[00:04:21.767 --> 00:04:23.148]  We're going to the Congressman here in just a moment.
[00:04:23.168 --> 00:04:24.209]  I want to recap all this.
[00:04:24.229 --> 00:04:25.089]  This is historic.
[00:04:25.109 --> 00:04:27.791]  I want to get his take on it and how we stop it and turn it around.
[00:04:28.472 --> 00:04:32.354]  And then they told Congress, they said, you pass this or physical martial law will come.
[00:04:32.795 --> 00:04:36.577]  They were told this last night and today and the House passed it under duress.
[00:04:37.298 --> 00:04:38.979]  This ties into everything we've seen.
[00:04:39.299 --> 00:04:42.622]  The clearly launched White House anthrax attacks on Congress.
[00:04:43.402 --> 00:04:44.283]  Folks, my life's in danger.
[00:04:44.323 --> 00:04:45.644]  I'm getting death threats every day now.
[00:04:45.724 --> 00:04:46.305]  Other people are.
[00:04:46.585 --> 00:04:47.806]  This is happening.
[00:04:47.827 --> 00:04:48.367]  You understand?
[00:04:48.647 --> 00:04:49.728]  This is red level.
[00:04:50.389 --> 00:04:51.830]  America is being taken over.
[00:04:51.891 --> 00:04:53.252]  We've got to say no now.
[00:04:53.612 --> 00:04:57.056]  The good news is 90 plus percent are against it and are hopping mad now.
[00:04:57.316 --> 00:04:58.958]  So this government's totally illegitimate.
[00:04:59.178 --> 00:05:00.379]  This vote is illegitimate.
[00:05:01.040 --> 00:05:02.281]  And this is just so amazing.
[00:05:02.321 --> 00:05:04.683]  And now they've got martial law economic powers.
[00:05:05.524 --> 00:05:07.906]  It's right there in the bill in the subsections for the private bankers.
[00:05:07.966 --> 00:05:09.387]  It only protects them, not the people.
[00:05:10.207 --> 00:05:17.231]  Congressman Dan Hamburg, who warned us again in February of last year, more than a year ago, rule by fear, rule by law.
[00:05:18.832 --> 00:05:19.813]  It's happening, sir.
[00:05:19.853 --> 00:05:20.854]  It could get a lot worse.
[00:05:21.914 --> 00:05:25.317]  Break down what it's like to see this happening and go through the points.
[00:05:26.998 --> 00:05:33.862]  Well, you know, this is not something that really should surprise people, but I think the heartening thing is that
[00:05:35.165 --> 00:05:42.730]  The calls that were going into congressional offices were anywhere from 50 to 100 to 1 against this.
[00:05:42.770 --> 00:05:55.198]  So I think it's clear that people are finally waking up to the loss of the Constitution, the loss of sovereignty, and also the way this government has set things up
[00:05:56.147 --> 00:06:02.130]  In the way they have in order to systematically tank the economy.
[00:06:02.591 --> 00:06:08.694]  Now, the thing that I'm looking at now, we've got 30 days until a presidential election.
[00:06:09.775 --> 00:06:12.016]  What will happen in those 30 days?
[00:06:12.316 --> 00:06:22.342]  And is the current cabal that's in charge, is the neocon cabal, willing to take the risk of turning this over?
[00:06:23.455 --> 00:06:25.056]  You know, to the Democratic Party.
[00:06:25.116 --> 00:06:29.839]  I mean, we know the Democratic Party is not significantly different from the Republicans.
[00:06:30.440 --> 00:06:39.545]  But still, I have to wonder if there is another surprise in store for us in the month of October besides this.
[00:06:40.826 --> 00:06:49.892]  It's not clear at all that the markets are going to be responsive to this because the underlying economy is what is, you know, what is messed up in this country.
[00:06:49.912 --> 00:06:51.473]  You know, it's the foreclosures.
[00:06:52.077 --> 00:06:54.559]  It's the loss of employment.
[00:06:55.079 --> 00:06:57.801]  It's the fact that the infrastructure of the country is crumbling.
[00:06:57.841 --> 00:06:59.422]  The educational system is crumbling.
[00:06:59.462 --> 00:07:00.942]  The healthcare system is crumbling.
[00:07:01.543 --> 00:07:12.109]  So whether this bailout, it's certainly going to be good for investment bankers and for the confidence on Wall Street in the short term.
[00:07:12.549 --> 00:07:19.874]  But I'm not at all sure that we're not going to see another big surprise in the next month.
[00:07:20.276 --> 00:07:33.642]  And one of those possible surprises, I think, is kind of a Hail Mary pass kind of thing from Cheney and his group inside the administration.
[00:07:34.322 --> 00:07:40.224]  I think back to what happened with the missing nukes from the Air Force Base in North Dakota.
[00:07:40.865 --> 00:07:43.966]  I think to the assassination in Houston.
[00:07:44.585 --> 00:07:44.825]  I don't
[00:08:03.121 --> 00:08:10.484]  Uncertain of everything that's going on and you know I think about Naomi Klein and her shock doctrine theory.
[00:08:10.964 --> 00:08:27.891]  I think people are in shock right now and that this is the time that people like Cheney most take advantage of that shock to manipulate public opinion and to do what they want to do and to pursue their globalist
[00:08:29.565 --> 00:08:35.370]  You know, a gender which is way beyond anything that the American people would normally tolerate.
[00:08:36.911 --> 00:08:37.471]  Absolutely.
[00:08:37.511 --> 00:08:44.056]  We're seeing things happen on a daily basis that would have shaken the political system to its core just a decade ago.
[00:08:44.116 --> 00:08:57.847]  I mean, from torturing children in front of their parents, to domestic spying on the American people, to the military spying on peace groups, to FEMA camps, to being built openly and being in the newspaper, to just absolute
[00:08:58.775 --> 00:09:02.999]  Crazy corruption, but the good news is it did come out with Cy Hirsch.
[00:09:03.439 --> 00:09:08.864]  It did come out on MSNBC that Cheney just three months ago was planning to paint up U.S.
[00:09:08.904 --> 00:09:14.509]  Navy patrol boats like Iranian boats and have Navy SEALs launch sneak attacks on larger U.S.
[00:09:14.549 --> 00:09:15.330]  ships in the
[00:09:16.331 --> 00:09:18.534]  And also understanding, Alex, that false flag terrorism is nothing new.
[00:09:36.607 --> 00:09:53.372]  I'm looking back to the Gulf of Tonkin Resolution and I'm looking back to, you know, the Kennedy assassination and, you know, things start to fall into place and it's like the scales begin to fall from the eyes and people go, aha, this is the kind of country I've been living in all these years.
[00:09:53.932 --> 00:09:59.614]  And what has this propaganda that's been put out by the elites been all about?
[00:09:59.854 --> 00:10:02.835]  And, you know, that is a very encouraging thing.
[00:10:03.297 --> 00:10:15.683]  But, one of the problems, and we know it's one of the big problems, and programs like yours battle against that problem, which is that people still mostly get garbage information from the mainstream media.
[00:10:15.703 --> 00:10:18.044]  Or they get sucked into it.
[00:10:18.104 --> 00:10:19.084]  Corporate control.
[00:10:19.805 --> 00:10:26.808]  And what is so vital is getting information to people, because the more people that understand what's going on,
[00:10:27.287 --> 00:10:35.343]  The more people there are who are going to stand up and say, no way, not in my name, will you commit these corrupt and heinous acts.
[00:10:35.728 --> 00:10:37.209]  Well, I want your take on two things.
[00:10:37.950 --> 00:10:44.395]  A, is this not incredibly revealing and a huge wake-up call, and that's what we're seeing, and people are already waking up and already angry.
[00:10:45.656 --> 00:10:55.885]  They are really waking up now and are really upset at the fact that, on average, 95% according to the polls, congressmen and women have said they'll get $2,000, $3,000, $9,000, and one senator from California saying no!
[00:11:02.050 --> 00:11:03.471]  to the bailout, and it still happens.
[00:11:03.511 --> 00:11:10.455]  That's revealing that this establishment doesn't care what the people want, or what the people say, or even what is constitutional.
[00:11:10.475 --> 00:11:11.855]  And secondarily, I want your comment on that.
[00:11:11.896 --> 00:11:15.657]  Secondarily, we have open economic terrorism.
[00:11:16.338 --> 00:11:25.543]  Since when do Presidents and Secretaries of Treasury and Democratic leaders scream, you better give us this power until the bailout or there'll be a depression?
[00:11:25.883 --> 00:11:27.664]  That is pure economic terrorism.
[00:11:29.474 --> 00:11:41.720]  Yeah, but, you know, we're getting used to that because that's the kind of thing that they did to get us into the Iraq War, and that's the kind of thing they do to, you know, when Katrina's hit by a hurricane.
[00:11:41.740 --> 00:11:47.983]  You know, what they do is to keep us in a state of shock and confusion.
[00:11:48.503 --> 00:11:54.646]  And I'm really disappointed, actually, this morning to see 271 votes in favor of this bailout in spite of the fact
[00:11:58.248 --> 00:11:58.488]  I think
[00:12:14.375 --> 00:12:26.641]  went ahead and voted for this, in spite of the fact that their constituents are dead against it, are in districts that are considered safe enough for them to make these kind of votes without suffering repercussion at the polls.
[00:12:26.701 --> 00:12:43.008]  I mean, I think what we'll see is that a lot of people aren't going to turn out and vote, because they're going to go, you know, this government is too corrupt, and they'll just say, well, I just won't vote this year for a member of Congress who would betray me in this sense.
[00:12:43.827 --> 00:12:50.309]  But I don't see where it's going to mean a substantial shift in governance in the country.
[00:12:50.349 --> 00:13:03.414]  I mean, I don't think the next Congress is going to be significantly different than this one, you know, because of this particular vote or because of a series of bad votes which have happened over the past several years.
[00:13:07.070 --> 00:13:09.653]  I want to finish playing this clip.
[00:13:09.973 --> 00:13:14.056]  You haven't had a chance to hear it, and then I'll let you finish what you were saying.
[00:13:14.757 --> 00:13:21.463]  This is the Congressman, and this was, and he's coming up, Congressman Brad Sherman, next hour.
[00:13:21.923 --> 00:13:29.570]  This is what he said other members of Congress were told, physical martial law in America if they didn't pass this.
[00:13:29.690 --> 00:13:30.871]  Okay, this is official.
[00:13:31.431 --> 00:13:31.852]  Here it is.
[00:13:32.762 --> 00:13:38.524]  The only way they can pass this bill is by creating and sustaining a panic atmosphere.
[00:13:39.124 --> 00:13:41.465]  That atmosphere is not justified.
[00:13:42.425 --> 00:14:02.232]  Many of us were told in private conversations that if we voted against this bill on Monday, that the sky would fall, the market would drop two or three thousand points the first day, another couple thousand the second day, and a few members were even told that there would be martial law in America if we voted no.
[00:14:03.456 --> 00:14:05.118]  That's what I call fear-mongering.
[00:14:05.898 --> 00:14:06.759]  Unjustified.
[00:14:07.240 --> 00:14:07.980]  Proven wrong.
[00:14:08.621 --> 00:14:11.804]  We've got a week, we've got two weeks, to write a good bill.
[00:14:12.364 --> 00:14:16.548]  The only way to write, to pass a bad bill, keep the panic pressure on.
[00:14:17.108 --> 00:14:18.890]  Now, what has the Senate done to this bill?
[00:14:19.591 --> 00:14:21.713]  Congressman Dan Hamburg, your comments on that.
[00:14:21.853 --> 00:14:29.299]  You know, I'm afraid that the majority, the great majority of people, not only citizens of this country, but members of the U.S.
[00:14:29.359 --> 00:14:29.820]  Congress,
[00:14:30.256 --> 00:14:49.321]  We're not aware that on August 28th, just about six weeks ago, Bush extended for the seventh time the national state of emergency under which his country has been de facto governed ever since September 11th or September 14th, depending on which document you look at, of 2001.
[00:14:49.801 --> 00:14:56.663]  Bush has extended that state of national emergency under which he implements
[00:14:57.273 --> 00:14:58.334]  Documents like
[00:15:13.849 --> 00:15:14.590]  I think so.
[00:15:37.009 --> 00:15:49.338]  And that is why there is nothing more important to the consciousness of the people of this country than the 9-11 Truth Movement and getting to the bottom of what has instigated this eight-year reign of terror.
[00:15:53.095 --> 00:15:58.178]  Again, going back to economic terrorism, they need this implosion now to get the powers they need.
[00:15:58.658 --> 00:16:01.160]  Just as PDD 51 says, it's clear.
[00:16:01.460 --> 00:16:06.663]  They start fear-mongering two weeks ago saying, depression, depression, it drives down the market, and then they're given the power.
