[00:00:00.009 --> 00:00:02.410]  Justin Texas, Alex Jones.
[00:00:20.459 --> 00:00:24.781]  I mean, folks, do you realize how big this economic collapse is?
[00:00:24.801 --> 00:00:45.930]  Do you realize how massive it is to have some of the biggest banks and brokerage firms going under, to have Lehman Brothers, the fourth largest in the country, 80 plus million dollars of exposure, just in two major mutual funds alone, where it's just fake investments.
[00:00:46.590 --> 00:01:04.220]  They took bad mortgages, packaged them as securities, and then sold those, but also used them as the equivalent of assets to then, through fractional reserve banking, loan out ten times that in loans to people, and as asset-backed securities.
[00:01:05.561 --> 00:01:06.921]  The whole system is rotten.
[00:01:07.001 --> 00:01:12.565]  It's biblical in proportion just how big
[00:01:13.664 --> 00:01:14.824]  All of this really is.
[00:01:15.805 --> 00:01:18.145]  And this on the heels of Fannie Mae and Freddie Mac.
[00:01:19.126 --> 00:01:20.686]  Trillions and trillions of dollars.
[00:01:23.347 --> 00:01:28.188]  And that's just the exposure the media is admitting, the government's admitting, being taken over by the Treasury.
[00:01:29.968 --> 00:01:42.652]  But then you have all of those securities that were bundled, all those mortgages that were bundled and sold themselves as commodities out there on the open market.
[00:01:46.167 --> 00:01:47.148]  It is mind-boggling.
[00:01:49.769 --> 00:01:59.054]  It's mind-boggling to see this happening, and to know that we, as the American citizens, are going to be put on the hook here two different ways, at least.
[00:01:59.854 --> 00:02:08.539]  One, we're going to be made to quote pay taxes for the bailouts, because the same banks that are being bailed out, the same private Federal Reserve banks,
[00:02:13.365 --> 00:02:24.854]  When the Treasury issues new liquidity, interest is paid to those banks for the right of the government to create the instrument.
[00:02:25.215 --> 00:02:31.339]  So that's the fractional reserve banking scam that the Federal Reserve, the private Federal Reserve, set up back in 1913.
[00:02:32.961 --> 00:02:38.005]  And so they're instituting this implosion by design.
[00:02:39.827 --> 00:02:43.669]  to fully suck the entire economy into it, basically.
[00:02:45.389 --> 00:02:48.571]  We've got Joseph Stickel at Snowbell Prize winner to come on and talk about this tomorrow.
[00:02:48.951 --> 00:02:53.973]  A lot of other big economic guests throughout the week coming on to discuss this, but right now let's go to the calls here.
[00:02:54.513 --> 00:02:56.554]  Micah in New Jersey, you're on the air, welcome.
[00:02:58.140 --> 00:02:58.821]  Yeah, hi Alex.
[00:02:58.881 --> 00:03:00.141]  A couple of things I just want to tell you.
[00:03:00.282 --> 00:03:05.966]  A couple of weeks ago, somebody called up about the sign of the devil that they see a lot of the rock stars and fans doing.
[00:03:06.446 --> 00:03:07.507]  I just wanted to correct that.
[00:03:07.567 --> 00:03:10.128]  When the thumb is out, it's sign language for I love you.
[00:03:11.349 --> 00:03:16.053]  Secondly... So, this is I love you, and then this is the Diablo.
[00:03:16.793 --> 00:03:17.614]  Right, the Diablo.
[00:03:17.634 --> 00:03:21.116]  For television, I'm holding up, like, this is I love you.
[00:03:21.136 --> 00:03:22.517]  I think it's that way.
[00:03:22.557 --> 00:03:23.478]  How is it with sign language?
[00:03:23.978 --> 00:03:27.801]  It's generally... Basically, it's the pinky, the index finger, and the thumb is out.
[00:03:28.106 --> 00:03:32.910]  No, I know, but I think they also put their hand one direction.
[00:03:32.950 --> 00:03:34.031]  I forget, I have to look it up.
[00:03:34.451 --> 00:03:35.392]  I just wanted to correct that.
[00:03:35.532 --> 00:03:39.275]  And then this is, this is hang loose, which means surf's up, dude!
[00:03:39.295 --> 00:03:39.375]  Yeah.
[00:03:39.775 --> 00:03:56.148]  The other thing, as far as the food and a lot of the commercials that you have with efoods.com, I would definitely suggest people start listening carefully, because in my side of New Jersey, the shelves have been going bare for like the last month and a half, and I've been stocking up on cans.
[00:03:57.134 --> 00:04:07.961]  And my third point is, don't mess with the Illuminati, because I was working with somebody who was a mason, and I did not realize he had as much clout as he did.
[00:04:08.542 --> 00:04:12.284]  Basically, he was sabotaging my department, stealing information, etc.
[00:04:13.225 --> 00:04:15.987]  And somehow or another, a big to-do came about.
[00:04:16.167 --> 00:04:21.971]  He managed to get the owner of the facility to get rid of me, even though the administrator wanted to keep me.
[00:04:22.751 --> 00:04:24.933]  Since then, I've been blacklisted in this entire area.
[00:04:25.589 --> 00:04:26.829]  I moved to New Jersey.
[00:04:26.869 --> 00:04:28.370]  Well, it's the same thing in England.
[00:04:28.430 --> 00:04:37.852]  I mean, just type in to the BBC where you can't be a judge or a barrister or a lawyer unless you're a Mason, and that's the problem.
[00:04:38.892 --> 00:04:40.513]  It becomes this good old boy club.
[00:04:40.593 --> 00:04:53.056]  You can debate what goes on secretly, but it becomes this good old boy club where you can't operate or have a job or even basically live in many areas of the world unless you're part of the Brotherhood, unless you're a widow's son.
[00:04:53.909 --> 00:05:02.354]  I mean, I basically had a wonderful reputation and career in New York, and I moved out here to New Jersey, and I did not realize how pervasive this was.
[00:05:02.994 --> 00:05:04.715]  And I only learned about it just basically through you.
[00:05:04.895 --> 00:05:08.057]  I mean, I've dealt with a lot of different types of people in New York my entire life.
[00:05:08.658 --> 00:05:12.460]  But, you know, you come out here and you realize, my God, they've got their claws into everything.
[00:05:13.240 --> 00:05:18.363]  So much so that I've even gone to switch right out of the career that I was in, just as a means of trying to get employment.
[00:05:18.864 --> 00:05:19.584]  It's not happening.
[00:05:20.342 --> 00:05:24.725]  So, it's like, if you work with somebody and they tell you they're a mason, look for another job immediately.
[00:05:25.506 --> 00:05:26.707]  Well, I mean, let's be clear.
[00:05:26.807 --> 00:05:33.311]  You've got people that use the Masonic system, you know, for power and control.
[00:05:33.331 --> 00:05:39.516]  But, I mean, to generalize, most of your masons are what they call useful idiots.
[00:05:40.116 --> 00:05:49.503]  Well, the ones I've run into, even in New York, they were pretty much very egotistical, egomaniacs, to the point where they were even stealing money and food from different
[00:05:51.391 --> 00:05:53.413]  Homeless shelters, and what have you.
[00:05:53.433 --> 00:05:58.257]  I mean, I've actually seen it, heard it, and I just walked away from that organization that I was volunteering with.
[00:05:58.297 --> 00:06:05.704]  So, it's just, I, okay, don't want to generalize, but just the few that I've had dealings with, they are utilizing their power for corruption.
[00:06:07.325 --> 00:06:10.888]  You know, so basically, it's just, there's a lot going on more than just that.
[00:06:10.908 --> 00:06:17.354]  I mean, even as a civil rights, in terms of the employment, we've lost our bill of rights just in the workforce.
[00:06:18.306 --> 00:06:21.807]  Once you get into the workforce, you don't have freedom of speech or any of that other stuff.
[00:06:22.107 --> 00:06:22.968]  So it started there.
[00:06:23.148 --> 00:06:24.068]  Well, it's more than that.
[00:06:24.088 --> 00:06:33.271]  I mean, they start the drug testing, which sounds reasonable, and the government starts making companies drug test, and then they DNA test, and then you got a thumb scan to get your school lunch.
[00:06:33.331 --> 00:06:35.752]  I mean, it's just this total control grid.
[00:06:36.172 --> 00:06:39.253]  People never think, well, wait, what could the government do with this power?
[00:06:39.313 --> 00:06:40.213]  Could they abuse me?
[00:06:40.634 --> 00:06:43.254]  Then you read their founding documents for all this Big Brother stuff.
[00:06:43.615 --> 00:06:45.415]  It is meant to control you and dominate you.
[00:06:45.695 --> 00:06:46.396]  Thanks for the call.
[00:06:46.416 --> 00:06:47.256]  Let's take another one here.
[00:06:48.176 --> 00:06:51.478]  Let's talk to Carlos in California.
[00:06:51.518 --> 00:06:52.438]  Carlos, welcome.
[00:06:53.579 --> 00:06:54.799]  Hey, John.
[00:06:55.040 --> 00:06:58.161]  Alex, there's too many critical issues out there.
[00:06:59.582 --> 00:07:07.946]  You have the controlled economic collapse, you have the weather-controlled hurricanes, and then we have the passage of the Real ID here in California.
[00:07:09.246 --> 00:07:09.707]  Can you hear me?
[00:07:09.927 --> 00:07:10.367]  Yes, sir.
[00:07:11.668 --> 00:07:16.070]  And so the Real ID just passed the Senate here, and it's in the government's
[00:07:17.563 --> 00:07:35.741]  That's for signing, and you know of course that's a trojan horse for a national ID, but eventually they're going to find a way to microchip us, and that's really what worries me, because what's going to prevent the government, due to the technology that they possess to, once they microchip us,
[00:07:36.420 --> 00:07:41.826]  To make us part of one big database which will be, in essence, a world brain!
[00:07:41.846 --> 00:07:42.547]  Well, exactly.
[00:07:42.567 --> 00:07:47.372]  But, I mean, it's not even... it's even worse than that.
[00:07:47.492 --> 00:07:52.137]  With the face scan, with the plate scan, when you pay cash, having the thumb print,
[00:07:52.657 --> 00:07:58.424]  If you're not a good little globalist, they just turn your biometric number off and you can't buy and sell.
[00:07:58.865 --> 00:08:00.066]  Now that's not from the Bible.
[00:08:00.326 --> 00:08:01.568]  That is separately in the Bible.
[00:08:01.948 --> 00:08:06.794]  That's what the government and international treaties, they say that's what this is for.
[00:08:07.725 --> 00:08:16.909]  But that's why in Australia and Germany and England and the US and Canada, all over public schools, you've got a thumb scan to get your lunch.
[00:08:17.409 --> 00:08:19.309]  You've got a thumb scan to clock in at work.
[00:08:19.650 --> 00:08:21.510]  You've got a thumb scan to get library books.
[00:08:21.530 --> 00:08:23.451]  You've got a thumb scan to go to a tanning salon.
[00:08:23.911 --> 00:08:26.292]  You've got a thumb scan to clock in at work at Dillard's.
[00:08:26.872 --> 00:08:27.993]  You've got a thumb scan.
[00:08:28.333 --> 00:08:35.856]  They are admittedly, this is in their own documents, from the different convention meetings and things they've had,
[00:08:36.874 --> 00:08:39.415]  Where they promote all this, getting us ready for this.
[00:08:39.575 --> 00:08:43.417]  And then, then the corruption is going to be a hundred times worse.
[00:08:43.497 --> 00:08:47.598]  This is a psychopathic control grid, a straitjacket.
[00:08:47.859 --> 00:08:51.000]  So we're chained down so the devils can have their way.
[00:08:53.593 --> 00:08:54.254]  Exactly, Alex.
[00:08:54.354 --> 00:08:59.079]  And, uh, you know, uh, so they have facial recognition characteristics capabilities.
[00:08:59.480 --> 00:09:05.687]  So you walk down the street where there's all kinds of, uh, cameras, even on the spot, you're right there, because they got your number.
[00:09:05.927 --> 00:09:07.509]  They got your facial characteristics.
[00:09:07.869 --> 00:09:13.616]  But like I said, once you're tied to a little brain, they can immediately send a command from their, from their,
[00:09:15.497 --> 00:09:25.141]  Well, I agree.
[00:09:25.181 --> 00:09:32.724]  The people that want to be God and government for 50 years have been working on different wavelengths to make you happy, to make you sad, to make you nauseous, to kill you.
[00:09:33.445 --> 00:09:35.465]  And yes, they have cell tower systems.
[00:09:36.366 --> 00:09:37.906]  This has been in the mainstream news.
[00:09:37.987 --> 00:09:40.147]  They're testing what looks like cell towers.
[00:09:40.508 --> 00:09:41.108]  This is DARPA.
[00:09:42.443 --> 00:09:45.004]  Where it can literally control your mood.
[00:09:45.864 --> 00:09:49.986]  And of course, Bob Woodward is talking about this new super weapon they've got.
[00:09:50.386 --> 00:09:52.227]  These microwave guns that fry people.
[00:09:52.787 --> 00:10:02.691]  And so, what happens is the camera face scans you, a little drone flies by and shoots some radiation beams at you, and then you die a week later.
[00:10:03.894 --> 00:10:05.475]  And so that's why they're so arrogant.
[00:10:05.515 --> 00:10:11.897]  That's why they're like, look, we're going to take your property, we're going to play you all off against each other, and we're going to kill you.
[00:10:12.418 --> 00:10:13.238]  And you're going to like it.
[00:10:15.419 --> 00:10:22.722]  And that's what the soft kill cancer, the soft kill diabetes, all the things they're putting in the food and water and the shots, everybody getting sick.
[00:10:23.082 --> 00:10:25.043]  I mean, we're just like Africa.
[00:10:25.443 --> 00:10:27.003]  Just like Africa, they're killing people there.
[00:10:27.043 --> 00:10:27.924]  They're doing it here now.
[00:10:28.504 --> 00:10:30.405]  And it's just so sick.
[00:10:32.401 --> 00:10:34.824]  Well, this whole system is worldwide, Alex.
[00:10:34.864 --> 00:10:37.248]  Look, I travel to Mexico every month.
[00:10:37.308 --> 00:10:38.149]  I go to Tijuana.
[00:10:38.650 --> 00:10:49.024]  The streets are bare now, because in Mexico, the New World Order, through the complicity of the Mexican government, and of course, the Central Intelligence Agency is probably in there,
[00:10:49.588 --> 00:10:55.193]  ...into their control of the drug networks have perpetrated a wave of crime across Mexico.
[00:10:55.233 --> 00:11:01.359]  They have justified now the deployment of so much military all across various cities.
[00:11:01.419 --> 00:11:03.601]  They've deployed like 40,000... Oh, listen.
[00:11:03.661 --> 00:11:04.081]  Stay there.
[00:11:04.141 --> 00:11:04.762]  Stay there, Carlos.
[00:11:04.782 --> 00:11:06.964]  I'm going to hold you over because I want to hear about this from an eyewitness.
[00:11:07.785 --> 00:11:08.405]  But it's admitted.
[00:11:08.425 --> 00:11:08.866]  1,000 murders.
[00:11:11.769 --> 00:11:12.770]  Yes, we are.
[00:11:29.620 --> 00:11:33.202]  And if you want to work for the Justice Department in Mexico, you've got to take a chip.
[00:11:33.262 --> 00:11:34.563]  So see, it's happening.
[00:11:34.803 --> 00:11:40.426]  But I say it's happening, they'll arrest me for being mentally ill, even though it's in the news.
[00:11:40.886 --> 00:11:42.747]  Let's skip the break, let's skip the break.
[00:11:43.227 --> 00:11:45.448]  John, I want to skip it, I want to go to Carlos.
[00:11:45.769 --> 00:11:47.850]  Carlos, I don't want to waste any time.
[00:11:48.930 --> 00:11:50.051]  People can pull this up.
[00:11:52.032 --> 00:11:55.834]  Google, like, conspiracy theorist, you know, new mental illness designation.
[00:11:56.716 --> 00:12:02.380]  And if you think the government's corrupt, they call it opposition something disorder.
[00:12:02.400 --> 00:12:04.001]  They've got all these different disorders.
[00:12:04.361 --> 00:12:09.485]  But they say that it is a schizophrenic mental illness to say the government wants to put chips in you.
[00:12:09.845 --> 00:12:11.967]  But I've had police chiefs on who say, I've got a chip.
[00:12:12.327 --> 00:12:14.909]  I want to make everybody take chips in my town, Bergen County.
[00:12:16.470 --> 00:12:18.911]  A police chief, they have a police chief for the county in Bergen County.
[00:12:19.252 --> 00:12:20.913]  That's across the water from New York.
[00:12:22.254 --> 00:12:23.534]  It's around Newark, New Jersey.
[00:12:24.595 --> 00:12:25.936]  I've had all these other people on.
[00:12:25.977 --> 00:12:30.460]  I've had the Applied Digital Solutions Company owner on, saying they want to make people take microchips.
[00:12:30.921 --> 00:12:33.683]  But then it doesn't exist, Carlos, and we're crazy.
[00:12:35.905 --> 00:12:43.012]  Well, Alex, you know, the Plan Mexico, now there was a Plan Colombia, where the U.S.
[00:12:43.052 --> 00:12:46.895]  government provided so many millions to so-called fight the drug networks.
[00:12:47.676 --> 00:12:51.319]  But we know it's being used to create havoc and conflict.
[00:12:52.083 --> 00:12:53.004]  Between both sides.
[00:12:53.024 --> 00:12:54.946]  Now there's a plan in Mexico.
[00:12:54.966 --> 00:13:00.810]  They're appropriating $500 million to fight so-called drug networks.
[00:13:00.870 --> 00:13:01.951]  And we know where that's going.
[00:13:01.991 --> 00:13:05.174]  That's going to militarize the whole thing in Mexico.
[00:13:05.794 --> 00:13:15.622]  And like I say, when I go to Tijuana, I see all kinds of trucks with military people toting their guns and showing off their guns.
[00:13:15.942 --> 00:13:18.865]  It's a state of... It's a police state, basically.
[00:13:18.885 --> 00:13:20.346]  People are now intimidated.
[00:13:20.885 --> 00:13:24.748]  The streets are barren, the tourism has dropped by 50 percent.
[00:13:25.548 --> 00:13:27.030]  Well, notice what happened.
[00:13:27.570 --> 00:13:34.495]  Calderon steals his way into office and then magically wars and mass death.
[00:13:34.575 --> 00:13:36.196]  I mean, more dangerous than Iraq, folks.
[00:13:36.917 --> 00:13:37.357]  Much more.
[00:13:37.497 --> 00:13:38.478]  Flare up everywhere.
[00:13:38.498 --> 00:13:41.860]  And then we have Celica Stillo on.
[00:13:41.880 --> 00:13:42.901]  I keep forgetting.
[00:13:42.921 --> 00:13:44.923]  Let's get Celica Stillo back on the show.
[00:13:44.943 --> 00:13:46.024]  I'm going to get him back on.
[00:13:46.966 --> 00:13:48.087]  Write that down for me, thanks.
[00:13:48.968 --> 00:13:59.617]  All of this just explodes, and the CIA is funding Los Santos, funding the drug cartels, and they're having wars with the smaller cartels so that the U.S.
[00:13:59.657 --> 00:14:06.923]  banks get a monopoly over the drug money, and there is a full-scale war going on, but you hardly hear about it in our news.
[00:14:07.364 --> 00:14:10.587]  Two thousand dead on the Texas-Mexico border.
[00:14:11.536 --> 00:14:12.277]  This year alone.
[00:14:12.317 --> 00:14:14.638]  A few years ago we thought 800 and something was bad.
[00:14:15.399 --> 00:14:16.200]  2,000 dead.
[00:14:16.300 --> 00:14:17.541]  Hundreds dead on our side.
[00:14:18.001 --> 00:14:18.722]  Dead U.S.
[00:14:18.762 --> 00:14:19.122]  cops.
[00:14:20.343 --> 00:14:21.263]  Dead citizens.
[00:14:22.044 --> 00:14:25.286]  And it's not even hardly in our media, again.
[00:14:26.107 --> 00:14:30.350]  But some kids shoot somebody and they say, let's ban guns in the U.S.
[00:14:30.390 --> 00:14:31.932]  So tell me what else you're seeing in Mexico.
[00:14:32.912 --> 00:14:39.798]  Well, I mean, you know, the strides, tremendous strides are being made toward the imposition of the police.
[00:14:40.982 --> 00:14:45.104]  In the various cities in Mexico, now you got military by the thousands.
[00:14:45.184 --> 00:14:49.547]  Culiacan, Tijuana, Monterrey.
[00:14:50.027 --> 00:14:59.372]  In Monterrey alone, people are afraid to go night clubbing because all the nightclubs, they were starting to have many attacks on the nightclubs, many killings.
[00:14:59.872 --> 00:15:06.716]  Last week, in three different states in Mexico, headless bodies popped up all over the place.
[00:15:07.338 --> 00:15:14.421]  Well, they found eight bodies, what, eight bodies, or was it twelve bodies in one day in Yucatan.
[00:15:16.282 --> 00:15:16.722]  Exactly.
[00:15:17.843 --> 00:15:33.891]  And it all comes from, of course, the drug networks in conjunction with the gangs, in conjunction with the CIA, and that's all to create an aura of fear to justify the militarization of Mexico and eventually the microchipping of the population.
[00:15:34.011 --> 00:15:36.512]  Well, I agree, and hold on, here we go, here we go.
[00:15:46.474 --> 00:15:49.355]  All right, we are back live, ladies and gentlemen.
[00:15:49.375 --> 00:15:51.776]  We're talking to Carlos in California.
[00:15:52.776 --> 00:16:04.241]  I skipped that segment for Infowars.com audio stream listeners and PrisonPlanet.tv viewers, but Carlos was talking about all the deaths.
[00:16:05.201 --> 00:16:08.142]  I mean, it's just mass murder, all CIA run down there.
[00:16:08.703 --> 00:16:14.725]  And notice it's how right when this president who stole his way into power gets in, suddenly all the mass killing starts.
[00:16:15.908 --> 00:16:20.434]  And Bush is talking about a hundred plus million dollars to fight the war on drugs.
[00:16:21.496 --> 00:16:22.237]  And what's it produce?
[00:16:22.978 --> 00:16:25.261]  Tens of thousands dead, total destruction of their
[00:16:26.175 --> 00:16:26.695]  Tourism.
[00:16:27.116 --> 00:16:31.819]  People are starting to not go to Cancun now because of all the murder down there.
[00:16:32.259 --> 00:16:33.921]  Society is unraveling.
[00:16:33.941 --> 00:16:35.181]  We're becoming cavemen.
[00:16:35.562 --> 00:16:39.745]  The crooks that run things now just have no sense.
[00:16:40.705 --> 00:16:43.447]  And we're becoming a third world nation just like Mexico.
[00:16:43.928 --> 00:16:44.828]  And that's where we're going to go.
[00:16:44.948 --> 00:16:45.829]  No middle class.
[00:16:46.509 --> 00:16:48.351]  Americans living in cardboard boxes.
[00:16:49.251 --> 00:16:50.752]  You wanted it, you're going to get it.
[00:16:51.793 --> 00:16:52.754]  Anything else, Carlos?
[00:16:53.902 --> 00:17:15.784]  Well, that's what I'm saying, that people gotta be aware that the police state is making a lot of headway here, but it's all Mexican, making a lot of headway in Mexico, and, you know, it's part of a global police state, and so we just gotta be aware of all this stuff, and just try to do as much as we can to alert our friends, our families,
[00:17:16.385 --> 00:17:16.986]  I don't know.
[00:17:28.305 --> 00:17:36.891]  Well, see, now that there's mass killings in almost every town every day, and government-backed, now the government can pose as the savior.
