[00:00:06.092 --> 00:00:06.392]  He's here.
[00:00:09.034 --> 00:00:15.257]  All right, ladies and gentlemen, we've got Naomi Wolf coming up in about 55 minutes from now.
[00:00:15.317 --> 00:00:24.242]  She's written the best-selling book, The End of America, and she now sounds just like this talk show host, very prominent in the progressive liberal community.
[00:00:24.622 --> 00:00:27.864]  She's coming out talking about the plans for martial law in the United States.
[00:00:28.484 --> 00:00:31.986]  And don't think that if John McCain or Barack Obama get elected, this will stop.
[00:00:32.487 --> 00:00:37.890]  They are literally controlled by the military-industrial complex, and she's going to be on talking about that today.
[00:00:37.930 --> 00:00:43.894]  In fact, she's valiantly explaining that we're under, basically, military control by the big offshore banks.
[00:00:44.755 --> 00:00:45.916]  And so that's coming up.
[00:00:46.716 --> 00:00:46.816]  Yes.
[00:00:59.577 --> 00:01:02.759]  Fuel of oil down to $60.
[00:01:02.799 --> 00:01:04.700]  People laughed at him, but he was right.
[00:01:04.800 --> 00:01:05.260]  It happened.
[00:01:05.320 --> 00:01:06.180]  What's behind that?
[00:01:06.561 --> 00:01:08.942]  He'll be joining us in the fourth hour today.
[00:01:10.282 --> 00:01:24.590]  But without further ado, for the rest of the hour, I am extremely honored to be joined by my favorite country and western singer, and one of my favorite movie stars as well, but really who he is is my favorite humanitarian.
[00:01:25.350 --> 00:01:33.935]  A person who is so down to earth and so decent and involved in so many great causes that I share and that many others share, Willie Nelson.
[00:01:34.415 --> 00:01:36.516]  And Willie Nelson joins us from Texas.
[00:01:37.117 --> 00:01:38.437]  Willie, thank you for coming on today.
[00:01:39.178 --> 00:01:39.838]  My pleasure.
[00:01:39.878 --> 00:01:40.679]  Good to be here.
[00:01:40.699 --> 00:01:42.099]  I'm a little bit late.
[00:01:42.920 --> 00:01:46.722]  I apologize for that, but it's good to be with you.
[00:01:46.782 --> 00:01:47.322]  How are you doing?
[00:01:48.103 --> 00:01:48.683]  Willie, don't worry.
[00:01:48.703 --> 00:01:49.844]  I only had three heart attacks.
[00:01:53.092 --> 00:01:54.673]  Well, I got hung up a little bit.
[00:01:54.713 --> 00:01:55.634]  You know how that goes.
[00:01:55.714 --> 00:01:56.675]  Sir, are you kidding?
[00:01:56.775 --> 00:02:01.800]  I'm not one-tenth as busy as you and I'm constantly forgetting interviews or getting the time zone wrong.
[00:02:02.601 --> 00:02:06.044]  This is our fourth interview and you've always made it and that's just amazing.
[00:02:06.725 --> 00:02:12.811]  Willie, there is so much to talk about, so much going on that is developing.
