[00:00:00.069 --> 00:00:00.230]  Hmm?
[00:00:00.512 --> 00:00:01.256]  Learn to be a right...
[00:00:02.122 --> 00:00:07.964]  Okay, we are now live at PrisonPlanet.tv here in the last hour and 12 minutes or so of the show.
[00:00:07.984 --> 00:00:09.585]  She's with us for the next 45 or so.
[00:00:09.985 --> 00:00:20.149]  Got her on a bit late because I wanted to finish up with the history of the riflemen in this country and trying to re-educate the public that they've been brainwashed against the Second Amendment.
[00:00:20.449 --> 00:00:21.289]  So that's what we're doing here.
[00:00:21.349 --> 00:00:24.871]  Betty Martini hasn't been on the show in years, but I've interviewed her many times.
[00:00:25.511 --> 00:00:30.433]  Another example, another solution of someone single-mindedly taking action.
[00:00:31.451 --> 00:00:58.135]  In the last few decades, she has woken up millions of people, been on international TV, radio, thousands of times, international TV, scores of times, with her website about aspartame, the doctors, the scientists, the research she's brought together, just handing out hundreds of thousands of pamphlets about aspartame, known as NutraSweet or Equal, just how deadly it is, all the scientific evidence, the brain tumors, the excitotoxin, the endocrine disruptor,
[00:00:58.655 --> 00:01:00.196]  To where a lot of governments have banned it.
[00:01:00.436 --> 00:01:02.496]  A lot of countries now put warning labels that the U.S.
[00:01:02.516 --> 00:01:03.116]  doesn't yet.
[00:01:03.557 --> 00:01:10.259]  But now they are putting it in thousands and thousands of products and not even listing it as aspartame.
[00:01:10.279 --> 00:01:17.901]  You can't buy at any major store bubble gum or chewing gum that doesn't have it, even when it's not artificial.
[00:01:18.522 --> 00:01:21.563]  Even when it says regular sugar, not sugar-free, they're adding aspartame.
[00:01:21.843 --> 00:01:22.643]  How is that happening?
[00:01:22.683 --> 00:01:23.423]  Why is that happening?
[00:01:23.723 --> 00:01:25.664]  Betty, it's great to have you back on with us.
[00:01:26.317 --> 00:01:30.545]  It certainly has been a long time, Alex, but I'm so glad to talk to you again.
[00:01:30.565 --> 00:01:39.101]  I remember how we started out many, many years ago, and there really is a lot going on about aspartame today in the world.
[00:01:39.423 --> 00:01:40.583]  Okay, we're going to break in a moment.
[00:01:40.603 --> 00:01:43.445]  I'm going to give you the floor for the 40-50 minutes we've got with you today.
[00:01:43.485 --> 00:01:46.986]  We're going to be back up with Dr. Blaylock soon because I haven't really covered this in years.
[00:01:47.006 --> 00:01:52.988]  I'm going to get back into it with all the melamine news and the plastic toxins news and the lead in the toys news.
[00:01:53.388 --> 00:01:55.309]  That is all dwarfed by the aspartame.
[00:01:55.829 --> 00:01:58.330]  And so, just recap how you got involved in this.
[00:01:58.350 --> 00:01:59.010]  We're going to come back.
[00:01:59.110 --> 00:02:00.151]  What is aspartame?
[00:02:00.491 --> 00:02:03.312]  A brief snapshot of its history and where we currently are.
[00:02:07.512 --> 00:02:10.474]  Betty, so go ahead and tell us a little bit about yourself for folks that don't know you.
[00:02:11.194 --> 00:02:11.635]  Okay.
[00:02:12.395 --> 00:02:17.818]  First of all, I'm the founder of Mission Possible International, which is a global volunteer force.
[00:02:17.898 --> 00:02:19.319]  I work with world experts.
[00:02:19.359 --> 00:02:27.424]  We have operations today in 30-down nations, everybody working free to warn the world about aspartame.
[00:02:27.924 --> 00:02:30.166]  That started out many years ago.
[00:02:30.286 --> 00:02:33.828]  I think I've been doing this now close to 17 years.
[00:02:33.848 --> 00:02:35.429]  Never thought it would take this long.
[00:02:35.990 --> 00:02:43.715]  When someone almost died from aspartame after being diagnosed with Parkinson's, when I met Dr. H.J.
[00:02:43.775 --> 00:02:56.023]  Roberts, who explained aspartame not only can precipitate Parkinson's, but interacts with L-DOPA, and he was probably drinking a Diet Coke with his L-DOPA, which is exactly what he was doing.
[00:02:56.524 --> 00:03:05.810]  And after reading his first book and finding out about the MS issue and seizures that would get people off of aspartame and their seizures would stop,
