[00:00:13.493 --> 00:00:15.434]  It is already the second day of July 2008.
[00:00:15.494 --> 00:00:22.219]  Truth Rising comes out in a little more than 24 hours on July 4th.
[00:00:22.699 --> 00:00:24.480]  Online at PrisonPlanet.tv.
[00:00:24.921 --> 00:00:26.942]  Get the DVD at InfoWars.com.
[00:00:28.923 --> 00:00:29.964]  Very excited about that.
[00:00:30.244 --> 00:00:31.725]  My first cinema verite film.
[00:00:32.586 --> 00:00:33.807]  Turned out better than I thought it would.
[00:00:34.027 --> 00:00:34.567]  It's excellent.
[00:00:35.168 --> 00:00:36.909]  I was coming back from Bilderberg Group.
[00:00:38.160 --> 00:00:50.230]  About a month ago, there in Virginia, and I was in the airport, and there were all these mindless neocon books and mainline stuff, and nothing interesting, and I saw Dark Mission, The Secret History of NASA.
[00:00:50.991 --> 00:01:01.299]  And I have a friend who was an engineer at NASA, and actually on the flight line, you know, there in Mission Control for some of the Apollo missions, and he said, running some of the RCA cameras, he said, you ought to read Dark Mission.
[00:01:01.760 --> 00:01:02.580]  I'll just leave it at that.
[00:01:04.215 --> 00:01:20.140]  A few years ago, and I picked it up and I read it, and so much, everything that I had done my own separate research, or run into, or seen historically in mainline history, you know, the occult, you name it, everything Richard Hoagland was saying was accurate.
[00:01:21.200 --> 00:01:30.943]  And then, there are a lot of areas in there that's his original research, and so, if everything you know checks out, then it really freaks you out, you say, this sounds credible.
[00:01:33.104 --> 00:01:45.692]  And really a frightening book, because having a shadow government, having an elite where they have suppressed advanced technologies, we know they have that, they've been caught many times, who knows what's really going on?
[00:01:45.712 --> 00:01:48.033]  You know, that's the bigger issue is, we can't trust them.
[00:01:48.714 --> 00:01:50.134]  And they've been caught lying so much.
[00:01:50.595 --> 00:01:58.960]  And this book gets into Alistair Crowley and all these people being involved in the founding of NASA, which is really mainline history the average person doesn't know, and JPL, and
[00:01:59.540 --> 00:02:04.283]  The rest of it, that I couldn't put the book down, Dark Mission, New York Times Best Seller.
[00:02:04.303 --> 00:02:05.764]  I guess other people couldn't put it down either.
[00:02:06.384 --> 00:02:10.706]  And he's got a new edition of it out, and I'm telling you, this is just an amazing book.
[00:02:10.746 --> 00:02:12.167]  By the way, I'm not selling the book.
[00:02:12.307 --> 00:02:15.149]  We have a bookstore online, but I'm not selling the book.
[00:02:15.189 --> 00:02:16.850]  I'm saying you really should get the book.
[00:02:17.984 --> 00:02:22.147]  And, you know, whether it's all true or whether all of his ideas are right, I don't know.
[00:02:22.167 --> 00:02:25.869]  But, you know, he's got quite a pedigree and he's a really nice fellow, too.
[00:02:26.389 --> 00:02:34.354]  Richard C. Hoagland was science advisor to Walter Cronkite in CBS News during the Apollo program, former curator of the Hayden Planetarium and consultant to NASA.
[00:02:34.795 --> 00:02:36.676]  He is the co-originator, along with Eric
[00:02:37.356 --> 00:02:48.100]  Burgress of the British Interplanetary Society, of the Pioneer plaque, you know that gold plaque they sent out, currently carrying a message for mankind on the Pioneer 10 spacecraft.
[00:02:48.140 --> 00:02:58.284]  And it goes on and on and on, all the things he's done in the Enterprise Institute, he heads up, and of course he's one of the most popular long-term guests on Coast to Coast AM.
[00:02:58.564 --> 00:03:01.965]  So we go to Richard C. Hoagland right now.
[00:03:02.305 --> 00:03:06.147]  Richard Hoagland, it is just wonderful to have you on the show with us, sir.
[00:03:06.847 --> 00:03:11.314]  Alex, thank you so much for inviting me and I must say I'm really happy to be here.
[00:03:12.315 --> 00:03:13.316]  Well, I'm happy to have you.
[00:03:13.436 --> 00:03:14.697]  Sir, you're the expert on all this.
[00:03:14.737 --> 00:03:18.600]  First, tell us a little bit about Richard Huggle, and believe it or not, some of my audience may not know who you are.
[00:03:19.080 --> 00:03:34.252]  Your saga, your awakening, and then I want to get into the crazy, admitted, this is something you can prove, history of NASA, skip forward to the kidnappings and what would be murders and crazy women running around and the wheels coming off NASA, as you put it.
[00:03:35.412 --> 00:03:40.977]  And then we'll go back into the secret government and the masonic flags and all the really crazy stuff.
[00:03:42.042 --> 00:03:59.591]  Well, you know, you and I, and a lot of other people, have had an evolution, kind of a maturing, you know, we both grew up, I'm absolutely convinced, even though I don't know your story chapter by chapter, but I'm convinced you grew up like me, believing in, you know, truth, justice, the American way.
[00:04:00.612 --> 00:04:11.057]  And that we lived in the best country in the world, and it was founded by people that had fascinating ideas, and it was the freest, and it allowed people the widest diversity,
[00:04:12.077 --> 00:04:26.100]  And it's only as you grow older and you start asking difficult questions, and you pull up the corners of the rug and you kind of look under, that you realize that that is a very carefully kept facade.
[00:04:26.960 --> 00:04:33.181]  That in fact, society we live in now bears no resemblance to what we were taught in school.
[00:04:33.902 --> 00:04:36.962]  And about all the silly and stupid things, yes, we're free.
[00:04:37.842 --> 00:04:40.423]  About all the important things, Alex, we're not free.
[00:04:41.500 --> 00:04:45.461]  And the thing that will make you free is to not believe what you're told.
[00:04:46.161 --> 00:04:47.022]  It's as simple as that.
[00:04:47.662 --> 00:05:08.808]  So when I started out, Squeaky Clean Mainstream, you know, Cronkite, NASA, museums, science, and all that, and I came through a series of deep, penetrating questions to the belief that not only have we been lied to by NASA about almost everything that they've told us that's out there, but we've been told lies about everything that means everything to anybody.
[00:05:09.750 --> 00:05:11.071]  And there's almost no limit.
[00:05:11.111 --> 00:05:17.914]  I mean, the kind of watchword, the mantra of Dark Mission is, the lie is different at every level.
[00:05:18.854 --> 00:05:26.818]  And I was given that by an intel officer, who has been one of my dark, deep sources for years and years, who has never steered me wrong.
[00:05:27.118 --> 00:05:31.640]  So you're saying, wheels within wheels, lies within lies, piled on the next one.
[00:05:31.980 --> 00:05:33.721]  To maintain the illusion.
[00:05:34.502 --> 00:05:37.363]  And of course, this audience is well familiar with your work.
[00:05:38.135 --> 00:05:46.101]  So we can skip all the stuff that I normally have to do to bring people up the curve, and today it might be useful to explore why.
[00:05:46.781 --> 00:05:48.142]  What the hell's the endgame?
[00:05:48.242 --> 00:05:49.063]  What's the point?
[00:05:49.863 --> 00:05:52.445]  Why lead people down the primrose path?
[00:05:52.565 --> 00:05:54.406]  Where did we go off the path?
[00:05:55.107 --> 00:05:56.888]  And how can we get back on the path?
[00:05:56.908 --> 00:06:06.575]  Because I firmly believe that we are not powerless, that we actually can change this curve, that we are masters of our own fate, captains of our destiny,
[00:06:07.270 --> 00:06:09.393]  But we have to wake up a lot more people.
[00:06:09.933 --> 00:06:12.696]  It really only takes about 2%, Alex, to change history.
[00:06:12.717 --> 00:06:13.838]  Well, you're right, Richard Hoagland.
[00:06:13.878 --> 00:06:16.040]  Can we go back, though, to your first awakenings?
[00:06:16.060 --> 00:06:23.009]  I mean, when did you start at NASA and at CBS and a big curator and, you know, designing what's sent off in spacecraft?
[00:06:23.730 --> 00:06:25.291]  You know, a big conceptual guy.
[00:06:25.351 --> 00:06:27.194]  When did you start going, something's wrong here?
[00:06:27.924 --> 00:06:30.865]  Okay, oh gosh, and how many hours have we got?
[00:06:32.505 --> 00:06:41.668]  I started out, you know, school and the museum and I was, you know, kind of a prodigy and I was the youngest curator in the United States for a while.
[00:06:41.688 --> 00:06:42.848]  Of course, I grew out of that one.
[00:06:43.708 --> 00:06:57.192]  And I, you know, when you're 18 and in a museum and the mayor is calling you in for advice on how to increase, you know, revenues in the city through cultural diversity and all that, it gives you a kind of heavy feeling you can do anything.
[00:06:57.955 --> 00:07:00.257]  So I would pick up the phone, and I would call anybody in the country.
[00:07:00.297 --> 00:07:01.357]  I'd call people at NASA.
[00:07:01.457 --> 00:07:02.698]  I'd call people in the government.
