[00:00:00.109 --> 00:00:02.473]  More on corruption.
[00:00:02.974 --> 00:00:05.739]  Alex Jones on the GCN Radio Network.
[00:00:17.341 --> 00:00:21.123]  Max Keiser has been on with us for the last 35 minutes or so of air time.
[00:00:21.163 --> 00:00:21.924]  He's been with us for another 20.
[00:00:22.044 --> 00:00:24.365]  We're now going directly to your phone calls.
[00:00:24.405 --> 00:00:29.448]  We are also now live in the fourth hour of the radio show at PrisonPlanet.tv.
[00:00:29.488 --> 00:00:33.671]  We're going to be taking your phone calls for the balance at the end of the show.
[00:00:33.691 --> 00:00:38.094]  Getting a quick pop-in from Dean Barkley running for Senate up in Minnesota.
[00:00:39.114 --> 00:00:41.836]  But we'll be taking your calls continually for the rest of this hour.
[00:00:42.416 --> 00:00:46.459]  We were just talking about what's going to happen in this country, what the private bankers have done to us.
[00:00:47.099 --> 00:00:48.299]  With Max Keiser.
[00:00:48.639 --> 00:00:53.700]  And of course, Max Keiser is an international TV presenter on Al Jazeera, radio host, entrepreneur.
[00:00:54.501 --> 00:01:02.962]  He also, again, is the inventor of quite a few different market technologies, like the virtual specialist technology prediction markets.
[00:01:03.443 --> 00:01:07.644]  And he, of course, has been a stockbroker as well, top stockbroker.
[00:01:08.184 --> 00:01:09.144]  Let's go to your phone calls.
[00:01:09.164 --> 00:01:10.184]  These will be all over the map.
[00:01:10.204 --> 00:01:10.984]  Appreciate you holding.
[00:01:11.344 --> 00:01:13.785]  Francis in Colorado, you're on the air.
[00:01:13.825 --> 00:01:14.205]  Go ahead.
[00:01:14.545 --> 00:01:17.788]  Yeah, hi Alex, this is Fran Schur from Denver.
[00:01:17.928 --> 00:01:20.910]  I'm one of the founders of Colorado 9-11 Visibility.
[00:01:21.531 --> 00:01:28.877]  I have more information on our 9-11 truth friend, Sean Fitzgerald, who's in a hospital in Thailand.
[00:01:28.937 --> 00:01:31.939]  I need to let you know because this is a matter of life or death for him.
[00:01:31.959 --> 00:01:34.521]  Okay, his dad called an earlier hour.
[00:01:34.561 --> 00:01:35.702]  Yeah, his dad called you.
[00:01:35.722 --> 00:01:40.006]  I've got more information about it, about what happened and how we can help him.
[00:01:40.146 --> 00:01:41.807]  Okay, go ahead.
[00:01:41.867 --> 00:01:44.089]  First of all, he and his wife are working
[00:01:44.651 --> 00:01:45.391]  In Thailand.
[00:01:46.932 --> 00:01:49.433]  And he's been very outspoken about 9-11 truth.
[00:01:50.413 --> 00:01:59.356]  He found himself then being followed by Thai military, and last night he had an automobile accident, which was very questionable.
[00:01:59.456 --> 00:02:02.037]  Yeah, we've been emailed the story, so how do we help him in the hospital?
[00:02:02.057 --> 00:02:03.778]  I mean, what's happening to him?
[00:02:03.898 --> 00:02:05.138]  Mae Sot Hospital.
[00:02:05.298 --> 00:02:07.859]  M-A-E-S-O-T Hospital.
[00:02:07.919 --> 00:02:08.660]  That's two words.
[00:02:08.760 --> 00:02:09.220]  Mae Sot.
[00:02:10.151 --> 00:02:17.834]  And he is now also, he's being, military police are coming in and observing him in the hospital.
[00:02:17.874 --> 00:02:19.294]  He's very scared for his life.
[00:02:19.955 --> 00:02:25.137]  How you can help him is to fax or call the Maysoth Hospital.
[00:02:25.797 --> 00:02:27.958]  And that's very easy to look up online.
[00:02:28.038 --> 00:02:28.978]  Or you can call me.
[00:02:29.058 --> 00:02:30.479]  I can give you my telephone number.
[00:02:30.739 --> 00:02:31.519]  Okay, go ahead.
[00:02:31.559 --> 00:02:32.920]  I mean, I think people should call the U.S.
[00:02:32.980 --> 00:02:33.800]  Embassy, but go ahead.
[00:02:34.280 --> 00:02:34.900]  Yeah, that's right.
[00:02:34.920 --> 00:02:35.621]  Has anybody done that?
[00:02:35.641 --> 00:02:36.301]  You can call the U.S.
[00:02:36.341 --> 00:02:37.141]  State Department.
[00:02:37.201 --> 00:02:39.022]  That's also very easy to find online.
[00:02:40.197 --> 00:02:42.340]  Uh, but call me, can I give my telephone number?
[00:02:42.360 --> 00:02:42.740]  Sure, go ahead.
[00:02:43.140 --> 00:02:47.105]  You all can, and Alex, your staff can call me, and I can help you with this too.
[00:02:47.185 --> 00:02:51.890]  I mean, I don't even know if he's in a car wreck at the hospital, but we'll see if something's happening.
[00:02:51.930 --> 00:02:52.270]  Go ahead.
[00:02:52.451 --> 00:02:56.235]  My number, so you can call me, Alex, your staff, or anyone else, 303-778-7511.
[00:03:01.527 --> 00:03:01.707]  303-778-7511.
[00:03:01.747 --> 00:03:06.809]  Okay, I'm going to track this and watch this and see if there's an issue there.
[00:03:07.310 --> 00:03:09.571]  I've talked to his dad, and we've got emails from him.
[00:03:09.951 --> 00:03:14.893]  Our car wreck, and I mean, Thailand's a total police state, so I wouldn't live there, but we'll try to follow this.
[00:03:14.913 --> 00:03:16.034]  The State Department needs to be called.
[00:03:16.494 --> 00:03:18.335]  Okay, let's talk to Scott in Arizona.
