[00:00:00.289 --> 00:00:05.652]  ...to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com.
[00:00:05.652 --> 00:00:09.975]  Shop now at Pepperspray.com or call 1-800-908-9988.
[00:00:09.975 --> 00:00:15.398]  That's 1-800-908-9988.
[00:00:15.398 --> 00:00:20.441]  Pepperspray.com wishes you and yours a safe and happy holiday season.
[00:00:20.441 --> 00:00:23.003]  ...plan will feel the pain from cutbacks.
[00:00:23.003 --> 00:00:26.144]  Details on the... You're listening to GCN.
[00:00:28.611 --> 00:00:29.354]  O.B.J.
[00:00:29.354 --> 00:00:30.337]  Austin, Texas.
[00:00:34.006 --> 00:00:35.828]  IRN USA Radio News.
[00:00:35.828 --> 00:00:36.968]  I'm Jody Jordan.
[00:00:36.968 --> 00:00:41.592]  British Prime Minister Gordon Brown has been meeting with leaders of Pakistan and India today.
[00:00:41.592 --> 00:00:46.836]  He's been pledging more support in the war on terrorism and funding in the wake of the deadly attacks in India.
[00:00:46.836 --> 00:01:03.509]  We will act specifically to develop Pakistani bomb disposal capability, to provide scanning equipment, particularly to help detect car bombs, to finance and help with the extremism centers, and to help with legislation where necessary against terrorism.
[00:01:03.729 --> 00:01:11.656]  Also today, NDS Prime Minister is calling for normalized relations with Pakistan amid rising tensions between the neighbors.
[00:01:11.656 --> 00:01:12.897]  Here's Sam Dolnik.
[00:01:12.897 --> 00:01:14.278]  Kashmir's always been kind of...
[00:01:25.720 --> 00:01:33.190]  Long-term symptoms of stress like compulsive barking, chewing, digging, jumping, aggression, and other undesirable behavior.
[00:01:33.190 --> 00:01:36.374]  And because poise is all natural, they're safe and non-addictive.
[00:01:36.374 --> 00:01:37.615]  For us, it's simple.
[00:01:37.615 --> 00:01:39.938]  A calmer dog is a happier dog.
[00:01:39.938 --> 00:01:42.101]  And because he's happier, we're happier.
[00:01:42.381 --> 00:01:45.504]  Call right now for your 30-day risk-free trial of POIS.
[00:01:45.504 --> 00:01:45.865]  Call 1-800-733-0904.
[00:01:45.865 --> 00:01:46.085]  That's 1-800-733-0904.
[00:01:46.085 --> 00:01:48.087]  Veterinarian developed and recommended.
[00:01:48.087 --> 00:01:48.467]  Call 1-800-733-0904.
[00:01:48.467 --> 00:01:48.728]  That's 1-800-733-0904.
[00:02:00.555 --> 00:02:05.139]  Northeast utility officials are trying to recover from a devastating ice storm.
[00:02:05.139 --> 00:02:08.502]  Hundreds of thousands of customers remain without power.
[00:02:08.502 --> 00:02:13.927]  President Bush has declared a state of emergency in nine Massachusetts counties and all of New Hampshire.
[00:02:14.542 --> 00:02:20.584]  This Kittery, Maine resident says she and her husband have been without power and running water since early Friday.
[00:02:20.584 --> 00:02:21.885]  There was no power.
[00:02:21.885 --> 00:02:26.766]  I heard crashes out here, so we knew it wasn't going to be pretty.
[00:02:26.766 --> 00:02:31.748]  And the White House is weighing its options on ways to prevent a collapse of the troubled auto industry.
[00:02:32.429 --> 00:02:42.496]  Financial experts say White House officials could help the auto industry by tapping into the $700 billion bailout fund or using part of the bailout for emergency loans.
[00:02:42.496 --> 00:02:43.597]  Here's Deb Riekman.
[00:02:43.597 --> 00:02:49.481]  The White House and the Treasury officials this weekend are weighing the pros and cons of a range of bailout actions.
[00:02:49.481 --> 00:02:54.164]  They are not saying a whole lot, but a few ideas are bumbling to the top of the debate.
[00:02:54.164 --> 00:02:57.767]  For more news and analysis, log on to IRNnews.com.
[00:03:00.228 --> 00:03:02.330]  Do you suffer from cold sores?
[00:03:02.330 --> 00:03:07.814]  Relieve One Day Cold Sore Symptom Treatment is out to prove how fast it really works.
[00:03:07.814 --> 00:03:15.200]  If you suffer from those nasty sores, try Relieve and find out for yourself if Relieve works really fast for you.
[00:03:15.200 --> 00:03:18.522]  Relieve is spelled R-E-L-E-E-V.
[00:03:18.522 --> 00:03:21.805]  It's easy to find and is in all major drugstores.
[00:03:21.805 --> 00:03:28.250]  So if you get cold sores, remember to get Relieve now and keep it ready to use the moment a cold sore attacks.
[00:03:30.569 --> 00:03:34.918]  The Upper Midwest is joining the Northeast with winter weather problems.
[00:03:34.918 --> 00:03:40.790]  National Weather Service meteorologist Sam Walker says the snow and severe cold are keeping people inside.
[00:03:42.688 --> 00:03:44.449]  The wave of youth violence in Greece is continuing.
[00:03:44.449 --> 00:03:47.172]  Scores of young people attacked a police station, stores, and banks on Saturday.
[00:04:06.849 --> 00:04:09.051]  More riots broke out last night.
[00:04:09.051 --> 00:04:10.813]  Here's Demetrius Nellis.
[00:04:10.813 --> 00:04:19.480]  Last night's riots erupted after a candlelight vigil commemorating the one week since the teenager was shot by a policeman.
[00:04:19.480 --> 00:04:23.964]  President George W. Bush is making an unannounced visit to Iraq.
[00:04:23.964 --> 00:04:30.550]  The president is having a rapid-fire series of meetings with top Iraqi officials there, as well as with U.S.
[00:04:30.550 --> 00:04:31.031]  commanders.
[00:04:31.696 --> 00:04:38.281]  Bush and Prime Minister Nouri al-Maliki are celebrating the recent security agreement between the two nations.
[00:04:38.281 --> 00:04:46.968]  Iraq's Defense Ministry says some American troops may remain in urban areas beyond a summer deadline to pull back, but only with the government's permission.
[00:04:46.968 --> 00:04:49.130]  The comments come a day after the top U.S.
[00:04:49.130 --> 00:04:55.835]  general announced troops might continue working with Iraq's security forces in the cities even after the deadline.
[00:04:55.835 --> 00:04:58.838]  I'm Jody Jordan for IRN USA Radio News.
[00:05:00.603 --> 00:05:04.746]  You don't have to be in the military to enjoy military surplus savings.
[00:05:04.746 --> 00:05:10.931]  Right now at MainMilitary.com you'll find savings on the top must-have military supplies.
[00:05:10.931 --> 00:05:12.813]  M10 gas masks for $12 or 3 for $30.
[00:05:12.813 --> 00:05:14.514]  Gas mask hoods $4 or 3 for $10.
[00:05:14.514 --> 00:05:15.575]  Mask filters $6 or 3 for $15.
[00:05:15.575 --> 00:05:17.176]  Save big on British chemical suits only $12.
[00:05:17.176 --> 00:05:17.596]  Israeli gas masks $20.
[00:05:24.642 --> 00:05:28.286]  Trigger finger gloves, $5 a pair or $36 a dozen.
[00:05:28.286 --> 00:05:31.610]  Snowshoe binding for $8 or $48 a dozen.
[00:05:31.610 --> 00:05:32.911]  And so much more.
[00:05:32.911 --> 00:05:36.636]  Even hard to find surplus items, all at surplus prices.
[00:05:36.636 --> 00:05:39.439]  Preparing the whole family has never been so affordable.
[00:05:39.599 --> 00:05:40.280]  We're good to go.
[00:06:00.089 --> 00:06:00.989]  He stands for truth.
[00:06:00.989 --> 00:06:02.189]  He stands for justice.
[00:06:02.189 --> 00:06:03.390]  He stands for what's right.
[00:06:03.390 --> 00:06:05.250]  This is the Alex Jones Show.
[00:06:05.250 --> 00:06:08.471]  Call Alex now, toll free at 877-590-5525.
[00:06:30.503 --> 00:06:35.221]  Now live from Austin, Texas, here's Alex Jones.
[00:06:42.563 --> 00:06:43.383]  Okay, folks.
[00:06:43.383 --> 00:06:47.585]  We are live and it is December 14th, 2008.
[00:06:47.585 --> 00:06:59.148]  We're getting into genetically modified foods, melamine in the milk, lead and other toxic poisons and heavy metals in one-third of U.S.
[00:06:59.148 --> 00:07:04.630]  toys, according to CNN, coming up in about 40 minutes.
[00:07:04.630 --> 00:07:07.971]  In the meantime, I want to talk about the state of the economy
[00:07:08.715 --> 00:07:19.963]  And the militarization of police in the long, continual march in the classical despotism that this country is headed into and is now deeply, deeply into.
[00:07:19.963 --> 00:07:29.790]  A lot of people in different cities across the country have been listening to my radio show for more than 10, 11 years.
[00:07:29.790 --> 00:07:32.071]  Folks in Austin now, I've been on the air for 13 years.
[00:07:33.297 --> 00:07:50.529]  You've heard me constantly talk about, they want to put troops on the streets, they want to confiscate your guns, they're militarizing the police, they're training them that it's an us against them mentality and that the citizens are civilians and the police are paramilitary.
[00:07:50.529 --> 00:07:52.971]  What does all of this mean?
[00:07:52.971 --> 00:07:54.132]  Why is it important?
[00:07:56.474 --> 00:08:16.819]  Well, throughout history in other nations and in modern times, when you have troops on the streets, when you have militarized police that always accompanies, not having jury trials, not having due process, having secret arrest, having a very tiny corrupt elite that is feeding on the population.
[00:08:18.642 --> 00:08:22.865]  It's anti-American, anti-liberty, anti-freedom.
[00:08:22.865 --> 00:08:31.150]  There's a reason this nation has always had laws against the military being used against the people, because the military attacks an enemy.
[00:08:31.150 --> 00:08:35.732]  The military kills people and breaks things.
