[00:00:00.009 --> 00:00:00.349]  I believe.
[00:00:01.970 --> 00:00:02.790]  You want answers?
[00:00:03.570 --> 00:00:05.091]  Well, so does he.
[00:00:05.111 --> 00:00:08.732]  He's Alex Jones on the GCN Radio Network.
[00:00:09.312 --> 00:00:13.433]  And now, live from Austin, Texas, Alex Jones.
[00:00:51.724 --> 00:00:55.326]  I was raised to believe that the American Dream was about pursuing happiness.
[00:00:56.306 --> 00:01:01.728]  As much as I hate to admit it, my happiness occasionally counted on the freedom to consume various substances.
[00:01:02.429 --> 00:01:05.390]  But it was the legal substances that changed my life forever.
[00:01:06.502 --> 00:01:09.844]  Now I question the motives that go into creating our modern drug laws.
[00:01:10.304 --> 00:01:14.826]  And the people who have been elected to protect us have become some of the people I fear the most.
[00:01:17.968 --> 00:01:21.570]  And when it comes to drugs and alcohol, just say no.
[00:01:24.756 --> 00:01:30.939]  We have allowed the government to declare a war on drugs because the majority of Americans haven't known any better.
[00:01:31.559 --> 00:01:36.262]  And they haven't really understood that all of this is a massive deception.
[00:01:36.502 --> 00:01:38.383]  It's a massive profit scheme.
[00:01:40.163 --> 00:01:47.567]  We must wage what I have called total war against public enemy number one in the United States, the problem of dangerous drugs.
[00:01:48.666 --> 00:01:50.647]  They can't even keep drugs out of the prison system.
[00:01:50.667 --> 00:01:53.568]  You know, they have guys in prison that are O.D.'
[00:01:53.508 --> 00:01:54.989]  's and things of that nature.
[00:01:55.369 --> 00:01:57.050]  Even in the home.
[00:01:57.110 --> 00:02:08.614]  What's happening here in America is that our government is inadvertently supplying the hard drugs to the people in this country, then they're putting the people who use them in this country in jail.
[00:02:08.634 --> 00:02:16.878]  Fixated on terror, most Americans have forgotten they are fighting another war.
[00:02:22.249 --> 00:02:28.012]  But from its inception, the drug war has become the longest, most costly and destructive war in American history.
[00:02:29.593 --> 00:02:34.956]  The drug war is a perfect continuing example of why we will never win the war on terrorism.
[00:02:35.796 --> 00:02:38.538]  Because it captures the ineffectiveness of the U.S.
[00:02:38.558 --> 00:02:40.819]  government, and it captures the fact
[00:02:41.587 --> 00:02:49.587]  That it's being used against poor people and not against the people who benefit most from drugs, which are the bankers that launder the money.
[00:02:53.212 --> 00:02:55.113]  We don't send nicotine addicts to jail.
[00:02:55.193 --> 00:02:56.714]  We don't send alcoholics to jail.
[00:02:57.055 --> 00:02:58.976]  We shouldn't send drug addicts to jail.
[00:02:59.276 --> 00:02:59.916]  Oh my God!
[00:03:00.297 --> 00:03:04.399]  Do you mean they'll legalize marijuana and you can buy heroin at 7-Eleven?
[00:03:04.519 --> 00:03:09.062]  People have to realize that most of our history we didn't have federal laws against the use of drugs.
[00:03:09.683 --> 00:03:14.946]  50 billion dollars a year at the local, state, national level clogging our courts year after year.
[00:03:15.386 --> 00:03:22.251]  I mean people fighting the drug war need to articulate that what we're after is not blanket legalization but decriminalization.
[00:03:22.651 --> 00:03:39.528]  Why in the world do we have millions of innocent young people wasting away in prison when the big people who are committing these huge atrocious crimes are getting away every day?
[00:03:39.929 --> 00:03:43.693]  My own personal opinion, I think the jail cell is better than the rehab.
