[00:00:00.029 --> 00:00:01.950]  Welcome, ladies and gentlemen.
[00:00:01.950 --> 00:00:03.071]  Welcome.
[00:00:03.071 --> 00:00:07.213]  Very important broadcast lined up for you today.
[00:00:07.213 --> 00:00:09.994]  It is the 21st day of April 2008.
[00:00:29.927 --> 00:00:35.093]  On this live Wednesday edition, we'll be here for the next four hours from 11 a.m.
[00:00:35.093 --> 00:00:36.434]  to 3 p.m.
[00:00:36.434 --> 00:00:37.976]  Central Standard Time.
[00:00:37.976 --> 00:00:44.123]  Luke Rodowsky will be joining us in 30 minutes to talk about the arrest of two We Are Change activists in New York City.
[00:00:44.915 --> 00:00:47.076]  For engaging in the First Amendment.
[00:00:47.076 --> 00:00:49.678]  We have some amazing audio of the Secret Service.
[00:00:49.678 --> 00:00:52.539]  We're going to be playing coming up before he joins us.
[00:00:52.539 --> 00:01:05.326]  Then in an hour and a half, Bob Chapman will pop in for a hour with his weekly roving visit to talk about the deteriorating, the ongoing deterioration of the global economy by design.
[00:01:05.326 --> 00:01:14.131]  And then from 1.30, or from the middle of the third hour into the fourth hour, Richard Reeves does camera work for us.
[00:01:14.867 --> 00:01:18.469]  He's also on some of our shoots driven for us.
[00:01:18.469 --> 00:01:19.290]  Sounds easy.
[00:01:19.290 --> 00:01:22.652]  It's actually hard running around cities while we jump out with cameras.
[00:01:23.631 --> 00:01:47.129]  Uh, and, uh, he has worked with the Ron Paul campaign, and he's really into this whole delegate thing, so I thought we'd have him on to explain the different strategies and ideas, uh, for Ron Paul in the convention, and in what people are really talking about doing, what the different camps are, uh, so that should be, uh, quite illuminating, uh, to try to, uh, bring some method to the madness so people understand exactly what they're up to.
[00:01:48.433 --> 00:01:55.255]  So Richard Reeves will be in studio to talk about that issue and a couple other things with us coming up from the middle of the third hour into the fourth hour.
[00:01:55.255 --> 00:02:00.857]  And I'm going to have another news blitz the last 30 minutes of that fourth hour today as well.
[00:02:00.857 --> 00:02:06.839]  People seemed to like that yesterday when I covered about 35 news articles in 30 minutes.
[00:02:06.839 --> 00:02:08.880]  Okay, let me just say this.
[00:02:08.880 --> 00:02:11.160]  I don't boss Luke Rudowsky around.
[00:02:11.160 --> 00:02:15.402]  I don't boss we are change LA or we are change Colorado or we are change
[00:02:16.948 --> 00:02:18.369]  Ireland or any of these groups.
[00:02:18.369 --> 00:02:21.289]  A lot of them call me up and say, hey, Schwarzenegger's coming tomorrow.
[00:02:21.289 --> 00:02:22.130]  What should we say to him?
[00:02:22.130 --> 00:02:24.750]  And I would, I said, well, bring up his belt buckle.
[00:02:24.750 --> 00:02:30.152]  Then why do you wear Nazi belt buckles on TV and on the cover of Time Magazine when your dad was a Nazi?
