[00:00:00.069 --> 00:00:01.029]  Engine Moving Parts.
[00:00:24.537 --> 00:00:46.816]  Keep your foot hard on the pedal Son, never mind them brakes Let it all hang out cause we got a run to make The boys are thirsty in Atlanta And their spirit checks our calendar And we'll bring it back no matter what it takes Eastbound and down, loaded up and truckin' Are we gonna do what they say can't be done?
[00:00:47.817 --> 00:00:51.941]  We've got a long way to go And a short time to get there
[00:00:56.542 --> 00:01:01.823]  For the next 50 minutes or so, we're going to open the phones up and let you talk to Max Keiser.
[00:01:02.483 --> 00:01:05.724]  He does international television for, well, you name it.
[00:01:06.484 --> 00:01:10.285]  He's invented major systems used on stock markets worldwide.
[00:01:11.686 --> 00:01:16.027]  He's producing an international TV show for the BBC with Alec Baldwin.
[00:01:17.227 --> 00:01:23.829]  Just check out his website, maxkeiser.com, because the guy is doing too much to ever tell you about it all.
[00:01:27.577 --> 00:01:32.961]  Before we go to him, I want to tell you about some fabulous sponsors that make this radio show possible.
[00:01:33.921 --> 00:01:39.725]  This is where I get my storable food, and as crazy as things are, you better believe I got an attic absolutely full of it.
[00:01:39.785 --> 00:01:43.548]  Three year plus supply for my wife and my children and me.
[00:01:43.928 --> 00:01:44.388]  And you know what?
[00:01:44.408 --> 00:01:50.152]  If I don't use it in 10-15 years, I can throw it out, or I can give it to charity, which I'll do before it gets bad.
[00:01:51.233 --> 00:01:52.013]  And then I feel good!
[00:01:52.334 --> 00:01:53.555]  And I got firearms too!
[00:01:54.705 --> 00:01:58.328]  I'm not a slave, and I don't trust the government to take care of me.
[00:01:58.948 --> 00:02:03.612]  You know, we have a Great Depression, so give the great folks at eFoodsDirect a call.
[00:02:03.632 --> 00:02:03.952]  800-409-5633.
[00:02:03.992 --> 00:02:07.855]  Get a free brochure or a free audio CD.
[00:02:07.875 --> 00:02:11.257]  They're the longest continually operated storable foods company in the nation.
[00:02:11.358 --> 00:02:12.198]  Really high quality.
[00:02:12.218 --> 00:02:12.358]  800-409-5633.
[00:02:12.438 --> 00:02:15.260]  And great prices.
[00:02:15.681 --> 00:02:17.222]  eFoodsDirect.com.
[00:02:18.363 --> 00:02:21.465]  You'll never have to stand in a bread line if you have your own bread.
[00:02:21.865 --> 00:02:22.886]  eFoodsDirect.com.
[00:02:25.046 --> 00:02:26.247]  Just wonderful folks.
[00:02:26.348 --> 00:02:27.509]  Please write that number down.
[00:02:27.529 --> 00:02:27.569]  800-409-5633.
[00:02:27.689 --> 00:02:33.396]  There's operators there 24 hours a day, but during regular business hours, they have specialists.
[00:02:34.076 --> 00:02:38.221]  They forward the phones to the food factory.
[00:02:38.702 --> 00:02:39.042]  That's right.
[00:02:39.082 --> 00:02:40.163]  They actually prepare it.
[00:02:40.204 --> 00:02:40.764]  They buy it.
[00:02:41.085 --> 00:02:41.966]  None of it's GMO.
[00:02:43.246 --> 00:02:44.807]  So again, eFoodsDirect.com.
[00:02:44.827 --> 00:02:46.347]  And then another fabulous sponsor.
[00:02:47.208 --> 00:02:50.729]  It's the same thing, Willie Nelson has his own machine, but it's the same machine basically.
[00:02:51.489 --> 00:02:52.370]  Ours is a Cola Blue.
[00:02:52.410 --> 00:02:53.030]  It's fabulous.
[00:02:53.050 --> 00:02:54.291]  This is the hottest thing out there.
[00:02:54.311 --> 00:02:56.071]  I got it in my house, my office.
[00:02:56.592 --> 00:02:58.913]  The water is so good, it will blow your mind.
[00:02:59.273 --> 00:03:00.693]  It grabs it out of the atmosphere.
[00:03:00.713 --> 00:03:03.194]  It does seven and a half gallons in your average humidity.
[00:03:03.374 --> 00:03:08.056]  It'll do more than that in, you know, really tropic areas and about half of that in desert.
[00:03:08.096 --> 00:03:08.937]  Three gallons a day.
[00:03:10.129 --> 00:03:17.972]  E-C-O-L-O-B-L-U-E-D-O-T-C-O-M-E-C-O-L-O-B-L-U-E-D-O-T-C-O-M-E-C-O-L-O-B-L-U-E-D-O-T-C-O-M-E-C-O-L-O-B-L-U-E-D-O-T-C-O-M-E-C-O-L-O-B-L-U-E-D-O-T-C-O-M-E-C-O-L-O-B-L-U-E-D-O-T-C-O-M-E-C-O-L-O-B-L-U-E-D-O-T-C-O-M-E-C-O-L-O-B-L-
[00:03:31.934 --> 00:03:36.577]  Unlimited water from the humidity in the air, then it goes through five filters inside of it.
[00:03:37.317 --> 00:03:40.719]  Check it out at acolablue.com or 866-585-4044.
[00:03:41.399 --> 00:03:43.421]  All right, going to Max Keiser.
[00:03:44.041 --> 00:03:45.582]  Max, a lot is happening.
[00:03:45.602 --> 00:03:48.143]  The economy is worsening very quickly.
[00:03:48.203 --> 00:03:59.169]  I had Gerald Cilente on last hour, and he's talking about war in the streets within two to three years, and we'll have bank runs in February.
[00:03:59.209 --> 00:03:59.930]  What do you say to that?
[00:04:01.411 --> 00:04:07.155]  Well, Alex, I think if you look around the world, you're already seeing evidence of that, and I'll give you two examples.
[00:04:07.875 --> 00:04:17.381]  It was reported today in the independent newspaper in the United Kingdom that gangs from the city are invading the country, and they're stealing livestock from people's farms.
[00:04:17.881 --> 00:04:21.564]  They're stealing salmon and farmed fish from farm fisheries.
[00:04:22.384 --> 00:04:25.626]  And you've already got this happening in the UK right now.
[00:04:25.686 --> 00:04:29.709]  People are... Gangs from the city are invading the country and stealing food.
[00:04:30.652 --> 00:04:40.718]  If you look at the global picture, you see that around the world, you know, the corporations have taken over all the fishing rights around the world.
[00:04:40.818 --> 00:04:44.941]  So in Somalia, you've got Somali pirates who are starving to death.
[00:04:45.341 --> 00:04:50.464]  They are hijacking one ship every day, on average, just for food.
[00:04:50.544 --> 00:04:54.787]  And they just grabbed a huge oil tanker today, so their targets are getting bigger.
[00:04:55.667 --> 00:04:56.188]  Exactly.
[00:04:56.348 --> 00:04:57.628]  And they're being tracked by the U.S.
[00:04:57.648 --> 00:05:00.130]  and the U.K., you know, the Navy is out there.
[00:05:00.424 --> 00:05:06.830]  But these are people who are starving to death, because all of their food supplies have been taken from them by the huge corporations.
[00:05:07.230 --> 00:05:24.385]  So this is what's happening on the fringe of the, you know, if you're in the United States, and your view is that, you know, these other areas are on the periphery of the biggest economy in the world, the so-called the U.S., you can see the trends developing on the fringe, on the periphery,
[00:05:25.104 --> 00:05:30.506]  And I think they're heading toward the U.S., but you see it already right now happening around the world.
[00:05:33.627 --> 00:05:50.093]  Max, again, for folks that don't know who you are, tell us a little bit about yourself and then currently what you're most focused on and what you think is most important in the world right now, and then trends that you see going into the mid-term and long-term, how bad do you think it's really going to get?
[00:05:51.917 --> 00:06:05.145]  Well, just to follow up on a couple of things from when we spoke last time, you know, we were talking about the gold market, we were talking about Comex, and the fact that Comex is short gold that they can't deliver, and that some people are out there trying to organize a raid on the Comex.
[00:06:05.645 --> 00:06:21.054]  I was talking to some folks today in Canada, apparently Eric Sprott of Sprott Asset Management is going to try to take physical delivery of a huge precious metal position on the Comex this December to try to force the price from the physical.
[00:06:21.773 --> 00:06:24.074]  Uh, in the paper market to match up.
[00:06:24.554 --> 00:06:26.374]  So that could be, that's still in play.
[00:06:26.414 --> 00:06:30.495]  Remember last time I was mentioning that there could be a major event on the COMEX in December?
[00:06:30.535 --> 00:06:32.616]  Yes, you did say that, but flesh that out a bit.
[00:06:32.676 --> 00:06:36.757]  For folks that don't know what shorting is and don't know what the COMEX is, explain.
[00:06:37.897 --> 00:06:44.819]  Okay, well shorting is actually something that's come up in a couple of the big stories today, and it relates directly to Goldman Sachs as well.
[00:06:45.079 --> 00:06:46.840]  So I'll segue into the Goldman Sachs thing.
[00:06:47.320 --> 00:06:50.921]  But a little bit about shorting, it's one of those concepts that
