[00:00:00.089 --> 00:00:01.190]  We're good.
[00:00:32.600 --> 00:00:33.481]  Hello, my friends.
[00:00:33.621 --> 00:00:34.521]  Thank you for joining us.
[00:00:34.581 --> 00:00:36.983]  It is already the seventh day of April, 2008.
[00:00:37.063 --> 00:00:42.186]  We're going to be live here for the next three hours.
[00:00:44.247 --> 00:00:51.611]  Here on the GCN Radio Network, we have a very important broadcast lined up for you today.
[00:00:52.772 --> 00:00:55.474]  Alan Watt is an amazing researcher.
[00:00:56.194 --> 00:01:00.957]  Cuttingthroughthematrix.com will be joining us in the third hour today.
[00:01:03.300 --> 00:01:07.101]  In the meantime, I do want to properly remember Charlton Heston.
[00:01:08.502 --> 00:01:15.245]  I'm also going to re-air an interview that I did with Charlton Heston.
[00:01:15.625 --> 00:01:17.145]  I looked for this this weekend.
[00:01:17.205 --> 00:01:19.006]  I found out he, of course, had died Friday night.
[00:01:19.606 --> 00:01:29.130]  I got in the car at midnight, leaving work, and turned on the radio, and they were announcing that Charlton Heston had died.
[00:01:31.317 --> 00:01:41.881]  And I went home and searched for about two hours on the web and found the links on InfoWars from seven years ago, but the MP3 links were dead, we'd moved servers, hadn't migrated it properly, whatever.
[00:01:42.222 --> 00:01:44.623]  Spent two hours looking for it on other sites, couldn't find it.
[00:01:46.283 --> 00:01:50.265]  Came into the office, tore the place apart, and was able to find it.
[00:01:50.325 --> 00:01:52.726]  In fact, we'd printed up about 400 CDs seven years ago.
[00:01:57.231 --> 00:02:02.375]  And I'd put them up on the side as part of a Second Amendment package that we don't sell very many of and guess what we were down to?
[00:02:03.135 --> 00:02:06.558]  We were down to the last two copies.
[00:02:07.818 --> 00:02:09.620]  And about one of them I guess goes a week.
[00:02:11.201 --> 00:02:12.482]  So what about timing?
[00:02:13.162 --> 00:02:16.084]  I was going to have to go on air and beg listeners to mail the CD back.
[00:02:17.965 --> 00:02:20.987]  But we're going to have to burn some more of those and keep that part of the package.
[00:02:21.588 --> 00:02:24.170]  But that is coming up today in the second hour.
[00:02:24.210 --> 00:02:24.490]  I've got
[00:02:25.137 --> 00:02:30.298]  Throughout the week, I'm going to play clips of him doing Shakespeare, his speeches to the NRA.
[00:02:30.318 --> 00:02:33.959]  I mean, he really was a gentleman.
[00:02:34.019 --> 00:02:35.479]  He was an amazing actor.
[00:02:37.340 --> 00:02:43.281]  They said on the London stage that he was one of the best, if not the best, Shakespearean actor, and that's tough stuff.
[00:02:43.721 --> 00:02:46.922]  You get an idea for the language those people used and how intelligent they were.
[00:02:47.582 --> 00:02:53.864]  The Founding Fathers were of the same ilk, kind of at the tail end of that, and they weren't showing off in the prose they used.
[00:02:53.904 --> 00:02:54.624]  It was just they were
[00:02:55.526 --> 00:02:59.008]  They were truly alive in the spirit of the Renaissance, so I want to play that too.
[00:03:00.369 --> 00:03:04.332]  Also, Charlton Heston presenting the Bible, just to get an idea of his voice.
[00:03:04.352 --> 00:03:11.096]  He was doing this live, in these live reads he would do from Jerusalem when he voiced what the ten-part series, the Bible.
[00:03:11.617 --> 00:03:13.198]  I'm going to play some of those clips this week.
[00:03:15.899 --> 00:03:22.704]  I played about five minutes of my interview with him yesterday on the Sunday Show, and we posted the transcript back up on
[00:03:23.613 --> 00:03:24.694]  Infowars.com.
[00:03:24.734 --> 00:03:26.655]  There were like 50-something comments in there this morning.
[00:03:27.896 --> 00:03:30.999]  And some of them were saying, how dare Alex Jones say Charlton Heston's good?
[00:03:31.019 --> 00:03:31.760]  And how dare him?
[00:03:31.780 --> 00:03:33.441]  Listen to him defending John Ashcroft.
[00:03:34.442 --> 00:03:39.726]  That interview was done on the 18th of January 2001.
[00:03:40.927 --> 00:03:45.050]  Nine months, like eight months and twenty-something days before 9-11.
[00:03:47.372 --> 00:03:50.034]  John Ashcroft was saying he was going to be pro-Second Amendment.
[00:03:50.594 --> 00:03:52.536]  He had been saying he was going to go after the Clintons.
[00:03:53.368 --> 00:03:55.990]  He had blocked the Clintons on warrantless wiretapping.
