[00:00:00.329 --> 00:00:02.091]  Mainstream media.
[00:00:02.091 --> 00:00:03.853]  Government cover-ups.
[00:00:03.853 --> 00:00:05.454]  You want answers?
[00:00:05.454 --> 00:00:06.996]  Well, so does he.
[00:00:06.996 --> 00:00:11.180]  He's Alex Jones on the GCN Radio Network.
[00:00:11.180 --> 00:00:15.244]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.713 --> 00:00:41.019]  Could there have been more than one shooter involved in the 1968 assassination of Senator Robert F. Kennedy?
[00:00:41.019 --> 00:00:47.004]  RFK was shot in Los Angeles shortly after claiming victory in California's Democratic primary.
[00:00:47.004 --> 00:00:58.174]  The shooter, Sirhan Sirhan, is serving a life sentence for the assassination, but at a forensics conference this weekend in Connecticut, new theories he might not have fired the fatal shots.
[00:00:58.174 --> 00:00:58.855]  Is that possible?
[00:00:59.455 --> 00:01:03.678]  Amy Parmenter from NBC station WVIT in Hartford was there.
[00:01:03.678 --> 00:01:06.640]  Amy, what led experts to this theory?
[00:01:06.640 --> 00:01:13.344]  Well, actually, it was a very interesting theory that was presented yesterday at this symposium, presented by a couple of scientists.
[00:01:13.344 --> 00:01:15.805]  So, of course, it was rather complicated and detailed.
[00:01:15.805 --> 00:01:18.307]  I'm going to try to simplify it for you a little bit.
[00:01:18.687 --> 00:01:30.275]  The scientists, two independent researchers, Dr. Robert Jolling and Philipp von Praag, forensic evidence experts, actually had been studying the Kennedy assassination separately.
[00:01:30.275 --> 00:01:38.221]  They never even met until last year when they met at a seminar and realized that their independent conclusions were almost perfectly matched.
[00:01:38.581 --> 00:01:46.885]  Now, Joling, what he was able to come up with by studying the forensics evidence was that Sirhan Sirhan could not have fired the fatal shot.
[00:01:46.885 --> 00:01:52.928]  And that's because, according to his findings, that fatal shot came from behind Senator Kennedy.
[00:01:52.928 --> 00:02:01.933]  And of course, witnesses all put Sirhan Sirhan face-to-face with Kennedy, about four to six feet away, so he would not have had the opportunity to shoot from behind.
[00:02:01.933 --> 00:02:05.715]  Now, Von Praag, what he studied was a little more complicated.
[00:02:06.115 --> 00:02:27.586]  He actually looked at the audio recording known as the Pruszynski recording, which was made by a Canadian journalist, actually inadvertently, who had left his tape recording on after recording Kennedy's victory speech, and then as he kind of followed the Kennedy entourage into the kitchen pantry there at the Ambassador Hotel, the tape was still rolling, rather.
[00:02:27.586 --> 00:02:29.047]  Welcome, ladies and gentlemen.
[00:02:29.047 --> 00:02:30.888]  It is already Friday, the 28th day of March 2008.
[00:02:34.099 --> 00:02:44.261]  And we're going to be live here for the next three hours, and we have a jam-packed broadcast with three different big guests for you today.
[00:02:44.261 --> 00:02:51.763]  One of them is a surprise guest in the last 30 minutes of the show.
[00:02:51.763 --> 00:02:59.664]  We will obviously be talking more about RFK and how he was killed by the CIA today.
[00:02:59.664 --> 00:03:03.345]  Separately, NBC News, ABC News, and BBC
[00:03:05.876 --> 00:03:12.619]  ...have come out with separate evidence showing and proving the government killed RFK.
[00:03:12.619 --> 00:03:17.602]  And incidentally, Sunday, on the Sunday edition show coming up in two days, 4 to 6 p.m.
[00:03:17.602 --> 00:03:25.425]  Central, I've got one of the highest-level members of the Japanese Parliament, the Diet.
[00:03:25.425 --> 00:03:29.767]  He's the head of the second-largest party in Japan.
[00:03:29.767 --> 00:03:31.628]  He's going to be joining us from Japan.
[00:03:31.628 --> 00:03:35.150]  I'll give you a heads-up on that on the radio show Sunday.
[00:03:35.885 --> 00:03:37.126]  And so will Jim Mars.
[00:03:37.126 --> 00:03:50.132]  Jim is going to be joining us Sunday to talk about not just the murders of JFK, which has now been, for all intents and purposes, admitted.
[00:03:50.132 --> 00:03:56.055]  The guy running the operation, Deathbed Confession, the evidence just piles to the sun.
[00:03:56.055 --> 00:03:58.336]  But now the murder of RFK.
[00:03:58.336 --> 00:04:02.698]  Now, the official Los Angeles County coroner
[00:04:04.019 --> 00:04:10.323]  Said he'd been shot multiple times in the back, and that he'd been shot at close range, and there were even powder burns on his jacket.
[00:04:10.323 --> 00:04:16.707]  Sirhan Sirhan, with a different caliber, shot into the ceiling.
[00:04:16.707 --> 00:04:18.628]  As he was programmed to do.
[00:04:18.628 --> 00:04:20.108]  With a completely different caliber.
[00:04:20.108 --> 00:04:21.990]  I mean, it was a no-brainer.
