[00:00:00.668 --> 00:00:03.931]  1998.
[00:00:01.249 --> 00:00:03.931]  Qualified health membership is... Big Brother.
[00:00:04.612 --> 00:00:05.633]  Mainstream media.
[00:00:06.374 --> 00:00:07.455]  Government cover-ups.
[00:00:08.135 --> 00:00:08.936]  You want answers?
[00:00:09.697 --> 00:00:10.618]  Well, so does he.
[00:00:10.638 --> 00:00:14.941]  He's Alex Jones on the GCN Radio Network.
[00:00:15.462 --> 00:00:19.506]  And now, live from Austin, Texas, Alex Jones.
[00:00:20.706 --> 00:00:23.789]  I would have loved to have given the listeners a heads up.
[00:00:24.590 --> 00:00:26.933]  It is the 23rd day of July 2008.
[00:00:27.894 --> 00:00:35.061]  I would have loved to have given people a chance to tell their friends, family, neighbors to tune in.
[00:00:35.882 --> 00:00:39.285]  But I said last Friday I was going to call Willie Nelson over the weekend.
[00:00:40.126 --> 00:00:58.605]  And try to get him on as a guest this week to speak out against an attack on Iran and of course to support Congressman Dennis Kucinich and his co-sponsors who this Friday are going to be before the House Judiciary Committee bringing forward evidence of the crimes of George W. Bush.
[00:00:59.963 --> 00:01:01.344]  Well, I didn't call him this weekend.
[00:01:01.364 --> 00:01:02.345]  I didn't call him this week.
[00:01:03.225 --> 00:01:04.106]  Time just flies by.
[00:01:04.126 --> 00:01:07.708]  I called him this morning, and he said, well, today's a good time to do it.
[00:01:07.868 --> 00:01:08.909]  In fact, the earlier the better.
[00:01:08.949 --> 00:01:09.409]  Let's go!
[00:01:09.429 --> 00:01:18.595]  So, we're scheduled to have Willie Nelson on in about five minutes, starting in the second segment of the radio show today.
[00:01:18.655 --> 00:01:19.855]  In fact, I meant to have
[00:01:20.916 --> 00:01:23.037]  He has 35 articles of impeachment in front of me.
[00:01:23.097 --> 00:01:24.998]  Will somebody Google that?
[00:01:25.418 --> 00:01:30.921]  So I have that when I don't even have time to prepare for this, because I literally called Nelson about 45 minutes ago.
[00:01:30.941 --> 00:01:37.244]  I was in the middle of getting ready for the normal show, trying to set him up Thursday, Friday, or next week, and he said, well, today's better.
[00:01:37.724 --> 00:01:45.388]  So Willie Nelson will be on with us from the tour bus coming up in about five minutes.
[00:01:46.308 --> 00:01:48.990]  Ron Paul narrowly escaped death.
[00:01:49.827 --> 00:01:56.873]  Remember with Payne Stewart in 2000, the famous golfer, the aircraft, the Learjet depressurized, all aboard were killed.
[00:01:58.054 --> 00:02:00.656]  It's a high mortality rate when this happens.
[00:02:01.277 --> 00:02:10.525]  This happened with the congressman and seven other congressmen out of Texas when they took off from Houston and then had to do an emergency landing.
[00:02:11.946 --> 00:02:14.609]  Ron Paul was scheduled to be on tomorrow.
[00:02:15.190 --> 00:02:22.138]  I wonder if this little snafu will get in the way of that, to be talking about the Iran war, what's happening with the economy, and a lot more.
[00:02:22.158 --> 00:02:24.240]  But Congressman Ron Paul is scheduled tomorrow.
[00:02:24.541 --> 00:02:27.364]  We're also lining up Dennis Kucinich tomorrow or Friday.
[00:02:27.785 --> 00:02:29.186]  So a very, very busy week.
[00:02:30.027 --> 00:02:40.371]  We don't like to announce these big guests until we pretty much introduce them onto the show for you to ensure that that happens, but a lot of important information as we continue to track things here for you.
[00:02:40.811 --> 00:02:47.174]  Trey, my producer, has landed another gigantic guest for two weeks from now, but I'm not going to hold my breath.
[00:02:47.534 --> 00:02:48.634]  We'll just see if that happens.
[00:02:48.654 --> 00:02:51.455]  The person is set up for two weeks from now, roughly.
[00:02:51.795 --> 00:02:54.676]  I'm not going to get into it, just a heads up on that.
[00:02:55.077 --> 00:02:55.937]  It's pretty big.
[00:02:56.852 --> 00:02:57.132]  Okay.
[00:02:58.334 --> 00:03:03.320]  Flight carrying Ron Paul, others in to Congress makes emergency landing.
[00:03:03.420 --> 00:03:04.542]  KHOU News.
[00:03:05.082 --> 00:03:12.431]  Houston, a Continental Airlines flight carrying seven members of Congress from Houston to Washington was forced to make an emergency landing after it lost cabin pressure.
[00:03:14.878 --> 00:03:18.861]  Yesterday afternoon, Flight 458 was bound for Reagan National Airport.
[00:03:19.122 --> 00:03:24.927]  It was diverted and landed safely in New Orleans, a spokesman for Representative Ted Poe told 11 News.
[00:03:25.527 --> 00:03:37.197]  Poe and fellow congressmen Nick Lapson, Ron Paul, John Carter, Ciro Rodriguez, Solomon Ortiz, and Henry Culliar were aboard the flight, said Poe's press secretary.
