[00:00:00.049 --> 00:00:00.169]  It is...
[00:00:26.305 --> 00:00:27.427]  It's the second day of December 2008.
[00:00:27.787 --> 00:00:36.221]  Hard to believe this year is only about 20 something days away from being over and into 2009.
[00:00:37.423 --> 00:00:39.446]  Hurdling towards the fabled date of 2012.
[00:00:41.465 --> 00:00:45.588]  The Health Arranger, Mike Adams, joining us about GMO foods, the melamine, poison, and the milk.
[00:00:45.608 --> 00:00:49.751]  The government's saying it's especially good for you now, and a lot more in this hour.
[00:00:50.131 --> 00:00:53.013]  And I promise, open phones on any of the subjects, Mike can speak to them all.
[00:00:53.414 --> 00:00:55.055]  We're the callers that are patiently holding.
[00:00:55.875 --> 00:01:00.239]  We are live in this fourth hour at PrisonPlanet.tv, as we've been doing the last seven, eight months.
[00:01:01.919 --> 00:01:07.881]  In the next few weeks I'll be doing my show out of the new studio and I'm going to probably be going live in the first or second hour.
[00:01:07.901 --> 00:01:17.623]  We're going to change it to earlier in the show and have a more produced special hour for everybody with simulcast TV and of course radio, always expanding what we're doing.
[00:01:19.103 --> 00:01:20.944]  I wanted to go over this story.
[00:01:21.064 --> 00:01:25.105]  Lawyers call for international court for the environment.
[00:01:26.165 --> 00:01:29.286]  A former chairman of the Bar Council is calling for an international court.
[00:01:30.060 --> 00:01:30.741]  For the environment?
[00:01:31.481 --> 00:01:36.245]  To punish states, that's countries, that fail to protect wildlife and prevent climate change.
[00:01:36.265 --> 00:01:37.986]  Well, the climate's always changing.
[00:01:38.467 --> 00:01:45.152]  Now that the Earth's cooling and the solar system's cooling because the sun's cooled down in its cycle, no longer is it global warming, now it's climate change.
[00:01:45.513 --> 00:01:48.955]  Pretty soon I guess they'll say it's illegal to have winter or summer.
[00:01:50.396 --> 00:01:59.479]  But that's the scam, and this covers up all the real environmental degradation, genetic engineering and things that are happening that are true environmental crises.
[00:02:00.019 --> 00:02:01.940]  So that's what's going on with this.
[00:02:03.160 --> 00:02:05.641]  It says, a former chairman of the bar calls for this.
[00:02:05.681 --> 00:02:15.764]  Stephen Hockman, QC, we're going to try to get him on the show, is proposing a body similar to the International Court of Justice in The Hague to be the supreme legal authority on issues regarding the environment.
[00:02:15.984 --> 00:02:17.825]  And I have a clip, I don't know if we'll have time to play it today,
[00:02:18.385 --> 00:02:28.031]  With Barroso, one of the heads of the EU, saying global governance and mainstream articles with banks, we've covered, saying you will pay your carbon taxes to the private banks.
[00:02:28.051 --> 00:02:31.754]  See, they're going to bankrupt the world with fiat system and derivatives they set up.
[00:02:32.174 --> 00:02:37.818]  When the derivatives still had value because of confidence still being in them in the Ponzi scheme, they bought real infrastructure.
[00:02:38.118 --> 00:02:42.281]  Now they're imploding the derivatives and imploding all the real markets so they can consolidate those.
[00:02:42.901 --> 00:02:48.189]  Then they're going to hit you with Enviro, Climate Cops, Brainwash, Google Climate Cops.
[00:02:48.209 --> 00:02:50.472]  Kids in the US, England, being trained to tattle on their parents.
[00:02:50.652 --> 00:02:51.573]  It's in the New York Times.
[00:02:53.328 --> 00:02:59.930]  The first role the new body would be to enforce international agreements on cutting greenhouse gas emissions set to be agreed next year.
[00:03:00.330 --> 00:03:09.133]  But the court would also find countries or companies that fail to protect endangered species, and they've caught all the fake environmentalists planting endangered species on people's property.
[00:03:09.153 --> 00:03:10.854]  They've been caught hundreds of times in the U.S.
[00:03:10.874 --> 00:03:11.254]  doing that.
[00:03:11.734 --> 00:03:16.096]  Or degrade the natural environment and enforce the right to a healthy environment.
[00:03:16.860 --> 00:03:26.510]  Now remember, they're not concerned about melamine in the milk, or poison in the food, or mercury in the shots, or genetic engineering spreading and killing the honey bees directly linked to the corn, this GMO.
[00:03:28.772 --> 00:03:29.934]  They're not worried about anything real.
[00:03:30.334 --> 00:03:35.880]  They co-opt all our concern, and as things get worse and worse in the environment, they'll bring in more and more control with red herrings.
[00:03:37.654 --> 00:03:43.456]  Like greenhouse gas and a flatulence tax on all farm animals.
[00:03:43.577 --> 00:03:44.197]  A fart tax.
[00:03:44.237 --> 00:03:45.397]  And you can't make this stuff up.
[00:03:46.518 --> 00:03:46.998]  But listen to this.
[00:03:47.038 --> 00:03:50.439]  It says the court will be made up of people that believe it's real.
[00:03:51.980 --> 00:03:55.161]  But the court will also find countries or companies that fail to protect the native species.
[00:03:55.822 --> 00:03:58.263]  The innovative idea is being presented to an audience.
[00:03:58.443 --> 00:03:59.103]  Oh, it's innovative.
[00:03:59.123 --> 00:03:59.463]  It's new.
[00:03:59.483 --> 00:04:00.944]  That's what they've been denouncing for decades.
[00:04:01.764 --> 00:04:06.428]  of politicians, scientists, and public figures for the first time at a symposium in Britain's British Library.
[00:04:06.848 --> 00:04:13.914]  Mr. Hockman, a Deputy High Court Judge, said the threat of climate change means it is more important than ever for the law to protect the environment.
[00:04:14.095 --> 00:04:17.818]  They're also proposing making it illegal to deny climate change.
[00:04:18.739 --> 00:04:20.760]  Oh yes, climate deniers.
[00:04:20.820 --> 00:04:21.501]  Google that.
[00:04:21.521 --> 00:04:22.182]  They want to arrest you.
[00:04:22.967 --> 00:04:31.493]  The UN Climate Change Conference in Poznan, Poland this month is set to begin negotiations that will lead to a new agreement to replace the Kyoto Protocol in Copenhagen next year.
[00:04:32.033 --> 00:04:37.516]  Developed countries are expected to commit to cutting emissions drastically, while developed nations agree to halt deforestation.
[00:04:37.536 --> 00:04:47.303]  See, where we have controls on this, if it was bad, they will move to the third world, where they have no controls and all the studies show will boost greenhouse gas.
[00:04:47.583 --> 00:04:48.824]  So even if you believe all this,
[00:04:50.276 --> 00:04:51.157]  It will only boost it.
[00:04:51.437 --> 00:04:56.203]  And then it goes on to say here in the article that they're going to set up the court.
[00:04:56.223 --> 00:04:57.044]  I'll read it when we get back.
[00:04:57.605 --> 00:05:03.391]  They're going to set up the court with people that believe all this is real and environmental zealots.
[00:05:03.431 --> 00:05:06.215]  So this is the new global religion being enforced.
[00:05:06.575 --> 00:05:07.156]  Stay with us.
[00:05:07.196 --> 00:05:07.837]  We'll be right back.
[00:05:09.986 --> 00:05:19.250]  Today, unlike any other in the long course of American history, a terrorist act of war... Okay, I'm gonna go ahead and talk on air during the break to John for everybody.
[00:05:19.270 --> 00:05:20.010]  Yes, I know I'm on air.
[00:05:21.671 --> 00:05:22.171]  Hey, John.
[00:05:22.791 --> 00:05:23.091]  Yes, sir?
[00:05:23.271 --> 00:05:24.012]  You got Health Ranger?
[00:05:24.532 --> 00:05:25.132]  Uh, yes, Mike.
[00:05:25.152 --> 00:05:25.772]  He's all set.
[00:05:26.152 --> 00:05:26.733]  How's his phone?
[00:05:27.193 --> 00:05:27.813]  It sounds great.
[00:05:28.373 --> 00:05:28.753]  Okay.
[00:05:28.813 --> 00:05:30.794]  And I have a backup line just in case, but it sounds great.
[00:05:30.814 --> 00:05:31.915]  All right, let me talk to him right now.
[00:05:32.215 --> 00:05:32.855]  Sure, one second.
[00:05:34.616 --> 00:05:34.936]  Go ahead.
[00:05:36.038 --> 00:05:43.305]  Hey Mike, just so you know, we're live on the internet right now, but we'll be on all the AM and FM and shortwave satellite in about two and a half minutes when we go live again.
[00:05:44.065 --> 00:05:49.390]  But I wanted to do a little pre-interview here with the audience on presentplanet.tv with you.
[00:05:50.091 --> 00:05:55.296]  I want to get into melamine obviously, I want to get into GMO, the real environmental threats versus the fake ones.
[00:05:55.956 --> 00:05:59.197]  And then, I know you guys have disinformation campaigns going against you.
[00:05:59.217 --> 00:05:59.758]  I saw that.
[00:06:00.278 --> 00:06:05.820]  But I'm not saying you shouldn't respond, but I've got people editing me all over the web to say horrible things.
[00:06:06.461 --> 00:06:07.441]  I've got them doing all that.
[00:06:07.841 --> 00:06:10.963]  I've got them posing as me, calling people, threatening them.
[00:06:11.863 --> 00:06:16.885]  And I'm just telling you, in my experience, and we're talking about it here on air right now, I don't even think it does any good.
[00:06:16.905 --> 00:06:20.527]  I mean, people that are thinkers are going to find out that stuff's fake.
[00:06:21.167 --> 00:06:24.949]  And then it kind of inoculates the public that we're under disinformation attack.
[00:06:24.969 --> 00:06:27.051]  I know you guys are pretty upset about that.
[00:06:27.571 --> 00:06:29.752]  And I know you're a cool customer.
[00:06:30.513 --> 00:06:32.874]  Obviously, you're helping stop Codex Alimentarius.
[00:06:32.894 --> 00:06:35.116]  You guys have got millions of visitors a month to your sites.
[00:06:36.216 --> 00:06:39.138]  And so, I mean, you're going to go through this.
[00:06:39.218 --> 00:06:45.002]  And I'm not trying to sit up here and be a Grand Poobah telling you how this works, but this is not my first rodeo.
[00:06:45.462 --> 00:06:47.784]  And I think it's something that you might mention
[00:06:48.584 --> 00:06:53.330]  Yeah, I agree with you Alex, and I think we both are hit by the same people in many cases, and probably funded by the same groups.
[00:06:53.370 --> 00:06:54.311]  People get paid to post.
[00:07:07.987 --> 00:07:09.488]  You know, paid the post-negative comment.
[00:07:09.608 --> 00:07:10.508]  Well, yeah, exactly.
[00:07:10.528 --> 00:07:12.189]  I mean, you can tell it's all lies.
[00:07:12.249 --> 00:07:17.952]  Well, I mean, also, you know, the impersonating you, I saw that on the side, and the editing, what you say.
[00:07:17.972 --> 00:07:19.873]  I mean, they'll do a lot of work, too.
[00:07:19.893 --> 00:07:26.877]  They'll listen to hundreds of hours, because I know what shows it comes from, to edit us together, saying this.
[00:07:27.017 --> 00:07:29.719]  And they'll even put music over it and try to disguise that it's edited.
[00:07:29.739 --> 00:07:31.019]  I know.
[00:07:31.259 --> 00:07:31.800]  Pretty crazy.
[00:07:32.827 --> 00:07:34.148]  Well, hey man, that's great news.
[00:07:34.188 --> 00:07:35.589]  It means we're really doing some good.
[00:07:35.609 --> 00:07:36.750]  I know.
[00:07:37.290 --> 00:07:38.171]  It absolutely does.
[00:07:38.891 --> 00:07:49.639]  You said something in a show, in yesterday's show, that you know how sometimes, even when you take a break, you feel guilty about not sounding the alarm more?
[00:07:50.340 --> 00:07:51.741]  I feel the same thing.
[00:07:52.281 --> 00:07:55.584]  I mean, you and I are on a mission to spread the truth.
[00:07:55.644 --> 00:07:59.767]  Well, it's once you get involved in the fight, you find out how much even more real it is.
[00:08:00.509 --> 00:08:00.629]  Yeah.
[00:08:00.749 --> 00:08:04.494]  I mean, when you're getting death threats and setups and harassment, and I mean, it's like, whoa!
[00:08:04.735 --> 00:08:05.516]  This is real!
[00:08:05.816 --> 00:08:06.537]  There was any doubt.
[00:08:06.818 --> 00:08:07.318]  We're going live.
[00:08:07.358 --> 00:08:07.719]  Here we go.
[00:08:07.739 --> 00:08:08.680]  Alright.
[00:08:10.723 --> 00:08:12.906]  He's the T-Rex of political talk.
[00:08:13.507 --> 00:08:16.310]  Alex Jones on the GCN Radio Network.
[00:08:20.168 --> 00:08:22.210]  HealthRanger.org is his website.
[00:08:22.230 --> 00:08:27.075]  They have a family of powerful websites with some of the most cutting-edge, accurate information out there.
[00:08:27.455 --> 00:08:32.700]  Folks, I trust he, of course, is Mike Adams, and he is with us for the balance of the hour.
[00:08:32.720 --> 00:08:34.822]  At the bottom of the hour, I will open the phones on any subject.
[00:08:35.082 --> 00:08:35.983]  He can speak to them all.
[00:08:36.603 --> 00:08:37.925]  With our guests, the Health Ranger.
[00:08:37.945 --> 00:08:39.766]  Appreciate folks holding there.
[00:08:41.044 --> 00:08:45.289]  I promise to finish up on this, so I'm going to do this now, this story out of the Telegraph.
[00:08:45.309 --> 00:08:53.699]  I'm trying to find the part where it says that the court will be made up of people that believe global warming, climate change is real.
[00:08:54.159 --> 00:08:56.462]  Now again, this covers up for all the real environmental problems.
[00:08:56.482 --> 00:08:59.766]  Gordon Brown, the Prime Minister, has agreed the concept of international court.
[00:09:00.426 --> 00:09:04.930]  We'll be taking into account when considering how to make these international agreements on climate change binding.
[00:09:05.170 --> 00:09:15.158]  The court is also backing a number of members of parliament, climate change experts, and public figures, including the actress Deitch, Judy Deitch.
[00:09:15.218 --> 00:09:20.062]  This is Mr. Hockman, so the international court will be needed to enforce and regulate any agreements.
[00:09:20.142 --> 00:09:22.905]  So through the WTO and others are going to do this, and they're going to force
[00:09:24.295 --> 00:09:29.038]  Codex Alimentarius to restrict true health food, organic, all of it.
[00:09:29.058 --> 00:09:31.059]  We're going to talk about that with the Health Ranger here in a moment.
[00:09:31.439 --> 00:09:33.801]  The time is ripe to set this up and get it going, he said.
[00:09:34.501 --> 00:09:43.767]  It's remit will be overall climate change and the need for better regulation of carbon emissions, but at the same time implementation and enforcement of international
[00:09:46.127 --> 00:10:01.401]  environmental agreements and instruments as well as providing resolution between states the court will also be useful for multinational businesses ensuring environmental laws and kept in every country see private banks just announcing this is going to run this all we're just the authority we control the government's
[00:10:02.793 --> 00:10:13.380]  The court will include a convention on the right to be healthy environment and provide a higher body of individuals or non-governmental organizations to protest against an environmental injustice.
[00:10:13.400 --> 00:10:18.284]  So they're going to have little fake attack dogs paid for by them that they put up on the news as the people.
[00:10:18.644 --> 00:10:19.605]  They just say it right here.
[00:10:20.345 --> 00:10:28.191]  Mr. Hockman said the court will be able to find businesses or states, but its main role will be making declaratory rulings
[00:10:29.059 --> 00:10:29.500]  They're God!
[00:10:51.749 --> 00:10:52.790]  Hollywood and all this.
[00:10:52.810 --> 00:10:53.831]  This is such unbelievable.
[00:10:54.151 --> 00:10:58.434]  It will include a scientific body to consider evidence and provide access to any data on the environment.
[00:10:58.734 --> 00:10:59.035]  That's it.
[00:10:59.055 --> 00:10:59.995]  I want to go to the Health Ranger.
[00:11:00.736 --> 00:11:03.358]  Just on this subject, I think I know your views.
[00:11:03.398 --> 00:11:04.439]  I read a lot of your reportage.
[00:11:05.259 --> 00:11:16.568]  Your whole view on climate change versus the genetic engineering, the toxic waste dumping, and do you agree this is being used as an overall cover by the very international organizations that are hurting the environment?
[00:11:17.809 --> 00:11:19.030]  Yeah, absolutely, Alex.
[00:11:19.150 --> 00:11:21.632]  And thanks for having me back on your show, by the way.
[00:11:22.096 --> 00:11:23.256]  You're absolutely right about that.
[00:11:23.296 --> 00:11:25.537]  I mean, we have real environmental issues.
[00:11:25.617 --> 00:11:28.997]  Dead zones in the ocean, depleted soils, issues like that.
[00:11:29.117 --> 00:11:32.918]  But always, always, big government tries to grab power.
[00:11:33.338 --> 00:11:36.799]  And they would use whatever issue was on the minds of the people to do it.
[00:11:37.179 --> 00:11:39.060]  And now it's climate change.
[00:11:39.540 --> 00:11:41.360]  And like you said before the break, what are they going to do?
[00:11:41.440 --> 00:11:44.021]  Make winter illegal now, or summer illegal?
[00:11:44.441 --> 00:11:45.521]  It's insane!
[00:11:47.841 --> 00:11:49.962]  And they openly say we'll pay our taxes to them.
[00:11:50.102 --> 00:11:56.246]  So much is going on right now and I want to spend a few minutes on this, not too much, but just to give people a heads up that want to listen.
[00:11:56.587 --> 00:12:08.514]  People are impersonating you, they're impersonating Stubblebine and Dr. Labo, they're impersonating myself, they're editing our radio shows and interviews together to make it sound like we're saying crazy things.
[00:12:10.635 --> 00:12:13.817]  You guys put a story out yesterday about some of the things you're going through.
[00:12:15.953 --> 00:12:19.195]  Just a heads up to the people, briefly, tell folks what's going on.
[00:12:20.755 --> 00:12:26.778]  Well, I just want to say, you know, look, probably 99% of the people out there support what we do, Alex.
[00:12:26.838 --> 00:12:36.123]  I mean, you and I are, we've been described by many as just champions for the people, and I don't say that with ego, I just mean that we stand for the people, we stand against
[00:12:36.730 --> 00:12:41.051]  The overzealous empire or the corporations that want to exploit the people.
[00:12:41.371 --> 00:12:45.071]  So we stand for giving power back to the American people.
[00:12:45.372 --> 00:12:46.572]  Who would be against that?
[00:12:47.172 --> 00:12:49.412]  No sane person would be against that.
[00:12:50.392 --> 00:12:55.853]  It's only either insane individuals or hired individuals who are against us.
[00:12:56.313 --> 00:12:59.574]  And, you know, they get paid to run around the internet and say lots of crazy things.
[00:13:00.134 --> 00:13:01.254]  But forget that.
[00:13:01.654 --> 00:13:04.455]  Let's stay focused on what we can do to empower the 99%
[00:13:09.399 --> 00:13:10.079]  Absolutely.
[00:13:10.379 --> 00:13:11.940]  Let's get into melamine.
[00:13:11.980 --> 00:13:17.905]  Tell folks, you've got all these doctors and scientists on your board and that write for you that you consult with, but it's not debated.
[00:13:17.925 --> 00:13:21.968]  I mean, melamine's killed thousands in China, injured hundreds of thousands.
[00:13:22.068 --> 00:13:23.909]  It's killed people all over the world.
[00:13:24.689 --> 00:13:26.711]  Why are they adding it to food products and milk?
[00:13:26.831 --> 00:13:30.894]  AP reported 90% of the formula in the U.S.
[00:13:30.934 --> 00:13:31.354]  has it.
[00:13:32.975 --> 00:13:39.901]  I mean, over and over again, and then suddenly, for decades they've said it's deadly, now they say we're not taking it out and it's not bad for you.
[00:13:40.461 --> 00:13:42.362]  What is going on?
[00:13:43.423 --> 00:13:50.168]  Yeah, this issue, Alex, really exemplifies the FDA's betrayal of the American people, and here's why.
