[00:00:00.049 --> 00:00:01.910]  Welcome, my friends.
[00:00:01.910 --> 00:00:02.510]  Welcome.
[00:00:02.510 --> 00:00:03.390]  It is Friday.
[00:00:32.003 --> 00:00:35.905]  The 18th day of April 2008.
[00:00:35.905 --> 00:00:44.411]  We're going to be live here for the next three hours and let me tell you about who we have joining us on the transmission today.
[00:00:44.411 --> 00:00:52.476]  Gold went up even more today and futures has it going up another four or five dollars in the next week.
[00:00:52.476 --> 00:00:56.758]  So moving back towards that thousand dollar mark quite rapidly.
[00:00:56.758 --> 00:01:00.721]  Bob Chapman will be on to talk to us about that and now mainstream news
[00:01:01.890 --> 00:01:08.053]  I'm starting to not talk about recession, admitting we're in recession, and moving on to depression talk.
[00:01:08.053 --> 00:01:10.814]  And the bigger issue will be, what will the U.S.
[00:01:10.814 --> 00:01:12.875]  look like if there is a depression?
[00:01:12.875 --> 00:01:15.417]  How will the population respond?
[00:01:15.417 --> 00:01:21.840]  And is that why they've got the FEMA camps prepared and the police trained for martial law?
[00:01:21.840 --> 00:01:26.542]  Bob Chapman, financial expert, will be joining us coming up in the second hour.
[00:01:26.542 --> 00:01:30.704]  William Lewis, from one to three for two hours, his new film,
[00:01:31.503 --> 00:01:33.003]  It just came out about a week ago.
[00:01:33.003 --> 00:01:35.444]  I had a chance to see it a couple nights ago.
[00:01:35.444 --> 00:01:40.905]  We immediately began carrying it, and William had us 600 of these shipped within two days.
[00:01:40.905 --> 00:01:42.866]  They just arrived yesterday.
[00:01:42.866 --> 00:01:47.987]  They are now up on the Infowars.com shopping cart.
[00:01:47.987 --> 00:01:50.368]  Washington, you're fired!
[00:01:50.368 --> 00:01:56.789]  And I have to say, it's what I'd call America Freedom to Fascism 2.
[00:01:56.789 --> 00:01:59.610]  But it's even got better editing, better cameras are used,
[00:02:00.965 --> 00:02:02.707]  I'm not saying it's better than Freedom to Fascism.
[00:02:02.707 --> 00:02:07.850]  I would say it's a nice part two, or it's a nice complement to it.
[00:02:07.850 --> 00:02:13.254]  And we need this film to be as big as America, Freedom to Fascism.
[00:02:13.254 --> 00:02:30.065]  William Lewis, of course, did a great job on films like America Under Siege and another film that he did with Joyce Riley that was along the lines of what's happening with the secret testing on the American people.
[00:02:31.067 --> 00:02:32.608]  Beyond Treason.
[00:02:32.608 --> 00:02:35.149]  And you can see how great his editing and work is there.
[00:02:35.149 --> 00:02:38.511]  And he's now off on his own, making films entirely on his own.
[00:02:38.511 --> 00:02:41.212]  And I think this is his best film, Washington.
[00:02:41.212 --> 00:02:44.554]  You are fired!
[00:02:44.554 --> 00:02:45.475]  And we will have him on.
[00:02:45.475 --> 00:02:48.636]  We'll play some audio clips today from the film.
[00:02:48.636 --> 00:02:50.937]  The video trailer is up on InfoWars.com.
[00:02:50.937 --> 00:02:53.699]  William Lewis will be joining us today.
[00:02:54.443 --> 00:02:57.204]  Coming up in the third and fourth hour.
[00:02:57.204 --> 00:03:06.147]  There's now a fourth hour and officially next week we will be on the network for the four hours.
[00:03:06.147 --> 00:03:08.388]  Starting next week from 11 a.m.
[00:03:08.388 --> 00:03:10.409]  till 3 p.m.
[00:03:10.409 --> 00:03:13.070]  Central Standard Time.
[00:03:13.070 --> 00:03:17.772]  You will be able to tune in and hear the show for four hours.
[00:03:20.447 --> 00:03:24.029]  Yesterday I went for four and a half hours.
[00:03:24.029 --> 00:03:26.671]  No, it was four hours, fifty minutes, I think.
[00:03:26.671 --> 00:03:29.493]  Some days I go two hours over and make it a five-hour show.
[00:03:29.493 --> 00:03:33.916]  Some days I've gotten close to six hours, but it'll be locked in four hours
[00:03:35.103 --> 00:03:46.237]  Official on the network and some days you can be assured I'll go into hyper overdrive myself with my own Studio here my own phone numbers here, and I'll go over sometimes sometimes.
[00:03:46.237 --> 00:03:53.406]  We'll have exclusive guests We will still have overtime pushing the show past four hours Now
[00:03:55.003 --> 00:04:02.829]  You can always listen for free on the internet at InfoWars.com to the radio show.
[00:04:02.829 --> 00:04:08.473]  They're on the internet streams if it's not on your AM or FM dial or shortwave or satellite.
[00:04:08.473 --> 00:04:16.498]  And you can see the video in the fourth hour and beyond when you have a PrisonPlanet.tv membership for 15 cents a day.
[00:04:16.498 --> 00:04:17.379]  The document cam
[00:04:18.223 --> 00:04:28.331]  The guest cam, the cam on me, an internet cam feed where we play videos, and we show you the articles we're covering.
[00:04:28.331 --> 00:04:41.802]  And of course you then get all 18 of my films in super high quality, my book, Paul Watson's book, my weekly TV reports, my best audio interviews, PrisonPlanet.TV, now even more reasons to be a PrisonPlanet.TV member.
[00:04:43.243 --> 00:04:48.966]  I'm going to try not to get upset today because my back is out of alignment in my neck.
[00:04:48.966 --> 00:04:51.568]  But the news I've got is unbelievable.
[00:04:51.568 --> 00:04:52.528]  Strap yourselves in.
[00:04:52.528 --> 00:04:56.111]  It is a big idea.
[00:04:56.111 --> 00:04:59.473]  A new world order in the near future.
[00:05:00.774 --> 00:05:03.835]  Earth is dominated by a powerful world government.
[00:05:03.835 --> 00:05:06.676]  It's known as the Bilderberg Group.
[00:05:06.676 --> 00:05:09.458]  Could their objective be world domination?
[00:05:09.458 --> 00:05:12.639]  For thousands of years, their dark order grew.
[00:05:12.639 --> 00:05:19.962]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:22.987 --> 00:05:28.431]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:28.431 --> 00:05:32.313]  You will learn the secret that drives the entire New World Order agenda.
[00:05:32.313 --> 00:05:34.875]  Build America is making great progress toward a world government.
[00:05:34.875 --> 00:05:36.036]  Most people have no idea.
[00:05:36.036 --> 00:05:36.836]  They're not after money.
[00:05:36.836 --> 00:05:38.117]  They have all the money they need.
[00:05:38.117 --> 00:05:39.098]  They're after power.
[00:05:39.098 --> 00:05:40.239]  That's their aphrodisiac.
[00:05:40.239 --> 00:05:44.982]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:05:44.982 --> 00:05:48.964]  Or watch it online right now at PrisonPlanet.tv.
[00:05:48.964 --> 00:05:51.766]  Endgame, blueprint for global enslavement.
[00:05:51.766 --> 00:05:52.807]  You have been warned.
[00:05:54.321 --> 00:05:55.482]  I'm Dr. Bill Deagle, MD.
[00:05:55.482 --> 00:05:58.003]  I'm the Nutrimedical Report here on Genesis.
