[00:00:00.169 --> 00:00:01.729]  Wait and feel great!
[00:00:02.009 --> 00:00:04.230]  And with cards or PayPal, that's okay.
[00:00:04.410 --> 00:00:06.970]  Call us for our address and send a check or money order.
[00:00:06.990 --> 00:00:07.850]  The phone number's 928-308-0408.
[00:00:07.870 --> 00:00:08.151]  Again, 928-308-0408.
[00:00:08.271 --> 00:00:10.191]  Once again, thank you from GetTheTee.com.
[00:00:10.231 --> 00:00:14.632]  You are listening to GCN, the Genesis Communications Radio Network.
[00:00:33.340 --> 00:00:33.981]  Big Brother.
[00:00:34.641 --> 00:00:35.721]  Mainstream media.
[00:00:36.421 --> 00:00:37.541]  Government cover-ups.
[00:00:38.162 --> 00:00:39.002]  You want answers?
[00:00:39.742 --> 00:00:40.622]  Well, so does he.
[00:00:40.642 --> 00:00:45.223]  He's Alex Jones on the GCN Radio Network.
[00:00:45.504 --> 00:00:49.605]  And now, live from Austin, Texas, Alex Jones.
[00:00:49.645 --> 00:00:50.345]  That's right!
[00:00:50.365 --> 00:00:55.506]  We're gonna air a few more minutes from the intro to the great global warming swindle.
[00:00:55.546 --> 00:00:58.227]  We have it posted up at PrisonPlanet.com.
[00:00:59.747 --> 00:01:01.008]  Don't believe a sign that it claims?
[00:01:01.048 --> 00:01:02.729]  Check them all out for yourself!
[00:01:02.749 --> 00:01:03.469]  Find out the truth!
[00:01:06.131 --> 00:01:24.422]  And then we've got Alan Watt coming up, and we'll be taking your phone calls continually with him, but as I said at the end of the last hour, briefly, in 10 seconds, PrisonPlanet.tv, ladies and gentlemen, all of my films, 20 plus, uh, Fabled Enemies, Jason Bermes' film, high quality, burn them to disk, DVD, give them to people, Prison Planet,
[00:01:25.875 --> 00:01:51.125]  .tv, a factory, an armory of resistance, my weekly TV reports, a whole bunch of extras, you know, just raw footage from films, special extras like Endgame 1.5, just thousands of pieces of media, four and a half years up and running, PrisonPlanet.tv, super high quality, super fast download, streaming, we got CDN, so it's really high quality out to you,
[00:01:52.006 --> 00:01:55.008]  And, uh, your membership also makes this show, what we do here, possible.
