[00:00:03.612 --> 00:00:03.814]  Oh, yeah.
[00:00:09.619 --> 00:00:10.699]  All right, here's what's happening.
[00:00:10.719 --> 00:00:14.201]  I'm going to be on World Wide Iranian TV via audio.
[00:00:14.901 --> 00:00:18.162]  We're visual on our side, live at PrisonPlanet.tv.
[00:00:18.182 --> 00:00:18.902]  They just called.
[00:00:18.922 --> 00:00:21.063]  The show starts about four or five after.
[00:00:21.083 --> 00:00:23.524]  So they're going to be calling back in the next few minutes.
[00:00:23.544 --> 00:00:26.585]  And then I will air them live here.
[00:00:26.625 --> 00:00:29.946]  And then they will take control of the interview for this simulcast.
[00:00:30.566 --> 00:00:33.107]  And so you'll hear whatever background news is going on.
[00:00:33.427 --> 00:00:38.869]  And then as the guest will be interviewed, I will be in the interviewee position here on air.
[00:00:40.296 --> 00:00:40.656]  Okay.
[00:00:41.437 --> 00:00:44.139]  And so for stations out there, the ads will still play.
[00:00:44.499 --> 00:00:48.042]  You just won't be able to hear what's going on on Iranian TV.
[00:00:48.703 --> 00:00:50.945]  But John will take control from there.
[00:00:50.985 --> 00:00:58.110]  And John, I'm going to turn down the ISDN once that happens so that you can be in control from Minnesota.
[00:00:58.130 --> 00:00:59.071]  So I'm in Texas.
[00:00:59.632 --> 00:01:01.653]  The Genesis Network is in Minneapolis, St.
[00:01:01.673 --> 00:01:01.833]  Paul.
[00:01:01.853 --> 00:01:03.675]  They're in Burnsville, a suburb to be precise.
[00:01:07.694 --> 00:01:14.656]  We're going to be talking to international press TV out of London, England, which is satellited back into Tehran.
[00:01:15.297 --> 00:01:20.659]  And this is English language, so you'll be able to understand them as soon as they call.
[00:01:21.039 --> 00:01:22.259]  And I agreed to do this today.
[00:01:22.299 --> 00:01:28.781]  I've said no a few other times because it's always on gold or oil or government terrorism or other subjects.
[00:01:28.841 --> 00:01:30.002]  Today it's on
[00:01:30.902 --> 00:01:31.122]  U.S.
[00:01:31.162 --> 00:01:31.582]  elections?
[00:01:32.003 --> 00:01:32.603]  Who could win?
[00:01:33.143 --> 00:01:34.304]  What happened to third parties?
[00:01:34.424 --> 00:01:34.784]  U.S.
[00:01:35.164 --> 00:01:36.045]  electoral system?
[00:01:36.085 --> 00:01:36.805]  How democratic?
[00:01:37.245 --> 00:01:38.646]  The future of U.S.
[00:01:38.706 --> 00:01:40.647]  and world under John McCain or Obama?
[00:01:41.027 --> 00:01:41.728]  What's at stake?
[00:01:41.888 --> 00:01:42.808]  Bush legacy.
[00:01:43.729 --> 00:01:55.495]  So, that is what we're going to be discussing today on Iranian international television and press TV is on some U.S.
[00:01:55.535 --> 00:01:57.636]  cable and satellite systems.
[00:01:58.416 --> 00:01:59.657]  Again, it is also on
[00:02:00.928 --> 00:02:10.724]  around the world so that is coming up and again you'll be able to watch it all uninterrupted at prison planet dot tv i have to
[00:02:11.784 --> 00:02:17.206]  Multitask a lot with what I do to be able to maximize getting the word out.
[00:02:17.266 --> 00:02:23.529]  Would I love to go speak in your city or go speak in England or go speak in Croatia or Russia or Japan as I've been invited?
[00:02:24.049 --> 00:02:29.171]  Would I love to be able to take my children to the Pacific Northwest and see whales as my wife dreams of doing?
[00:02:29.211 --> 00:02:29.491]  Yes.
[00:02:30.172 --> 00:02:39.556]  But every day I can sit here in the bunker reading, researching, doing radio interviews, doing TV interviews and having a huge effect.
[00:02:40.416 --> 00:02:47.700]  And so that's why I'm doing this and that's why I can't come up to say Kansas City, KCXL invited me up there to speak to crowds.
[00:02:47.740 --> 00:02:49.080]  Last time I was there was about a thousand people.
[00:02:49.661 --> 00:03:08.130]  I can't do the things I want to do because we are affecting the biggest amount of change here over AM and FM, over the interviews I'm doing, over PrisonPlanet.tv, and with all of you that are taking the audio of this show and putting it all over the internet, on the file sharing networks, everywhere else.
[00:03:10.109 --> 00:03:11.831]  Okay, I'm ready to go ahead and go to him.
[00:03:15.774 --> 00:03:16.174]  Uh, hello?
[00:03:17.135 --> 00:03:18.736]  Hello, this is Gail from Press TV.
[00:03:18.777 --> 00:03:20.138]  How do you do, sir, Mr. Jones?
[00:03:20.478 --> 00:03:21.038]  I am good.
[00:03:21.119 --> 00:03:26.163]  I am ready to go live, so I sit here awaiting whenever you guys are ready to go to me.
[00:03:26.964 --> 00:03:34.010]  Yes, the show just started in four minutes, sir, so you're ready, I think, but I want to have your brief sound check as usual.
[00:03:34.110 --> 00:03:35.311]  So, is the cable too, sir?
[00:03:36.309 --> 00:03:36.930]  Absolutely.
[00:03:37.030 --> 00:03:38.611]  I didn't quite make out.
[00:03:38.991 --> 00:03:40.332]  Thank you.
[00:03:40.352 --> 00:03:40.672]  Thank you.
[00:03:40.712 --> 00:03:43.474]  So could you please start counting from 1 to 10 very slowly, sir?
[00:03:43.814 --> 00:03:44.114]  Sure.
[00:03:44.955 --> 00:03:45.295]  It's 10-9-8-7-6-5-4-3-2-1.
[00:03:45.315 --> 00:03:47.517]  Thank you.
[00:03:47.837 --> 00:03:49.858]  Thank you.
[00:03:50.198 --> 00:03:57.163]  And something else, I put you through the studio.
[00:03:57.183 --> 00:03:58.044]  There's the news brief.
[00:03:58.244 --> 00:03:59.505]  If you can hear, let me know, sir.
[00:03:59.525 --> 00:03:59.885]  Thank you.
[00:04:00.986 --> 00:04:04.428]  ...government from power, unless it held direct talks on his demands.
[00:04:05.071 --> 00:04:05.571]  Sounds good.
[00:04:06.512 --> 00:04:06.872]  Could you?
[00:04:07.473 --> 00:04:08.393]  Sounds very good.
[00:04:09.454 --> 00:04:10.175]  Perfect.
[00:04:10.215 --> 00:04:10.535]  Perfect.
[00:04:10.675 --> 00:04:11.856]  So you're ready for our show.
[00:04:11.896 --> 00:04:12.716]  Have a great show.
[00:04:12.736 --> 00:04:13.217]  Good luck.
[00:04:13.317 --> 00:04:14.097]  Okay.
[00:04:14.237 --> 00:04:18.921]  And you were asking if I could be in studio for a video interview on Wednesday.
[00:04:18.941 --> 00:04:21.242]  I want to make sure you guys know I'm happy to do that.
[00:04:22.883 --> 00:04:23.264]  Wow.
[00:04:23.384 --> 00:04:24.004]  Perfect.
[00:04:24.044 --> 00:04:24.424]  Perfect.
[00:04:24.584 --> 00:04:26.906]  So if you want, you can talk with Shida, okay?
[00:04:27.466 --> 00:04:28.227]  Our coordinator.
[00:04:28.667 --> 00:04:29.328]  So please.
[00:04:29.848 --> 00:04:30.108]  Okay.
[00:04:30.749 --> 00:04:31.049]  Thank you.
[00:04:33.922 --> 00:04:35.343]  Mr. Alex Jones, hi sir!
[00:04:35.363 --> 00:04:36.364]  Hi, how are you doing?
[00:04:36.404 --> 00:04:37.765]  Thanks for having me on your show.
[00:04:37.906 --> 00:04:38.426]  Thank you.
[00:04:38.506 --> 00:04:41.228]  Well, you know, we're so happy for having you on the show.
[00:04:41.569 --> 00:04:44.191]  Not just me, like everybody here is so happy.
[00:04:44.231 --> 00:04:53.059]  And the other day I was talking to Mr. Trey and I was telling him how wonderful you are and how we really appreciate your being on our show.
[00:04:53.479 --> 00:04:54.240]  Thank you very much.
[00:04:54.400 --> 00:04:56.982]  Well absolutely, I'm happy to do it.
[00:04:57.502 --> 00:04:58.483]  Thank you, thank you.
[00:04:58.723 --> 00:05:05.108]  We really enjoy your comments and every time you come to one of our shows, I mean all of us here, we sit down and we watch.
[00:05:05.389 --> 00:05:12.254]  Like the last time I remember, it was Four Corners and like we were all watching it and it was amazing.
[00:05:12.294 --> 00:05:13.775]  It was absolutely amazing.
[00:05:14.015 --> 00:05:14.776]  Thank you very much.
[00:05:15.196 --> 00:05:16.437]  Well thank you for having me on.
[00:05:16.457 --> 00:05:22.442]  I would love to do it more, just I'm usually on the radio at this time, but I'm glad that we could do it today, so thank you.
[00:05:23.308 --> 00:05:24.069]  Perfect, perfect.
[00:05:24.089 --> 00:05:24.389]  Thank you.
[00:05:24.629 --> 00:05:28.192]  So please stay with us and we're going to start the show in about a few minutes.
[00:05:28.292 --> 00:05:28.853]  Okay, thank you.
[00:05:29.513 --> 00:05:30.174]  Okay, thank you.
[00:05:32.556 --> 00:05:33.577]  Really nice folks there.
[00:05:56.814 --> 00:05:57.674]  Mr. Alex Jones?
[00:05:58.695 --> 00:05:59.616]  Yes, I'm right here.
[00:06:00.116 --> 00:06:14.444]  By the way, by the way, about the show that we have on Wednesday, I have to talk to the transmission department, and then as soon as we know that the, I mean, the, I mean, we can, we'll be able to book a studio, I'll let you know.
[00:06:14.464 --> 00:06:16.145]  Fantastic, just whenever you need me.
[00:06:16.225 --> 00:06:16.545]  Thank you.
[00:06:16.565 --> 00:06:18.586]  Sure, definitely I'll let you know.
[00:06:18.606 --> 00:06:19.327]  Okay, thank you.
