[00:00:00.049 --> 00:00:01.430]  SprayYourPlate.com.
[00:00:01.430 --> 00:00:02.531]  That's SprayOmOm.
[00:00:02.531 --> 00:00:04.392]  Orders are kept strictly confidential.
[00:00:04.392 --> 00:00:08.014]  You are no longer defenseless against Big Brother, who is watching us all.
[00:00:08.014 --> 00:00:10.315]  Go to SprayYourPlate.com or call 800-276-9601.
[00:00:10.315 --> 00:00:16.899]  That's 800-276-9601 today.
[00:00:16.899 --> 00:00:18.600]  Don't give your money to the state.
[00:00:18.600 --> 00:00:19.601]  Spray your plate.
[00:00:19.601 --> 00:00:25.064]  And when it breaks... When it breaks... This is the GCN Radio Network.
[00:00:25.064 --> 00:00:27.646]  Home to hard-hitting talk radio.
[00:00:27.646 --> 00:00:28.046]  EO590KLVJ.
[00:00:32.859 --> 00:00:35.661]  IRN USA Radio News, I'm Jody Jordan.
[00:00:35.661 --> 00:00:42.605]  Congress and the Bush Administration are close to a deal on a Wall Street bailout to keep the nation's shaky economy from collapsing.
[00:00:42.605 --> 00:00:49.188]  Announcing a tentative agreement shortly after midnight, House Speaker Nancy Pelosi says they've made great progress.
[00:00:49.188 --> 00:00:51.550]  This is House Majority Leader Steny Hoyer.
[00:00:51.550 --> 00:00:53.391]  What if negotiations fall through?
[00:00:53.391 --> 00:00:55.192]  What if we fail to act?
[00:00:56.312 --> 00:01:00.075]  If we fail, every American could be adversely affected.
[00:01:00.075 --> 00:01:06.320]  Maryland State Police Superintendent Terrence Sheridan says a medevac helicopter has crashed in Maryland.
[00:01:06.320 --> 00:01:16.408]  It's with the deepest regret that I announce the deaths of four people who were aboard a Maryland State Police medevac helicopter that crashed earlier this morning in Prince George's County.
[00:01:17.762 --> 00:01:26.131]  A paramedic, an emergency responder, and one of the two accident victims were killed when the copter crashed around midnight in a suburban park after reporting bad weather.
[00:01:26.131 --> 00:01:28.113]  This is IRN USA Radio News.
[00:01:29.688 --> 00:01:37.435]  If you're driving down the road trying to decide whether you need a home equity loan just to buy gas, you might want to consider a home business.
[00:01:37.435 --> 00:01:39.277]  Hi, how in the world are you anyway?
[00:01:39.277 --> 00:01:43.601]  This is Andy Willoughby with the 3-Step Plan Home Business System.
[00:01:43.601 --> 00:01:47.905]  If you build a home business with the 3-Step Plan, you'd walk to work every day.
[00:01:47.905 --> 00:01:51.548]  It'd only take about 10 seconds and it wouldn't use any gas.
[00:01:51.548 --> 00:01:54.971]  And you probably wouldn't miss all the traffic hassles either.
[00:01:55.311 --> 00:02:00.234]  Of course, some 3-Step Plan members keep their job and just start a home business part-time.
[00:02:00.234 --> 00:02:01.195]  It's up to you.
[00:02:01.195 --> 00:02:03.757]  That's one of the great things about the 3-Step Plan.
[00:02:03.757 --> 00:02:05.438]  You get to make the choices.
[00:02:05.438 --> 00:02:12.122]  For information, go to 3stepplan.com or call 800-480-2102.
[00:02:12.122 --> 00:02:19.207]  If you'd like to put more money in your pocket and less in the gas tank, take a proactive approach to today's changing economy.
[00:02:19.207 --> 00:02:21.749]  Find out how you can make more money working from home.
[00:02:22.029 --> 00:02:30.196]  Go to 3stepplan.com or call 800-480-2102.
[00:02:30.196 --> 00:02:40.225]  Maine could see wind gusts up to 60 miles per hour and waves up to 20 feet from Hurricane Kyle according to the state's emergency management agency director.
[00:02:40.225 --> 00:02:47.712]  The storm has triggered Maine's first hurricane watch in 17 years as it roars over the Atlantic on a northward track toward Nova Scotia.
[00:02:48.357 --> 00:02:51.138]  Stacy Stewart is with the National Hurricane Center.
[00:02:51.138 --> 00:03:05.341]  Kyle is still a Category 1 hurricane with maximum sustained winds of around 75 miles per hour and we expect little change in the overall strength of this system for the next 12 to maybe 24 hours.
[00:03:05.341 --> 00:03:16.364]  Sounds from China where people in mission control clap as Chinese Shenzhou 7 spacecraft arrives back on Earth following its successful attempt at the country's first ever spacewalk.
[00:03:17.154 --> 00:03:24.108]  Astronauts called it a glorious mission, and the premier calls it a stride forward in China's space history.
[00:03:24.108 --> 00:03:27.534]  For more news and analysis, log on to IRNnews.com.
[00:03:29.605 --> 00:03:31.626]  Coming soon to a neighborhood near you.
[00:03:31.626 --> 00:03:32.947]  Grass and weed allergens.
[00:03:32.947 --> 00:03:34.467]  They're headed in your direction.
[00:03:34.467 --> 00:03:37.629]  So when your allergies start to get bad, get Claritin Clear.
[00:03:37.629 --> 00:03:41.971]  Non-drowsy Claritin D relieves all your toughest allergy symptoms like runny nose and sneezing.
[00:03:41.971 --> 00:03:48.494]  And nothing works stronger, faster, or longer than Claritin D to relieve your worst congestion and sinus pressure without making you drowsy.
[00:03:48.494 --> 00:03:51.236]  When you're Claritin Clear, you can make the most of your time outdoors.
[00:03:51.236 --> 00:03:54.897]  24-hour non-drowsy Claritin D. Live Claritin Clear.
[00:03:54.897 --> 00:03:58.219]  Use as directed among non-drowsy 24-hour OTC allergy products.
[00:04:00.080 --> 00:04:03.321]  The Phillies are the National League East champions.
[00:04:03.321 --> 00:04:04.861]  Here's Michael Luongo.
[00:04:04.861 --> 00:04:11.743]  The Phillies captured their second consecutive National League Eastern Division championship with a 4-3 victory over the Nationals.
[00:04:11.743 --> 00:04:18.745]  But off he got sacrifice flies from Pat Burrell and Carlos Luis in the fourth, a solo home run by Jason Worth in the fifth.
[00:04:31.607 --> 00:04:36.888]  Two playoff spots are still open on this final scheduled day of the Major League Baseball season.
[00:04:36.888 --> 00:04:42.249]  The New York Mets and the Milwaukee Brewers are tied for the National League Wild Card.
[00:04:42.249 --> 00:04:47.750]  While the Chicago White Sox and Minnesota Twins are still battling for the American League Central title.
[00:04:48.502 --> 00:04:49.143]  The U.S.
[00:04:49.143 --> 00:04:55.248]  military has given Israel a sophisticated radar to track incoming Iranian missiles.
[00:04:55.248 --> 00:04:56.289]  Here's Mark Levy.
[00:04:56.289 --> 00:05:00.753]  It's a concrete sign of the level of seriousness of the threats of Iran against Israel.
[00:05:00.753 --> 00:05:03.375]  Iran's president keeps threatening to wipe Israel off the map.
[00:05:03.908 --> 00:05:07.529]  The new radar can spot an Iranian missile a thousand miles away.
[00:05:07.529 --> 00:05:11.511]  And Barack Obama and Joe Biden will be back in Michigan today.
[00:05:11.511 --> 00:05:15.772]  A recent poll suggests Obama has a commanding lead in the state.
[00:05:15.772 --> 00:05:20.834]  John McCain is joining ABC News for a town hall meeting in Columbus, Ohio.
[00:05:20.834 --> 00:05:23.554]  Sarah Palin has nothing scheduled.
[00:05:23.554 --> 00:05:28.176]  I'm Jody Jordan, and that's news from the Information Radio Network.
[00:05:30.351 --> 00:05:34.054]  Are you sick and tired of spending your hard-earned money to fill your gas tank?
[00:05:34.054 --> 00:05:35.735]  Then do something about it.
[00:05:35.735 --> 00:05:39.517]  Fuel Saver's fuel conditioner lets you drive further on each gallon of fuel.
[00:05:39.517 --> 00:05:41.318]  Completely safe for all engines.
[00:05:41.318 --> 00:05:47.721]  Just add a small squeeze of product to your tank each time you fill up to improve your fuel economy 10 to 20 percent or more.
[00:05:47.721 --> 00:05:48.902]  Saving you 35 to 80 cents on every gallon.
[00:05:50.823 --> 00:05:58.390]  Each little 2 ounce squeeze bottle is highly concentrated and costs only $8 to treat 100 gallons of gas or 50 gallons of diesel.
[00:05:58.390 --> 00:06:02.394]  Buy a case and the price drops to a mere $6 per bottle with free shipping.
[00:06:02.394 --> 00:06:06.478]  Be one of the first 10 orders and get an additional 10% off your case purchase.
[00:06:06.478 --> 00:06:07.839]  That's $5.40 to treat 100 gallons of gas.
[00:06:10.001 --> 00:06:18.926]  Let's call toll free 866-768-7811 or get more information at fuelsaverinc.com.
[00:06:18.926 --> 00:06:22.207]  First 10 orders, save 10% on a case purchase.
[00:06:22.207 --> 00:06:23.688]  Act now to save on fuel.
[00:06:23.688 --> 00:06:23.768]  866-768-7811.
[00:06:23.768 --> 00:06:24.048]  Call now.
