[00:00:00.089 --> 00:00:01.210]  We're good.
[00:00:23.231 --> 00:00:25.432]  Welcome, my friends, all of you across the planet.
[00:00:25.432 --> 00:00:26.893]  Thank you for joining us today.
[00:00:26.893 --> 00:00:27.613]  We're live.
[00:00:27.613 --> 00:00:38.619]  It is Monday, the ninth day of June 2008, and we're going to be live here for the next four hours.
[00:00:38.619 --> 00:00:48.543]  Jim Tucker, with an overview of everything that happened at Bilderberg last week and throughout the weekend until Sunday, will be joining us with major breaking news in 30 minutes.
[00:00:48.543 --> 00:00:51.865]  He already disclosed it to me Saturday night.
[00:00:52.879 --> 00:00:56.481]  And we'll be dealing with, are they planning to attack Iran?
[00:00:56.481 --> 00:01:13.153]  What Secretary of Defense Robert Gates, former director of the Central Intelligence Agency, discussed when he was there at the Westfields Marriott in Chantilly, Virginia for Bilderberg 2008 scene of the crime.
[00:01:13.153 --> 00:01:16.555]  We'll talk about some of the people I personally saw coming in and out of the event.
[00:01:18.106 --> 00:01:29.292]  We'll talk about Secret Service and military intelligence, as well as individuals from the State Department Protective Service running around in clown masks.
[00:01:29.292 --> 00:01:31.833]  You cannot make this type of stuff up.
[00:01:31.833 --> 00:01:33.754]  This is something right out of a movie.
[00:01:33.754 --> 00:01:36.155]  Provocateur actions, you name it.
[00:01:36.155 --> 00:01:43.479]  Of course, I've gotten death threats over the years and stalkers and things that have happened, but it was a clear government M.O.
[00:01:43.479 --> 00:01:47.141]  and clearly folks from the Bilderberg Group or one of the incendiary agencies
[00:01:47.702 --> 00:01:53.526]  Regarding the kingpin criminals, I called my wife yesterday with an extremely dirty trick.
[00:01:53.526 --> 00:01:59.330]  Of course, it only made our family come together and be that much stronger and just reaffirm that you are the criminals.
[00:01:59.330 --> 00:02:01.132]  You are the enemies of the Republic.
[00:02:01.132 --> 00:02:02.933]  You are the enemies of everything good and decent.
[00:02:02.933 --> 00:02:07.496]  You are the people destroying this country and enslaving the entire planet.
[00:02:07.496 --> 00:02:09.357]  And you will be brought to justice.
[00:02:09.357 --> 00:02:13.060]  So we'll be discussing that coming up as well today.
[00:02:14.617 --> 00:02:19.941]  Make no mistake, the Bilderberg Group is the tip-top of the power pyramid.
[00:02:19.941 --> 00:02:27.226]  And I just want to point out to listeners that the hundreds of people, I would say probably 400 people, came out over the four days.
[00:02:27.226 --> 00:02:30.288]  Because a lot of people were only there for one day, I would ask them.
[00:02:30.288 --> 00:02:43.358]  We had as many as 150 people at one time out there demonstrating, protesting, and of course engaging in alternative, grassroots media exposure of the Bilderberg.
[00:02:44.665 --> 00:02:51.488]  And I just want to point out that all of these men and women, some people even brought their children out, have exceptional courage.
[00:02:51.488 --> 00:03:08.756]  Because to go and bullhorn and go and demonstrate and protest and have Secret Service aim MP5 submachine guns at you, to be followed by military intelligence, to have people visit some of the folks that went out there at their homes and threaten them in front of their families, to go through this,
[00:03:09.431 --> 00:03:12.794]  And to put yourselves in the way of the fist of the Global Crime Syndicate.
[00:03:12.794 --> 00:03:20.620]  These are people that have killed millions and millions of people just in the last few years, and hundreds of millions in the last century.
[00:03:20.620 --> 00:03:22.842]  And they brag about that, by the way.
[00:03:22.842 --> 00:03:24.203]  It's just amazing courage.
[00:03:24.203 --> 00:03:37.273]  And of course, to be the very tip of the spear, to be pretty much the leader out there, myself and Jim Tucker, takes even more courage, and we couldn't do it without God's support and blessing, of course, and all the glory goes to God.
[00:03:37.273 --> 00:03:38.634]  I want to thank you all for your prayers.
[00:03:39.515 --> 00:03:42.856]  But they certainly hate us, and they certainly hate freedom.
[00:03:42.856 --> 00:03:48.698]  And the stories I have to tell, it's just unbelievable.
[00:03:48.698 --> 00:03:51.499]  Everything that happened, and everything that unfolded.
[00:03:51.499 --> 00:03:53.980]  I want to commend the listeners.
[00:03:53.980 --> 00:04:01.462]  I've looked at our web traffic ratings, our both internal information, and of course external, Alexa, and StatBrain, and others.
[00:04:01.462 --> 00:04:05.583]  Infowars.com has never had this much traffic.
[00:04:05.583 --> 00:04:08.324]  It is rated bigger than World Net Daily, bigger than Newsmax,
[00:04:09.062 --> 00:04:10.903]  Uh, bigger than all the major sites now.
[00:04:10.903 --> 00:04:16.405]  Uh, the so-called alternative sites that have proven to be shell-like in the past.
[00:04:16.405 --> 00:04:23.428]  Uh, Prison Planet is, uh, has the highest ratings, uh, that it has ever had as well.
[00:04:23.428 --> 00:04:27.129]  But InfoWars has absolutely left, uh, left orbit.
[00:04:27.129 --> 00:04:29.990]  I mean, it is, it is just blasting off.
[00:04:29.990 --> 00:04:34.132]  And that is all because you have been spreading the word, and I ask you to reaffirm the InfoWar.
[00:04:34.662 --> 00:04:37.064]  And spread it like you've never done before.
[00:04:37.064 --> 00:04:38.505]  We are on the march.
[00:04:38.505 --> 00:04:40.747]  The empire is on the run.
[00:04:40.747 --> 00:04:41.467]  The answer to 1984 is 1776.
[00:04:41.467 --> 00:04:42.288]  We'll be right back.
[00:04:42.288 --> 00:04:42.868]  Stay with us.
[00:04:54.079 --> 00:04:56.941]  Terror Storm, a history of government-sponsored terror.
[00:04:56.941 --> 00:04:58.502]  Loose Change Final Cut.
[00:04:58.502 --> 00:05:00.643]  Endgame, blueprint for global enslavement.
[00:05:00.643 --> 00:05:02.544]  The true story of the Bilderberg Group.
[00:05:02.544 --> 00:05:04.045]  The late great USA.
[00:05:04.045 --> 00:05:05.806]  America, freedom to fascism.
[00:05:05.806 --> 00:05:12.830]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:05:12.830 --> 00:05:16.913]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:05:16.913 --> 00:05:20.295]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:05:20.675 --> 00:05:23.456]  Or you would like a book on the history of the Federal Reserve.
[00:05:23.456 --> 00:05:26.518]  We've got the most well-researched and documented titles.
[00:05:26.518 --> 00:05:28.899]  All available at PrisonPlanet.com.
[00:05:28.899 --> 00:05:34.581]  Or if you'd like, you can give the InfoWars store a call at 888-253-3139.
[00:05:34.581 --> 00:05:39.544]  Or you can view more than a thousand titles in super high quality right now at PrisonPlanet.tv.
[00:05:40.604 --> 00:05:51.188]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
