[00:00:06.292 --> 00:00:08.074]  Mainstream media.
[00:00:08.074 --> 00:00:09.816]  Government cover-ups.
[00:00:09.816 --> 00:00:11.397]  You want answers?
[00:00:11.397 --> 00:00:12.298]  Well, so does he.
[00:00:12.298 --> 00:00:17.163]  He's Alex Jones on the GCN Radio Network.
[00:00:17.163 --> 00:00:21.227]  And now, live from Austin, Texas, Alex Jones.
[00:00:28.664 --> 00:00:36.529]  Here we are, ladies and gentlemen, December 1st, 2008, already in the last month of Big 08.
[00:00:36.529 --> 00:00:43.153]  Going into 09 with our new leader, our new savior, Barack H. Obama.
[00:00:43.153 --> 00:00:52.019]  Paul Watson will join us for an update on what was really behind the three-day attacks that took more than 300 lives in Mumbai, India.
[00:00:52.754 --> 00:00:54.936]  Paul Watson joining us in 30 minutes.
[00:00:54.936 --> 00:00:58.100]  He'll also be discussing the Washington Post today.
[00:00:58.100 --> 00:01:02.104]  He did a big detailed report on it at PrisonPlanet.com.
[00:01:02.104 --> 00:01:03.666]  Announcing, hey, guess what?
[00:01:03.666 --> 00:01:05.748]  It won't just be one brigade.
[00:01:05.748 --> 00:01:11.474]  It'll be 20,000 army troops alone stationed in America.
[00:01:11.474 --> 00:01:13.616]  Working with your local police.
[00:01:15.073 --> 00:01:17.015]  We will break that down.
[00:01:17.015 --> 00:01:19.297]  People are going, my gosh, Alex, how did you know this?
[00:01:19.297 --> 00:01:20.818]  We thought you were crazy!
[00:01:20.818 --> 00:01:24.101]  I was only going off all the official Pentagon documents.
[00:01:24.101 --> 00:01:26.222]  I was only going to their urban warfare drills.
[00:01:26.222 --> 00:01:28.944]  And they are training to take your guns.
[00:01:28.944 --> 00:01:30.526]  Let's be clear about that.
[00:01:30.526 --> 00:01:40.414]  Once they've conditioned the public to accept troops on the streets like they've been having them now for a decade at sporting events, high school, college, NFL, the Kentucky Derby,
[00:01:41.323 --> 00:01:43.024]  The Academy Awards.
[00:01:43.024 --> 00:01:48.826]  Once you're conditioned to see troops in the streets, then they can start the gun confiscation.
[00:01:48.826 --> 00:01:51.166]  That's what our troops are being trained to do.
[00:01:51.166 --> 00:01:55.328]  And if you're patriotic, according to the government, you just turn your guns into them.
[00:01:55.328 --> 00:01:58.309]  But you're not against the troops in America, are you?
[00:01:59.364 --> 00:02:01.305]  What are you, some kind of communist?
[00:02:01.305 --> 00:02:02.706]  Turn your guns in!
[00:02:02.706 --> 00:02:04.747]  It's disgusting.
[00:02:04.747 --> 00:02:09.369]  So we'll go over that today and do some background history on it with Paul Watson.
[00:02:09.369 --> 00:02:11.770]  Then we have Lindsey Williams joining us.
[00:02:11.770 --> 00:02:12.911]  I had him on two weeks ago.
[00:02:12.911 --> 00:02:21.695]  Oil has dipped below $50 a barrel, as he predicted from his Atlantic Richfield executive source.
