[00:00:27.172 --> 00:00:28.052]  News.
[00:00:28.052 --> 00:00:28.912]  Politics.
[00:00:28.912 --> 00:00:29.833]  Cover-ups.
[00:00:29.833 --> 00:00:31.333]  Government corruption.
[00:00:31.333 --> 00:00:33.814]  You're listening to We The People Radio Network.
[00:00:33.814 --> 00:00:34.434]  WTPRN.
[00:00:37.475 --> 00:00:38.636]  Media.
[00:00:38.636 --> 00:00:40.397]  Government cover-ups.
[00:00:40.397 --> 00:00:41.978]  You want answers?
[00:00:41.978 --> 00:00:43.519]  Well, so does he.
[00:00:43.519 --> 00:00:47.722]  He's Alex Jones on the GCN Radio Network.
[00:00:47.722 --> 00:00:55.747]  And now, live from Austin, Texas, Alex Jones.
[00:00:55.747 --> 00:01:05.273]  Well, I can confidently say this is going to be an amazing four-hour transmission on this Monday.
[00:01:05.273 --> 00:01:06.054]  We are back
[00:01:07.134 --> 00:01:14.857]  In a big way, after close to a week off, Alex Jones here in the saddle.
[00:01:14.857 --> 00:01:25.002]  I told you yesterday on the Sunday show, when I got back into Austin from a brief vacation with family, that we had big 9-11 announcements today.
[00:01:25.002 --> 00:01:27.102]  And it certainly is big.
[00:01:27.102 --> 00:01:35.126]  I'll just direct you to InfoWars.com and PrisonPlanet.com for an article by Paul Watson, another article by Kurt Nimmob.
[00:01:36.155 --> 00:01:43.962]  And a seven and a half minute video that is just bombshell information concerning Building 7.
[00:01:43.962 --> 00:01:51.348]  This is as big as the BBC reporting the building had fallen before it fell in false start scripting.
[00:01:51.348 --> 00:02:02.058]  Similar to announcing that Lee Harvey Oswald had shot and killed Kennedy in New Zealand, Australian and Thailand papers before his name was even released in the U.S., before he was even in custody.
[00:02:03.703 --> 00:02:07.847]  False start scripting of black ops.
[00:02:07.847 --> 00:02:09.508]  People say the government would make mistakes.
[00:02:09.508 --> 00:02:10.889]  They do make mistakes.
[00:02:10.889 --> 00:02:11.790]  They do get caught.
[00:02:11.790 --> 00:02:13.091]  They just don't get brought to justice.
[00:02:13.091 --> 00:02:19.217]  It's like torture of children to death is now admitted by the criminals because it's what they enjoy.
[00:02:19.217 --> 00:02:20.258]  There was no reason to do that.
[00:02:20.258 --> 00:02:22.259]  They just like jobs where they can do that.
[00:02:22.259 --> 00:02:23.981]  That's where real psychos go.
[00:02:24.639 --> 00:02:28.042]  It's work for the CIA and interrogations.
[00:02:28.042 --> 00:02:32.946]  But it only came out because there are good people in the government who don't want to be associated with this.
[00:02:32.946 --> 00:02:34.407]  Same thing here.
[00:02:34.407 --> 00:02:38.010]  So you did it, you murdering bastards, you killers.
[00:02:38.010 --> 00:02:39.832]  And I'm not risking my life for nothing here.
[00:02:39.832 --> 00:02:44.255]  I'm not going head to head with pure evil.
[00:02:44.255 --> 00:02:47.298]  Mortal combat with the New World Order in the Info War.
[00:02:48.474 --> 00:02:51.116]  When my life means nothing to them, your life means nothing.
[00:02:51.116 --> 00:02:53.038]  They revel in killing and hurting us.
[00:02:53.038 --> 00:02:55.299]  I'm not doing any of this to lose.
