[00:00:13.279 --> 00:00:14.099]  All right, folks!
[00:00:14.959 --> 00:00:16.800]  Fourth hour of the Alex Jones Show.
[00:00:18.140 --> 00:00:21.961]  PrisonPlanet.tv members got the live video feed.
[00:00:23.861 --> 00:00:27.081]  Again, we're gonna be having We Are Change LA on.
[00:00:29.322 --> 00:00:29.902]  Stuart Howe.
[00:00:31.781 --> 00:00:35.885]  And now that we're on the camera, I want to just review a couple things, okay?
[00:00:36.586 --> 00:00:46.276]  Yesterday, I talked about the truth about vaccines on the cover of Time Magazine, where they're trying to fear-monger people into pressuring others that know the vaccine.
[00:00:47.446 --> 00:00:51.867]  Vaccines cause autism and are not good for you in most cases because of the preservatives they put in there.
[00:00:53.147 --> 00:00:55.448]  To be like, why are you endangering us?
[00:00:55.668 --> 00:00:56.548]  Worried about autism?
[00:00:56.588 --> 00:00:58.529]  Many parents are opting out of immunizations.
[00:00:58.829 --> 00:01:00.969]  How they're putting the rest of us at risk.
[00:01:01.650 --> 00:01:02.610]  And there it is right there.
[00:01:03.570 --> 00:01:04.650]  The crying baby.
[00:01:04.710 --> 00:01:05.951]  The little needle in his arm.
[00:01:06.311 --> 00:01:08.831]  And we're the bad guys because we know about the thimerosal.
[00:01:08.851 --> 00:01:10.152]  We know about the SV40.
[00:01:10.312 --> 00:01:10.852]  Really good stuff.
[00:01:11.701 --> 00:01:11.921]  You know?
[00:01:12.582 --> 00:01:15.784]  Please write Time Magazine and tell them what terrible people they are.
[00:01:15.964 --> 00:01:16.985]  What propagandists they are.
[00:01:17.325 --> 00:01:18.846]  And then we have the new cop shirts.
[00:01:19.006 --> 00:01:19.567]  This is great.
[00:01:20.087 --> 00:01:23.069]  It is the Scumbag Eradication Team.
[00:01:23.109 --> 00:01:23.890]  Not in our town.
[00:01:24.590 --> 00:01:25.251]  Not in our town.
[00:01:25.271 --> 00:01:26.032]  There it is right there.
[00:01:26.112 --> 00:01:27.773]  See, there's the cop with the moustache.
[00:01:28.533 --> 00:01:28.934]  Right there.
[00:01:29.574 --> 00:01:31.375]  And he's putting people in the toilet.
[00:01:31.415 --> 00:01:32.776]  He's taking the scum out.
[00:01:34.218 --> 00:01:34.818]  No judge.
[00:01:35.278 --> 00:01:35.759]  No jury.
[00:01:35.879 --> 00:01:36.459]  No trial.
[00:01:36.839 --> 00:01:37.480]  He's the boss.
[00:01:38.120 --> 00:01:39.041]  He's the man!
[00:01:42.418 --> 00:01:43.179]  It's so terrible.
[00:01:43.399 --> 00:01:44.339]  I can't even deal with it.
[00:01:45.761 --> 00:01:49.403]  Alright, we're probably going to have him at five after the hour, so let's take a couple more calls.
[00:01:49.443 --> 00:01:50.564]  I can still take a couple more calls.
[00:01:51.685 --> 00:01:53.666]  Let's go to Marco in Texas.
[00:01:53.706 --> 00:01:54.227]  He's been holding.
[00:01:54.267 --> 00:01:54.867]  Marco, are you there?
[00:01:56.008 --> 00:01:56.668]  Hey, how you doing?
[00:01:56.808 --> 00:01:57.089]  Good, man.
[00:01:57.109 --> 00:01:57.409]  What's up?
[00:01:57.729 --> 00:02:00.171]  First, I want to commend all your show and Alex.
[00:02:00.251 --> 00:02:02.052]  I mean, you guys are really brave.
[00:02:02.252 --> 00:02:08.397]  I mean, sometimes I happen to run into, just to see what kind of propaganda I get on the Hannity and all Limbaugh and all that crap.
[00:02:09.232 --> 00:02:10.272]  I tell you, it makes me nauseous.
[00:02:10.532 --> 00:02:13.393]  I cannot understand how people listen to self-propaganda.
[00:02:13.453 --> 00:02:14.214]  Anyway, that's it.
[00:02:14.974 --> 00:02:18.095]  I just want to give some information for your listeners in New York.
[00:02:18.635 --> 00:02:24.777]  I just don't remember the name of the guy, but let me just give you this information.
[00:02:24.837 --> 00:02:27.318]  He's trying to open a new investigation on 9-11.
[00:02:27.758 --> 00:02:29.939]  William Pepper's New York City ballot initiative.
[00:02:31.161 --> 00:02:32.843]  Yes, I think his name is Mike Revelle.
[00:02:33.263 --> 00:02:35.085]  He was running for President on the Democratic side.
[00:02:35.225 --> 00:02:35.805]  Oh, no, no.
[00:02:35.825 --> 00:02:41.230]  Mike Revelle is supporting the initiative written up by William Pepper, and he should be on Democracy Now!
[00:02:41.270 --> 00:02:42.712]  today to promote that.
[00:02:42.752 --> 00:02:43.092]  Exactly.
[00:02:43.252 --> 00:02:51.400]  That's where I got the news from, and he got... I don't have the number, but I encourage all the people from New York who want a new investigation on 9-11 to
[00:02:52.236 --> 00:03:03.594]  Check the number, there's a hotline that he gave on that show on Democracy Now!, and encourage others just to, because they need signatures to open a new investigation, a new commission, which I think is very important for all of us to believe that
[00:03:04.215 --> 00:03:05.717]  You know, the shakiness of 9-11.
[00:03:05.817 --> 00:03:06.518]  I'm with you.
[00:03:06.598 --> 00:03:09.160]  I think we can get that if we support Kucinich as well.
[00:03:09.201 --> 00:03:11.323]  I'm not against the New York City ballot initiative.
[00:03:11.343 --> 00:03:12.304]  I'm all for it, by the way.
[00:03:12.644 --> 00:03:22.715]  But with Kucinich actually putting up those two articles of impeachment, one, obstruction of justice before 9-11 to thwart the investigations into terror, and two, covering up the investigation,
[00:03:23.436 --> 00:03:25.676]  And then, of course, the third one has to do with the EPA's lies.
[00:03:25.937 --> 00:03:27.397]  But those two have a lot of teeth.
[00:03:28.037 --> 00:03:33.758]  And if we're able to push that agenda forward, I think that we're more likely to see some kind of internal investigation.
[00:03:33.778 --> 00:03:36.659]  I thank you for the call, Marco, and I thank you for the kind words.
[00:03:37.299 --> 00:03:38.939]  Let's go to Betty in North Carolina.
[00:03:38.979 --> 00:03:39.579]  Betty, are you with us?
[00:03:40.439 --> 00:03:40.939]  Hello?
[00:03:41.279 --> 00:03:41.500]  Hello.
[00:03:42.460 --> 00:03:48.401]  Yes, Jason, I did look up that site that you told me to look up about the RDF chips.
[00:03:48.741 --> 00:03:48.981]  Okay.
[00:03:49.443 --> 00:04:00.076]  And I read a lot about it and hearing more about it and the guy that just was on talking about it, it upsets me more and more each time I hear about it because I don't believe in getting it done because to me that's the mark of the beast.
[00:04:00.592 --> 00:04:13.100]  Well it's a mark of the beast to a lot of people and even those who aren't religious should realize this is an intrusive radio frequency identification system that is literally going to hold all of your information on this chip.
[00:04:13.400 --> 00:04:14.260]  It's not safe.
[00:04:14.761 --> 00:04:16.882]  They want us to use it to trade and sell.
[00:04:16.922 --> 00:04:19.384]  It causes cancer in rats and it's a total tracking device.
[00:04:19.404 --> 00:04:21.145]  They've been using it in animals for years.
[00:04:21.845 --> 00:04:26.228]  And I don't believe in getting it and I wouldn't do it to my animal but what I wanted to tell you is
[00:04:27.177 --> 00:04:33.841]  They were talking yesterday about how they're scanning them clear down to their body when they go through the airport.
[00:04:33.881 --> 00:04:36.603]  Sure, the new scanners that can see through everything.
[00:04:36.863 --> 00:04:41.526]  We'll come back to you after this with We Are Change out in L.A.
[00:04:41.546 --> 00:04:45.588]  We'll wrap that up and talk about the RFIDs and then We Are Change.
[00:04:45.648 --> 00:04:46.529]  It's the Alex Jones Show!
[00:04:59.645 --> 00:05:04.969]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism.
[00:05:05.169 --> 00:05:10.132]  Globalists are concerned with what's good for the American empire instead of what's fair for the American people.
[00:05:10.192 --> 00:05:16.116]  The only antidote to the poison of globalism is nationalism, which is why you should be reading the Nationalist Times each month.
[00:05:16.356 --> 00:05:20.599]  We promote a common sense, intelligent, and passionate alternative to the reigning party line.
