[00:00:00.109 --> 00:00:01.190]  You're listening to GCN.
[00:00:40.163 --> 00:00:42.445]  Get ready for real talk radio.
[00:00:43.225 --> 00:00:45.327]  That's what this radio transmission has always been about.
[00:00:45.347 --> 00:00:48.770]  It's really the original name of this radio show.
[00:00:49.430 --> 00:00:50.871]  It's also been called the final edition.
[00:00:51.872 --> 00:00:54.034]  You know, when I would do the last live show at a local station.
[00:00:54.774 --> 00:00:57.136]  Okay, we got Mark Dice with us for Resistance Manifesto.
[00:00:57.156 --> 00:00:58.317]  We're going to have him back on.
[00:00:58.337 --> 00:00:59.438]  Get it at markdice.com.
[00:01:01.255 --> 00:01:03.237]  I want to shift into 9-11.
[00:01:03.517 --> 00:01:05.839]  Burmess, what do you think of Mr. Corsi?
[00:01:05.999 --> 00:01:09.022]  And what do you think of Mark Dice and what we just heard with him?
[00:01:09.462 --> 00:01:10.443]  It's throwing me under the bus.
[00:01:10.784 --> 00:01:14.087]  Oh, he's definitely throwing you under the bus a wee bit.
[00:01:14.127 --> 00:01:16.749]  But also, you know, I think Combs is throwing you under the bus.
[00:01:16.789 --> 00:01:19.451]  He also was contacted by you, has been on the show.
[00:01:19.952 --> 00:01:24.416]  And, you know, he's the little Democratic cheerleader there, the little side up on that end of the spectrum.
[00:01:24.996 --> 00:01:39.432]  And he just loves to use you to discredit people, when in fact, Corsi a couple times just tried to say, look, I'm looking at the physicist's evidence, and of course he did have to backpedal and say, maybe there were some unanswered questions, but I'm saying that, you know, there's no way that the government helped cause 9-1-1.
[00:01:39.452 --> 00:01:43.577]  And by the way, Corsi says his publisher will, quote, not let him come on the show.
[00:01:44.097 --> 00:01:45.078]  Yeah, he's under contract.
[00:01:45.378 --> 00:01:48.661]  Well, I mean you got snubbed on Geraldo the other day and other Fox News.
[00:01:48.681 --> 00:01:50.602]  Yeah, they drove me down there, had me sit there.
[00:01:50.662 --> 00:01:52.284]  That's why I've always refused to fly there.
[00:01:52.564 --> 00:01:54.065]  They're always trying to get me to fly to New York.
[00:01:54.605 --> 00:01:55.946]  Like it's some Murdoch joke.
[00:01:56.367 --> 00:01:58.408]  And the last guy I sent up there, the plane almost crashed.
[00:01:58.428 --> 00:02:00.630]  It was like dropping 2,000 feet in thunderstorms.
[00:02:01.351 --> 00:02:02.331]  I'm sure that's a coincidence.
[00:02:02.351 --> 00:02:03.252]  Of course it is, yeah.
[00:02:03.953 --> 00:02:08.776]  You've probably got some New World Order person down there in a witch's hat and a big, like, ahhh, it's Saruman!
[00:02:09.177 --> 00:02:10.758]  That'll get you, Jones!
[00:02:11.518 --> 00:02:12.406]  Anyways, it's crazy.
[00:02:12.467 --> 00:02:13.717]  Mark Dice, final comments.
[00:02:15.396 --> 00:02:29.760]  I want to announce, and I'll do this when I'm back on your show in a couple weeks, for, you know, 9-11, the anniversary's coming up here in about three weeks, and for those who can't make it to New York, or who can't go out to a local rally, or who just want to get involved but don't know what to do, I want to just announce Operation Phone Mob.
[00:02:29.840 --> 00:02:31.941]  So, I think on 9-11, it's a Thursday.
[00:02:32.681 --> 00:02:34.982]  Details will be posted at MarkDice.com.
[00:02:35.402 --> 00:02:36.702]  I'll email that out to everybody.
[00:02:36.863 --> 00:02:44.765]  I think that we need to get hundreds of people to call into the radio talk shows on that day, and let's get every single phone call to be one of us.
[00:02:45.465 --> 00:02:46.406]  Let's address the issues.
[00:02:46.446 --> 00:02:47.366]  Let's use this as an opportunity.
[00:02:47.386 --> 00:02:48.486]  What do you think of Corsi?
[00:02:48.526 --> 00:02:50.007]  I mean, this is becoming a big issue.
[00:02:50.507 --> 00:02:59.091]  You know, there was some cross-talk there between him and Combs, but he said, I don't know if people made it out, but he said he's never written anything in support of the 9-11 truth movement.
[00:02:59.151 --> 00:03:04.953]  So, he's in a rough position, but again, he's got a lot of responsibility.
[00:03:04.993 --> 00:03:06.014]  He probably knows the truth.
[00:03:06.054 --> 00:03:13.477]  He's the darling of the hardcore neocons, and then he's saying he's looking at Evans of Inside Job.
[00:03:14.201 --> 00:03:16.643]  And they're saying he's delusional about the North American Union.
[00:03:16.943 --> 00:03:17.484]  You know what it is?
[00:03:17.584 --> 00:03:29.693]  It's almost like, uh, when Ron Paul was initially interviewed by student scholars and he said he would support a new investigation, although he didn't believe that it would really tell the truth, and then he'd even have to backpedal from that position when he got bigger.
[00:03:29.973 --> 00:03:40.702]  Well, of course he was able to come on your show, talk about Thermite, but now that he's a New York Times number one bestseller and he's on all these shows, it's time to back off a bit, because 9-11 truth is just still too hot for some people.
[00:03:41.548 --> 00:03:42.368]  Oh yeah, they all know.
[00:03:42.408 --> 00:03:43.089]  They all know.
[00:03:43.149 --> 00:03:44.109]  Every single one of them.
[00:03:44.650 --> 00:03:46.671]  His book's already a best seller at this point.
[00:03:46.711 --> 00:03:47.951]  I think he has nothing to lose.
[00:03:48.011 --> 00:03:51.353]  He should just come out hard hitting and just state the facts.
[00:03:52.371 --> 00:04:07.619]  He's always asking to come on the show because he knows my audience with a few other shows can push it up the New York Times bestseller list and I think his book's important and you know he's being attacked for saying it's disinfo.
[00:04:07.879 --> 00:04:10.400]  No, they're not attacking him on the book itself.
[00:04:10.720 --> 00:04:13.642]  They're attacking him on North American Union or 9-11.
[00:04:15.002 --> 00:04:17.083]  And so that's another issue.
[00:04:17.123 --> 00:04:21.506]  Why aren't they attacking him on the issues the book covers, Bernie?
[00:04:22.006 --> 00:04:26.048]  Well, I mean, they got some minute errors in there and they blow them out of proportion for the book.
[00:04:26.308 --> 00:04:29.050]  But like you said, they don't want to address the main stuff.
[00:04:29.070 --> 00:04:35.974]  I mean, he does get in the SPP right after the discussion about you on Hannity and Combs, you know, Securities and Prosperities Partnership.
[00:04:36.174 --> 00:04:37.915]  So the guy's obviously very, very smart.
[00:04:37.955 --> 00:04:39.996]  He's very, very hip to what this movement's doing.
