[00:00:11.475 --> 00:00:12.835]  He stands for truth.
[00:00:14.236 --> 00:00:16.097]  He stands for justice.
[00:00:17.457 --> 00:00:19.058]  He stands for what's right.
[00:00:19.898 --> 00:00:22.259]  This is the Alex Jones Show.
[00:00:23.240 --> 00:00:26.201]  Call Alex now, toll free at 877-590-5525.
[00:00:26.321 --> 00:00:28.682]  Now live from Ogden, Texas,
[00:00:39.731 --> 00:00:40.532]  Welcome, folks.
[00:00:40.592 --> 00:00:40.992]  Welcome.
[00:00:41.072 --> 00:00:43.194]  Thank you so much for joining us.
[00:00:44.815 --> 00:00:51.040]  It is already the 24th day of February 2008 on this Sunday edition.
[00:00:51.901 --> 00:00:56.825]  I, of course, am a Syndicate Radio Talk Show host running through Friday, but five days a week is not enough.
[00:00:57.246 --> 00:00:59.007]  So much news happens over the weekend.
[00:00:59.047 --> 00:01:03.170]  Sunday is a key point as one week is ending and a new week is beginning.
[00:01:04.634 --> 00:01:11.939]  Sunday always signifies the first day of the new week, but to me it really is the end of the week.
[00:01:12.939 --> 00:01:18.703]  All right, we're going to be live here for the next two hours, roughly, and we're going to have open phones at 877-590-5525.
[00:01:18.723 --> 00:01:22.986]  That's 877-590-5525 for AM and FM affiliates across the country or if you're listening on the satellite internet.
[00:01:31.340 --> 00:01:38.683]  At Infowars.com or Shortwave or locally in Texas if you're listening on KLBJ 590, the studios that we come to you from.
[00:01:39.103 --> 00:01:41.384]  It's 836-0590.
[00:01:42.464 --> 00:01:42.864]  Okay.
[00:01:43.945 --> 00:01:45.966]  Here is the news I have in front of me.
[00:01:46.006 --> 00:01:52.108]  I have 1, 2, 3, 4, 5, 6, 7 stacks here I want to go over.
[00:01:52.648 --> 00:01:52.948]  U.S.
[00:01:53.048 --> 00:01:59.991]  and Canada pin bilateral military plan under North American Union auspices to merge militaries.
[00:02:00.819 --> 00:02:02.840]  Now, this is mainstream news this weekend.
[00:02:02.860 --> 00:02:05.000]  It came out on Saturday.
[00:02:05.920 --> 00:02:13.862]  And, of course, I made films six, seven, eight years ago that show the documents they'd already covertly merged with the Mexican and Canadian military.
[00:02:14.242 --> 00:02:19.284]  They will use Mexican and Canadian troops to, quote, deal with American dissenters.
[00:02:19.964 --> 00:02:22.545]  That was in army agreements with Canada and Mexico in 2003.
[00:02:24.471 --> 00:02:31.454]  This is a big deal, all part of the North American Union, that the yuppies don't know exists yet because they're too busy acting cool.
