[00:00:00.109 --> 00:00:01.650]  This is the GCN Radio Network.
[00:00:01.650 --> 00:00:02.651]  Home to hard-hitting talk radio.
[00:00:29.036 --> 00:00:30.719]  Check your watch, it's four o'clock.
[00:00:43.422 --> 00:00:48.785]  David Plouffe has told Fox News Sunday that Obama has expanded the electoral map.
[00:00:48.785 --> 00:00:57.670]  We feel good about Kerry states, Iowa, New Mexico, Nevada, Colorado, Virginia, all of the prime takeaway targets that we've been working on for so long.
[00:00:57.670 --> 00:01:03.273]  And McCain campaign manager Rick Davis says undecided voters are likely to break in favor of McCain.
[00:01:03.493 --> 00:01:05.654]  Guess who's the undecided voters?
[00:01:05.654 --> 00:01:13.957]  People who, in the suburbs, expurbs, and rural areas, a lot of them Democrats, who just haven't bought into the Obama message, and guess what?
[00:01:13.957 --> 00:01:15.898]  If they haven't bought in by now, they probably aren't gonna.
[00:01:15.898 --> 00:01:21.781]  Both John McCain and Barack Obama will be east of the Mississippi this final Sunday before the election.
[00:01:21.781 --> 00:01:27.183]  McCain will stop in Pennsylvania and New Hampshire, while Obama returns to Ohio.
[00:01:27.183 --> 00:01:29.424]  This is IRN USA Radio News.
[00:01:30.735 --> 00:01:32.537]  Hi, this is Dale Denton from Maryland.
[00:01:32.537 --> 00:01:34.799]  I came from a real estate background.
[00:01:34.799 --> 00:01:40.004]  My traditional business, my overhead was enormous, and a downturn put me out of business.
[00:01:40.004 --> 00:01:50.935]  The problem with my traditional business was that my overhead grew as the company grew, and it eventually grew to about a half a million dollars a month, which I couldn't sustain during a recession and a downturn.
[00:01:50.935 --> 00:01:54.239]  I found myself near 50 and having to start over with a net retirement plan.
[00:01:54.989 --> 00:02:08.822]  I've been working the three-step plan for just over two and a half years, something under three years, and the great thing about the Andy Willoughby three-step plan, the minimum investment compared to the return that I got was just awesome.
[00:02:09.429 --> 00:02:12.330]  The Three Step Plan has given me my life back.
[00:02:12.330 --> 00:02:13.811]  Hi, how in the world are you anyway?
[00:02:13.811 --> 00:02:17.832]  This is Andy Willoughby with the Three Step Plan Home Business System.
[00:02:17.832 --> 00:02:23.094]  To find out how you could make more money working from home, go to 3stepplan.com or call 800-480-2102.
[00:02:23.094 --> 00:02:23.134]  800-480-2102.
