[00:00:00.783 --> 00:00:02.545]  Government cover-ups.
[00:00:02.545 --> 00:00:04.127]  You want answers?
[00:00:04.127 --> 00:00:05.027]  Well, so does he.
[00:00:05.027 --> 00:00:09.872]  He's Alex Jones on the GCN Radio Network.
[00:00:09.872 --> 00:00:13.936]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.937 --> 00:00:28.961]  Welcome my friends, welcome to this very important Friday edition, the 15th day of August 2008.
[00:00:28.961 --> 00:00:36.708]  We're going to be live here for the next three hours and 59 minutes, 18 seconds.
[00:00:36.708 --> 00:00:39.831]  We are going to have wide open phones throughout the day.
[00:00:39.831 --> 00:00:50.360]  Professor Michelle Chossodosky, expert on what's happening with Poland, Georgia, Ukraine, Russia, will be joining us for 30 minutes coming up at the
[00:00:51.053 --> 00:01:03.221]  Middle of this hour, then Jonathan Elinoff, they're reporting that they're going to be putting people in a little makeshift FEMA camp as they did at the RNC in 2004 that we covered.
[00:01:03.221 --> 00:01:08.604]  He was able to successfully sneak in to the facility and get video of that.
[00:01:08.604 --> 00:01:12.566]  Jonathan Elinoff, we are Change Colorado, now with something like 500 members.
[00:01:14.625 --> 00:01:16.907]  Really exploding that one chapter.
[00:01:16.907 --> 00:01:25.914]  And then, of course, popping in with us multiple times weekly to track all the economic and geopolitical developments, as well as Russia, Bob Chapman with us in the fourth hour today.
[00:01:25.914 --> 00:01:34.080]  So, Michael Chazodowski, Jonathan Elimov, and Bob Chapman all on the show, on the transmission for you today.
[00:01:34.080 --> 00:01:42.607]  Huge developments with the Russian escalation, kicking off the old Cold War, but in a hotter, more dangerous, more accelerated way.
[00:01:48.473 --> 00:01:51.914]  Russia, Poland risk attacks because of U.S.
[00:01:51.914 --> 00:01:52.454]  missiles.
[00:01:52.454 --> 00:01:58.455]  Now, that is the Associated Press headline.
[00:01:58.455 --> 00:02:02.515]  A top Russian general said Friday that Poland's agreement to accept a U.S.
[00:02:02.515 --> 00:02:12.477]  missile interceptor base exposes the ex-communist nation to attack, possibly by nuclear weapons, the Interfax News Agency reported.
[00:02:12.477 --> 00:02:14.518]  Also, top geopolitical author, U.S.
[00:02:14.518 --> 00:02:17.118]  risking nuclear war with Russia.
[00:02:18.746 --> 00:02:22.247]  Neocons up nuclear war ante with Poland Missile Shield.
[00:02:22.247 --> 00:02:27.328]  Excellent analysis from Kurt Nemo at InfoWars.com.
[00:02:27.328 --> 00:02:29.048]  So Paul Watson's done a story.
[00:02:29.048 --> 00:02:30.429]  Top geopolitical author, U.S.
[00:02:30.429 --> 00:02:32.269]  vs. nuclear war with Russia.
[00:02:32.269 --> 00:02:34.289]  That's at PrisonPlanet.com.
[00:02:34.289 --> 00:02:37.470]  And covering the same story but from different perspective and angle.
[00:02:37.470 --> 00:02:40.351]  Neocons up nuclear war ante with Poland Missile Shield.
[00:02:40.351 --> 00:02:43.231]  InfoWars.com, Kurt Nemo.
[00:02:43.231 --> 00:02:45.452]  Russia seizes arsenal of U.S.
[00:02:45.452 --> 00:02:46.472]  weapons in Georgia.
[00:02:47.583 --> 00:02:52.166]  Dow Jones News is reporting.
[00:02:52.166 --> 00:02:57.129]  Russia keeps up its blockade of strategic Georgian city.
[00:02:57.129 --> 00:03:01.753]  Obama fanatic slam author for questioning 9-11 truth.
[00:03:01.753 --> 00:03:04.514]  Well, the New York Times also slammed myself.
[00:03:04.514 --> 00:03:13.540]  Yours truly, this radio talk show host and investigative journalist, documentary filmmaker.
[00:03:13.540 --> 00:03:17.303]  So a huge attack there.
[00:03:20.202 --> 00:03:21.343]  We'll be going over that.
[00:03:21.343 --> 00:03:31.970]  Dr. Corsi, when I saw this last night, saw this story in the New York Times, another one today, bashing him for going on the vicious, evil Alex Jones Show.
[00:03:31.970 --> 00:03:33.571]  I mean, I am blacklisted, folks.
[00:03:33.571 --> 00:03:46.400]  I mean, they have Fox News, CNN, MSNBC, New York Times, just scores of publications on an almost daily basis now.
[00:03:46.400 --> 00:03:48.261]  Ron Paul goes on Alex Jones!
[00:03:49.275 --> 00:03:53.257]  Dr. Corsi goes on Alex Jones!
[00:03:53.257 --> 00:03:55.858]  I mean, you talk about being blackballed to the blacklist.
[00:03:55.858 --> 00:03:59.119]  Man, I am proud to be numero uno!
[00:03:59.119 --> 00:04:05.622]  The black sheep, the wicked devil, according to the corporate whore media.
[00:04:05.622 --> 00:04:10.223]  And Corsi's, uh, publicist calls us today and said, he's not coming on now.
[00:04:10.223 --> 00:04:11.484]  He had a scheduling problem.
[00:04:11.484 --> 00:04:13.385]  He'll just have to be on next week.
[00:04:13.385 --> 00:04:15.726]  Well, uh, I said, Trey, that's complete bull.
[00:04:15.726 --> 00:04:16.886]  That's political.
[00:04:16.886 --> 00:04:18.407]  I said, you call.
[00:04:18.407 --> 00:04:18.907]  Corsi's always
[00:04:20.308 --> 00:04:22.791]  Asking to come on, I could use another word, but we like having him.
[00:04:22.791 --> 00:04:24.153]  Begging to come on.
[00:04:24.153 --> 00:04:28.799]  Uh, because he knows this is a big show, but he'll still tell you, bigger response here than any other show he goes on.
[00:04:28.799 --> 00:04:31.302]  That means TV, Fox, Glenn Beck, any of it.
[00:04:31.302 --> 00:04:36.048]  Because we've got active listeners, not just millions, but active listeners.
[00:04:36.048 --> 00:04:38.651]  But, uh, we talked to Corsi this morning, we're gonna tell you that, um...
[00:04:39.730 --> 00:04:46.473]  Look, the behind-the-scenes intrigue going on here, but look, first I gotta cover Russia and what's happening there.
[00:04:46.473 --> 00:04:48.093]  Okay, because this affects everybody.
[00:04:48.093 --> 00:04:52.455]  Frankly, I'm gonna talk about myself in the New York Times a little bit later.
[00:04:52.455 --> 00:04:53.816]  Stay with us.
[00:04:53.816 --> 00:04:56.297]  It is a big idea.
[00:04:56.297 --> 00:04:58.058]  A new world order.
[00:04:58.058 --> 00:04:58.998]  In the near future.
[00:04:59.810 --> 00:05:03.132]  The Earth is dominated by a powerful new government.
[00:05:03.132 --> 00:05:05.773]  It's known as the Bilderberg Group.
[00:05:05.773 --> 00:05:08.554]  Could their objective be world domination?
[00:05:08.554 --> 00:05:11.736]  For thousands of years, their dark order grew.
[00:05:11.736 --> 00:05:19.060]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:22.096 --> 00:05:27.540]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:27.540 --> 00:05:30.843]  You will learn the secret that drives the entire New World Order agenda.
[00:05:30.843 --> 00:05:33.965]  The Oval Bureau is making great progress toward a world government.
[00:05:33.965 --> 00:05:35.146]  Most people have no idea.
[00:05:35.146 --> 00:05:35.927]  They're not after money.
[00:05:35.927 --> 00:05:37.188]  They have all the money they need.
[00:05:37.188 --> 00:05:38.188]  They're after power.
[00:05:38.188 --> 00:05:39.329]  That's what they're after these years.
[00:05:39.329 --> 00:05:44.093]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:05:44.093 --> 00:05:48.056]  Or watch it online right now at PrisonPlanet.tv.
[00:05:48.056 --> 00:05:50.858]  Endgame, blueprint for global enslavement.
[00:05:50.858 --> 00:05:51.899]  You have been warned.
[00:05:52.995 --> 00:05:56.736]  The pressures of everyday life can deliver a serious blow to your health.
[00:05:56.736 --> 00:06:02.378]  Stress increases blood pressure, potential heart problems, strokes, ulcers, depression, and insomnia.
[00:06:02.378 --> 00:06:05.639]  Stress suppresses your immune system and inhibits weight control.
[00:06:05.639 --> 00:06:08.320]  Stress makes you nervous, anxious, or irritable.
[00:06:08.320 --> 00:06:11.401]  Introducing Nature's Renewal Supreme Anti-Stress Formula.
[00:06:11.601 --> 00:06:18.748]  When you're stressed out or need to ease nervousness, our supreme anti-stress formula calms simple nervous tension and soothes irritability.
[00:06:18.748 --> 00:06:27.576]  This non-drowsy, all-natural formula improves mental clarity and focus, allowing you to function better and enjoy life at home, at work, or even at play.
[00:06:27.816 --> 00:06:30.077]  Call us today, 1-800-383-8474.
