[00:00:00.349 --> 00:00:01.450]  Government cover-ups.
[00:00:02.111 --> 00:00:02.911]  You want answers?
[00:00:03.692 --> 00:00:04.553]  Well, so does he.
[00:00:05.233 --> 00:00:08.856]  He's Alex Jones on the GCN Radio Network.
[00:00:09.437 --> 00:00:13.520]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.122 --> 00:00:35.303]  All right, ladies and gentlemen, thank you for joining us.
[00:00:35.483 --> 00:00:37.464]  It is already Thursday.
[00:00:37.484 --> 00:00:40.805]  It is the third day of April 2008.
[00:00:41.665 --> 00:00:45.806]  We're going to be live here for the next three hours.
[00:00:46.786 --> 00:00:47.667]  I need your help.
[00:00:47.707 --> 00:00:57.630]  You know, when we had Willie Nelson on, it took a day or two to get the Associated Press to pick it up, and then it did break nationally, and there was a
[00:00:59.975 --> 00:01:06.881]  Still somewhat of a news blackout on it, but it did get out in the alternative media, and most Americans ended up hearing about it.
[00:01:07.381 --> 00:01:13.706]  And all over the country, when Willie Nelson goes on tour now, people come up to him and say, hey, I heard you on the Alex Jones Show.
[00:01:14.226 --> 00:01:16.108]  Why is that so important?
[00:01:17.734 --> 00:01:22.215]  That is vitally important because that is a sounding board.
[00:01:22.275 --> 00:01:31.377]  That's a sonar ping back at us that it had a massive effect and caused a lot of people to wake up and look at the official story.
[00:01:31.917 --> 00:01:46.020]  But more importantly, we already have 80 plus percent in some polls, 60 plus percent in other polls, so we know it's way more than half the public say that they believe they've been lied to about the official story.
[00:01:47.264 --> 00:01:52.085]  They say that they've been lied to about the official story.
[00:01:52.926 --> 00:01:56.026]  But they are afraid to speak out at the water cooler.
[00:01:56.067 --> 00:02:00.368]  They're afraid to speak out at the lunch counter or at church.
[00:02:00.388 --> 00:02:03.209]  They're afraid to speak out with their friends and family.
[00:02:06.369 --> 00:02:07.890]  And when they hear about
