[00:00:01.065 --> 00:00:02.808]  Government cover-ups.
[00:00:02.808 --> 00:00:04.410]  You want answers?
[00:00:04.410 --> 00:00:05.973]  Well, so does he.
[00:00:05.973 --> 00:00:10.160]  He's Alex Jones on the GCN Radio Network.
[00:00:10.160 --> 00:00:14.206]  And now, live from Austin, Texas, Alex Jones.
[00:00:18.490 --> 00:00:21.472]  Big radio broadcast lined up for you today.
[00:00:21.472 --> 00:00:22.772]  Wide open phones.
[00:00:22.772 --> 00:00:25.594]  All the important news covered here on air.
[00:00:25.594 --> 00:00:27.835]  The great grab bag of your calls.
[00:00:27.835 --> 00:00:34.179]  People taking us in different directions, bringing up important issues, topics, and stories.
[00:00:34.179 --> 00:00:38.621]  It is, of course, ladies and gentlemen, the 11th day of November 2008.
[00:00:38.621 --> 00:00:41.883]  We have four hours laying out before us.
[00:00:41.883 --> 00:00:43.244]  We have a writer.
[00:00:45.630 --> 00:01:05.646]  Joining us, coming up in the next hour, who's done a report on Homeland Security turning the nation's now a vassal state of global corporate crime syndicate, the nation's spy satellites inward on the American people and tying the local police into them.
[00:01:05.646 --> 00:01:10.470]  So the full story on that coming up in the next hour, should be almost about 20 minutes.
[00:01:10.470 --> 00:01:13.893]  We have some other guests who are lining up as well today.
[00:01:15.842 --> 00:01:22.166]  In other news, we mentioned it yesterday, but I want to get into more detail today on this.
[00:01:22.166 --> 00:01:28.709]  Two trillion dollars of the bailout, that was the Bloomberg headline, is secret.
[00:01:28.709 --> 00:01:42.677]  The private Federal Reserve and the quasi-governmental Treasury, it's now quasi-governmental because it's being given separate governmental powers, kind of outside of the government,
[00:01:43.596 --> 00:01:48.138]  To merge with the private Federal Reserve.
[00:01:48.138 --> 00:01:53.820]  The Federal Reserve is eating the government, is basically what's happening right now.
[00:01:53.820 --> 00:01:56.581]  They just calmly announced, hey!
[00:01:56.581 --> 00:02:00.763]  Two trillion dollars, we're not going to tell you who we gave it to.
[00:02:00.763 --> 00:02:04.264]  And you're never going to be told, so sit down and shut up.
[00:02:04.264 --> 00:02:13.148]  That's exactly what Rumsfeld and General Myers testifying, what, three years ago now, before the House Banking Committee,
[00:02:14.949 --> 00:02:19.971]  They just said, we're not going to tell you where it went, we're not going to discuss where it went.
[00:02:19.971 --> 00:02:25.052]  And the congressmen and women were saying, but we keep asking you every year, where all these trillions have gone.
[00:02:25.052 --> 00:02:30.154]  It was two trillion in 2001.
[00:02:30.154 --> 00:02:35.736]  When the Associated Press reported on it, it was well over four trillion three years ago, the last hearing I saw on it.
[00:02:35.736 --> 00:02:36.476]  I don't know where it is now.
[00:02:38.880 --> 00:02:41.222]  Just total lawlessness.
[00:02:41.222 --> 00:02:43.845]  And what are they going to do next?
[00:02:43.845 --> 00:02:48.910]  I mean, just stealing everything and saying we won't even tell you where it went?
[00:02:48.910 --> 00:02:56.297]  And if Congress complains, they threaten martial law on them?
[00:02:56.297 --> 00:02:57.198]  This is the real issue.
[00:02:59.005 --> 00:03:04.487]  So we'll go over this report from Paul Watson up on PrisonPlanet.com.
[00:03:04.487 --> 00:03:19.052]  Fed hides destination of two trillion in bailout money, fails to comply with congressional demands for transparency, underscoring age-old problem of top-down socialism, and letting the fox guard the henhouse.
[00:03:21.849 --> 00:03:23.029]  Another report here.
[00:03:23.029 --> 00:03:26.310]  This is out of the Associated Press today.
[00:03:26.310 --> 00:03:32.392]  Georgia Congressman warns of Obama Dictatorship.
[00:03:32.392 --> 00:03:32.852]  That's right.
[00:03:32.852 --> 00:03:42.896]  A Republican Congressman from Georgia said Monday he fears the President-elect Obama will establish a Gestapo-like security force to impose a Marxist or fascist dictatorship.
[00:03:42.896 --> 00:03:45.896]  We're working on getting him on today.
[00:03:45.896 --> 00:03:48.497]  We'll read you his quotes when we get back from break.
[00:03:48.497 --> 00:03:49.418]  I sound a bit different.
[00:03:49.418 --> 00:03:50.778]  Again, I've got a chest cold.
[00:03:52.185 --> 00:03:57.587]  But news is too important to lay around in bed, so I am here live today.
[00:03:57.587 --> 00:04:02.249]  You will hear me pausing from time to time, though.
[00:04:02.249 --> 00:04:09.932]  On other economic news, American Express to become bank holding company.
[00:04:09.932 --> 00:04:13.293]  So we'll be going over that area of the economy.
[00:04:13.293 --> 00:04:18.335]  Worries about housing consumers since stocks lower today.
[00:04:18.335 --> 00:04:19.195]  Lower big time.
[00:04:21.127 --> 00:04:31.134]  Also, snow arrives early in Utah, Colorado, and the other states, and they're having record cold temperatures on a planetary scale right now.
[00:04:31.134 --> 00:04:38.279]  That's why they didn't switch to you, it's no longer global warming, it's now climate change.
[00:04:38.279 --> 00:04:46.264]  And Obama swears with executive order to start carbon taxing and to list what you exhale as toxic waste.
[00:04:46.264 --> 00:04:47.185]  That way we're all
[00:04:48.357 --> 00:04:53.601]  We're climate criminals, but our children don't worry, we're climate cops and we'll stop us.
[00:04:53.601 --> 00:04:55.302]  Hello friends, this is Alex Jones.
[00:04:55.302 --> 00:05:00.045]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:05:00.045 --> 00:05:03.007]  We need to be independent, and food and water is the key.
[00:05:03.007 --> 00:05:06.050]  You'll never have to stand in a bread line if you have your own bread.
[00:05:06.050 --> 00:05:10.773]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:05:10.993 --> 00:05:12.173]  If you simply prepare.
[00:05:12.173 --> 00:05:17.954]  Our elected representatives wanted a good ol' boy bailout for the special interest, so they ignored your screams not to do it.
[00:05:17.954 --> 00:05:19.795]  They turned off the telephones and email.
[00:05:19.795 --> 00:05:23.775]  They voted to print $850 billion dollars at least out of thin air.
[00:05:23.775 --> 00:05:26.576]  This money now owns the American and European banks.
[00:05:26.576 --> 00:05:35.717]  The exploding inflation that is now guaranteed will slash your life savings to nothing and blast the cost of necessities, particularly food, beyond many Americans' reach.
[00:05:35.717 --> 00:05:40.178]  In pre-Nazi Germany superinflation, the cost of a loaf of bread doubled every two days.
[00:05:40.458 --> 00:05:42.799]  Until it reached over 4 billion marks.
[00:05:42.799 --> 00:05:47.262]  Food prices are skyrocketing so fast, there seems as if there may be no end in sight.
[00:05:47.262 --> 00:05:52.945]  The private banks merging with our government are refusing to loan grocery stores enough money to restock their shelves.
[00:05:52.945 --> 00:05:56.186]  The stores have less food, but jack up prices to stay in business.
[00:05:56.186 --> 00:05:59.328]  Whatever happens in America, we need to be prepared and be ready.
[00:05:59.548 --> 00:06:01.369]  Everything is zeroing in on food.
[00:06:01.369 --> 00:06:05.430]  One-third of Americans have to choose between buying food and paying for other necessities.
[00:06:05.430 --> 00:06:09.591]  My friends, whatever it takes, get prepared, get self-sufficient, get food.
[00:06:09.591 --> 00:06:17.093]  For everybody out there listening, it's very important for you to understand that by having a supply of storable food, the government, the new old order, has a lot less control over you.
[00:06:17.093 --> 00:06:21.034]  And so it's a mindset, a mindset of self-sufficiency and preparedness.
[00:06:21.034 --> 00:06:23.895]  No one is going to take care of your family in the final equation but you.
[00:06:24.255 --> 00:06:31.258]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:06:31.258 --> 00:06:34.539]  And they do it at almost half the cost of last year's grocery prices.
[00:06:34.539 --> 00:06:35.459]  Call 1-800-409-5633.
[00:06:35.459 --> 00:06:39.681]  Or on the web, go to eFoodsDirect.com.
[00:06:39.681 --> 00:06:45.943]  Visit eFoodsDirect.com and look over the fine list of high quality, freeze-dried, and dehydrated foods they have to offer.
[00:06:45.943 --> 00:06:47.044]  Watch the free videos.
[00:06:47.264 --> 00:06:52.305]  Look at their online catalog or give them a call at 1-800-409-5633.
[00:06:52.305 --> 00:06:57.286]  Again, 800-409-5633 or on the web at efoodsdirect.com.
[00:06:57.286 --> 00:06:58.426]  Take action today.
[00:06:58.426 --> 00:07:02.507]  The first step is getting storable food.
[00:07:02.507 --> 00:07:09.128]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:07:09.128 --> 00:07:12.109]  It's Alex Jones and the GCN Radio Network.
[00:07:18.957 --> 00:07:29.463]  Okay, we're covering the fact that local police are being federalized and then given the live tracking systems to dial into your cell phone to listen to you without warrants.
[00:07:29.463 --> 00:07:41.170]  Not even when you're using the phone to talk on it, but to dial in and use it as a microphone to use the spy satellites that are supposedly to fight the Russkies and the Iranians against the American people and a lot more.
[00:07:41.170 --> 00:07:43.371]  That is coming up.
[00:07:43.371 --> 00:07:45.312]  I want to get into the subject of martial law.
[00:07:47.165 --> 00:07:49.967]  And the denial of people out there.
[00:07:49.967 --> 00:08:11.085]  You know, instead of all the neocons and mainline liberals who heard myself and many others over the last decade plus warn them about the erosion of posse comitatus, the integration and militarization of police, merging them with the military, the move towards compulsory national service,
[00:08:12.822 --> 00:08:21.890]  All the urban warfare drills going on where the military is openly training with local police to confiscate our firearms door-to-door.
[00:08:21.890 --> 00:08:27.835]  Instead of seeing all of that come true now, seeing all of that being openly announced.
[00:08:27.835 --> 00:08:29.837]  Oh yeah, we've gotten rid of posse comitatus.
[00:08:29.837 --> 00:08:34.081]  Yeah, we're training to confiscate guns.
[00:08:34.081 --> 00:08:36.183]  Yeah, we may need to declare martial law.
[00:08:39.195 --> 00:08:58.385]  The John Warner Defense Authorization Act stating that the president's above all the governors and can use the military against the American people whenever he wants and the high-powered microwave guns on and on and on.
[00:08:58.385 --> 00:09:02.027]  Instead of people saying, wow, these guys were right!
