[00:00:00.009 --> 00:00:01.434]  Right now at TruthNews.us
[00:00:10.442 --> 00:00:25.626]  Every day in the new fourth hour, we've been doing for over a month now, we go live with a document cam, a cam on myself, the guest cam, we have guests, video feeds, audio feeds from the computer, video exclusives for PrisonPlanet.tv members.
[00:00:25.966 --> 00:00:32.388]  Of course, everybody can listen out there on the AM and FM dial, shortwave, global satellite, and the internet at InfoWars.com.
[00:00:32.908 --> 00:00:36.629]  So earlier in the last hour, we played that poor woman crying, screaming, begging.
[00:00:38.286 --> 00:00:47.057]  Uh, as this guy's in her house threatening her with a knife, uh, for hours, and, uh, and then you hear the 911 caller say, I don't care what happens to you, lady.
[00:00:47.778 --> 00:00:53.084]  Okay, so you've got that reality there, the average response time's 8 to 11 minutes, depending on what part of the country.
[00:00:54.885 --> 00:00:56.365]  And with 9-1-1.
[00:00:56.465 --> 00:01:00.606]  Or that areas where they have gun bans for the citizens, crimes exponentially higher.
[00:01:00.666 --> 00:01:05.667]  Or that England's banned all guns and now it's just guns everywhere and bedlam and murder and that's in the news today.
[00:01:07.647 --> 00:01:23.330]  This is a newscast out of Pennsylvania where you have these gun rights groups that go around with guns holstered and the police come and grab them, arrest them, take their guns and then they go to city council and they've got their guns and where they're still under common law and the cowardly public
[00:01:23.730 --> 00:01:28.531]  You want to live your life as a free man and be able to say the things that are guaranteed to you under the First Amendment?
[00:01:49.505 --> 00:01:50.005]  You know what?
[00:01:50.045 --> 00:01:50.525]  Stop it!
[00:01:50.986 --> 00:01:51.346]  You know what?
[00:01:51.366 --> 00:02:00.769]  Why don't I just go to Infowars.com and why don't I just play the video so all the viewers can actually watch it?
[00:02:01.309 --> 00:02:08.491]  I keep forgetting that for PrisonPlanet.tv members that this show is interactive.
[00:02:09.572 --> 00:02:10.632]  I just keep forgetting that.
[00:02:11.492 --> 00:02:15.894]  Oh no, there's so many stories here that I may not be able to find
[00:02:17.099 --> 00:02:21.581]  That Nemo posts so many stories that he posts like 50 times a day, which is great.
[00:02:23.062 --> 00:02:31.386]  But it scrolls through so fast that in the top stories, it's already who knows where in Timbuktu or something.
[00:02:33.307 --> 00:02:36.689]  Speeders force face 10 years in prison.
[00:02:37.289 --> 00:02:38.810]  Gun owners protest police action.
[00:02:38.850 --> 00:02:39.230]  There it is.
[00:02:39.250 --> 00:02:40.991]  Okay.
[00:02:41.351 --> 00:02:41.971]  Sorry folks.
[00:02:42.011 --> 00:02:42.852]  I'm really sorry.
[00:02:42.872 --> 00:02:45.113]  Oh, I just had it.
[00:02:46.343 --> 00:02:46.703]  There we go.
[00:02:46.763 --> 00:02:48.024]  Let's go ahead and click on that.
[00:02:49.805 --> 00:02:54.027]  And we'll go ahead and play this just off my computer here for everybody.
[00:02:54.807 --> 00:02:58.248]  Sorry, I'm getting, you know, my wonderful internet connection here.
[00:02:58.268 --> 00:02:58.809]  It's not loading.
[00:03:00.289 --> 00:03:01.330]  Here we go, ladies and gentlemen.
[00:03:06.508 --> 00:03:15.852]  If you want to live your life as a free man and be able to say the things that are guaranteed to you under the First Amendment, then you need to be able to exercise your Second Amendment.
[00:03:16.592 --> 00:03:19.933]  It ain't about hunting, and it's not even really about self-defense.
[00:03:19.993 --> 00:03:22.214]  It's about protecting us from overbearing government.
[00:03:23.295 --> 00:03:29.017]  And what was seen up here on Friday night was overbearing government, when they can come in and do whatever they want.
[00:03:30.445 --> 00:03:33.766]  Regardless of what the law says, that is overbearing government.
[00:03:33.786 --> 00:03:37.206]  I would like to have input from Dixon City residents first.
[00:03:37.306 --> 00:03:38.647]  I'd like to give them that courtesy.
[00:03:38.787 --> 00:03:42.807]  And then after that, I, uh, Sam, do you have your sign-in sheet?
[00:03:42.827 --> 00:03:47.728]  I have a sign-in sheet for all of the members of the organization that would like to speak.
[00:03:47.808 --> 00:03:50.529]  I will ask all of each of you by name.
[00:03:50.609 --> 00:03:53.309]  I will ask you to come up to the podium.
[00:03:53.329 --> 00:03:55.470]  And this will be a comment session only.
[00:03:55.550 --> 00:03:57.790]  It will not be a question and answer session.
[00:03:58.150 --> 00:04:04.476]  And we'll each be given two minutes to make your comments to counsel and we'd gladly listen to anything you have to say.
[00:04:04.556 --> 00:04:09.481]  So right now, on this side of the audience, is there anything from any Kingston City residents?
[00:04:09.501 --> 00:04:15.106]  Well, I feel a little intimidated coming to a council meeting and seeing people with guns on their hips.
[00:04:16.366 --> 00:04:22.508]  You go to a courthouse or any other public building, you go to x-ray machines in there, airports and everything else.
[00:04:22.888 --> 00:04:25.069]  You can't go to these places with guns.
[00:04:25.949 --> 00:04:28.470]  This is a government... identity.
[00:04:30.130 --> 00:04:37.213]  We're gonna come back and go to this guy going, we need to have scanners at airports everywhere!
[00:04:37.433 --> 00:04:39.013]  We can't have citizens with guns!
[00:04:39.373 --> 00:04:40.253]  I'm scared!
[00:04:40.313 --> 00:04:40.594]  Oh no!
[00:04:45.228 --> 00:04:46.629]  It is a big idea.
[00:04:46.649 --> 00:04:48.769]  A New World Order.
[00:04:49.470 --> 00:04:54.252]  In the near future, Earth is dominated by a powerful world government.
[00:04:54.272 --> 00:04:57.213]  It's known as the Bilderberg Group.
[00:04:57.233 --> 00:04:59.454]  Could their objective be world domination?
[00:04:59.974 --> 00:05:02.395]  For thousands of years, their dark order grew.
