[00:00:02.637 --> 00:00:02.938]  Yeah, I think.
[00:00:14.878 --> 00:00:21.181]  All right, folks, it is the fourth hour in this historic broadcast live from Bilderberg Group 2008.
[00:00:21.782 --> 00:00:23.883]  Alex Jones has just done an amazing job.
[00:00:23.903 --> 00:00:25.443]  We just left you with some bullhorning.
[00:00:26.004 --> 00:00:28.765]  But we have an amazing guest with us right now.
[00:00:28.825 --> 00:00:30.006]  She has an incredible voice.
[00:00:30.366 --> 00:00:33.287]  She's been on MTV with her song, Revolution.
[00:00:33.847 --> 00:00:36.469]  I guess they kind of nixed her album, though, which kind of sucks.
[00:00:37.009 --> 00:00:40.490]  And of course she has the unofficial Ron Paul one that we just played.
[00:00:40.770 --> 00:00:42.190]  She's smokin' hot, too, guys.
[00:00:43.031 --> 00:00:44.131]  It is Amy Allen.
[00:00:44.171 --> 00:00:45.211]  Thank you for joining us, Amy.
[00:00:45.731 --> 00:00:46.692]  Hey, how you doin'?
[00:00:47.332 --> 00:00:47.652]  Great.
[00:00:47.812 --> 00:00:49.752]  And I just gotta tell you, I love your message.
[00:00:50.192 --> 00:00:56.114]  I became aware of you about, I don't know, two or three weeks ago, when someone posted your video on my MySpace page.
[00:00:56.614 --> 00:00:57.614]  And I mean, you talk about a lot.
[00:00:57.634 --> 00:00:59.495]  I mean, you talk about the Build-A-Bear group in that song.
[00:01:00.467 --> 00:01:04.073]  I do talk about the Bilderberg Group, and nobody else seems to be talking about it.
[00:01:04.093 --> 00:01:06.577]  I mean, Alex Jones does, which is awesome.
[00:01:06.617 --> 00:01:07.218]  I'm a huge fan.
[00:01:11.790 --> 00:01:12.831]  No way!
[00:01:13.031 --> 00:01:17.833]  Yeah, they're over there live right now, and if you go over to wearechanged.org, they've got a live video feed.
[00:01:17.853 --> 00:01:20.815]  Yeah, they've got a couple hundred people out there.
[00:01:20.835 --> 00:01:23.016]  They've got about thirty people outside right now.
[00:01:23.437 --> 00:01:30.560]  But a huge turnout, and it's so much of a turnout that the Bilderberg actually put out their first press release ever today.
[00:01:30.581 --> 00:01:32.842]  It's a paragraph long, we read it earlier.
[00:01:33.402 --> 00:01:36.284]  And of course, they're meeting in secret for our good, Amy.
[00:01:36.324 --> 00:01:38.245]  It's not the plan anything bad.
[00:01:38.606 --> 00:01:45.370]  And they say, well, there's not going to be a press conference and the only reason that they're meeting in secret is so they can talk openly and honestly.
[00:01:45.610 --> 00:01:52.695]  Now, why can't they talk openly and honestly about policy that's going to be passed in this country in front of the American people?
[00:01:54.199 --> 00:02:02.841]  Yeah, and why is it just so... I mean, this is amazing that they're doing a press release since, what, just a few days ago, Hillary had no idea what anyone was talking about.
[00:02:03.602 --> 00:02:04.082]  Exactly.
[00:02:04.102 --> 00:02:05.082]  Yeah, exactly.
[00:02:05.122 --> 00:02:07.043]  Hillary doesn't know what Bilderberg is.
[00:02:07.063 --> 00:02:08.523]  She's been confronted on it a couple of times.
[00:02:09.143 --> 00:02:10.564]  Her husband has admitted to going.
[00:02:10.724 --> 00:02:15.125]  They even released the list this year, and let me name off some of the people that have been confirmed.
[00:02:15.465 --> 00:02:19.588]  Of course, Ben Bernanke, Federal Reserve Chairman, is there.
[00:02:19.928 --> 00:02:22.129]  Then we have David Rockefeller, like we always do.
[00:02:22.189 --> 00:02:23.110]  Paul Wolfowitz.
[00:02:23.170 --> 00:02:24.831]  Condi Rice is there officially.
[00:02:25.451 --> 00:02:26.412]  Tom Daschle.
[00:02:26.452 --> 00:02:28.033]  This is nauseating.
[00:02:28.313 --> 00:02:37.379]  It really is nauseating that people that are even supposed to be on the quote-unquote other side of the spectrum, like Daschle, former Senate House Majority Leader for the Democrats, is there.
[00:02:37.659 --> 00:02:42.882]  You know, it just proves again and again and again that these two collude behind closed doors.
[00:02:42.902 --> 00:02:44.163]  They're going to have this big meeting.
[00:02:44.723 --> 00:02:48.167]  Of 125 to 140 people were going to pay for their iPods.
[00:02:48.607 --> 00:02:49.748]  I don't know if you saw that story.
[00:02:49.768 --> 00:02:51.009]  Yeah, I did.
[00:02:51.069 --> 00:02:52.431]  Yeah, we're going to pay for their iPods.
[00:02:52.451 --> 00:02:54.112]  I don't even know what music they're listening to.
[00:02:54.232 --> 00:02:56.294]  I mean, is it just... Hopefully it's your music.
[00:02:56.314 --> 00:02:58.056]  Is it their or like, what are they listening to?
[00:02:59.070 --> 00:03:00.651]  That's probably pretty satanic, hardcore.
[00:03:01.312 --> 00:03:22.907]  Anyway, so they're going to have this meeting, and this weekend with these people now, in a month, they're going to get together at the Bohemian Grove, where there's 3,000 of these people, and then they're going to dispense their agenda throughout those 3,000 people, through compartmentalization, and then they're going to dispense it to their minions and so on, with only a partial part of the picture being known to each of these people.
[00:03:23.328 --> 00:03:27.190]  And again, they're deciding what's going to happen in our country for the next 12 months,
[00:03:28.211 --> 00:03:29.072]  And it's tragic to me.
[00:03:29.132 --> 00:03:30.633]  It's tragic to me that more people don't know.
[00:03:32.194 --> 00:03:33.715]  And that's exactly why I wrote the song.
[00:03:33.915 --> 00:03:38.438]  It's because I, you know, in talking to people, they just don't know.
[00:03:39.018 --> 00:03:40.739]  They just don't know about Bilderberg.
[00:03:40.779 --> 00:03:48.044]  They don't know about the global elites and the fact that they want to take our sovereignty and our constitutional rights.
[00:03:48.104 --> 00:03:51.266]  And they literally have the agenda of the North American Union.
[00:03:51.306 --> 00:03:52.667]  People don't know at all.
[00:03:53.048 --> 00:03:55.890]  And it's just like, it's so frustrating.
[00:03:55.930 --> 00:03:56.450]  And it's also,
[00:03:57.031 --> 00:04:02.194]  It's devastating to watch our country just sort of being brought to its knees systematically.
[00:04:03.015 --> 00:04:04.315]  Yeah, through incrementalization.
[00:04:04.335 --> 00:04:06.237]  So what woke Amy Allen up?
[00:04:06.317 --> 00:04:08.898]  What was it that... Have you been doing this for years?
[00:04:08.938 --> 00:04:09.979]  Have you always looked into this?
