[00:00:00.269 --> 00:00:02.031]  Government cover-ups.
[00:00:02.031 --> 00:00:03.613]  You want answers?
[00:00:03.613 --> 00:00:05.154]  Well, so does he.
[00:00:05.154 --> 00:00:09.358]  He's Alex Jones on the GCN Radio Network.
[00:00:09.358 --> 00:00:13.442]  And now, live from Austin, Texas, Alex Jones.
[00:00:31.764 --> 00:00:41.693]  Well, Bloomberg Financial reported yesterday that the bailout is now over $7 trillion.
[00:00:41.693 --> 00:00:49.241]  So, in the last week, an additional $2 trillion has been stolen by the private bankers.
[00:00:49.241 --> 00:00:54.446]  Now understand, they're not just stealing the money, you're going to pay for it with taxes.
[00:00:56.277 --> 00:01:07.779]  And that's why they are handing out radar guns and firearms and just all sorts of new equipment to the general public to spy on the rest of the public.
[00:01:07.779 --> 00:01:17.101]  They are going to hire millions and millions of citizens to mug the rest of the population.
[00:01:17.101 --> 00:01:19.822]  It is going to be bad.
[00:01:19.822 --> 00:01:21.722]  Hello ladies and gentlemen, we're live
[00:01:23.405 --> 00:01:28.452]  It is the 25th day of November 2008 on this Tuesday edition.
[00:01:28.452 --> 00:01:35.561]  No guest today, but I will be airing the audio of Ron Paul's speech at the end of the Fed Rally, Saturday in Houston.
[00:01:35.561 --> 00:01:37.784]  I'll be airing some clips of myself and others, including
[00:01:38.445 --> 00:01:52.590]  Ron Paul's brother, Wayne Paul, who was at the Dallas demonstration there at the real source of all of our major financial problems, the head of the snake of the New World Order, so that is coming up.
[00:01:52.590 --> 00:01:54.190]  I'll give you a report as well.
[00:01:54.190 --> 00:02:01.333]  On the 45th anniversary of the murder of JFK in Dealey Plaza and what we witnessed there, so kind of a double header,
[00:02:01.913 --> 00:02:20.095]  Killing two birds with one stone, pun intended, up there in Dallas, Texas this weekend and yesterday, interviewing Robert Grodin, Jim Mars, and others for the JFK film and the Barack Obama police state film that we are making right now.
[00:02:21.613 --> 00:02:34.223]  So, seven plus billion dollars, seven plus billion, we'll be reading that report for you here today.
[00:02:37.967 --> 00:02:40.948]  7 billion, excuse me, 7 trillion.
[00:02:40.948 --> 00:02:43.668]  My mind can't even get around it.
[00:02:43.668 --> 00:02:47.609]  I apologize, I was just saying billion over and over again.
[00:02:47.609 --> 00:02:50.790]  7.4 trillion.
[00:02:50.790 --> 00:02:53.710]  7.4 trillion.
[00:02:53.710 --> 00:02:59.671]  7.4 trillion, excuse me.
[00:02:59.671 --> 00:03:05.353]  7.4 trillion, and now they're saying, oh, we are going to bail out the mortgage holders.
[00:03:05.353 --> 00:03:07.013]  But then when you read the fine print,
