[00:00:00.009 --> 00:00:00.089]  Now!
[00:00:13.010 --> 00:00:19.036]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:00:19.637 --> 00:00:22.679]  It's Alex Jones and the GCN Radio Network.
[00:00:23.500 --> 00:00:30.787]  Dr. Paul Craig Roberts, former editor at the Wall Street Journal, best-selling author, head of Policy, Department of Treasury under Ronald Reagan, is going to be joining us in about two minutes.
[00:00:31.228 --> 00:00:33.810]  I wanted to go back to John in New Jersey, a 9-11 detective.
[00:00:36.178 --> 00:00:38.840]  He sponsored Richard Gage, architect and engineer.
[00:00:38.860 --> 00:00:41.341]  Now I remember hearing about him to come in and speak.
[00:00:42.202 --> 00:00:45.284]  And he's asking, why do you call us jackboot thugs?
[00:00:48.486 --> 00:00:52.608]  He's asking, we're now live at PrisonPlanet.tv.
[00:00:52.628 --> 00:00:55.010]  I've got to turn the lights on in here for the camera.
[00:00:56.325 --> 00:00:57.526]  He's asking, why do you say that?
[00:00:57.586 --> 00:01:01.108]  I'm talking about a government that's building FEMA camps and admitting it in the newspaper.
[00:01:02.329 --> 00:01:07.232]  I'm talking about a government that's saying they're going to have youth brigades and tattletale corps.
[00:01:07.872 --> 00:01:16.338]  I'm talking about a government under social engineering control that is turning America into a police state and throwing the Bill of Rights out the window in non-terror related cases.
[00:01:16.958 --> 00:01:19.440]  And so the system, we're saying, is a jackbooted
[00:01:20.200 --> 00:01:26.025]  And I mean, in Austin every day, police take kids from homes without warrants, without indictments, without due process.
[00:01:26.045 --> 00:01:27.527]  And they go, well, I'm just following orders.
[00:01:28.752 --> 00:01:33.334]  And I've had Austin cops walk up and say, turn your camera off or stop talking on a street corner.
[00:01:33.354 --> 00:01:34.154]  You're not allowed to.
[00:01:34.214 --> 00:01:36.895]  And I go, but Austin's lost hundreds of lawsuits for this.
[00:01:36.915 --> 00:01:37.815]  And they say, we don't care.
[00:01:38.255 --> 00:01:39.376]  Turn your camera off.
[00:01:39.416 --> 00:01:42.077]  Get off the street.
[00:01:42.177 --> 00:01:44.217]  So that's who I'm talking about.
[00:01:45.118 --> 00:01:47.379]  And that's what I'm discussing.
[00:01:47.439 --> 00:01:49.960]  So yes, I need to differentiate better.
[00:01:50.700 --> 00:01:56.582]  But the way the police have been organized, the way they're being trained, what's happening in this country,
[00:01:59.164 --> 00:02:00.865]  I mean, it's an us-against-them mentality.
[00:02:02.185 --> 00:02:12.810]  They say it's an us-against-them, and I know there are a lot of good police, and I know that I don't handle it right when I blanket, just spew things, but I mean, I'm freaked out, folks.
[00:02:13.290 --> 00:02:14.890]  You know, I'm straight-laced good guy, and
[00:02:17.509 --> 00:02:19.730]  I've had all sorts of stuff done to me by the police.
[00:02:19.790 --> 00:02:32.536]  Now, I've had the Austin Police Chief in here, and he claims he's a fan of the show, and I know people that know him privately that he didn't know know me, and he talks about me at dinner parties and at radio stations, behind the scenes, and does an Alex Jones imitation.
[00:02:32.957 --> 00:02:41.201]  I understand that cops are just normal people, but I'm telling you, the cops and the firemen witnessed them take the black boxes off the pile.
[00:02:41.991 --> 00:02:45.013]  The cops, you know, see all this evil going on.
[00:02:45.594 --> 00:02:48.456]  And I'm tired of hearing we're just doing our job.
[00:02:48.496 --> 00:02:49.657]  And now it's all coming to a head.
[00:02:49.717 --> 00:02:51.178]  The foreign banks are looting the country.
[00:02:51.759 --> 00:02:54.421]  But finishing up with what you were saying, John.
[00:02:57.403 --> 00:03:11.174]  I mean, Alex, the way I've seen it now, I had a mandatory evidence collection class sponsored by the state troopers, the New Jersey state troopers.
[00:03:11.710 --> 00:03:15.153]  And it was, uh, given by, uh, I guess you can Google it.
[00:03:15.493 --> 00:03:16.774]  His name is, uh, Jerry Lewis.
[00:03:17.475 --> 00:03:30.945]  Um, and the opening salvo to the class was, uh, um, I think, uh, I believe it was the, uh, Luftwaffe, uh, interrogator, the head interrogator.
[00:03:31.766 --> 00:03:34.848]  And, uh, I think it was Hans Schrapp.
[00:03:35.148 --> 00:03:37.990]  I think that was the name, but he gives the opening salvo.
[00:03:38.010 --> 00:03:39.031]  It was a two-week class.
[00:03:39.511 --> 00:03:41.393]  Now, I'm the only one sitting in the class going,
[00:03:41.997 --> 00:03:45.258]  What is... I mean, he looked like a fan.
[00:03:46.118 --> 00:03:51.020]  It was like, it wasn't, okay, well, we appreciate the technique.
[00:03:51.800 --> 00:03:55.021]  It was like, he looked like a fan of the guy.
[00:03:55.041 --> 00:04:01.723]  Now, what, some of the, I mean, are we becoming fans of, you know, interrogators that got shot down?
[00:04:01.743 --> 00:04:08.124]  You know, they, I mean, pilots got shot down after they survived that flight because you never put a hand on them?
[00:04:09.225 --> 00:04:09.965]  And this is the kind of,
[00:04:10.796 --> 00:04:12.577]  So he's telling you how great the Nazi interrogators are.
[00:04:12.597 --> 00:04:15.039]  Well listen, I'd like to get you on as a guest sometime on the show.
[00:04:15.960 --> 00:04:16.360]  Okay, John?
[00:04:16.380 --> 00:04:16.940]  Yeah, absolutely.
[00:04:17.361 --> 00:04:20.343]  Alright, I appreciate it.
[00:04:31.636 --> 00:04:34.476]  You know, I've just had police do so much horrible stuff to me.
[00:04:35.157 --> 00:04:40.878]  I grew up in Rockwell, Texas, where the police and the sheriff's department delivered the cocaine, the heroin, the marijuana.
[00:04:41.598 --> 00:04:47.779]  Now, I was never into drugs, but I lived in an upper-class neighborhood, you know, upper-middle-class neighborhood, and witnessed the police delivering drugs.
[00:04:47.799 --> 00:04:50.599]  And then I'd see the same cops doing drug raids at the school.
[00:04:51.399 --> 00:05:01.001]  And I mentioned to them, hey, you know, I was one time at a party and saw one of you guys delivering drugs there, and they said, we're going to kill you and your family, and we had to move out of that area of Dallas.
[00:05:02.228 --> 00:05:09.202]  So, my dad had one of the local lawyers call him and say, you need to get out of here or your son's going to be hung in a jail cell.
[00:05:11.690 --> 00:05:19.595]  And then later, the Sheriff Jack McWhorter went to prison for flying heroin and cocaine and marijuana into the Austin, the Rockwall Airport.
[00:05:19.915 --> 00:05:21.396]  But listen, I got Dr. Roberts holding.
[00:05:21.416 --> 00:05:21.976]  I'm going to get into that.
[00:05:21.996 --> 00:05:23.257]  The point is, I can tell you a million stories.
[00:05:23.577 --> 00:05:25.619]  It's in the Denver Post that cops provocateur.
[00:05:25.659 --> 00:05:26.719]  Now, we told you that in Denver.
[00:05:27.380 --> 00:05:32.903]  Cops dress up, they go hit innocent people, the news cameras catch it, and they use that to then demonize the crowds.
[00:05:34.424 --> 00:05:37.046]  Now, we also got reports of Marines dressed up doing that.
[00:05:37.742 --> 00:05:38.423]  And we've caught them all.
[00:05:38.463 --> 00:05:41.485]  I mean, you know, that's organized crime.
[00:05:42.586 --> 00:05:45.348]  Dr. Roberts, how do you explain this to people?
[00:05:45.368 --> 00:05:47.049]  Because you call it jackboot thuggism.
[00:05:47.349 --> 00:05:49.031]  We're talking about the system, aren't we?
[00:05:49.071 --> 00:05:51.172]  We're not saying every cop is a jackbooter.
[00:05:51.493 --> 00:05:52.593]  I mean, can you answer his question?
[00:05:52.613 --> 00:05:56.496]  Because he says he sends cops to the show and then it turns them off when I'm talking about that.
[00:05:58.138 --> 00:05:58.398]  Right.
[00:05:58.438 --> 00:06:04.022]  You know, tyranny turns normal people into thugs.
[00:06:04.783 --> 00:06:05.664]  That's what it does.
[00:06:06.604 --> 00:06:07.465]  It gives orders.
[00:06:08.989 --> 00:06:11.990]  And then you either follow them or you're out of a job.
[00:06:13.390 --> 00:06:14.630]  Or they turn on you.
[00:06:16.251 --> 00:06:17.691]  And you become the victim.
[00:06:18.831 --> 00:06:25.513]  So that's the problem for decent people who serve the state when it turns toward tyranny.
[00:06:26.973 --> 00:06:31.714]  And as you know and have pointed out so well, it doesn't happen all at once.
[00:06:31.814 --> 00:06:33.474]  It goes step by step.
[00:06:34.695 --> 00:06:35.995]  But as you turn to tyranny,
[00:06:38.007 --> 00:06:43.772]  It destroys the character of the people because they have to serve it or go down.
[00:06:47.475 --> 00:06:48.756]  It's a slow seduction.
[00:06:50.457 --> 00:06:52.039]  It's a slow seduction.
[00:06:52.799 --> 00:06:56.723]  Many people won't see it or won't see it until very late.
[00:06:57.883 --> 00:06:59.385]  Others will fool themselves.
[00:06:59.405 --> 00:07:06.791]  Others will say, well, to have a good opinion of what I'm doing, I have to believe the propaganda.
[00:07:08.069 --> 00:07:10.910]  That these people we are brutalizing really are enemies.
[00:07:12.770 --> 00:07:14.131]  They really are terrorists.
[00:07:14.271 --> 00:07:17.811]  The demonstrators are unpatriotic and anti-American.
[00:07:18.892 --> 00:07:21.652]  So a lot of people just have to believe that.
[00:07:22.953 --> 00:07:31.055]  They come to terms with propaganda in order to continue in the job.
[00:07:33.295 --> 00:07:35.756]  This happens wherever there's tyranny.
[00:07:38.763 --> 00:07:44.607]  You had hoped that Barack Obama, Dr. Roberts, would do some of the things he said eight, nine months ago.
[00:07:44.687 --> 00:07:47.068]  Now, we're calling him Neocon Obama.
[00:07:47.969 --> 00:07:50.550]  Who he's appointing, what he's doing, what he's saying.
[00:07:51.651 --> 00:07:53.872]  The carbon tax alone will destroy the country.
[00:07:55.073 --> 00:07:56.214]  Record gun sales, though.
[00:07:58.555 --> 00:08:07.581]  Well, you know, he had to be elected because the Republicans
[00:08:08.638 --> 00:08:10.999]  It's the only way to hold the Republicans accountable.
[00:08:11.820 --> 00:08:22.685]  I mean, we can't simply let the Republicans escape accountability for their crimes against the Constitution and human rights, for their violations of U.S.
[00:08:22.725 --> 00:08:28.088]  and international laws, for their lies and deceptions and all their financial crookedness.
[00:08:28.128 --> 00:08:34.151]  We can't just re-elect them and say, well, you know, we forgive you for all those crimes
[00:08:35.379 --> 00:08:38.141]  Concentration camps and police state and all the rest.
[00:08:38.181 --> 00:08:43.724]  So he had to be elected because it's the only way the people can hold him, can hold the Republicans accountable.
[00:08:44.044 --> 00:08:50.848]  But the establishment... That's the only reason I ever supported the Democrats or Obama.
[00:08:51.288 --> 00:09:01.294]  You know, it's, it's, it's, Pravda put it, after the election, an editorial in Pravda, the Russian newspaper, the old Soviet newspaper.
[00:09:02.075 --> 00:09:02.995]  Here's what they said.
[00:09:03.635 --> 00:09:04.476]  Only Satan
[00:09:05.034 --> 00:09:07.095]  Would have been worse than the Bush regime!
[00:09:09.597 --> 00:09:34.715]  Therefore, it could be argued that the new administration in the USA could never be worse than the one which divorced the hearts and minds of Americans from their brothers in the international community, which appalled the rest of the world with shock at all tactics that included concentration camps, torture, mass murder, and utter disrespect for international law.
[00:09:35.287 --> 00:09:40.991]  Well, if we didn't hold the Republicans accountable for that, what would the world think of us?
[00:09:41.171 --> 00:09:45.453]  No, I understand, but now Obama has shown that he's going to kick it into high gear.
[00:09:46.054 --> 00:09:47.695]  Well, I'm not surprised.
[00:09:48.195 --> 00:10:03.725]  You know, Obama's a showman, and his victory speech was magnificent, and the cameras scanning the faces of the audience, you could see the hope and the belief
[00:10:04.751 --> 00:10:09.952]  in people's faces that propelled him to the presidency.
[00:10:10.312 --> 00:10:13.093]  But he can't bring change to Washington.
[00:10:13.353 --> 00:10:14.253]  Who can he appoint?
