[00:00:00.189 --> 00:00:00.609]  We're good.
[00:00:37.661 --> 00:00:38.162]  I think so.
[00:01:08.866 --> 00:01:10.106]  It is Monday, May 5th, 2008.
[00:01:10.367 --> 00:01:16.408]  I'm Alex Jones, your host.
[00:01:16.448 --> 00:01:21.850]  For the next two hours, we've got Alan Watt,
[00:01:24.571 --> 00:01:28.174]  Researcher, author, musician.
[00:01:32.297 --> 00:01:33.878]  We're honored to have him on with us today.
[00:01:33.898 --> 00:01:37.601]  I have a lot of news items I want to bring up to him.
[00:01:40.123 --> 00:01:46.187]  But before we do that, let's just ask him in this short segment what he'd like to talk about in the next two hours with us today.
[00:01:46.708 --> 00:01:47.929]  Alan Watt, thanks for coming on.
[00:01:47.949 --> 00:01:50.191]  Yeah, it's a pleasure to be here.
[00:01:51.713 --> 00:01:53.134]  What is most on your mind today?
[00:01:53.174 --> 00:01:55.537]  What do you want to break down for my audience today?
[00:01:55.557 --> 00:02:06.708]  I want to get into the behavioral psychologist, the false paradigm, the reality we're in, how to break out of that, solutions for people to deprogram themselves, where you see things going in the next step in their phase.
[00:02:06.728 --> 00:02:13.335]  Those are some of the issues I want to raise, but what do you think is most important to talk about today, Alan Watt?
[00:02:14.256 --> 00:02:39.967]  I think it's the even bigger picture, because while all of this is going on, all of this is really happening, and society has been altered drastically, quickly, in so many areas, all of its facets, in fact, make up culture, even global society, you're finding that rushing ahead with the genetic research, which is all to do with the old, old plan,
[00:02:40.752 --> 00:02:48.237]  Of perfecting society the way they want it perfected, meaning to bring in a good class of servant slaves.
[00:02:48.297 --> 00:03:04.787]  Playing God, so they're already talking about designer babies, they're already looking at the genetics and having social workers putting two-year-olds for at least three years in England, Canada, on databases, crime because of your genetics, made-up quackery as they play God.
[00:03:05.748 --> 00:03:08.730]  Yes, and even Bush and the rest of them have signed bills
[00:03:09.454 --> 00:03:12.175]  For all newborn babies to have their DNA collected at birth.
[00:03:12.576 --> 00:03:15.917]  And this has nothing to do with the health of those children as the parents see it.
[00:03:16.358 --> 00:03:20.960]  It's to do, to see if you carry what they call recessive genes.
[00:03:21.640 --> 00:03:22.801]  Genes which are throwbacks.
[00:03:23.368 --> 00:03:26.190]  To previous racial mixtures and so on.
[00:03:26.391 --> 00:03:28.352]  And of course, you weren't listening earlier, were you?
[00:03:29.153 --> 00:03:29.353]  No.
[00:03:29.914 --> 00:03:30.534]  I didn't think you were.
[00:03:30.554 --> 00:03:32.035]  We're always on the same page, it seems.
[00:03:32.696 --> 00:03:35.678]  I was covering how Bush signed a bill to take all newborns' DNA.
[00:03:36.179 --> 00:03:39.101]  Now, they admit this program's been really going on for 35 years.
[00:03:39.382 --> 00:03:43.305]  They're just now having to do this because it got exposed and they were being sued.
[00:03:43.545 --> 00:03:46.287]  So he's retroactively trying to give them liability protection.
[00:03:46.568 --> 00:03:51.312]  But they admit, and I've spent days reading University of Texas runs it in the U.S.
[00:03:52.832 --> 00:04:19.100]  They have universities globally doing it in each country, and they admit in there that it's used for homeland security and criminal database, it's used for genetic engineering, and it's given to the insurance companies your complete map, and they admitted that they are looking for certain key racial traits, just like the Human Genome Project is run by the eugenicists for making race-specific bioweapons to kill some of us, but also to use traits for the elite in their life extension.
[00:04:19.821 --> 00:04:20.923]  Well, there's no doubt about this.
[00:04:20.963 --> 00:04:32.482]  This goes all the way back to the 1800s when they set up the first censorship or census collection databases with the Carnegie Institute and the backing of Congress.
[00:04:33.124 --> 00:04:36.066]  And Charles Davenport was behind that in 1890.
[00:04:36.726 --> 00:04:46.331]  And they wanted, from then on, everyone to have an 11-digit number so they could track you down through your family history, follow your offspring, and collect the medical data.
[00:04:46.351 --> 00:04:48.332]  That was the most important stuff they wanted.
