[00:00:00.009 --> 00:00:01.029]  We're good to go.
[00:00:20.038 --> 00:00:23.060]  Hillary Clinton ripping the Bush administration again.
[00:00:23.060 --> 00:00:32.507]  Clinton says the president has jeopardized national security and the ability to intervene in world crises because of the massive U.S.
[00:00:32.507 --> 00:00:35.049]  debt held partly by China.
[00:00:35.049 --> 00:00:44.736]  Democratic presidential hopeful claims the national debt of some $9 trillion puts the country at the mercy of many other nations.
[00:00:44.736 --> 00:00:47.658]  Clinton also says she is not stepping down in the race.
[00:00:48.238 --> 00:00:53.027]  This is IRN USA Radio News.
[00:00:53.027 --> 00:00:54.689]  My name is Michiko Walsh.
[00:00:54.689 --> 00:01:00.179]  I came here from Japan five years ago and I didn't know many people.
[00:01:02.662 --> 00:01:02.982]  I don't know.
[00:01:22.552 --> 00:01:26.513]  This has really made my experience in America much better.
[00:01:26.513 --> 00:01:30.854]  And I met nice people and able to earn financial freedom.
[00:01:30.854 --> 00:01:33.754]  So I appreciate everything and thank you very much.
[00:01:33.754 --> 00:01:34.094]  Hi.
[00:01:34.094 --> 00:01:35.455]  How in the world are you anyway?
[00:01:35.455 --> 00:01:39.475]  This is Andy Willoughby with the 3-Step Plan Home Business System.
[00:01:39.475 --> 00:01:44.877]  To find out how you could make more money working from home, go to 3stepplan.com or call 800-879-5819.
[00:01:44.877 --> 00:01:44.917]  800-879-5819.
[00:01:53.797 --> 00:01:56.981]  Those economic stimulus rebates will soon be in the mail.
[00:01:56.981 --> 00:02:01.025]  It's not every day that Americans look forward to hearing from the Internal Revenue Service.
[00:02:01.025 --> 00:02:06.050]  But over the past few weeks, many Americans have received a letter from the IRS with some good news.
[00:02:06.050 --> 00:02:13.699]  President Bush says the rebates, coupled with the incentives to businesses, will, quote, help give our economy a shot in the arm.
[00:02:14.259 --> 00:02:17.460]  The mortgage crisis also on the President's mind.
[00:02:17.460 --> 00:02:24.601]  He talked about a private sector program called the Hope Now Alliance that has been started to help struggling homeowners.
[00:02:24.601 --> 00:02:36.044]  Anti-communist activists from Orange County's Little Saigon neighborhood, leaning on the University of Southern California to take down the flag of the People's Democratic Republic of Vietnam.
[00:02:36.044 --> 00:02:37.544]  It's part of a display of flags.
[00:02:38.064 --> 00:02:46.954]  Officials say if USC doesn't remove the flag or replace it with the red and yellow striped flag of the former government of South Vietnam, there'll be protest.
[00:02:46.954 --> 00:02:50.539]  For the latest news analysis, log on to IRNnews.com.
[00:02:53.181 --> 00:02:58.507]  Here's a word about Israel from Dr. Jack Hayford, President of the International Church of the Four Square Gospel.
[00:02:58.507 --> 00:03:02.290]  To go to Israel is to change the way you will ever approach the Bible.
[00:03:02.290 --> 00:03:08.797]  The Bible becomes based in an entirely deeper and richer way because you have been where it happened.
[00:03:08.797 --> 00:03:11.820]  You'll never be the same when you visit Israel.
[00:03:11.820 --> 00:03:14.783]  To start planning your trip to Israel today, visit www.goisrael.com.
[00:03:23.564 --> 00:03:29.366]  In Miami, a man is now in custody following a hostage incident at a drugstore today.
[00:03:29.366 --> 00:03:32.567]  Police captured the man after he crashed a getaway car.
[00:03:32.567 --> 00:03:38.148]  Authorities say the man was armed when he took the store manager hostage during an attempted robbery.
[00:03:38.148 --> 00:03:42.289]  The manager was able to escape before he could be forced into the car.
[00:03:42.289 --> 00:03:44.430]  The man did suffer minor injuries.
[00:03:45.030 --> 00:03:52.855]  With Pope Benedict set to arrive in New York next month, church officials are finding rather unique ways to honor him.
[00:03:52.855 --> 00:03:54.116]  Mike Watts explains.
[00:03:54.116 --> 00:04:00.640]  A planned gift from the Archdiocese of New York to Pope Benedict during the Pontiff's New York visit gives new meaning to the term Holy Roller.
[00:04:00.640 --> 00:04:05.783]  The Archdiocese is planning to present the Pope with a special skateboard with graphics designed by a local child.
[00:04:05.783 --> 00:04:11.407]  Dozens of young teens have entered a contest to design the skateboard, which church officials say will feature graphics with a religious theme.
[00:04:11.827 --> 00:04:21.878]  Officials say while skateboarding and the Pope don't go together in most people's minds, the church is using the contest to show that there is nothing ungodly about skateboarding and that the sport can be used to teach a religious message.
[00:04:21.878 --> 00:04:22.979]  Mike Watts, New York.
[00:04:22.979 --> 00:04:29.767]  In Jacksonville, Florida, Dunkin Donuts will offer free coffee to tax preparers and postal workers in
[00:04:29.807 --> 00:04:32.869]  In April, it's part of the Hero of the Month program.
[00:04:32.869 --> 00:04:44.074]  Dunkin' Donuts says in May, it will supply free coffee to school employees and give coffee to health care workers free of charge in the month of June.
[00:04:44.074 --> 00:04:47.616]  Wall Street this week, the Dow lost 145 points.
[00:04:47.616 --> 00:04:50.718]  I'm Jason Walker, IRN USA Radio News.
[00:04:53.826 --> 00:05:06.974]  Now from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
