[00:00:00.349 --> 00:00:02.131]  Mainstream media.
[00:00:02.131 --> 00:00:03.872]  Government cover-ups.
[00:00:03.872 --> 00:00:05.474]  You want answers?
[00:00:05.474 --> 00:00:07.015]  Well, so does he.
[00:00:07.015 --> 00:00:11.218]  He's Alex Jones on the GCN Radio Network.
[00:00:11.218 --> 00:00:15.282]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.851 --> 00:00:34.636]  Running Scandals!
[00:00:36.934 --> 00:00:39.196]  Number three, Iraq and 9-11 Gates.
[00:00:39.196 --> 00:01:00.491]  Former Gitmo detainee Murat Qurnas, repeating in an interview what he had told his attorney three years ago, while still being held by the U.S., that when he was originally picked up and stored in Afghanistan for two months, interrogators hung him by his arms from the ceiling of a freezing aircraft hangar for five days, with doctors coming by periodically to assure his captors it was okay to keep on hanging him there.
[00:01:00.491 --> 00:01:06.475]  Qurnas says his interrogators demanded he admit he was an operative of, and an associate of, Mohammed Atta.
[00:01:06.955 --> 00:01:08.116]  The 9-11 plotter.
[00:01:08.116 --> 00:01:09.997]  The torture, sadly, is old news.
[00:01:09.997 --> 00:01:13.619]  The new news is Karnaz was from Germany.
[00:01:13.619 --> 00:01:13.899]  So?
[00:01:13.899 --> 00:01:23.384]  Remember the attempt to link 9-11 to Iraq by way of Mohammed Atta and some apocryphal meeting he was supposed to have had with the Iraqi intelligence service in Prague, April 2001?
[00:01:23.384 --> 00:01:33.110]  Well, get some German-born Muslim to admit he knew Atta, and you're halfway home to putting Atta at a meeting with Iraqi agents, even if it never happened.
[00:01:33.770 --> 00:01:35.071]  Number two, Mortgagegate.
[00:01:35.071 --> 00:01:41.556]  Mr. Bush's Secretary of Housing and Urban Development, Alfonso Jackson, under criminal investigation, has resigned.
[00:01:41.556 --> 00:01:44.958]  The top Bush guy on Holmes quits in the middle of a Holmes crisis.
[00:01:44.958 --> 00:01:50.322]  As the coroner says to Jack Nicholson in the movie Chinatown, middle of a drought and a water commissioner drowns.
[00:01:50.322 --> 00:01:50.742]  Only in L.A.
[00:01:51.963 --> 00:01:54.504]  And number one, Mukasey said, what?
[00:01:54.504 --> 00:01:55.345]  Gate?
[00:01:55.345 --> 00:02:01.047]  Almost ignored in the coverage of his speech to the Commonwealth Club of San Francisco pleading for telecom immunity.
[00:02:01.047 --> 00:02:06.950]  Attorney General Michael Mukasey also said, quote, before 9-11, that's the call that we didn't know about.
[00:02:06.950 --> 00:02:14.173]  We knew that there has been a call from someplace that was known to be a safe house in Afghanistan, and we knew that it came to the United States.
[00:02:14.173 --> 00:02:15.954]  We didn't know precisely where it went.
[00:02:17.375 --> 00:02:18.475]  What?
[00:02:18.475 --> 00:02:23.597]  The government knew about some phone call from a safe house in Afghanistan into the U.S.
[00:02:23.597 --> 00:02:33.981]  about 9-11, before 9-11, and even though it had the same FISA courts and the same right to act against international targets in 2001 as it does now?
[00:02:33.981 --> 00:02:35.222]  You didn't do anything about it?
[00:02:36.124 --> 00:02:37.885]  Well, this would seem to leave only two options.
[00:02:37.885 --> 00:02:45.952]  Either the Attorney General just admitted that the government for which he works is guilty of malfeasant complicity in the 9-11 attacks, or he's lying.
[00:02:45.952 --> 00:02:47.853]  I'm betting on lying.
[00:02:47.853 --> 00:02:52.116]  If not, somebody in Congress better put that man under oath right quick.
[00:02:52.116 --> 00:02:53.597]  You could send him to Gitmo, I suppose.
[00:02:55.478 --> 00:02:57.039]  Welcome, ladies and gentlemen.
[00:02:57.039 --> 00:02:58.300]  It is April 1st, 2008.
[00:02:58.300 --> 00:03:03.044]  We're going to be live here for the next three hours.
[00:03:03.044 --> 00:03:08.609]  We'll be discussing in more detail the report you just heard Keith Oberman talking about, quite a revelation.
[00:03:08.609 --> 00:03:12.152]  Then in one hour, Mike Rivero joins us for his monthly visit.
[00:03:12.152 --> 00:03:18.477]  Then we have the physicist Walter L. Wagner coming on to talk about some of the
[00:03:20.485 --> 00:03:34.316]  Different to scientific systems and devices like superconducting super colliders that endanger the very fabric of the dimension that we exist in here in the third dimension.
[00:03:34.316 --> 00:03:37.078]  So those are your guests today in the first hour.
[00:03:37.078 --> 00:03:44.524]  I'm going to cover a lot of important news and then I'm going to do part one at the bottom of the hour in about 28 minutes.
[00:03:44.524 --> 00:03:45.825]  Kind of a precursor to
[00:03:47.244 --> 00:04:00.279]  Dr. Wagner joining us coming up later in the third hour concerning the type of developments that do endanger humanity that the elite are completely ignoring.
[00:04:00.279 --> 00:04:02.602]  So that is coming up.
[00:04:04.548 --> 00:04:09.372]  In about 30 minutes, here is some of the news in front of me today.
[00:04:09.372 --> 00:04:12.695]  USA, 2008, the Great Depression.
[00:04:12.695 --> 00:04:17.979]  That's the cover of the English daily paper, The Independent.
[00:04:17.979 --> 00:04:26.907]  In other news, bread, milk, eggs prices spike massively, draining locals' wallets.
[00:04:26.907 --> 00:04:27.447]  U.S.
[00:04:27.447 --> 00:04:28.148]  food stamp
[00:04:29.079 --> 00:04:33.342]  Issuance is at all time whopping high.
[00:04:33.342 --> 00:04:39.847]  China stocks tumble 4.1% to new 11-month low.
[00:04:39.847 --> 00:04:44.870]  Retail gasoline prices at record high, $3.29 on average per gallon.
[00:04:44.870 --> 00:04:47.472]  Congress has big questions for big oil.
[00:04:47.472 --> 00:04:50.074]  UBS writes off $19 billion.
[00:04:50.074 --> 00:04:51.995]  This and a lot more on the other side.
[00:04:51.995 --> 00:04:55.198]  Stay with us.
[00:04:55.198 --> 00:04:56.519]  It is a big idea.
[00:04:57.668 --> 00:04:59.410]  A New World Order.
[00:04:59.410 --> 00:05:04.334]  In the near future, Earth is dominated by a powerful new government.
[00:05:04.334 --> 00:05:07.157]  It's known as the Bilderberg Group.
[00:05:07.157 --> 00:05:09.940]  Could their objective be world domination?
[00:05:09.940 --> 00:05:13.123]  For thousands of years, their dark order grew.
[00:05:13.123 --> 00:05:20.450]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:23.482 --> 00:05:28.906]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:28.906 --> 00:05:32.788]  You will learn the secret that drives the entire New World Order agenda.
[00:05:32.788 --> 00:05:35.350]  Build America is making great progress toward a world government.
[00:05:35.350 --> 00:05:36.511]  Most people have no idea.
[00:05:36.511 --> 00:05:37.311]  They're not after money.
[00:05:37.311 --> 00:05:38.572]  They have all the money they need.
[00:05:38.572 --> 00:05:39.173]  They're after power.
[00:05:39.173 --> 00:05:40.714]  That's what they're after these years.
[00:05:40.714 --> 00:05:49.419]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:05:49.419 --> 00:05:52.241]  Endgame, blueprint for global enslavement.
[00:05:52.241 --> 00:05:53.282]  You have been warned.
[00:05:54.788 --> 00:05:55.973]  I'm Dr. Bill Deagle, MD.
[00:05:55.973 --> 00:05:58.103]  I'm the New Dramatical Report here on Genesis.
[00:05:58.484 --> 00:06:01.545]  Allison's Natural Antibiotic from Allomax Nutraceuticals U.S.
[00:06:01.545 --> 00:06:02.285]  is a real thing.
[00:06:02.285 --> 00:06:09.287]  This amazing molecule is a stabilized antimicrobial antipathogenic killer for fresh, never before available garlic.
[00:06:09.287 --> 00:06:20.311]  Allison molecule is biologically active against all bacterial pathogens, viruses, fungi, parasites, TB, and it kills fleshy bacteria, MRSA, Acinetobacter infections that ravage our everyday health.
[00:06:20.311 --> 00:06:23.592]  Taken daily, it removes these stealth pathogens, clearing our bodies and
