[00:00:00.189 --> 00:00:03.351]  So does he.
[00:00:03.991 --> 00:00:07.633]  He's Alex Jones on the GCN Radio Network.
[00:00:08.194 --> 00:00:12.236]  And now, live from Austin, Texas, Alex Jones.
[00:00:24.685 --> 00:00:27.847]  Alright, ladies and gentlemen, we are back live here.
[00:00:28.048 --> 00:00:39.076]  We're transmitting over the AM and FM dial, global shortwave, the internet, satellite, and of course over PrisonPlanet.TV now for the next two hours.
[00:00:39.116 --> 00:00:45.441]  We're getting connected up with him in Europe, Michael Tesarian, very interesting guest.
[00:00:45.461 --> 00:00:48.323]  We've never had him on before, but I'm familiar with his work.
[00:00:48.343 --> 00:00:51.766]  And I'll say this, I'm going as far
[00:00:53.035 --> 00:00:54.156]  With him as I can.
[00:00:54.176 --> 00:01:04.763]  You know, he's a character a lot like David Icke in that he's alternative in his views from kind of the mainstream of alternative media and research.
[00:01:05.424 --> 00:01:08.926]  But I think it's important work he's done and interesting and thought-provoking.
[00:01:10.127 --> 00:01:17.572]  And I know this, what he's discovered about the elite, what the elite believe about themselves, what their mindset is,
[00:01:18.813 --> 00:01:46.361]  uh... is uh... very very accurate for my own research of what they believe about themselves now is it real you know i uh... you know or ghost and goblins and all this real the point is the elite believe that they are channeling entities they are into the occult they do engage in satanism and occultism there are secret societies running our world there is a new world order uh... and so as soon as we get him on the line will bring him up uh... after the break
[00:01:48.810 --> 00:01:57.778]  Some of the other news that we've been covering today, for those that just joined us, is the fact that the U.S.
[00:01:57.818 --> 00:02:01.901]  Private Central Bank, the Federal Reserve, has pledged unlimited dollars.
[00:02:02.882 --> 00:02:04.243]  Unlimited dollars!
[00:02:05.324 --> 00:02:09.107]  Now, for a new dollar to be created, a debt is created.
[00:02:09.127 --> 00:02:10.868]  A dollar of debt that taxpayers have to pay back.
[00:02:11.349 --> 00:02:16.113]  So, foreign banks, foreign corporations, foreign insurance companies are being flooded.
[00:02:16.133 --> 00:02:16.873]  We keep talking about
[00:02:17.799 --> 00:02:39.247]  hyperinflation this is mega hyperinflation uh... this is intensified hyperinflation this is you know every day it's not trillions it's the hundreds of trillions are talking about globally flooding the planet with u.s.
[00:02:39.287 --> 00:02:40.087]  dollars in u.s.
[00:02:40.147 --> 00:02:42.928]  backed government securities
[00:02:44.434 --> 00:02:49.299]  And ladies and gentlemen, to pay those securities when they come due, the tax man comes to knock on your door.
[00:02:49.580 --> 00:03:02.974]  So not only have these foreign international banks set up a system where they triple A rated junk, or credit card debt, housing debt, and then sold the debt into the market as a premium investment.
[00:03:04.366 --> 00:03:07.669]  Most of the international, the media is blaming it on the American people.
[00:03:07.689 --> 00:03:09.350]  We're certainly suckers, but a small part of it.
[00:03:09.870 --> 00:03:18.817]  And then now we're going to have to pay back all of this through income tax, and they're going to double taxes with hyperinflation, devaluing the currency.
[00:03:20.078 --> 00:03:24.101]  And I know I keep talking about that because this is the end of the economy as we know it.
[00:03:24.141 --> 00:03:24.561]  This will be
[00:03:25.481 --> 00:03:28.624]  Just so devastating, it is hard to even imagine.
[00:03:29.464 --> 00:03:32.046]  Iceland, their money is being devalued very quickly.
[00:03:32.086 --> 00:03:39.012]  Their grocery stores have seen double the volume of shoppers as their banks collapse and as they may not, quote, be able to buy more food.
[00:03:40.193 --> 00:03:45.016]  That is out of the Associated Press and Bloomberg today.
[00:03:45.851 --> 00:03:50.014]  And the globalists, the New World Order, crowded the same thing in Argentina.
[00:03:50.854 --> 00:03:51.995]  But I challenge you to go read the story.
[00:03:52.015 --> 00:03:54.557]  I have a link to it up on PrisonPlanet.com and Infowars.com.
[00:03:55.097 --> 00:03:59.260]  Icelandic shoppers splurge as currency woes reduce food imports.
[00:04:00.281 --> 00:04:03.083]  After a four-year spending spree, Icelanders are flooding.
[00:04:04.150 --> 00:04:11.574]  The supermarkets, one last time, stocking up on food as the collapse of the banking system threatens to cut the island off from imports.
