[00:00:00.049 --> 00:00:01.570]  Welcome, ladies and gentlemen.
[00:00:24.464 --> 00:00:34.415]  It is already the 20th day of May 2008 and we are going straight into a big interview right here at the start of the show.
[00:00:34.415 --> 00:00:35.636]  He'll be with us for the next 40 minutes.
[00:00:36.838 --> 00:00:45.246]  He is former Minnesota Governor Jesse Ventura, also Hollywood movie star, Navy SEAL, and so much more.
[00:00:45.246 --> 00:00:55.536]  He's also a best-selling author, former TV host on MSNBC, and he was on with us about a month ago, and it made headlines in hundreds of newspapers, the Associated Press, and national
[00:00:56.096 --> 00:00:57.657]  Hi Alex, great to be here again.
[00:00:57.657 --> 00:00:58.637]  I hope I could say that.
[00:00:58.637 --> 00:01:03.099]  No, I'm laughing because I guess when you do your show, you automatically make it on Bill O'Reilly's idiot list.
[00:01:25.359 --> 00:01:27.384]  I think that's what happens, yes.
[00:01:27.384 --> 00:01:30.450]  Now, I'm confused over that, Alex.
[00:01:30.450 --> 00:01:33.877]  How come we're not allowed to ask any questions today?
[00:01:34.986 --> 00:01:49.517]  Well, this broadcast has about 2 million listeners per show and then it's all magnified on the web and they don't like the fact that there is a large alternative radio show with more than 60 affiliates and that's number one internet show.
[00:01:49.517 --> 00:01:58.244]  Maybe it's something like that because I can't believe how I simply asked some questions and the way you're attacked.
[00:01:59.358 --> 00:02:01.159]  For simply asking questions?
[00:02:01.159 --> 00:02:03.201]  Has our country really become that?
[00:02:03.201 --> 00:02:07.123]  That you're not even allowed to publicly question the government?
[00:02:07.123 --> 00:02:16.169]  You know, I say this, Alex, because in looking back on my 56 years on the planet, the governments lied to me a great deal.
[00:02:16.169 --> 00:02:20.872]  And they don't have great credibility with me.
[00:02:20.872 --> 00:02:24.294]  So why wouldn't I question them when they tell me something?
[00:02:25.680 --> 00:02:26.941]  Oh, I totally agree with you.
[00:02:26.941 --> 00:02:29.402]  I mean, how many times have they been caught lying?
[00:02:29.402 --> 00:02:31.744]  And isn't it more suspicious?
[00:02:31.744 --> 00:02:33.565]  Methinks they protest too much?
[00:02:33.565 --> 00:02:34.025]  Yeah.
