[00:00:00.429 --> 00:00:02.190]  Government cover-ups.
[00:00:02.190 --> 00:00:03.771]  You want answers?
[00:00:03.771 --> 00:00:05.312]  Well, so does he.
[00:00:05.312 --> 00:00:09.514]  He's Alex Jones on the GCN Radio Network.
[00:00:09.514 --> 00:00:13.576]  And now, live from Austin, Texas, Alex Jones.
[00:00:35.211 --> 00:00:36.631]  Welcome, ladies and gentlemen.
[00:00:36.631 --> 00:00:41.573]  Thank you for joining us against this worldwide transmission in the InfoWar Against Tyranny.
[00:00:41.573 --> 00:00:46.194]  It is the 24th day of March 2008.
[00:00:46.194 --> 00:00:50.775]  We're going to be live here for the next three hours.
[00:00:50.775 --> 00:00:58.578]  Just popping in for the short time in the third hour to give us the latest updates from inside Tibet on what's developing there.
[00:00:58.578 --> 00:00:59.538]  Urjun Tenzin.
[00:01:01.229 --> 00:01:09.895]  Basically, with the Tibetan government in absentia, will be joining us to track some of the big new developments there, and they have been very important.
[00:01:09.895 --> 00:01:15.459]  We'll cover some of those before he joins us in this first news hour today.
[00:01:15.459 --> 00:01:26.487]  He's been joining us really about every two weeks on average now, because so much has happened with the economy, and he's one of our best sources and experts, and has quite an accurate track record of predicting different developments.
[00:01:26.487 --> 00:01:29.489]  And that is Dr. Paul Craig Roberts, but he normally joins us about 20 minutes.
[00:01:30.131 --> 00:01:46.447]  He'll be with us for the entire second hour today, and we'll also open the phones up so you can ask questions of Dr. Paul Craig Roberts, former Wall Street Journal editor, number two Department of Treasury head of policy, father of Reaganomics, best-selling author, syndicated columnist.
[00:01:46.447 --> 00:01:50.271]  So he'll be joining us coming up in the second hour today.
[00:01:50.271 --> 00:01:54.515]  In the first hour, and for the most of the third hour today,
[00:01:55.086 --> 00:01:58.730]  We will be covering the news and taking your phone calls.
[00:01:58.730 --> 00:02:01.432]  Wide open phones at 1-800-259-9231.
[00:02:01.432 --> 00:02:02.093]  1-800-259-9231.
[00:02:02.093 --> 00:02:11.042]  If you're joining us for the first time, you have found it.
[00:02:11.042 --> 00:02:14.305]  The front lines of the info war, the tip of the spear.
