[00:00:00.009 --> 00:00:02.210]  Rosetta Stone to expose.
[00:00:02.330 --> 00:00:05.071]  Ralph Winterud joins us in the final hour.
[00:00:05.091 --> 00:00:08.733]  He is Steve Watson.
[00:00:09.674 --> 00:00:20.559]  He is the head of Infowars.net and of course he also is the weekend editor of PrisonPlanet.com, two of my most successful sites.
[00:00:21.719 --> 00:00:23.020]  A few years ago I was in England.
[00:00:23.320 --> 00:00:27.463]  Not just bullhorning Parliament a day before they banned protests in that area.
[00:00:27.503 --> 00:00:28.764]  The birthplace of the Magna Carta.
[00:00:29.725 --> 00:00:33.348]  It was actually running me, but that's where it's enshrined, there in 1215.
[00:00:33.848 --> 00:00:41.915]  Then, before that, I was just filming in the streets of London and talking to people about, what do you think about what's happening?
[00:00:41.935 --> 00:00:43.176]  What do you think about these street cameras?
[00:00:43.596 --> 00:00:51.682]  And police would listen to what you had to say, and if they didn't like it, they'd walk over and say, give me your name, give me your ID, I'm putting you in a database, big long form.
[00:00:52.824 --> 00:00:56.475]  And then they'd say, turn your camera off, don't tape me, and you're not allowed to tape in London.
[00:00:56.575 --> 00:00:57.257]  I'd say, what's the law?
[00:00:57.277 --> 00:00:58.722]  And they just said, shut up!
[00:01:00.134 --> 00:01:03.555]  And start petting their billy clubs.
[00:01:03.916 --> 00:01:11.198]  They also have these minion Stasi police that are just citizens but have the common law right to arrest that really any citizen has.
[00:01:12.179 --> 00:01:14.059]  And they question this and boss this about.
[00:01:14.079 --> 00:01:18.681]  But now millions and millions of people have been put in the database.
[00:01:19.501 --> 00:01:20.242]  And they're everywhere.
[00:01:20.402 --> 00:01:23.743]  And they leave foreigners alone.
[00:01:23.783 --> 00:01:24.864]  They leave real thugs on.
[00:01:24.884 --> 00:01:25.484]  They've been told to.
[00:01:26.924 --> 00:01:30.105]  More and more thugs are imported to scare the British into submission.
[00:01:30.426 --> 00:01:34.167]  And this is secret police, just like in Cuba, or in Russia, or in Nazi Germany.
[00:01:34.607 --> 00:01:36.028]  And they just come over and say, where are you going?
[00:01:36.068 --> 00:01:36.548]  What are you doing?
[00:01:36.568 --> 00:01:37.728]  I want to see inside your pockets.
[00:01:38.449 --> 00:01:41.150]  They mainly, and it's in the news, they mainly target old people.
[00:01:41.570 --> 00:01:47.092]  Now there's another mainstream media report, the parents are about to sue, where this little girl fell into the water.
[00:01:48.072 --> 00:01:50.094]  A little child fell in the water, and then the brother jumped in.
[00:01:50.114 --> 00:01:51.255]  They were drowning, and they did drown.
[00:01:52.076 --> 00:01:55.839]  And it was right there on the edge of the river, and the police said, we don't do that.
[00:01:55.919 --> 00:01:59.163]  We are not authorized to help people under orders.
[00:01:59.303 --> 00:02:00.924]  Only a, quote, full officer can do it.
[00:02:00.944 --> 00:02:02.386]  So they waited and watched them die.
[00:02:03.066 --> 00:02:05.408]  And these people are robotic.
