[00:00:05.074 --> 00:00:05.714]  This agenda.
[00:00:05.854 --> 00:00:08.415]  Protestant America, awake before it is too late.
[00:00:08.635 --> 00:00:10.356]  The prophecies are fast fulfilling.
[00:00:10.556 --> 00:00:11.896]  Jesus is coming soon.
[00:00:12.136 --> 00:00:14.537]  For free materials, call 888-211-1715.
[00:00:14.657 --> 00:00:21.339]  Or write The Bible Says, Box 99, Lenore City, Tennessee, 37771.
[00:00:22.079 --> 00:00:24.620]  ...finds their kettles still need some filling.
[00:00:25.280 --> 00:00:26.800]  You have the power.
[00:00:26.840 --> 00:00:28.921]  This is the GCN Radio Network.
[00:00:30.121 --> 00:00:31.942]  Hey, Austin, Texas, check your watch for...
[00:00:35.875 --> 00:00:37.476]  IRN USA Radio News.
[00:00:37.716 --> 00:00:38.557]  I'm Jody Jordan.
[00:00:38.837 --> 00:00:41.498]  It's not a good day for travel in the Pacific Northwest.
[00:00:41.858 --> 00:00:45.300]  Snow, sleet, and freezing rain are making driving treacherous.
[00:00:45.720 --> 00:00:49.462]  And sections of two major interstates are closed in Washington and Oregon.
[00:00:49.923 --> 00:00:51.984]  Authorities are advising people to stay home.
[00:00:52.444 --> 00:00:55.425]  Mike McFarlane is a meteorologist with the National Weather Service.
[00:00:55.625 --> 00:01:02.108]  They got quite a bit of snow and now they're getting some freezing rain and they have strong east winds, so Portland's a real wintry mess as well.
[00:01:02.188 --> 00:01:04.489]  Probably worse in Portland than it is in Seattle right now.
[00:01:04.629 --> 00:01:12.973]  And passengers are describing a chaotic scramble to get off a burning jetliner that veered off a runway and crashed as it was taking off from Denver last night.
[00:01:13.933 --> 00:01:15.834]  38 people were hurt, too critically.
[00:01:16.374 --> 00:01:17.195]  Here's Peter Banda.
[00:01:17.235 --> 00:01:19.696]  Firefighters arriving at the scene described the smoke.
[00:01:19.996 --> 00:01:22.358]  The entire right side of the plane was on fire.
[00:01:22.378 --> 00:01:28.121]  107 passengers and the five crew ended up evacuating the airplane out of the inflatable emergency chute.
[00:01:28.161 --> 00:01:30.303]  This is IRN USA Radio News.
[00:01:32.498 --> 00:01:34.939]  The following from News Broadcast Network.
[00:01:35.139 --> 00:01:39.101]  This year, four out of the ten most wanted gifts for the holidays will be electronics.
[00:01:39.421 --> 00:01:42.802]  Jack Wayman, spokesperson for the Consumer Electronics Association.
[00:01:43.022 --> 00:01:48.805]  The ideal family gift would be a flat-screen digital high-definition TV with surround sound.
[00:01:49.125 --> 00:01:51.706]  All broadcasting goes digital next February.
[00:01:52.046 --> 00:01:53.867]  An ultralight notebook computer.
[00:01:54.147 --> 00:02:00.951]  A shirt pocket mp3 music player that connects to home and car audio systems to enjoy your favorite tunes.
[00:02:01.391 --> 00:02:05.813]  A pocket-sized digital camera and camcorder to preserve family memories.
[00:02:06.253 --> 00:02:12.997]  A cell phone that's also a camera, global positioner, plays audio and video, and even accesses the internet.
[00:02:13.357 --> 00:02:18.721]  Video games for kids of all ages, a GPS for cars, or for the great outdoors.
[00:02:19.062 --> 00:02:21.223]  A high-definition DVD player.
[00:02:21.644 --> 00:02:30.090]  Jack says noise reduction headsets, hands-free cell phone accessories, digital photo frames, memory cards, and digital watches make great stocking stuffers.
[00:02:30.390 --> 00:02:31.211]  I'm John Dridden.
[00:02:32.742 --> 00:02:40.533]  A Republican media consultant who helped operate campaign websites for President Bush and candidate John McCain has died in a plane crash.
[00:02:41.134 --> 00:02:47.203]  Michael Connor was killed Friday when a small plane he was flying crashed near his home of Akron, Ohio.
[00:02:47.930 --> 00:02:57.992]  An Iraqi lawmaker says major parliamentary parties have reached a compromise on a resolution allowing foreign troops other than Americans to remain in Iraq until July 2009.
[00:02:58.532 --> 00:03:05.174]  The agreement allows lawmakers to circumvent strong opposition to the bill by a small number of radical Shiite deputies.
[00:03:05.754 --> 00:03:15.036]  And Vice President-elect Joe Biden will oversee a task force that will make recommendations on how to make sure the middle class is no longer being left behind.
[00:03:15.757 --> 00:03:25.303]  Biden tells ABC's this week the task force will include other cabinet members and will look at everything from college affordability to after school programs.
[00:03:26.563 --> 00:03:30.906]  For more news and analysis, log on to IRNnews.com.
[00:03:32.429 --> 00:03:36.050]  I'm Errol Squires, inventor of Relieve One Day Cold Sore Symptom Treatment.
[00:03:36.150 --> 00:03:41.471]  I invented Relieve because I wanted a very effective, natural treatment for cold sores that work really fast.
[00:03:41.631 --> 00:03:45.371]  Relieve works so well and so fast for me, my family and friends.
[00:03:45.511 --> 00:03:48.072]  I wanted to help other people who suffer from cold sores.
[00:03:48.252 --> 00:03:50.872]  I think people are smart enough to know if something works.
[00:03:51.152 --> 00:03:55.133]  If you suffer from cold sores, try Relieve and find out if it works for you.
[00:03:55.333 --> 00:03:58.574]  Relieve is comprised of botanical extracts and is guaranteed.
[00:03:58.694 --> 00:04:00.974]  Buy Relieve now at all major stores.
[00:04:02.737 --> 00:04:09.103]  The Taliban in Pakistan has killed two Afghan nationals for allegedly acting as spies for the U.S.
[00:04:09.603 --> 00:04:10.784]  Here's Paul Alexander.
[00:04:10.804 --> 00:04:23.696]  The bodies of two men riddled with bullets were found in an abandoned village in the North Wajiristan tribal area and a note attached to them suggested that
[00:04:24.292 --> 00:04:31.154]  They had been killed because they were suspected spies for American forces and NATO forces in Afghanistan.
[00:04:31.315 --> 00:04:43.599]  A variety of religious viewpoints and religious leaders led a simple ceremony today to reopen the Trident Hotel, which shares a complex with two luxury hotels targeted in the Mumbai attacks.
[00:04:44.159 --> 00:04:48.481]  Security was much tighter, with guards checking bags and IDs.
[00:04:49.022 --> 00:04:50.942]  David Scuggs is a British tourist.
[00:04:51.183 --> 00:05:00.667]  I think if we were to change our plans and our sort of big holidays we've been waiting for, it would be, you know, sort of conceding to the reasons behind the terrorism in the first place.
[00:05:00.847 --> 00:05:03.929]  And violence is on an upsurge between Israel and Gaza.
[00:05:04.489 --> 00:05:05.370]  Here's Mark Levy.
[00:05:05.450 --> 00:05:09.693]  Palestinian militants in Gaza have been firing dozens of rockets and mortar shells at Israel.
[00:05:10.054 --> 00:05:11.955]  One of them hit a house in a nearby town.
[00:05:12.115 --> 00:05:14.818]  Another exploded in a city, Ashkelon, north of Gaza.
[00:05:14.958 --> 00:05:16.639]  Israel's been hitting back with airstrikes.
[00:05:16.819 --> 00:05:20.782]  The truce between Israel and Gaza's Hamas rulers expired on Friday.
[00:05:21.223 --> 00:05:27.228]  The truce had frayed since early November, and rocket fire at Israeli towns has been increasing in recent days.
[00:05:28.108 --> 00:05:30.971]  I'm Jody Jordan for IRN USA Radio News.
[00:05:31.914 --> 00:05:37.801]  Many doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[00:05:38.001 --> 00:05:43.147]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[00:05:43.427 --> 00:05:48.513]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[00:05:48.813 --> 00:05:52.377]  People who alkalize the water they drink experience normalized blood sugar.
[00:05:52.657 --> 00:05:54.379]  Mental clarity and loss of weight.
[00:05:54.699 --> 00:06:00.684]  It was intended for human beings to drink alkaline water, but due to modern way of life, most people are overly acidic.
[00:06:00.924 --> 00:06:04.447]  The fact is that disease simply cannot exist in an alkaline environment.
[00:06:04.707 --> 00:06:09.251]  Fat accumulates if a person consumes too much acid on a regular basis and doesn't neutralize it.
[00:06:09.532 --> 00:06:10.312]  Do your part.
[00:06:10.592 --> 00:06:12.854]  Alkalize and supercharge your body now!
[00:06:13.195 --> 00:06:19.320]  AlkaVision Plasma pH Drops contain a special mineral salt concentrate that raises the pH of the water you drink
[00:06:19.620 --> 00:06:22.022]  Up to the pH of 10 with only 10 drops.
[00:06:22.402 --> 00:06:28.587]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to alkavision.com.
[00:06:28.867 --> 00:06:30.929]  Again, that's alkavision.com.
[00:06:32.530 --> 00:06:40.917]  Prepare yourself for a talk radio experience like no other.
[00:06:41.877 --> 00:06:43.198]  He stands for truth.
[00:06:44.640 --> 00:06:46.421]  He stands for justice.
[00:06:47.830 --> 00:06:49.532]  He stands for what's right.
[00:06:50.273 --> 00:06:52.616]  This is the Alex Jones Show.
[00:06:53.577 --> 00:06:56.440]  Call Alex now, toll free at 877-590-5525.
[00:06:56.500 --> 00:07:00.125]  Now live from Austin, Texas, here's Alex Jones.
[00:07:08.351 --> 00:07:28.285]  When the Federal Reserve System collapses the economy, when they go into hyperinflation, they will either succeed in setting up their world government out of that crisis, or we will succeed in laying the groundwork to educate the public about the fact that these supposed saviors are really the author of our financial doom, of the doom of our prosperity.
[00:07:28.565 --> 00:07:30.247]  We are now at that crossroads.
[00:07:30.287 --> 00:07:33.589]  This is the critical time for all those that love liberty.
[00:07:33.889 --> 00:07:34.530]  We're good to go.
[00:07:57.073 --> 00:08:03.997]  Sir, you said this is a key time for us and on the House Banking Committee, you're one of the lone voices really exposing what's happening.
[00:08:05.158 --> 00:08:08.560]  What is this opportunity and how do we do away with the Federal Reserve?
[00:08:09.760 --> 00:08:12.462]  I think everybody knows that we're in a crisis right now.
[00:08:13.357 --> 00:08:19.144]  And they have now gotten to the point where they don't trust the government, which is healthy.
[00:08:20.425 --> 00:08:22.848]  A lot of people are begging and pleading and they're lining up.
[00:08:23.349 --> 00:08:30.477]  You know, the average guy outside of Washington, especially so many of the young people, are realizing that this has all been a hoax.
[00:08:31.157 --> 00:08:33.260]  And this is the time to really expose the hoax.
[00:08:34.457 --> 00:08:52.541]  Although I've been trying to do that for 30 years to prevent the problems, I think we have a real opportunity now to direct our attention to the real culprit, and that is those who control the monetary system, those who counterfeit our money and cause these financial bubbles, and then the recession, and now they're working real hard on a depression.
[00:08:53.061 --> 00:08:58.783]  So it's easy to become despondent, and I know a lot of people say, why waste your time?
[00:08:58.823 --> 00:09:03.384]  You can't do this, and we should just escape and buy guns and all this kind of thing.
[00:09:03.806 --> 00:09:09.091]  But you know, I think we should see this as an opportunity because we have made inroads.
[00:09:09.151 --> 00:09:16.619]  I think computers and websites and talk radio and the internet has given us a real opportunity to spread our message.
[00:09:17.595 --> 00:09:21.738]  Hopefully I'm not being overly optimistic, but I see it as a chance for us to get our message out.
[00:09:21.878 --> 00:09:37.647]  Congressmen specifically, eight weeks ago, Congressman Sherman, Senator Inhofe is now on record, that in closed joint committee meeting, that Secretary of the Treasury Paulson and Bernanke threatened them with physical martial law.
[00:09:37.827 --> 00:09:43.551]  Not House rules martial law, but physical martial law, and said there will be a depression next Monday.
[00:09:44.271 --> 00:09:46.773]  A total stock market collapse if you don't do this.
[00:09:47.254 --> 00:09:50.876]  And they promised the public total transparency in the banker bill, but I read it.
[00:09:50.916 --> 00:09:52.618]  It was clearly a takeover.
[00:09:53.518 --> 00:09:58.202]  Now, Bloomberg reports, as of a week and a half ago, $8.5 trillion stolen.
[00:09:58.943 --> 00:10:04.407]  The Bloomberg original lawsuit, going back six weeks ago, when $2 trillion had gone up missing,
[00:10:05.027 --> 00:10:13.556]  The Federal Reserve is telling Congress, telling the people, refusing Foyer request, saying it's secret where the trillions went.
[00:10:14.117 --> 00:10:22.626]  Can you speak to, A, the fact that they literally terrorize the public and the Congress to go along with the banker takeover bill?
[00:10:23.306 --> 00:10:35.611]  And then now, in the aftermath, we see a financial dictatorship forming with the Financial Times of London last week calling for world government and saying the bankers shall be the rulers of the world government.
[00:10:35.971 --> 00:10:46.516]  And this is the whole point, and that is governments that want to take over and undermine our liberties and have more power always use the fear factor.
[00:10:46.936 --> 00:10:49.697]  They did this leading up to the war in Iraq.
[00:10:49.737 --> 00:10:52.078]  Remember how they said, you know, if we don't go in there,
[00:10:53.066 --> 00:10:54.267]  Such and such is going to happen.
[00:10:54.287 --> 00:10:57.309]  So they build up the fear, and they do it on foreign policy.
[00:10:57.349 --> 00:11:02.652]  Now they're doing it on economic, monetary, and financial problems.
[00:11:03.412 --> 00:11:07.795]  And yet, the dilemma that we have is that we're scared, too.
[00:11:07.855 --> 00:11:09.155]  There should be a lot of fear.
[00:11:10.176 --> 00:11:11.837]  It's knowing the truth that counts.
[00:11:12.337 --> 00:11:16.319]  They use the weapon of fear dishonestly.
[00:11:17.040 --> 00:11:20.502]  But in many ways, we have to talk about the dangers, too.
[00:11:21.258 --> 00:11:30.526]  And we should think, I guess, us telling people the truth and being more realistic rather than just beating the drums of fear so that people capitulate and do anything the government wants.
[00:11:31.127 --> 00:11:32.928]  But it is very dangerous.
[00:11:33.208 --> 00:11:36.231]  The big question is, is do they have any possible answer to this?
[00:11:36.471 --> 00:11:37.532]  They scare everybody.
[00:11:37.912 --> 00:11:39.754]  Here they've committed $8.5 trillion.
[00:11:40.895 --> 00:11:42.116]  They're stealing from the people.
[00:11:42.156 --> 00:11:43.237]  They're destroying the dollars.
[00:11:43.257 --> 00:11:44.158]  The dollar went down 7% last week.
[00:11:46.136 --> 00:11:49.639]  And they're just making problems so much worse.
[00:11:49.979 --> 00:11:54.863]  And the ultimate threat to us is not only the loss of wealth and destruction of the dollar.
[00:11:54.883 --> 00:11:56.725]  The ultimate threat is the loss of our liberties.
[00:11:56.945 --> 00:12:07.614]  I've always said that if we lost everything tomorrow, if we had our liberty and got rid of the IRS and had sound money, I think we could all go back to work and realizing that everything we earn we can keep.
[00:12:07.954 --> 00:12:11.717]  I mean, we've become so wealthy so quick we could overcome this mess.
[00:12:12.851 --> 00:12:16.134]  Unfortunately, it's an uphill struggle, but we have to fight it.
[00:12:23.357 --> 00:12:44.064]  The standard bearer for exposing the international banking cartel specifically is this economic terrorism to say we're going to have a depression if you don't give us tens of trillions of dollars and then basically take on these omnipotent powers as Congressman Kucinich in committee a few weeks ago called it.
[00:12:44.962 --> 00:12:48.025]  I mean, is this not hardcore criminality?
[00:12:48.105 --> 00:12:50.827]  Don't we need to point out that these are criminals?
[00:12:51.408 --> 00:12:58.134]  Just like Madoff, the former head of the Nasdaq, running his own Ponzi scheme with the brokerage firms.
[00:12:58.214 --> 00:13:00.055]  It's now coming out that it's system-wide.
[00:13:00.335 --> 00:13:06.801]  I mean, don't we need to call for grand juries to do investigations and indict some of these people?
[00:13:06.841 --> 00:13:10.144]  Because if we don't do that, they're still going to continue to pose as our saviors.
[00:13:11.403 --> 00:13:23.609]  Yeah, and we should, but some are more culpable than others because some know exactly what they're doing, but there's so many people that still exist that do get talked in, just like
[00:13:24.116 --> 00:13:32.361]  Very, very good people were talked into voting to give the President the power to go to war, and they were just too naive and went along with it.
[00:13:32.421 --> 00:13:34.042]  A lot of people are doing that now.
