[00:00:00.009 --> 00:00:01.170]  Saudi Arabian connection.
[00:00:04.112 --> 00:00:04.773]  Big Brother.
[00:00:05.433 --> 00:00:06.454]  Mainstream media.
[00:00:07.195 --> 00:00:08.296]  Government cover-ups.
[00:00:08.956 --> 00:00:09.777]  You want answers?
[00:00:10.518 --> 00:00:11.418]  Well, so does he.
[00:00:11.438 --> 00:00:15.722]  He's Alex Jones on the GCN Radio Network.
[00:00:16.282 --> 00:00:20.366]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.786 --> 00:00:48.138]  We've got them with us for another 20 minutes or so, Robert Rodin and of course Jim Mars, top experts in their own fields of the JFK assassination, both of them documentary filmmakers, both of them authors, both of them worked intimately on the JFK film by Oliver Stone.
[00:00:50.019 --> 00:00:54.362]  And I do want to start going to the phone calls here in just a few minutes, but
[00:00:57.062 --> 00:01:06.106]  Where do you see this going, both men briefly, as 90 plus percent in every major poll know that there's a cover-up, a conspiracy to kill Kennedy.
[00:01:06.606 --> 00:01:10.648]  No amount of shoddy hit pieces are going to convince anybody otherwise.
[00:01:12.168 --> 00:01:18.891]  But not just with the JFK assassination, it probably started there, but with everything else now, the people know the government is a private group of criminals looting us.
[00:01:19.351 --> 00:01:20.932]  Where do you see this going in the future?
[00:01:22.633 --> 00:01:24.273]  Well, for me... Go ahead, Jim.
[00:01:24.753 --> 00:01:26.114]  Yeah, this is Jim Mars.
[00:01:27.473 --> 00:01:36.280]  Unfortunately, I see that the Kennedy assassination is showing us a template for what's going to happen with 9-11.
[00:01:37.541 --> 00:01:40.904]  There was a period of time, and Robert knows this too, he lived through it,
[00:01:41.288 --> 00:01:50.036]  There's a period of time for 15, maybe 20 years after the assassination, when it was not considered socially acceptable to bring that up as a topic in public.
[00:01:50.316 --> 00:01:51.777]  We just don't talk about that.
[00:01:52.278 --> 00:01:54.980]  And then, you know, new generations came along.
[00:01:55.040 --> 00:02:04.769]  They were very inquisitive and curious, and all of a sudden it became okay to talk about it, and all of a sudden all this information that people like Robert and I and others
[00:02:05.248 --> 00:02:05.868]  We're good to go.
[00:02:33.672 --> 00:02:36.193]  Excuse me, somebody shooting at him from the grass?
[00:02:37.233 --> 00:02:37.453]  No.
[00:02:37.593 --> 00:02:42.155]  Well, they said 95% chance.
[00:02:42.215 --> 00:02:42.795]  Way up there.
[00:02:43.375 --> 00:02:47.497]  And today, we're right back into that mode.
[00:02:48.037 --> 00:02:53.239]  It's not socially acceptable to speak out publicly about 9-11 and polite company.
[00:02:53.797 --> 00:03:13.133]  And so they'll wait 20 years and then all the information will come out, and in 40 years we'll all know that 9-11 was an inside job perpetrated by people within the Bush administration, and it'll just be accepted, but it still won't be officially acknowledged by leaders, nor will it be in the history books.
[00:03:14.934 --> 00:03:16.836]  Robert, your comments on what he was just saying?
[00:03:17.469 --> 00:03:19.590]  Well, I pretty much agree with what Jim said.
[00:03:19.650 --> 00:03:23.832]  You know, the American people have never been fooled by this, for the most part.
[00:03:24.332 --> 00:03:31.094]  I'm in Dealey Plaza hundreds and hundreds of days a year, virtually every day.
[00:03:32.755 --> 00:03:43.299]  And I can tell you, without doing an actual count, that approximately 99%, 99-plus percent, don't believe the Warren Commission fairy tale.
[00:03:43.700 --> 00:03:44.840]  They just don't buy it.
[00:03:45.670 --> 00:03:54.297]  And when they see the Plaza itself, they just shake their heads and can't believe that the other side tried to convince us of this incredible lie.
[00:03:55.058 --> 00:03:59.061]  But, unfortunately, they do seem to control the national news media.
[00:03:59.921 --> 00:04:01.863]  They control their broadcast licenses.
[00:04:02.724 --> 00:04:08.188]  The head of CBS at the time of the assassination was Bill Paley, one of the founders of the Central Intelligence Agency.
[00:04:09.169 --> 00:04:10.350]  Now, what do we expect from him?
[00:04:10.710 --> 00:04:14.593]  He gave the order and nobody would dare challenge him from Walter Cronkite on down.
[00:04:15.455 --> 00:04:21.258]  So they just arbitrarily started backing the Warren Commission, and that became what we got to hear.
[00:04:21.778 --> 00:04:33.103]  And if you talk to people on the street, if you find somebody who does believe that the, uh, that there was a, uh, that the Warren Commission was right, you'll ask them why.
[00:04:33.123 --> 00:04:35.264]  They'll quote the Warren Commission.
[00:04:36.025 --> 00:04:38.186]  That's totally convoluted reasoning.
[00:04:38.206 --> 00:04:39.426]  There's no basis in fact there.
[00:04:41.328 --> 00:04:45.591]  There never was, but crying out loud, the Warren Commission had seven members.
[00:04:46.071 --> 00:04:51.435]  Three of those seven members, virtually half of them, did not believe that Oswald acted alone.
[00:04:51.796 --> 00:04:54.517]  Alright, Robert, Jim, stay there.
[00:04:54.858 --> 00:04:59.321]  On the internet at PrisonPlanet.tv, we're going to talk behind the scenes during this break about this weekend.
[00:05:01.169 --> 00:05:08.394]  Alright, we're not on the MNFM right now, but we are on the web, so we are on the air transmitting, just not broadcasting right now, guys.
[00:05:09.334 --> 00:05:16.099]  I've been so busy, you've been so busy, I haven't really conferred with both of you about when we're hooking up.
[00:05:16.979 --> 00:05:20.721]  Jim, we're going to meet, I mean I'll see you around, but we're going to meet Sunday, right?
[00:05:21.162 --> 00:05:24.324]  And go eat lunch, and then do some interviews then, right?
[00:05:25.279 --> 00:05:25.539]  Right.
[00:05:25.599 --> 00:05:28.121]  Well, I also arranged with your people, I think.
[00:05:28.181 --> 00:05:33.123]  I told them I'd be at the Grassy Knoll about an hour earlier, about 11 o'clock.
[00:05:33.204 --> 00:05:35.145]  If you're going to be there, we could talk some then.
[00:05:35.325 --> 00:05:37.066]  Okay, so we'll talk Saturday, too, then?
[00:05:37.426 --> 00:05:37.666]  Right.
[00:05:38.006 --> 00:05:38.747]  Okay, perfect.
[00:05:39.327 --> 00:05:45.370]  And maybe I'll tag along to the little convention event you're going to, because I'd like to get some shots of you talking to a crowd.
[00:05:45.430 --> 00:05:45.891]  Is that okay?
[00:05:46.551 --> 00:05:47.492]  It's fine with me.
[00:05:47.752 --> 00:05:50.373]  If they'll let you in, you may have to pay door admission.
[00:05:51.614 --> 00:05:52.734]  Maybe you can give me their name and number.
[00:05:53.935 --> 00:05:54.555]  Who's running that?
[00:05:55.055 --> 00:05:56.496]  This is JFK Lancer.
[00:05:57.197 --> 00:05:58.397]  Okay, well that shouldn't be a problem.
[00:05:58.477 --> 00:05:59.738]  I'll call you this afternoon.
[00:05:59.818 --> 00:06:01.039]  Are you going to be there after the show?
[00:06:01.439 --> 00:06:01.699]  Yes.
[00:06:02.079 --> 00:06:02.319]  Okay.
[00:06:03.220 --> 00:06:09.843]  Also, Mr. Grodin, we're going to get together, I guess, Monday morning, right?
[00:06:11.064 --> 00:06:11.284]  Yes.
[00:06:11.884 --> 00:06:15.346]  We do this to see each other Saturday in the plaza.
[00:06:16.138 --> 00:06:19.299]  And uh... monday where we have an appointment for uh... for the filming.
[00:06:19.720 --> 00:06:21.980]  Absolutely, and I guess Sunday you're going to be in the plaza too?
[00:06:22.741 --> 00:06:23.661]  Yes, absolutely.
[00:06:24.381 --> 00:06:44.030]  Okay, well I'm going to be filming some of you interacting with folks because that's also important uh... and then I think in the film I also just want to mention what you brought up about the uh... the uh... individual who uh... now runs the uh... school book uh... building there uh... formerly being one of your colleagues I think that's really interesting because they never want to mention that in these TV shows do they?
[00:06:44.650 --> 00:06:44.890]  Never.
[00:06:48.129 --> 00:06:50.451]  Alright, well I look forward to seeing you both there.
[00:06:50.511 --> 00:06:51.792]  I think this is going to be a big year.
[00:06:51.812 --> 00:06:57.976]  I mean, it's so far out away from the killing, but also it's, you know, people love 25s, 45s, 55s, 75s.
[00:06:58.056 --> 00:07:00.978]  I think there's going to be a lot of folks there.
[00:07:02.199 --> 00:07:03.140]  Well, we can only hope.
[00:07:03.260 --> 00:07:04.381]  You know, the people care.
[00:07:04.401 --> 00:07:06.822]  I see people in the plaza all year long.
[00:07:09.484 --> 00:07:16.029]  They don't always just wait for the assassination anniversary, but it usually is a lot heavier then.
[00:07:17.230 --> 00:07:20.893]  Do you ever have folks come up and get in your face and call you a traitor?
[00:07:20.913 --> 00:07:22.795]  No, just the opposite.
[00:07:23.756 --> 00:07:24.757]  The exact opposite.
[00:07:25.377 --> 00:07:26.879]  They think that the government are the traitors.
[00:07:27.039 --> 00:07:35.126]  Well, no, I understand the majority, but 90 plus percent know it's an inside job, but, you know, black op, but there are still those Kool-Aid drinkers.
[00:07:35.166 --> 00:07:36.507]  Jim, have you ever run into those?
[00:07:39.210 --> 00:07:40.871]  No, not particularly, because I
[00:07:42.113 --> 00:07:46.334]  I don't get into the accusation mode or the judgment mode.
[00:07:46.414 --> 00:07:49.034]  I simply present the facts and the information.
[00:07:49.634 --> 00:07:53.055]  And occasionally I hear somebody say, I don't believe that.
[00:07:53.495 --> 00:07:54.855]  Well, you know, that's fine.
[00:07:55.035 --> 00:08:00.776]  They're welcome to their beliefs, but I don't believe that is not a valid argument.
[00:08:01.016 --> 00:08:01.516]  Absolutely.
[00:08:01.556 --> 00:08:01.956]  Here we go.
[00:08:02.016 --> 00:08:02.897]  Back to the full audience.
[00:08:04.297 --> 00:08:04.937]  Enemy lines.
[00:08:05.237 --> 00:08:07.177]  The information war continues.
[00:08:07.777 --> 00:08:10.758]  It's Alex Jones and the GCN Radio Network.
[00:08:11.855 --> 00:08:16.876]  Okay, let's go ahead and talk to Bob in Florida.
[00:08:16.916 --> 00:08:18.156]  You're on the air with our guest.
[00:08:18.216 --> 00:08:18.576]  Welcome.
[00:08:21.057 --> 00:08:23.037]  Hello, Alex.
[00:08:24.997 --> 00:08:25.997]  Hi, this is Bob.
[00:08:26.017 --> 00:08:28.678]  I've got a question about JFK.
[00:08:29.738 --> 00:08:38.660]  It seems like he was too naive in the sense that he thought he could abolish the Federal Reserve without anything happening to him.
[00:08:39.260 --> 00:08:40.340]  Just by reading history,
[00:08:41.069 --> 00:08:46.210]  He should have known that anything he did to go around the bankers would have caused his death.
[00:08:46.310 --> 00:08:54.232]  Is there something else he could have done to lessen the power of the Federal Reserve without actually abolishing it or printing notes?
[00:08:55.213 --> 00:08:58.754]  So that maybe today we could actually abolish it, versus just abolishing it immediately.
[00:08:58.774 --> 00:09:02.155]  Alex, can I respond to that?
[00:09:02.195 --> 00:09:02.415]  Sure!
[00:09:03.295 --> 00:09:07.596]  Okay, yes, there was things he could have done and he was doing.
[00:09:08.166 --> 00:09:22.159]  He had his Treasury Secretary, they were beginning to alter federal regulations and rules, allowing power to be drawn back from the Federal Reserve System and back into the private banking system.
[00:09:22.179 --> 00:09:30.947]  He signed the executive order, he was pulling the troops out of Vietnam, he said he was going to abolish the CIA, he learned they were planning to stage terror attacks like 9-11, but
[00:09:33.189 --> 00:09:39.292]  Just to expand on that, that's why even if Barack Obama was a wonderful person, nothing's going to change.
[00:09:39.632 --> 00:09:47.656]  That's why he's appointing all the same people, that's why he's going back on all the promises, because presidents are puppets, period.
[00:09:47.956 --> 00:09:51.158]  George Bush, Barack Obama, Bill Clinton, Ronald Reagan.
[00:09:51.198 --> 00:09:55.380]  Ronald Reagan, early on, got out of line, and the Secret Service lit him up.
[00:09:55.400 --> 00:09:56.300]  You want to talk about that, Jim?
[00:09:57.001 --> 00:10:01.623]  Well, I will simply say that on all three network cameras that we're filming,
[00:10:02.655 --> 00:10:11.199]  Ronald Reagan's exit from that hotel when the assassination attempt happened, recorded seven shots very clearly.
[00:10:11.739 --> 00:10:15.981]  And yet, Hinckley's revolver was a six-shot revolver.
[00:10:16.101 --> 00:10:21.464]  So, nobody has ever bothered to try to determine where that seventh shot came from.
[00:10:22.084 --> 00:10:23.425]  But, let me finish with Kennedy.
[00:10:23.445 --> 00:10:25.486]  Well, the Bushes were also big buddies with the Hinckleys.
[00:10:26.166 --> 00:10:26.766]  Exactly.
[00:10:26.786 --> 00:10:28.347]  And had dinner with them the night before.
[00:10:29.221 --> 00:10:29.742]  That's true.
[00:10:43.803 --> 00:10:44.223]  I don't
[00:11:01.156 --> 00:11:08.660]  Bill, 1963, has red ink on it, and at the top, instead of saying Federal Reserve notes, it says United States notes.
[00:11:09.060 --> 00:11:16.584]  Now, the difference is, is that if we issue money through the Treasury, we don't have to pay interest on it to those international bankers.
[00:11:16.684 --> 00:11:20.366]  And Bob DeCollar was quite correct.
[00:11:20.946 --> 00:11:24.028]  I think Kennedy was a bit naive.
[00:11:24.168 --> 00:11:28.310]  He really thought he was President of the United States, leader of the free world,
[00:11:28.790 --> 00:11:29.171]  No, I don't.
[00:11:48.187 --> 00:11:55.790]  And both of those men, and I don't think this is a coincidence, both of those men were shot in the head in broad daylight.
[00:11:55.970 --> 00:11:56.690]  Absolutely.
[00:11:56.911 --> 00:11:58.371]  Thank you for the call, Bob.
[00:11:58.731 --> 00:12:03.673]  Any comments on why the establishment wanted Kennedy dead, Robert Grodin?
[00:12:04.714 --> 00:12:12.997]  Well, the president was ending the Vietnam War, which was big business and a lot of money to very, very powerful people, including Lyndon Johnson.
[00:12:14.059 --> 00:12:21.842]  Johnson was a major stockholder in, I believe, seven, perhaps more, at least seven companies that had Vietnam War contracts.
[00:12:22.543 --> 00:12:24.543]  He made billions off the war himself.
[00:12:25.164 --> 00:12:29.225]  That's not the only reason why the President was killed, but it was certainly one of the major reasons.
[00:12:31.706 --> 00:12:32.347]  It's unbelievable.
[00:12:32.367 --> 00:12:40.090]  Another major reason was he and his brother Bobby, the Attorney General, were fighting the only effective war in this nation's history against organized crime.
[00:12:41.584 --> 00:12:45.267]  Whereas Richard Nixon's closest friend was Bibi Robozzo, a mobster.
[00:12:47.048 --> 00:12:55.475]  President Kennedy and his brother Bobby were fighting a very effective war against people like Carlos Marcello, Santos Traficante, Johnny Roselli, Jimmy Hoffa.
[00:12:55.895 --> 00:13:00.779]  Who all were contracted by the mob for opium, cocaine, you name it, gambling, prostitution.
[00:13:00.799 --> 00:13:02.240]  That's the CIA.
[00:13:03.321 --> 00:13:09.766]  The CIA was gutting out American servicemen in Vietnam, filling their bodies with heroin and sending it back to the United States.
[00:13:10.612 --> 00:13:11.433]  That's what I'm saying.
[00:13:34.104 --> 00:13:35.385]  Well, let's go further there.
[00:13:36.886 --> 00:13:48.195]  This is part of what governments do throughout history, and to be childlike and say it doesn't exist, that's what's brought us to this point we are now, being openly raped by the bankers, five trillion stolen in five weeks right in front of everyone.
[00:13:49.016 --> 00:13:58.864]  But it is a great tragedy, because that's when the shadow government really was able to fully take over this nation.
[00:13:58.904 --> 00:14:00.605]  Let's go to John in Wyoming.
[00:14:00.645 --> 00:14:01.466]  John, you're on the air.
[00:14:03.430 --> 00:14:04.010]  Hi, Alex.
[00:14:04.550 --> 00:14:07.531]  I want to follow up on what Jim said just a while ago.
[00:14:08.291 --> 00:14:22.874]  Yes, it was on June 4, 1963, when JFK issued Executive Order 11110, which recalled the Federal Reserve notes, and I have one of those United States notes.
[00:14:22.954 --> 00:14:23.354]  It's a series 1963.
[00:14:23.454 --> 00:14:23.814]  It's a $2 bill.
[00:14:27.200 --> 00:14:29.121]  And indeed, this is what got him.
[00:14:29.241 --> 00:14:30.942]  It's a $5 bill.
[00:14:32.543 --> 00:14:35.565]  I have a $2 bill that's a series 1963.
[00:14:36.586 --> 00:14:40.688]  And it's also debt-free currency like that $5 bill that Jim has.
[00:14:41.268 --> 00:14:51.114]  But also, when I was living in Houston about 30 to 35 years ago, Channel 13, the ABC affiliate in Houston, showed an uncut copy of the Zapruder film.
[00:14:51.696 --> 00:15:04.925]  Which, by the way, E. Howard Hunt's son was discussing with George Norrie shortly after E. Howard Hunt passed away, what, a couple of years ago, that shows that Corsican assassin on the grassy knoll hiding in the bush.
[00:15:05.365 --> 00:15:06.546]  They stopped the frame.
[00:15:07.507 --> 00:15:19.035]  You could see the bush halfway between Zapruder and Kennedy's Lincoln limousine, and they readjusted the focus to where the bush was in sharp focus, and you could see that well-dressed Corsican assassin
[00:15:19.751 --> 00:15:21.372]  Wearing a suit, a tie, and a fedora.
[00:15:21.392 --> 00:15:23.113]  Okay, I'm going to let you go, John.
[00:15:23.153 --> 00:15:23.813]  I appreciate the calls.
[00:15:23.833 --> 00:15:28.155]  We're almost out of time with our guests, but we have the photo expert.
[00:15:28.175 --> 00:15:31.757]  We have the person who released the uncut SubRudder film.
[00:15:31.777 --> 00:15:34.478]  We have the person that enhanced it and looked at it.
[00:15:35.178 --> 00:15:37.719]  Is what he was just saying accurate, Robert?
[00:15:39.040 --> 00:15:41.401]  It's a matter of interpretation.
[00:15:41.541 --> 00:15:42.582]  Yes, he's correct.
[00:15:42.602 --> 00:15:47.824]  There is somebody on the grass, you know, in the closing frames of the SubRudder film behind the fence.
[00:15:48.796 --> 00:15:58.103]  But it's not sharp enough and it's not close enough to draw any kind of a determination as to whether or not you cannot make an identification.
[00:15:58.784 --> 00:16:13.014]  There is somebody there, but as far as that goes, whether he shows in the film or not, he was there, because the medical evidence proves it, the eyewitness testimony proves it, and certainly the acoustic evidence proves it.
[00:16:15.217 --> 00:16:15.898]  Absolutely.
[00:16:16.338 --> 00:16:21.983]  Okay, let's go ahead now and take another call from Ronnie in Texas.
[00:16:22.003 --> 00:16:22.943]  You're on the air, Ronnie.
[00:16:22.963 --> 00:16:23.404]  Go ahead.
[00:16:24.344 --> 00:16:24.945]  Thank you, sir.
[00:16:25.425 --> 00:16:40.057]  Briefly, me and Oswald and Ruby all lived in Oak Cliff at the time, and I've made it my business to try to learn as much as I could all these many years, and I really appreciate your guests there, and it's no disrespect to them, but there's another great expert.
[00:16:40.097 --> 00:16:43.560]  That is, of course, Michael Collins Piper from the American Free Press, who wrote
[00:16:44.138 --> 00:16:44.679]  I don't know.
[00:17:00.100 --> 00:17:03.803]  Family, Godfather of all Godfathers, Meyer Lansky and his gang.
[00:17:04.043 --> 00:17:10.067]  And so no involvement, well hold on just a second, but no involvement though by the President or the U.S.
[00:17:10.107 --> 00:17:13.770]  Government or anybody that covered it up?
[00:17:13.830 --> 00:17:15.551]  It's just all only Israel then?
[00:17:16.031 --> 00:17:21.815]  No, no, my line about that is it's not who was involved, it's who wasn't involved.
[00:17:21.895 --> 00:17:22.796]  They involved everybody.
[00:17:22.816 --> 00:17:24.277]  They had the Dallas cops, they had
[00:17:25.014 --> 00:17:26.715]  You know, Johnson was probably involved.
[00:17:26.795 --> 00:17:27.176]  Who knows?
[00:17:27.216 --> 00:17:31.078]  But there's so many fingers of guilt on that thing.
[00:17:31.118 --> 00:17:36.402]  And one of the main points that's been left out of everybody's book is that JFK smoked pot.
[00:17:37.123 --> 00:17:37.883]  He smoked pot.
[00:17:38.023 --> 00:17:43.787]  One of his early girlfriends, one of those girlfriends, made testimony about that, and then it was just kind of ignored.
[00:17:44.148 --> 00:17:45.729]  Okay, let me just stop you right there.
[00:17:46.589 --> 00:17:48.070]  I believe I even heard Jim.
[00:17:49.165 --> 00:17:55.406]  We're all friendly here, but I think I've even heard Jim attack before by other people for not saying it's all Israel or something.
[00:17:56.026 --> 00:17:59.487]  Jim and Robert Grudin, what's your take on this whole Israel thing?
[00:17:59.527 --> 00:18:06.188]  I'm certainly not saying that Israel didn't do a lot of bad things, but how much evidence is it that Israel ran the killing of JFK?
[00:18:06.268 --> 00:18:07.369]  None at all.
[00:18:08.529 --> 00:18:09.189]  Go ahead, Robert.
[00:18:09.609 --> 00:18:10.149]  None at all.
[00:18:10.869 --> 00:18:11.169]  Right.
[00:18:11.690 --> 00:18:18.751]  This is a diplomatic situation that detracts from where the real evidence is.
[00:18:19.693 --> 00:18:28.360]  The thing is, Israel did not have the power to subvert the Secret Service, the CIA, the FBI, the U.S.
[00:18:28.400 --> 00:18:29.000]  military.
[00:18:29.441 --> 00:18:41.670]  Although, I will say this, people, when you talk about Israel's involvement in the King assassination, if you're looking at it at a lower level, that's really not even possible, as I just said.
[00:18:42.111 --> 00:18:47.735]  But, if you look at it from the highest level, the people who created the State of Israel,
[00:18:48.303 --> 00:18:51.886]  Uh, Lord Rothschild is considered the father of modern Israel.
[00:18:52.326 --> 00:19:02.633]  And when you look at the people who created Zionism, who then created the State of Israel, who then created Communism in Russia, who then created National Socialism, or the Nazis,
[00:19:03.078 --> 00:19:17.465]  In Germany, then you realize these are the same people who are the power structure, the true power structure of the United States, and yes, they at least had to acquiesce in the assassination of President Kennedy.
[00:19:17.485 --> 00:19:23.749]  And there's claims that he wouldn't give nukes to Israel, and that's what happened.
[00:19:24.189 --> 00:19:31.733]  You know, I would interview those people, it's just folks have been too nasty to me when I'm just open and friendly, like if it's a text from ours or somebody, we just have mugs, they're friendly.
[00:19:32.493 --> 00:19:38.714]  Uh, you know, it's, it's, it'd be like if a neighbor ran up and threw paint on your face and said, you didn't invite me over for tea.
[00:19:38.754 --> 00:19:43.875]  And I'm like, well, if I'd have known you wanted to come over for tea, I would have had you over for tea, but you've thrown paint on me.
[00:19:43.915 --> 00:19:45.016]  I'm not going to have you on now.
[00:19:46.996 --> 00:19:47.376]  Okay.
[00:19:47.576 --> 00:19:48.216]  You know what, guys?
[00:19:48.796 --> 00:19:49.657]  I'm going to twist your arms.
[00:19:49.697 --> 00:19:50.497]  Go to the bottom of the hour.
[00:19:50.597 --> 00:19:54.818]  One more five minute segment with both of you because I want to go to David, Tim and Josh and others.
[00:19:55.138 --> 00:19:55.738]  We'll be right back.
[00:19:59.540 --> 00:20:05.172]  In fact, I'm going to talk behind the scenes right now with them for everybody watching at PrisonPlanet.tv.
[00:20:05.714 --> 00:20:07.497]  Gentlemen, we're still on the web right now.
[00:20:07.999 --> 00:20:09.722]  Your game to come in and do five more minutes, right?
[00:20:10.342 --> 00:20:10.782]  Yes, sir.
[00:20:11.243 --> 00:20:12.604]  No, I'm leaving right this minute.
[00:20:13.024 --> 00:20:14.185]  No, I'll stick with you.
[00:20:14.225 --> 00:20:15.366]  Well, Jim, I know you're a busy guy.
[00:20:15.386 --> 00:20:16.887]  You've got your mom to take care of.
[00:20:16.907 --> 00:20:17.967]  What, she's 94 now?
[00:20:17.987 --> 00:20:19.168]  Uh, yep.
[00:20:19.989 --> 00:20:20.669]  90, yes, 94.
[00:20:20.789 --> 00:20:25.693]  94, and I mean, I know how it is to have places to go and people to see and things to do, my friend.
[00:20:26.133 --> 00:20:27.074]  No, I'll hang on.
