[00:00:02.870 --> 00:00:04.771]  We now go to Dr. Nick Begich.
[00:00:04.891 --> 00:00:09.853]  Dr. Nick Begich serves as Executive Director of the Lay Institute of Technology, Inc., a Texas nonprofit corporation.
[00:00:09.873 --> 00:00:14.295]  He's also the publisher and co-author of Earth Pulse Press, Incorporated, an Alaskan-based organization.
[00:00:14.335 --> 00:00:20.738]  Dr. Begich is the eldest son of the late United States Congressman from Alaska, Nick Begich Sr., and political activist Peggy Begich.
[00:00:21.158 --> 00:00:23.840]  He is well-known in Alaska for his own political activities.
[00:00:24.200 --> 00:00:29.863]  He has twice been elected president of both the Alaska Federation of Teachers and the Anchorage Council of Education.
[00:00:30.263 --> 00:00:34.846]  He has been pursuing independent research in the sciences and politics for most of his adult life.
[00:00:35.206 --> 00:00:40.789]  Begich received his doctorate in traditional medicine from the Open International University of Complementary Medicines in 1994.
[00:00:40.849 --> 00:00:47.153]  He co-authored with Gene Manning the book, Angles Don't Play This Harb, Advances in Tesla Technology.
[00:00:47.193 --> 00:00:49.554]  Begich also authored Pulse 1 and 2,
[00:00:50.615 --> 00:00:52.116]  with the late James Roderick.
[00:00:52.996 --> 00:01:02.061]  He has published articles in science, politics, and education, and is a well-known lecturer, having presented throughout the United States and in 19 countries, including to the European Parliament.
[00:01:02.541 --> 00:01:09.785]  He has been featured as a guest on thousands of radio broadcasts, reporting his research activities, including new technologies, health and earth science-related issues.
[00:01:10.145 --> 00:01:17.769]  He has also appeared on dozens of television documentaries and other programs throughout the world, including BBC and CBC TV Telemundo.
[00:01:18.109 --> 00:01:35.820]  And I would add he's one of the leading experts on patents and declassified information on mind control, weather manipulation, bio-weapons, chemical weapons, surveillance that is admitted but not known, not generally known, so for all intents and purposes secret, because people are not aware of it.
[00:01:36.120 --> 00:01:44.326]  So I want to talk to him on about a host of issues in the next hour and thirty-five, forty minutes that we have him for really honored to be talking to him, but
[00:01:45.487 --> 00:01:57.355]  I did find the story today, it's up on InfoWars.com from Reality Check, and did go and confirm that the big ISPs in Canada are going to go ahead and go to Internet 2 in the next few months.
[00:01:57.375 --> 00:02:06.682]  They're going to try it, and I wanted to get, because I know you've been on top of this, to talk about the multi-pronged attack on the Internet that is now happening.
[00:02:07.783 --> 00:02:17.198]  Time Warner is doing this in some towns in Texas and I wanted to get your expert take on that as a technologist on what we're facing A and how you think we should counter it Dr. Bagich.
[00:02:17.779 --> 00:02:20.022]  Well you know the internet itself has been
[00:02:21.544 --> 00:02:25.127]  When it first started, everybody was sort of non-commercial.
[00:02:25.147 --> 00:02:32.751]  It was all about geeks and high technology, and eventually it became a big commercial enterprise.
[00:02:32.991 --> 00:02:40.136]  When you really think about it, from a globalist perspective, it's always been about markets and building patterns.
[00:02:40.820 --> 00:02:41.801]  And incomes.
[00:02:42.041 --> 00:02:51.607]  And when you start to look at what they've amassed, the biggest issue with the Internet is personal privacy, which is still not adequately guarded in my view.
[00:02:51.687 --> 00:03:03.114]  You know, when you think about all of the data banks surrounding our lives today, it used to be that the doorway to your home was the threshold to your privacy, and today it's really a digital doorway.
[00:03:03.354 --> 00:03:04.775]  And so when you talk about the Internet,
[00:03:05.490 --> 00:03:16.157]  It's more than just the commercial aspects and certainly making money on the internet has been, in the way of tracking data, has been one thing.
[00:03:16.757 --> 00:03:18.138]  But the data itself is valuable.
[00:03:18.258 --> 00:03:29.785]  When you can look at a person's profile, when you start to look at millions and millions of people's activity and their political persuasions, sort of their background, you can really refine.
[00:03:30.646 --> 00:03:32.727]  Profiling becomes an art form.
[00:03:33.226 --> 00:03:33.686]  I think so.
[00:03:54.704 --> 00:04:03.867]  And it's tying the entire world population into an NSA snooping grid so they can build detailed psychological algorithms and truly know your heart of hearts.
[00:04:04.428 --> 00:04:06.328]  It's much worse than physically surveilling you.
[00:04:06.388 --> 00:04:09.109]  It surveils your most innermost secrets.
[00:04:09.450 --> 00:04:16.352]  And it's also done in the comfort of your own home with our evolutionary development for feeling like we have privacy in our cave.
[00:04:17.013 --> 00:04:21.774]  Truly scanning, and I'm not getting into an evolution debate, I mean our development as humans.
[00:04:23.655 --> 00:04:24.756]  Just absolutely amazing.
[00:04:24.916 --> 00:04:26.036]  But first, we're about to break.
[00:04:26.056 --> 00:04:30.459]  I want to get your take on their attempts to come in and regulate it and shut it down now.
[00:04:30.879 --> 00:04:34.722]  Yeah, absolutely.
[00:04:35.422 --> 00:04:39.424]  When you look at the military side of it, it's already been moved aside.
[00:04:40.185 --> 00:04:46.709]  They have their own sort of search networks kind of excluded from what most people deal with.
[00:04:46.749 --> 00:04:52.132]  The research sites are getting pressed down as well, where there's less and less access.
[00:04:53.337 --> 00:04:59.702]  And that whole constraining of data is really working against modern democracy in this century.
[00:05:02.064 --> 00:05:06.308]  Okay, Doc, I want to skip the break for PrisonPlanet.tv viewers and people listening on the internet.
[00:05:06.348 --> 00:05:10.131]  For everybody else who's listening on another stream, you'll miss the next four minutes.
[00:05:10.171 --> 00:05:13.154]  If not, go to InfoWars.com and click on the Listen Live button.
[00:05:13.174 --> 00:05:14.535]  You'll be able to hear us talk.
[00:05:14.555 --> 00:05:17.638]  I'm going to skip some of these breaks so that we don't waste time with Dr. Nick Baggage.
[00:05:17.898 --> 00:05:20.200]  We'll continue discussing everything with him right now.
[00:05:23.774 --> 00:05:27.955]  Okay, Doc, we're going to come back in four minutes to the full audience, but let's not waste time.
[00:05:27.995 --> 00:05:32.136]  Keep going with how you're chronicling what's happening to the web.
[00:05:32.697 --> 00:05:51.962]  Well, when you start to look at all of it together, and this is what we've tried to say in all of our writing and all of our work the last 15 years, is when you start to look at any one of these little snapshots within the sort of public bubble of information, the way the military and planners, NSA, Homeland Insecurity, whoever it is,
[00:05:52.854 --> 00:05:53.535]  Look at this.
[00:05:53.775 --> 00:05:54.635]  It is incremental.
[00:05:54.695 --> 00:05:56.016]  It's like one slice at a time.
[00:05:56.076 --> 00:05:59.639]  Something hits the news, stays in the news for about 30 seconds and it's gone.
[00:06:00.359 --> 00:06:14.289]  And when you start to connect it, when you start to look at the aspects of the internet that truly created an environment where people could communicate at an unprecedented level, exchange ideas without the filtering of a controlled media.
[00:06:14.769 --> 00:06:18.792]  And that is a dangerous thing from a globalist perspective, ultimately.
[00:06:18.912 --> 00:06:20.053]  When you start to look at
[00:06:20.879 --> 00:06:22.361]  Then what was being gained by it?
[00:06:22.401 --> 00:06:23.923]  I mean, think about Google recently.
[00:06:23.983 --> 00:06:32.814]  I mean, the Chinese get to pick their brains to find out who to go beat up in the street or whatever thug approach to government they want to operate over there.
[00:06:32.834 --> 00:06:39.362]  The cooperation of telecommunications companies for surveillance of American populations, then retroactively
[00:06:39.932 --> 00:06:47.761]  You know, sort of saying, oh, we're sorry, but no one's going to prosecute you, even though you violate the civil liberties of everyone in the country.
[00:06:48.181 --> 00:07:00.875]  When you look at the shutdown of the Freedom of Information Act under this administration, at a level that has been the slowest amount of information coming forward to the public that deserves to be public, much of it 40, 50 years old, for goodness sakes.
[00:07:01.929 --> 00:07:03.470]  And, you know, that's been constrained.
[00:07:03.531 --> 00:07:06.453]  The classifying of information at an unprecedented level.
[00:07:06.473 --> 00:07:16.201]  You know, you make me think there, before I ask you about this to elaborate there, people always ask me, well, why did they declassify things 50, 60 years ago that was incriminating, or 20 years ago?
[00:07:16.542 --> 00:07:18.483]  Well, back then we were more of a free society.
[00:07:18.964 --> 00:07:22.587]  We hadn't been fully taken over under the National Security Act of 1947.
[00:07:23.488 --> 00:07:27.771]  There was a process of usurpation going on.
[00:07:28.869 --> 00:07:34.594]  But now they do have to ban basically declassifying anything because now it can actually be used.
[00:07:35.314 --> 00:07:45.943]  Twenty, thirty years ago the corporate press was so narrowly controlled and regulated and had so many spooks in it that so what if you got a declassified document that Gulf of Tonkin was staged?
[00:07:46.343 --> 00:07:50.967]  You might labor and get a self-published book made that maybe a thousand people will read.
[00:07:50.987 --> 00:07:53.108]  So now this knowledge can damage them.
[00:07:57.037 --> 00:08:07.482]  Oh yeah, because people like you, people like me, a lot of others all over the country, and a lot of individual committees are one listening to this broadcast, pick up information and pass it on.
[00:08:07.683 --> 00:08:22.050]  And that, you know, the true democracy in the 21st century is about information, it's about being able to make sure that the integrity of information is good, number one, because if we digitize everything, we put it all on the net, you know, history kind of becomes flexible.
[00:08:22.980 --> 00:08:23.741]  I like paper.
[00:08:24.181 --> 00:08:31.247]  You know, I'm a paper fiend when it comes to saving data because in the early days of the Internet, it was very unreliable.
[00:08:31.267 --> 00:08:38.233]  You know, you'd have to go pull the documents and stuff was quoted out of context and so on, and you'd really have to look the paper up.
[00:08:38.253 --> 00:08:42.997]  When we published our first book, the book, Angels Don't Play This Harp, it was about
[00:08:43.693 --> 00:08:45.595]  Um, library work more than the internet.
[00:08:45.635 --> 00:08:52.523]  You know, our last book... Oh, and I mean, my first films, back when I was first doing radio in 95, 96, well TV 95, radio 96, I remember going to the library every week!
[00:08:57.226 --> 00:08:58.707]  That's where we got our good information.
[00:08:58.727 --> 00:09:01.328]  The internet might have gave us a lead or a tip, but you couldn't trust it.
[00:09:01.509 --> 00:09:09.474]  Well then, it changed and became more mainstream and more trustworthy, but at the same time recognized, data goes up, data goes down.
[00:09:09.494 --> 00:09:11.155]  A lot of things all of a sudden are gone.
[00:09:11.616 --> 00:09:13.617]  Things you were referencing to people, they're gone.
[00:09:14.157 --> 00:09:16.439]  And this is why we've always printed out the paper.
[00:09:16.679 --> 00:09:23.043]  And when you do that, and you retain it, and then you start to string it together in a reasonable, coherent form... Stay there.
[00:09:23.063 --> 00:09:24.645]  We're going to come back to the full audience right now.
[00:09:24.685 --> 00:09:25.045]  Continue.
[00:09:26.357 --> 00:09:28.759]  Alex Jones on the GCN Radio Network.
[00:09:32.221 --> 00:09:51.114]  Dr. Magich is giving us a general lecture on some of the history of the Internet, how it gave rise to a huge researching community, how now the government doesn't want to declassify anything because that information can now be shared and actually damage them, whether they could declassify 20 years ago evidence about staging Gulf of Tonkin.
[00:09:52.213 --> 00:09:53.034]  Nobody could share it.
[00:09:53.934 --> 00:09:58.477]  You had a few little research communities that knew about it and they could never get on television or the radio.
[00:09:58.597 --> 00:09:59.797]  Now that's all been shattered.
[00:10:00.078 --> 00:10:01.478]  They have to shut down the web.
[00:10:01.979 --> 00:10:04.060]  Dr. Begich, I don't see any choice.
[00:10:04.100 --> 00:10:06.061]  They've tried to put out a bunch of background shatter.
[00:10:06.441 --> 00:10:10.764]  The Pentagon's admitted for the last five years they're engaging in propaganda in the U.S.
[00:10:10.804 --> 00:10:13.906]  and worldwide, quote, countering disinfo on the web.
[00:10:13.926 --> 00:10:19.229]  Now Wikipedia engages in all sorts of lies and disinfo.
[00:10:20.349 --> 00:10:22.511]  And is now very disreputable.
[00:10:22.551 --> 00:10:25.053]  I mean, a few years ago they were a little bit better, but still questionable.
[00:10:26.154 --> 00:10:39.243]  So we're just seeing a lot of dirty tricks, but now they're saying, look, we're just going to not let you have free access to the web, and we're going to block out millions of websites and only let you go to a few thousand corporate sites, which sounds like a lot of choices, but really isn't.
[00:10:39.783 --> 00:10:40.324]  Dr. Begich?
[00:10:41.044 --> 00:10:43.526]  This is exactly the wrong direction.
[00:10:43.586 --> 00:10:48.830]  And you know, when you look at telecommunications law and sort of how it's evolved, it's really, you know, once again,
[00:10:49.668 --> 00:10:54.590]  You can't look at any of these things in a vacuum, and I know you and your audience don't do that.
[00:10:54.650 --> 00:11:03.113]  You look at the whole picture and you start to see a very finely woven carpet that works against the average person, works against individual sovereignty.
[00:11:03.193 --> 00:11:07.174]  And the Internet represents individual sovereignty in the 21st century.
[00:11:07.234 --> 00:11:16.177]  Our technologies of this century have the potential to enslave us, or absolutely free us, just among some incredible possibilities.
[00:11:16.597 --> 00:11:20.982]  The kind of possibilities that I think were envisioned a couple hundred years ago by our founding fathers.
[00:11:21.002 --> 00:11:21.983]  I'm glad you always make that point.
[00:11:22.824 --> 00:11:26.188]  I'm glad you always make that point under baggage because it isn't just that we don't want tyranny.
[00:11:26.768 --> 00:11:31.934]  No, we want all the incredible unimaginable dividends of true liberty.
[00:11:32.594 --> 00:11:33.836]  Go back to your founding father comment.
[00:11:34.281 --> 00:11:43.926]  Well, you know, and when you look back on that, you know, it was about being creative, being an individual, being able to take to your highest potentials with a government that didn't interfere with that.
[00:11:44.447 --> 00:11:45.587]  In fact, supported that.
[00:11:45.947 --> 00:11:47.248]  Supported that possibility.
[00:11:47.328 --> 00:11:49.950]  And the government we've got today works against us.
[00:11:50.010 --> 00:11:52.471]  It comes at us in a way that never before.
[00:11:53.261 --> 00:12:05.730]  In the history of this country, have we lived through a period such as this where people are really asleep at the switch in a lot of ways, mostly because we're all fatigued, you know, where everybody's working a couple of jobs trying to stay ahead.
[00:12:06.471 --> 00:12:12.695]  And the reality is, that is the first step in what has reshaped so much of what's around us.
[00:12:12.775 --> 00:12:17.559]  And when you look at the technologies that are available to us, the internet, where we're starting this conversation today,
[00:12:18.254 --> 00:12:19.615]  You know, what have we gotten from that?
[00:12:19.675 --> 00:12:26.239]  Well, a community that actually can communicate in the scientific world, not through the controls of that world.
[00:12:26.279 --> 00:12:27.800]  You know, science is controlled as well.
[00:12:27.820 --> 00:12:36.825]  A lot of people don't realize it, but it's the academic institutions that become the switching center for what gets validated and what gets set on the shelf until 50 years later.
