[00:00:00.009 --> 00:00:01.290]  We're good.
[00:00:25.220 --> 00:00:26.541]  We're live, my friends.
[00:00:26.541 --> 00:00:35.685]  I am chomping at the bit to expose the ongoing criminal activities of the global crime system known as the New World Order.
[00:00:35.685 --> 00:00:36.106]  Welcome.
[00:00:36.106 --> 00:00:38.287]  It is the 12th day of May, 2008.
[00:00:38.287 --> 00:00:44.770]  We're going to be live here for the next four hours, Monday through Friday, 11 a.m.
[00:00:44.770 --> 00:00:45.390]  to 3 p.m.
[00:00:45.390 --> 00:00:49.453]  Central Standard Time, retransmitted on the network from 9 p.m.
[00:00:49.453 --> 00:00:49.873]  to 1 a.m.
[00:00:56.098 --> 00:01:07.890]  We have a ton of vital information that we're going to be covering today for you.
[00:01:07.890 --> 00:01:12.875]  Let me go ahead and just launch into some of it that I have here in front of me.
[00:01:12.875 --> 00:01:15.178]  First off, I got a call yesterday
[00:01:16.078 --> 00:01:29.427]  By an individual living in East Texas whose friend is a young associate pastor and is about to graduate with his doctorate from a local Bible college.
[00:01:29.427 --> 00:01:37.552]  They had a group of Boy Scouts come into the office, into the college.
[00:01:40.481 --> 00:01:45.885]  When they came in to the school, he didn't even give them an anti-New World Order speech.
[00:01:45.885 --> 00:02:02.659]  He just taught them Declaration of Independence, Bill of Rights, Constitution, just gave a speech on the subject, and one of the people that brought the students in recorded it being Homeland Security trained, knowing that you don't talk about the Bill of Rights, Constitution, Declaration of Independence.
[00:02:02.659 --> 00:02:04.541]  We have Homeland Security training videos.
[00:02:05.041 --> 00:02:11.943]  FEMA training videos where they say that that's illegal and unlawful and not to be discussed in a terrorist document.
[00:02:11.943 --> 00:02:15.864]  By the way, this is not Monty Python satire.
[00:02:15.864 --> 00:02:17.345]  This is not a joke.
[00:02:17.345 --> 00:02:18.845]  This is not a game.
[00:02:18.845 --> 00:02:20.946]  This is not a drill.
[00:02:20.946 --> 00:02:23.887]  We've been documenting this since before 9-11.
[00:02:23.887 --> 00:02:30.889]  And so the person recorded him saying this and Homeland Security was waiting for him with the head of the school
[00:02:31.784 --> 00:02:39.352]  And the guy was in a black suit wearing sunglasses and said, you could be arrested for inciting terrorism.
[00:02:39.352 --> 00:02:48.362]  Now the individual, I don't want to say is scared to come on, but says they don't want to give the school a bad name and they just want to have the mission of saving souls.
[00:02:48.362 --> 00:02:53.307]  But they admit that, well, if they don't go on air, this is a great tyranny to the country.
[00:02:54.048 --> 00:02:59.753]  I know we won't even have any freedom in this nation, much less First Amendment religious freedom, but this type of stuff continues.
[00:02:59.753 --> 00:03:06.258]  Now, I have training manuals, I have government documents, I have video of this, and we're going to write a story and post all of this.
[00:03:06.258 --> 00:03:18.808]  We also know that 26,000 preachers have been recruited to train their flocks, to hand in their guns, go to FEMA camps, let their families be broken up, go to work labor facilities.
[00:03:18.808 --> 00:03:23.392]  I told you this, of course, a year and a half before, gave you secret documents, and now it's on the news.
[00:03:24.159 --> 00:03:35.564]  I mean, just think of the magnitude of this, and how on its face it is hyper-classical tyranny out of Soviet Russia or Nazi Germany.
[00:03:35.564 --> 00:03:41.707]  I mean, this is so off the charts that it's so amazing that it's going on.
[00:03:41.707 --> 00:03:48.810]  But I will have one of the individuals on the show, maybe both, coming up in about 25 minutes.
[00:03:54.941 --> 00:03:58.722]  So, that will be coming up today.
[00:03:58.722 --> 00:04:08.765]  Now, understand, the police and military and all government minions, they swear an oath to protect, defend, uphold the Constitution against all enemies, foreign and domestic.
[00:04:08.765 --> 00:04:18.207]  But I have FEMA on video teaching police in, of course, Kansas City.
[00:04:18.207 --> 00:04:23.449]  I was also shown video of it being done in Austin, Texas, at an event.
[00:04:24.176 --> 00:04:25.377]  That was six years ago.
[00:04:25.377 --> 00:04:29.979]  The folks that showed me the video at the time agreed with Homeland Security and wouldn't let me use it.
[00:04:29.979 --> 00:04:30.960]  Now they've kind of woken up.
[00:04:30.960 --> 00:04:34.882]  I need to call them back and see if they'll let me use the video now.
[00:04:34.882 --> 00:04:36.283]  But what's even the point?
[00:04:36.283 --> 00:04:41.325]  Yeah, they said, yeah, you can watch the video, but you can't play the video.
[00:04:41.325 --> 00:04:43.606]  Saying that... I forgot.
[00:04:43.606 --> 00:04:45.267]  I need to call them and get that video.
[00:04:45.267 --> 00:04:46.468]  I think now they've woken up.
[00:04:46.468 --> 00:04:48.909]  They realize it's not good.
[00:04:48.909 --> 00:04:49.590]  We'll be right back.
[00:04:49.590 --> 00:04:49.970]  Stay with us.
[00:04:54.355 --> 00:04:55.776]  It is a big idea.
[00:04:55.776 --> 00:04:58.579]  A New World Order.
[00:04:58.579 --> 00:05:03.042]  In the near future, Earth is dominated by a powerful world government.
[00:05:03.042 --> 00:05:06.325]  It's known as the Bilderberg Group.
[00:05:06.325 --> 00:05:09.107]  Could their objective be world domination?
[00:05:09.107 --> 00:05:12.290]  For thousands of years, their dark order grew.
[00:05:12.290 --> 00:05:19.616]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:22.625 --> 00:05:28.069]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:28.069 --> 00:05:31.951]  You will learn the secret that drives the entire New World Order agenda.
[00:05:31.951 --> 00:05:34.513]  Builderburg is making great progress toward a world government.
[00:05:34.513 --> 00:05:35.674]  Most people have no idea.
[00:05:35.674 --> 00:05:36.474]  They're not after money.
[00:05:36.474 --> 00:05:37.735]  They have all the money they need.
[00:05:37.735 --> 00:05:38.716]  They're after power.
[00:05:38.716 --> 00:05:39.877]  That's their aphrodisiac.
[00:05:39.877 --> 00:05:44.640]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
