[00:00:13.122 --> 00:00:14.462]  He stands for truth.
[00:00:15.883 --> 00:00:17.704]  He stands for justice.
[00:00:19.105 --> 00:00:20.686]  He stands for what's right.
[00:00:21.046 --> 00:00:23.867]  This is the Alex Jones Show.
[00:00:24.868 --> 00:00:27.689]  Call Alex now, toll free at 877-590-5525.
[00:00:33.226 --> 00:00:37.867]  Now live from Austin, Texas, here's Alex Jones.
[00:00:45.448 --> 00:00:47.329]  Welcome ladies and gentlemen, welcome.
[00:00:47.429 --> 00:00:50.529]  It is already the 13th day of January 2008.
[00:00:50.649 --> 00:00:55.670]  It's still taking some getting used to.
[00:00:56.250 --> 00:00:58.611]  Big broadcast lined up for you today.
[00:00:59.585 --> 00:01:06.467]  Coming up for most of the second hour, joining us from Tokyo, Japan, will be Forbes writer Benjamin Colford.
[00:01:07.548 --> 00:01:18.011]  He left Forbes voluntarily about a year ago, and they wouldn't let him publish different reports about a global group of Asian mafia, or basically the Triads.
[00:01:18.604 --> 00:01:25.866]  Reportedly at war with Western Mafia, the highest levels of our governments.
[00:01:25.926 --> 00:01:28.727]  And so I interviewed him Friday for about 30 minutes.
[00:01:28.747 --> 00:01:31.868]  We had so much news going on that I said I wanted to bring him back.
[00:01:31.928 --> 00:01:36.390]  And undoubtedly later this week I'm going to have him back during the weekday show for a part three.
[00:01:36.410 --> 00:01:42.192]  Because there are some guests where they just have so much information that coincides, though, with a lot of news we're covering.
[00:01:42.532 --> 00:01:46.313]  So we have to partition them off and break the interviews into several pieces.
[00:01:48.130 --> 00:01:50.471]  I had Dennis Kucinich on Friday.
[00:01:50.491 --> 00:01:52.692]  In fact, these people wanted him to be back on the day.
[00:01:52.712 --> 00:01:53.372]  They were flattered.
[00:01:53.392 --> 00:01:54.272]  They got a big response.
[00:01:54.852 --> 00:01:56.193]  But we're going to have him on later this week.
[00:01:56.293 --> 00:01:59.614]  He wanted to talk more about the recount he's launched in New Hampshire.
[00:01:59.654 --> 00:02:03.895]  We'll give you the details of that, questioning the vote there.
[00:02:04.878 --> 00:02:06.359]  I think we're good to go.
[00:02:06.379 --> 00:02:06.999]  I think we're good to go.
[00:02:35.086 --> 00:02:35.766]  We're good to go.
[00:03:04.813 --> 00:03:06.333]  Put out a statement on that.
[00:03:06.393 --> 00:03:09.154]  It's at prisonplanet.com and infowars.com.
[00:03:09.194 --> 00:03:12.594]  It's obviously at the presidential website, ronpaul2008.com.
[00:03:13.135 --> 00:03:20.456]  He's saying they can't prove that there was election fraud in New Hampshire, though he said Friday in a statement that he wouldn't put it past people to do it.
[00:03:21.436 --> 00:03:25.777]  Folks in Ohio just went to prison for stealing the votes for Bush in 2004.
[00:03:26.217 --> 00:03:27.417]  Not that I was for Kerry either.
