[00:00:00.009 --> 00:00:04.090]  You are listening to GCN, the Genesis Communications Radio Network.
[00:00:32.517 --> 00:00:35.159]  For RNUSA Radio News, I'm Joey Jordan.
[00:00:35.159 --> 00:00:39.321]  Georgian troops are pulling out of the breakaway province of South Ossetia.
[00:00:39.321 --> 00:00:44.745]  Its forces overwhelmed by Russian firepower, Georgia's government is pressing for a truce.
[00:00:44.745 --> 00:00:46.846]  James Shear is a Russia analyst.
[00:00:46.846 --> 00:00:58.314]  Russia is now particularly determined to demonstrate what it has always stated, that Russia and Russia alone is the guarantor of stability and security in the region.
[00:00:58.314 --> 00:01:01.856]  And President Bush is appealing to Russia to halt its attacks on Georgia.
[00:01:02.236 --> 00:01:11.865]  White House Press Secretary Dana Perino says Bush has spoken with Russia's Vladimir Putin twice, but would not comment on reports of a testy exchange between the men.
[00:01:11.865 --> 00:01:21.934]  President Bush has worked hard to establish with leaders from Russia or from China and other places where we have complex relationships, a relationship based on trust.
[00:01:21.934 --> 00:01:25.678]  And because of that, they are able to speak very candidly with one another and very honestly.
[00:01:25.678 --> 00:01:27.820]  This is IRN USA Radio News.
[00:01:29.193 --> 00:01:33.416]  You can make extra money working from home with the 3-Step Plan Home Business System.
[00:01:33.416 --> 00:01:38.821]  Hi, my name is Patty Messer and I've been using Andy Willoughby's 3-Step Plan for the last three years.
[00:01:38.821 --> 00:01:40.582]  Hi, how in the world are you anyway?
[00:01:40.582 --> 00:01:42.063]  This is Andy Willoughby.
[00:01:42.063 --> 00:01:45.146]  The 3-Step Plan was designed to help you add to your income.
[00:01:47.286 --> 00:01:54.272]  I was a retired teacher and this was a wonderful way to stay home, be with my family and still build that residual income each month.
[00:01:54.272 --> 00:01:56.353]  Most of our people work in their spare time.
[00:01:56.353 --> 00:02:02.198]  Many have built their businesses to a full-time income and are able to make more money than they could earn at a regular job.
[00:02:02.498 --> 00:02:04.019]  I don't have to leave my house.
[00:02:04.019 --> 00:02:07.781]  I don't have to pay $3.99 to $4.50 for a gallon of gas.
[00:02:07.781 --> 00:02:12.824]  I have a special needs child and if I need to drop everything and go take care of her, I have that luxury.
[00:02:12.824 --> 00:02:16.687]  After five years, the 3-Step Plan is a proven success story.
[00:02:16.687 --> 00:02:21.169]  If you're tired of worrying about money all the time, go to 3stepplan.com or call 800-480-2102.
[00:02:21.169 --> 00:02:21.209]  800-480-2102.
[00:02:29.426 --> 00:02:34.321]  President Bush is pressing his Olympic hosts to permit a greater political and religious freedom.
[00:02:34.972 --> 00:02:41.517]  Bush worshipped at a Beijing church today and declared China has nothing to fear from expressions of faith.
[00:02:41.517 --> 00:02:45.961]  Later, he met with Chinese leaders and again voiced his concerns.
[00:02:45.961 --> 00:02:49.263]  He also passed on enjoyment of the opening ceremonies.
[00:02:49.263 --> 00:02:52.606]  I congratulate you on the opening ceremony.
[00:02:52.606 --> 00:02:58.710]  I'm not sure what it looked like on TV, but I can tell you what it looked like in person.
[00:02:59.691 --> 00:03:00.732]  Spectacular.
[00:03:00.732 --> 00:03:08.518]  And Iraq's foreign minister says negotiations are on the brink of reaching a long-term security pact with the U.S.
[00:03:08.518 --> 00:03:09.498]  Here's Robert Reid.
[00:03:09.498 --> 00:03:15.603]  The Iraqis are insisting on inclusion of a clear timeline for the withdrawal of American forces.
[00:03:15.603 --> 00:03:23.309]  Also, he says, the main sticking points have been over the authorization of military operations and sovereignty issues.
[00:03:23.309 --> 00:03:26.851]  For more news and analysis, log on to IRNnews.com.
[00:03:29.105 --> 00:03:30.325]  You're finally there.
[00:03:30.325 --> 00:03:33.086]  You've taken your idea and turned it into a reality.
[00:03:33.086 --> 00:03:34.347]  You're starting a business.
[00:03:34.347 --> 00:03:41.369]  When it comes to setting up your limited liability company, S-Corporation or C-Corporation, make sure you go to people you can trust.
[00:03:41.369 --> 00:03:42.750]  Inkfile.com.
[00:03:42.750 --> 00:03:50.413]  Inkfile is how more than 30,000 people just like yourself protect their investment, with plans starting at just $49, plus state filing fees.
[00:03:50.413 --> 00:03:56.795]  For a limited time, use promo code RADIO and receive a $25 discount only at Inkfile.com.
[00:03:59.480 --> 00:04:09.141]  With one gold medal already in his possession, Michael Phelps remains on track early in his quest to beat Mark Spitz's record of seven gold medals in one Olympics.
[00:04:10.006 --> 00:04:11.107]  Here's Jim Bell.
[00:04:11.107 --> 00:04:20.035]  A little more than nine hours after winning gold in the 400-meter individual medley, Michael Phelps was back in the pool at the Water Cube for the preliminaries of the 200-meter freestyle.
[00:04:20.035 --> 00:04:27.602]  He never led in his heat, and his time of 1 minute 46.48 seconds was well off the record he set at last year's World Championships.
[00:04:27.602 --> 00:04:31.425]  It was just the fourth fastest time overall, but there's a reason for that.
[00:04:31.425 --> 00:04:34.268]  Tonight was just a race again tomorrow.
[00:04:35.008 --> 00:04:35.868]  That's all I try to do.
[00:04:35.868 --> 00:04:37.269]  I just try to conserve everything.
[00:04:37.269 --> 00:04:41.210]  Phelps is joined in the semifinals by fellow American Peter Vanderkay.
[00:04:41.210 --> 00:04:42.711]  Jim Bell, Beijing.
[00:04:42.711 --> 00:04:50.494]  And China has tightened security and volleyball players have rallied around their coach after the shocking murder of an American in Beijing.
[00:04:51.283 --> 00:04:52.924]  Here's Warren Levinson.
[00:04:52.924 --> 00:04:53.945]  The day after U.S.
[00:04:53.945 --> 00:05:01.390]  men's volleyball coach Hugh McCutcheon's father-in-law, Todd Bachman, was stabbed to death there, Chinese authorities closed the historic drum tower for the day.
[00:05:01.390 --> 00:05:06.133]  Someone left a spray of lilies and chrysanthemums, traditional Chinese flowers of mourning.
[00:05:06.133 --> 00:05:10.476]  McCutcheon was not on the bench for the team's opening win against Venezuela, Captain Thomas Hoff.
[00:05:10.476 --> 00:05:15.900]  It's very hard to continue on, but obviously our first and foremost thoughts and prayers are
[00:05:16.622 --> 00:05:17.584]  ...are with their family.
[00:05:17.584 --> 00:05:22.651]  The coach's mother-in-law, Barbara Bachman, remains in the hospital in critical but stable condition.
[00:05:22.651 --> 00:05:23.992]  Warren Levinson, Beijing.
[00:05:23.992 --> 00:05:27.758]  I'm Jody Jordan, and that's news from the Information Radio Network.
