[00:00:00.752 --> 00:00:02.493]  Government cover-ups.
[00:00:02.493 --> 00:00:04.074]  You want answers?
[00:00:04.074 --> 00:00:04.995]  Well, so does he.
[00:00:04.995 --> 00:00:09.838]  He's Alex Jones on the GCN Radio Network.
[00:00:09.838 --> 00:00:18.103]  And now, live from Austin, Texas, Alex Jones.
[00:00:18.103 --> 00:00:20.404]  Welcome, ladies and gentlemen, welcome.
[00:00:20.404 --> 00:00:22.546]  It is the 20th day of June, 2008.
[00:00:22.546 --> 00:00:25.768]  Summer is just flying by.
[00:00:25.768 --> 00:00:27.609]  I am not Alex Jones, however Alex
[00:00:28.737 --> 00:00:31.098]  We'll be back in town this weekend.
[00:00:31.098 --> 00:00:34.259]  He will be doing his Sunday show in the fourth hour today.
[00:00:34.259 --> 00:00:39.601]  We're going to be replaying his interviews with Dennis Kucinich and Ralph Nader.
[00:00:39.601 --> 00:00:49.625]  And really, I just want to recap this week and make sure that things do not fall under the radar, especially the Mark Dice situation.
[00:00:49.625 --> 00:00:56.388]  I feel like we need to keep pressing on Michael Reagan and YouTube, just like we talked about yesterday.
[00:00:56.388 --> 00:00:57.408]  I'd really like to talk
[00:00:58.200 --> 00:01:27.065]  about this upcoming BBC special this hit piece I guarantee it folks the conspiracy files so far I can assess that the government spokespeople or the experts as they will be called will be Richard Clark Lizzo, Martin Lizzo that is if you don't know who Lizzo is he is the head of Control Demolition Incorporated a family-run business with heavy ties to the defense industry they cleaned up both Oklahoma City
[00:01:27.648 --> 00:01:29.709]  And the World Trade Center.
[00:01:29.709 --> 00:01:32.430]  Yeah, no conflicts of interest there.
[00:01:32.430 --> 00:01:33.111]  I know.
[00:01:33.111 --> 00:01:34.972]  Controlled demolition, just, they're innocent.
[00:01:34.972 --> 00:01:37.173]  They're, come on, they helped cover it up.
[00:01:37.173 --> 00:01:39.574]  That's why it's a family-run business, you know?
[00:01:39.574 --> 00:01:44.876]  He obviously has to sign papers in which, you know, he's not allowed to divulge certain things.
[00:01:44.876 --> 00:01:47.738]  When you work with the military, you sign away all your rights.
[00:01:47.738 --> 00:01:49.899]  The military owns you.
[00:01:49.899 --> 00:01:51.519]  Okay?
[00:01:51.519 --> 00:01:53.360]  Especially if you join them.
[00:01:53.360 --> 00:01:54.641]  There is some new news out there.
[00:01:55.416 --> 00:02:00.540]  I want to talk about McClellan doubts Bush knew about the CIA leak, which is possible, I guess.
[00:02:00.540 --> 00:02:03.663]  He wouldn't give the same reassurances about Cheney.
[00:02:03.663 --> 00:02:09.388]  Obviously, Cheney was one of the architects of leaking Valerie Plame's name along with Scooter Libby.
[00:02:09.388 --> 00:02:12.991]  It doesn't even matter that Scooter Libby gets convicted, you know?
[00:02:12.991 --> 00:02:14.832]  He doesn't really have to serve time.
[00:02:14.832 --> 00:02:16.754]  He gets his sentence commuted.
[00:02:16.754 --> 00:02:20.657]  It's really the first time somebody was pardoned, really.
[00:02:20.657 --> 00:02:21.638]  It was really a pardoning.
[00:02:21.909 --> 00:02:25.411]  Because he will be pardoned before Bush left office.
[00:02:25.411 --> 00:02:30.555]  He just commuted his sentence.
[00:02:30.555 --> 00:02:40.262]  Pretty unbelievable stuff, but yet it happens every day and the waking masses still seem to be asleep on a lot of fronts, unfortunately.
[00:02:40.262 --> 00:02:45.145]  And that's why it's our job to get out there and spread this message.
[00:02:45.145 --> 00:02:50.449]  And coming to the InfoWar on the 4th of July, Independence Day, I'm looking forward to it.
[00:02:50.782 --> 00:02:52.543]  I am looking forward to the 4th of July this year.
[00:02:52.543 --> 00:02:58.727]  I will be in Austin, Texas, but, you know, maybe Austin can show me a good time on the 4th of July.
[00:02:58.727 --> 00:03:18.498]  Anyway, 9-11 Chronicles will be out, so if you're done partying it up, you've already done the barbecue thing, you've done the family thing, you saw the fireworks, you come back and you had started downloading the 9-11 Chronicles Truth Rising, you can sit down and watch it on your computer with your PrisonPlanet.tv membership
[00:03:19.062 --> 00:03:22.623]  And probably get it before anybody else.
[00:03:22.623 --> 00:03:24.724]  It's a fantastic film.
[00:03:24.724 --> 00:03:30.846]  It's got confrontations with some of the highest levels of the global elitist, as well as many of their minions.
[00:03:30.846 --> 00:03:34.588]  You know, Zygmunt Brzezinski, Trilateral Commission.
[00:03:34.588 --> 00:03:37.169]  He's Obama's advisor at this point, folks.
[00:03:37.169 --> 00:03:38.609]  You better keep an eye on him.
[00:03:38.609 --> 00:03:40.210]  Authored the Grand Chess Board.
[00:03:40.210 --> 00:03:43.331]  Helped create radical Islamism.
[00:03:43.331 --> 00:03:44.732]  That's right.
[00:03:44.732 --> 00:03:45.332]  Mujahideen.
[00:03:46.604 --> 00:03:48.105]  Into Al-Qaeda, that's the guy.
[00:03:48.105 --> 00:03:54.167]  Just type in Brzezinski and Al-Qaeda or just, even if you type in Brzezinski, you'll probably find it.
[00:03:54.167 --> 00:03:58.868]  But there's this great, and I think they put it in Truth Rising, I know it's in my film, very briefly.
[00:03:58.868 --> 00:04:05.050]  But it's him in the 70s with a bunch of guns and Muslims radicalize them against the Soviets.
[00:04:05.050 --> 00:04:10.912]  And everybody goes, oh well, we needed to, we needed to help them because the Soviets were the enemy.
[00:04:10.912 --> 00:04:13.253]  Well, we had actually pre-positioned ourselves
[00:04:13.868 --> 00:04:35.884]  to attack the soviets and uh... that happened before the soviets invaded we wanted we'll never hear that in mainstream media the fable you know it's just like they don't want to cover uh... dolphin talking what really happened there are these false flag attack innocent intrusion of vietnam i'm gonna take colors in the next couple of segments it's the alex jones showing for wars dot com prison planet dot com
[00:04:53.379 --> 00:04:55.361]  Our beloved Republic is on her knees.
[00:04:55.361 --> 00:04:58.965]  The forces of globalism are destroying national sovereignty worldwide.
[00:04:58.965 --> 00:05:00.828]  But in Liberty's darkest hour, there is hope.
[00:05:00.828 --> 00:05:04.472]  For the first time in modern history, the people are beginning to wake up.
[00:05:04.472 --> 00:05:10.218]  It is essential that Patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:05:10.218 --> 00:05:14.123]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:05:14.443 --> 00:05:19.626]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:05:19.626 --> 00:05:22.688]  PrisonPlanet.tv is a vault of forbidden information.
[00:05:22.688 --> 00:05:29.913]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:05:29.913 --> 00:05:35.897]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:05:35.897 --> 00:05:40.400]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[00:05:40.700 --> 00:05:43.565]  The Info War is waiting for you to set it free.
[00:05:43.565 --> 00:05:45.629]  Join PrisonPlanet.tv.
[00:05:45.629 --> 00:05:47.613]  Burn the info bombs to disk.
[00:05:47.613 --> 00:05:49.757]  Put them on the file sharing networks.
[00:05:49.757 --> 00:05:51.520]  Bring down the New World Order.
[00:05:51.520 --> 00:05:52.281]  PrisonPlanet.tv
[00:05:53.735 --> 00:05:57.256]  More than 700 chemicals have been found in our drinking water.
[00:05:57.256 --> 00:06:02.657]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[00:06:02.657 --> 00:06:07.798]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[00:06:07.798 --> 00:06:18.921]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[00:06:19.321 --> 00:06:25.104]  The KDF dual media shower filter typically last 10,000 gallons or one year, whichever comes first.
[00:06:25.104 --> 00:06:31.368]  Hospitals, restaurants and water treatment facilities use this media to reduce chlorine, iron, heavy metals and bacteria.
[00:06:31.368 --> 00:06:32.408]  What about you?
[00:06:32.408 --> 00:06:34.410]  Order your KDF shower filter normally.
