[00:00:00.289 --> 00:00:00.950]  I don't know.
[00:00:31.846 --> 00:00:35.158]  Alright folks, we're back.
[00:00:36.463 --> 00:00:37.668]  It's the Alex Jones Show.
[00:00:39.278 --> 00:00:43.740]  Those joining us at PrisonPlanet.tv on the live video feed, I just want to thank you.
[00:00:43.980 --> 00:00:48.342]  If you missed any of the previous three hours, we covered a lot, folks.
[00:00:48.382 --> 00:00:52.663]  We had Kevin Titus, who worked over at the Governor's Mansion in Austin, Texas.
[00:00:52.964 --> 00:00:55.945]  We had Barbara Lowe Fisher, the National Vaccine Information Center.
[00:00:56.225 --> 00:00:58.526]  We had Mark Dice of The Resistance.
[00:00:58.946 --> 00:01:05.509]  And we also had Jonathan of We Are Change Colorado, who posted a lot of great videos about the black helicopter ops.
[00:01:06.414 --> 00:01:10.215]  The Urban Warfare drills that are going on in Colorado.
[00:01:10.255 --> 00:01:26.880]  And right now we have Michael Markovich, I hope I'm pronouncing his last name correctly, who was arrested for using his First Amendment outside of Philadelphia, right by the Liberty Bell, and recently convicted of preaching on a sidewalk near the Liberty Bell.
[00:01:27.101 --> 00:01:28.261]  Mr. Markovich, are you with us?
[00:01:28.894 --> 00:01:29.534]  Yes, I am.
[00:01:29.834 --> 00:01:31.155]  Thanks for having me on the program.
[00:01:31.175 --> 00:01:31.695]  I appreciate it.
[00:01:31.775 --> 00:01:34.096]  Well, thanks for coming on the program.
[00:01:34.456 --> 00:01:40.518]  A breakdown for the listeners, what you were doing when you were initially arrested and how this process took place.
[00:01:41.719 --> 00:01:43.900]  Well, I travel to a lot of public venues.
[00:01:44.160 --> 00:01:49.302]  I've been on Alex's program before and we talked about the RNC Convention in New York City.
[00:01:50.402 --> 00:01:57.485]  Everyone come down, put down on Pier 57 with the free speech areas that are being established more and more.
[00:01:58.212 --> 00:02:12.053]  And here at the Liberty Bell Center in Philadelphia, at Independence Hall, they've established what they call a free speech area, or a free speech zone, in which you also need to get a permit to even engage in activities there.
[00:02:12.657 --> 00:02:16.741]  And I was on the public sidewalk which aligns 6th Street in Philadelphia.
[00:02:17.001 --> 00:02:21.345]  Now they built a new center, it's called the Liberty Bell Center, and that's alongside the sidewalk.
[00:02:21.765 --> 00:02:34.797]  And I was standing on that sidewalk speaking to people waiting in line about the important message that's written right on the Liberty Bell, which is from the Book of Leviticus, which is proclaim liberty throughout the land and all the inhabitants thereof.
[00:02:35.438 --> 00:02:48.643]  So as I was speaking to Passerby about abortion in our country and how it's very grievous that this is continuing and about everyone's need to come to know God through Jesus Christ, I'm an evangelist, that's what I do.
[00:02:48.683 --> 00:02:53.245]  I go out to the public square and I declare this message of repentance and the need for a Savior.
[00:02:53.985 --> 00:03:04.069]  And as I was standing on that sidewalk outside the Liberty Bell Center, I was told to go over there and the ranger motioned where I was to go, which was on the other side of the building.
[00:03:05.018 --> 00:03:07.178]  Um, away from the people I was trying to reach.
[00:03:07.699 --> 00:03:09.139]  And this is on a public sidewalk.
[00:03:09.179 --> 00:03:10.199]  It's open to the public.
[00:03:10.319 --> 00:03:11.399]  It's not shut down.
[00:03:11.859 --> 00:03:15.480]  There are other people there that are engaged in, uh, activities.
[00:03:16.240 --> 00:03:20.541]  And I was prohibited from continuing, um, with my message.
[00:03:21.521 --> 00:03:28.382]  So I ultimately had been, uh, cited for violating the terms and conditions of a permit.
[00:03:28.522 --> 00:03:32.883]  A permit in which I never accepted, uh, but it was pushed upon me.
[00:03:33.610 --> 00:03:39.032]  And this permit was basically a verbal permit, and I was told to go to this free speech area.
[00:03:39.812 --> 00:03:41.213]  So, that's what happened.
[00:03:41.293 --> 00:03:48.675]  I tried to reason with these park rangers, asking them to please speak with our legal counsel before they start instituting this.
[00:03:49.456 --> 00:03:58.419]  In fact, the chief ranger that oversees the area down there said that that was a new policy that was just rolled out, and it had not made it to the rangers in the field yet.
[00:03:58.439 --> 00:04:01.680]  This is what had been testified to during the criminal trial.
[00:04:02.239 --> 00:04:06.382]  But I had been charged first with violating the terms and conditions of a permit.
[00:04:06.482 --> 00:04:08.223]  Now, this was a permit I never accepted.
[00:04:09.424 --> 00:04:12.366]  And also, and that was for not going to the free speech zone.
[00:04:13.266 --> 00:04:17.369]  The second charge I got in the mail six months later via certified mail.
[00:04:17.989 --> 00:04:25.514]  And this was a violation of the Code of Federal Regulations, like the permitting issue.
[00:04:26.246 --> 00:04:36.090]  But this one cited that I was interfering with agency functions by standing there and speaking to the people on messages on various topics.
[00:04:36.851 --> 00:04:41.893]  So that's what happened, and ultimately I was put on trial and convicted on those two counts.
[00:04:42.293 --> 00:04:45.675]  Well, I want to get into the trial, I want to get into the conviction on the other side.
[00:04:46.115 --> 00:04:47.315]  It's the Alex Jones Show.
[00:04:47.355 --> 00:04:49.596]  Infowars.com, PrisonPlanet.com.
[00:04:50.137 --> 00:04:50.897]  We'll be back after this.
[00:05:03.451 --> 00:05:16.158]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:05:16.578 --> 00:05:20.400]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation.
[00:05:20.760 --> 00:05:27.265]  In which family members receive answers to their questions and the true perpetrators of this horrendous crime are brought to justice.
[00:05:27.646 --> 00:05:30.828]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:05:31.069 --> 00:05:38.555]  From hijackers being trained at US military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:05:38.955 --> 00:05:44.159]  Secure your copy of Loose Change Final Cut today at InfoWars.com or PrisonPlanet.com.
[00:05:44.359 --> 00:05:47.542]  While you're visiting the online video store, be sure to check out the huge
[00:05:47.662 --> 00:05:48.002]  I'm good.
[00:06:03.439 --> 00:06:12.182]  More than 700 chemicals have been found in our drinking water, and did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[00:06:12.362 --> 00:06:17.144]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[00:06:17.524 --> 00:06:28.628]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
