[00:00:04.508 --> 00:00:05.809]  He stands for truth.
[00:00:05.829 --> 00:00:06.970]  He stands for justice.
[00:00:06.990 --> 00:00:08.291]  He stands for what's right.
[00:00:08.331 --> 00:00:09.792]  This is the Alex Jones Show.
[00:00:09.812 --> 00:00:12.654]  Call Alex now, toll free at 877-590-R525.
[00:00:12.674 --> 00:00:18.098]  Now live from Austin, Texas.
[00:00:34.790 --> 00:00:41.255]  Yes, Alex Jones.
[00:00:43.496 --> 00:00:45.277]  Alright folks, we're live.
[00:00:45.297 --> 00:00:48.960]  It is January 6, 2008.
[00:00:49.540 --> 00:00:54.123]  That's going to take some getting used to.
[00:00:54.143 --> 00:00:58.106]  My first live Sunday show since the new year.
[00:00:58.126 --> 00:01:01.929]  I interviewed Congressman Ron Paul.
[00:01:02.774 --> 00:01:11.942]  For the 50-and-something time over the years this Friday, and we're going to be playing some excerpts of that this evening.
[00:01:13.503 --> 00:01:27.835]  Of course, the big news is he got more than double the amount of votes that the supposed GOP frontrunner got, Rudolph Giuliani in Iowa, on Thursday in the first big primary.
[00:01:30.433 --> 00:01:31.894]  And that's how they operate, because Ron Paul...
[00:01:59.096 --> 00:01:59.236]  I think.
[00:01:59.256 --> 00:01:59.436]  I think.
[00:02:25.378 --> 00:02:28.140]  $20 million and some change.
[00:02:28.160 --> 00:02:30.001]  It's a little bit over $20 million.
[00:02:30.501 --> 00:02:41.888]  In fact, he is neck and neck with Hillary, who was the biggest earner, period, in the last quarter of 2007, and he's set to continue that record.
[00:02:41.928 --> 00:02:43.509]  In fact, he's trying to dwarf that.
[00:02:44.210 --> 00:02:47.932]  Instead of just raising the goal with $12 million, they raised $20 million.
[00:02:48.292 --> 00:02:52.855]  Now their goal is $24 million in this next quarter.
[00:02:53.726 --> 00:02:54.346]  We're good to go.
[00:02:54.366 --> 00:02:54.506]  I think?
[00:03:24.272 --> 00:03:33.238]  His trajectory shows continual growth, and he would no doubt win the Republican nomination and win most of the primaries if he had just a few more months to continue to grow.
[00:03:34.338 --> 00:03:41.643]  The problem is there's also a lot of evidence now of fraud in Iowa coming out, despite the fact that he did get 10.5% of the vote.
[00:03:41.963 --> 00:03:43.364]  Giuliani got 4%.
[00:03:45.265 --> 00:03:48.167]  The evidence and exit polls are looking like he came in second place.
[00:03:48.897 --> 00:03:59.906]  And if you don't believe there isn't cheating in these caucuses when it's wide open to it and witnesses even saw some things going on, I got a bridge I'm happy to show you on the moon or some oceanfront property in Michigan.
