[00:00:03.270 --> 00:00:06.612]  So many children have lead in their blood in Flint, Michigan.
[00:00:06.912 --> 00:00:08.893]  A federal emergency has been declared.
[00:00:08.913 --> 00:00:16.617]  We're going to be speaking with a resident of Flint, Michigan today, Richard Krause, and we're going to learn about how this has affected him as well as his family.
[00:00:17.037 --> 00:00:19.798]  Richard, thank you so much for joining us and sharing your story.
[00:00:19.898 --> 00:00:21.879]  So tell me a little bit about your experience.
[00:00:21.979 --> 00:00:24.840]  When did you first start to notice that something wasn't right?
[00:00:26.081 --> 00:00:27.141]  Well, it was the summer.
[00:00:27.201 --> 00:00:28.262]  My children,
[00:00:28.817 --> 00:00:35.239]  We're coming down with skin rashes and my daughter was coming down with asthma.
[00:00:36.099 --> 00:00:41.021]  And we're a very healthy, athletic family who come from the mountains of Steamboat, Colorado.
[00:00:42.182 --> 00:00:48.584]  And we go to the doctors and they really couldn't tell us what was going on.
[00:00:48.644 --> 00:00:55.766]  And then later in the fall, it comes out that our Flint water is contaminated.
[00:00:56.306 --> 00:00:57.967]  And these are some of the symptoms.
[00:00:58.806 --> 00:01:07.250]  Look for itchy skin, loss of hair, asthma, all these different things that my family has occurred.
[00:01:07.410 --> 00:01:24.117]  My youngest grandson, who's just going to be two this month, January 23rd, has a high level of lead content in his body now because of our great infrastructure of Flint that is crumbling as we speak.
[00:01:26.974 --> 00:01:28.535]  There's been numerous other things.
[00:01:28.615 --> 00:01:37.179]  My wife has epilepsy and it's caused her problems.
[00:01:38.659 --> 00:01:43.361]  Right, because, yeah, the lead is really damaging neurologically.
[00:01:44.102 --> 00:01:44.742]  Exactly.
[00:01:45.422 --> 00:01:46.663]  So all these things.
[00:01:46.723 --> 00:01:55.927]  And me and my wife, the whole time we've lived in Flint for about five years now, have really only drank reverse osmosis water.
[00:01:56.636 --> 00:02:02.599]  Because when we come to this town, we realize that the infrastructure had leaks everywhere you drove around the city.
[00:02:02.619 --> 00:02:05.980]  There's a leak, water running down the street, a leak over here.
[00:02:06.700 --> 00:02:20.887]  And I used to be in infrastructure, and the EPA requires us that do underground work to report and immediately repair any leaks so no bacteria or contaminations can get into the lines.
[00:02:22.027 --> 00:02:26.049]  Well, the city of Flint is claiming that the reason we have lead
[00:02:26.789 --> 00:02:32.671]  It's because of our old houses here, which I agree that is partial of the problem.
[00:02:33.151 --> 00:02:41.313]  Water has been tested with TTHMs and also has given out numerous boil water notices.
[00:02:42.613 --> 00:02:45.434]  And this is all since 2014.
[00:02:45.574 --> 00:02:54.196]  Residents have been complaining of rashes, losses, and this is coming off some documentation of the city here that I'm reading off.
[00:02:55.377 --> 00:02:56.297]  But yet our government
[00:02:56.943 --> 00:03:04.205]  We're two years into this now and they just started realizing in September that there's a problem for two years now?
[00:03:05.005 --> 00:03:13.268]  Right, so how did you feel about that knowing that there were several instances that we're learning about now where they tried to
[00:03:14.676 --> 00:03:29.360]  Defraud, I guess you would say, or debunk the findings of the pediatrician who was taking blood samples from little kids because that's something the state requires for Medicaid, Medicare, is to take those blood samples of children.
[00:03:29.460 --> 00:03:32.660]  So that's how she was able to really build a case for this.
[00:03:32.680 --> 00:03:38.682]  And then we learned that the city at first tried to tell her, well, we've taken our own water samples.
[00:03:38.722 --> 00:03:39.782]  That's not correct.
[00:03:40.662 --> 00:03:42.743]  How infuriating was that to you?
[00:03:43.562 --> 00:03:54.911]  Oh, it's just infuriating, you know, being a patriot behind my country and then realizing that I'm living in a third world America.
[00:03:56.573 --> 00:03:58.574]  They say don't drink the water in Mexico.
[00:03:59.095 --> 00:03:59.755]  Come on now.
[00:04:00.076 --> 00:04:06.501]  We're living in America and we can't drink the water in one of the greatest industrial towns there was at one time.
[00:04:06.900 --> 00:04:07.520]  Absolutely.
[00:04:07.581 --> 00:04:11.203]  And that's one of the big issues is that it's just crumbling infrastructure.
[00:04:11.223 --> 00:04:16.407]  I mean, at least if you go to Mexico, you have those warnings and you know that you have the potential to get sick.
[00:04:16.807 --> 00:04:20.289]  Here, your state officials were coming out telling you everything's fine.
[00:04:20.709 --> 00:04:22.030]  You just need to boil the water.
[00:04:23.191 --> 00:04:29.796]  Meanwhile, one of the main chemicals that they weren't able to stop, it's really awful if you inhale it.
[00:04:29.856 --> 00:04:35.640]  So for instance, if you're taking a nice hot shower in five degree weather, that's when it's incredibly damaging.
[00:04:36.340 --> 00:04:40.103]  So I'm hearing that there are a lot of businesses.
[00:04:40.283 --> 00:04:41.684]  Talk about a crumbling infrastructure.
[00:04:41.944 --> 00:04:43.885]  How is this affecting businesses in that area?
[00:04:43.925 --> 00:04:49.569]  Because I personally wouldn't want to go eat at a restaurant where I wasn't sure if they didn't have, you know, old lead pipes.
[00:04:50.470 --> 00:04:51.871]  Well, it's kind of amazing.
[00:04:51.891 --> 00:04:53.732]  You know, we have Flint Township.
[00:04:53.932 --> 00:05:01.077]  We have Grand Blanc Township, which in our area are classified as the more upper areas of our area.
[00:05:02.318 --> 00:05:03.079]  We all know
[00:05:03.823 --> 00:05:12.151]  Being in the infrastructure business, that the water is distributed amongst all those communities from Flint, and Flint even sells them the water.
[00:05:12.572 --> 00:05:17.917]  And when you go to the restaurants, they're like, oh, we don't have Flint city water, we have Flint township water.
[00:05:18.458 --> 00:05:19.459]  Like that's any different.
[00:05:20.079 --> 00:05:20.259]  Right.
[00:05:20.880 --> 00:05:21.461]  But it's not.
