[00:14:10.250 --> 00:14:11.692]  You, Alex, are fearless.
[00:14:12.192 --> 00:14:13.173]  You're not afraid of them.
[00:14:13.234 --> 00:14:14.855]  You won't be cowed by them.
[00:14:14.936 --> 00:14:16.838]  You won't be bullied by them.
[00:14:16.878 --> 00:14:19.641]  You won't be sued into silence by them.
[00:14:19.761 --> 00:14:21.463]  And they hate that more than anything else.
[00:14:21.884 --> 00:14:29.573]  When you stand up to them, when you show that you're a man and you're not a cuck, and you're ready to fight, and you'll go to the streets if that's what it takes,
[00:14:30.285 --> 00:14:39.894]  And you continue every single day to broadcast the truth and expose their unconstitutional plot, it drives them completely insane.
[00:14:40.394 --> 00:14:42.636]  They have to get InfoWars off the air.
[00:14:42.996 --> 00:14:45.218]  They have to get InfoWars off the internet.
[00:14:45.659 --> 00:14:50.363]  They have to get InfoWars off YouTube, because we're exposing them.
[00:14:51.264 --> 00:14:56.849]  And I want to be clear, we've got a break here in 30 seconds, and I'm not trying to scare people, because when they get us, they admit they're coming for everybody.
[00:14:57.639 --> 00:15:03.030]  They're demonizing me and lying about me and doing this in preparation for an assassination.
[00:15:03.090 --> 00:15:04.252]  Let's just be honest about that.
[00:15:04.915 --> 00:15:05.896]  That's the next move.
[00:15:06.276 --> 00:15:08.898]  And hey, as long as everybody understands that narrative, I'm not worried about that.
[00:15:09.219 --> 00:15:10.480]  I knew what I got into doing this.
[00:15:10.860 --> 00:15:12.742]  Like John Paul Jones said, I've only begun to fight.
[00:15:13.642 --> 00:15:18.547]  I just hope America understands we're dealing with the purest tyranny this planet has ever seen.
[00:15:18.567 --> 00:15:20.408]  It is scientific.
[00:15:20.448 --> 00:15:21.689]  It is insanely arrogant.
[00:15:21.769 --> 00:15:22.670]  It is crazy.
[00:15:22.870 --> 00:15:25.212]  And I mean, everything Mueller's doing is completely illegal.
[00:15:25.252 --> 00:15:26.153]  They've lied to everybody.
[00:15:26.173 --> 00:15:27.074]  They lied to Congress.
[00:15:27.514 --> 00:15:29.276]  Comey said that no one ever wiretapped.
[00:15:29.876 --> 00:15:37.241]  Uh, the president or anybody else when he was running or when he was elected or when he was president, all of it premeditated, criminalized by the Clinton Cabal.
[00:15:37.582 --> 00:15:40.144]  They'll be back with Roger Stone hosting via his cell phone.
[00:15:40.864 --> 00:15:43.786]  Some powers coming back on here with our backup generators.
[00:15:44.567 --> 00:15:47.069]  Uh, and again, we'll be right back on TV and radio.
[00:15:47.109 --> 00:15:51.572]  Sorry it's only audio for the cable and TV viewers, but probably makes it a little bit more fun, doesn't it?
[00:15:53.132 --> 00:15:55.575]  Attention business owners and independent contractors.
[00:15:55.775 --> 00:15:58.778]  This is a money-saving message from Tax Mediation Services.
[00:15:59.079 --> 00:16:03.043]  If your business owes $20,000 or more in taxes, we can help you.
[00:16:32.775 --> 00:16:34.556]  ...of multivitamin mineral products.
[00:16:34.816 --> 00:16:36.756]  And this part is most important.
[00:16:36.856 --> 00:16:43.299]  The ingredients in Vitamin Mineral Fusion are either plant-derived or of the highest quality lab standard.
[00:16:43.679 --> 00:16:44.759]  That means it's clean.
[00:16:45.119 --> 00:16:46.079]  That means it's pure.
[00:16:46.239 --> 00:16:49.020]  And rest secured, you're fighting the tip of the spear in the Infowar.
[00:16:49.140 --> 00:16:51.781]  That's Infowarslife.com and Vitamin Mineral Fusion.
[00:16:51.941 --> 00:16:53.582]  Take action now before we sell out.
[00:16:54.324 --> 00:16:57.506]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:16:57.967 --> 00:16:59.287]  Introducing Pollen Block.
[00:16:59.768 --> 00:17:11.296]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:17:11.996 --> 00:17:17.480]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced
[00:17:17.880 --> 00:17:27.146]  They began studying this effect in published trials, and decades later, we now have the fruit of this research.
[00:17:27.386 --> 00:17:33.250]  A fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:17:35.312 --> 00:17:41.816]  In fact, current research has found that it actually acts by blocking the activity of tryptase.
[00:17:42.056 --> 00:17:46.520]  Which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:17:46.640 --> 00:17:48.782]  Go outside and enjoy the air you breathe.
[00:17:49.342 --> 00:17:54.206]  Head to InfoWarsLife.com and grab a pack of our Pollen Block Chewable Tablets.
[00:17:54.446 --> 00:17:58.250]  You know, I've got some talking points here about Caveman from InfoWarsLife.com.
[00:17:58.270 --> 00:18:02.233]  But instead of going to those talking points, let me just give you what I've experienced personally.
[00:18:03.014 --> 00:18:07.057]  From all the wives tales in every culture, we know that the bones have the essence.
[00:18:07.558 --> 00:18:09.859]  We know chicken noodle soup is great for people that are sick.
[00:18:10.701 --> 00:18:13.819]  Again, in every culture, this has been reported because it works.
[00:18:15.327 --> 00:18:27.451]  And there's no way to quantify how strong this is, but the amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[00:18:28.152 --> 00:18:43.217]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy, this, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there, and it's amazing.
[00:18:44.198 --> 00:18:47.907]  Find out for yourself today at InfoWareStore.com what it could do for you and your family.
[00:18:47.927 --> 00:18:50.192]  And again, I want to thank you all for your support.
[00:18:50.232 --> 00:18:52.477]  You are funding the information war in 2018.
[00:18:57.762 --> 00:18:59.143]  Let's talk to Victor in Florida.
[00:18:59.203 --> 00:19:00.644]  Victor, you're calling.
[00:19:00.704 --> 00:19:01.044]  Go ahead.
[00:19:01.164 --> 00:19:01.444]  Yes.
[00:19:01.884 --> 00:19:02.565]  Hi, Alex.
[00:19:02.705 --> 00:19:08.908]  First, I just want to mention, if people just go and try the products, they will be ordering all the time.
[00:19:09.129 --> 00:19:13.111]  I've ordered several of the products over and over because it's amazing.
[00:19:13.351 --> 00:19:14.792]  In particular, Silver Bullet.
[00:19:15.152 --> 00:19:22.076]  As soon as I start to feel like I get a little sick, you know, maybe like a little raspiness in my throat, I drop some Silver Bullet and it like
[00:19:22.376 --> 00:19:25.018]  I'll still feel a little sick, but it won't last as long.
[00:19:25.078 --> 00:19:28.480]  And I just ordered the body, the alpha power, and the pollen block.
[00:19:28.780 --> 00:19:30.361]  Well, let me just say something, Victor.
[00:19:30.421 --> 00:19:37.746]  It's people like you that then fund the whole operation, because a very small percentage of people buy products, and a very small percentage of them buy a lot of the products.
[00:19:37.766 --> 00:19:38.246]  So, thank you.
[00:19:38.266 --> 00:19:44.090]  But when you mention the Silver Bullock Coil Silver, it's got thousands of reviews, a 98% review.
[00:19:44.230 --> 00:19:45.691]  It is our highest reviewed product.
[00:19:45.931 --> 00:19:49.535]  Because it is from the top lab in the country, discounted, high-quality colloidal silver.
[00:19:49.615 --> 00:19:52.638]  It's not a silver bullet, but it's the closest thing you're gonna find to a silver bullet.
[00:19:56.582 --> 00:19:59.185]  You're listening to the Alex Jones Show.
[00:20:14.964 --> 00:20:18.906]  If you are receiving this transmission, you are the resistance.
[00:20:19.347 --> 00:20:21.728]  You're listening to Alex Jones.
[00:20:28.912 --> 00:20:42.720]  We are faced by an organized, public, criminal conspiracy, with rogue elements of the FBI appointed during four different administrations, a globalist Herbert Walker Bush,
[00:20:44.645 --> 00:21:02.576]  Bill Clinton and Hillary Clinton, W, Obama, and they are pissed that Trump and patriots in our intelligence agencies and the American voters and our friends in Britain took them down.
[00:21:02.597 --> 00:21:06.919]  Because the plan was to totally end the UK, the US, everything.
[00:21:06.999 --> 00:21:07.840]  Europe's already fallen.
[00:21:09.096 --> 00:21:12.918]  It's not that these elites that we've got in charge right now, or trying to be in charge, are perfect.
[00:21:13.579 --> 00:21:14.639]  They're just not out to get us.
[00:21:14.940 --> 00:21:16.581]  And they're not anti-capitalist.
[00:21:17.501 --> 00:21:18.462]  God, we're in trouble, folks.
[00:21:18.482 --> 00:21:24.325]  There are hundreds of articles a day saying, ban Alex Jones off the air, period.
[00:21:24.966 --> 00:21:30.189]  And then they list a film Robert De Niro promoted, Vaxxed, that is a liberal movie.
[00:21:30.950 --> 00:21:34.832]  And just shows medical science and people getting hurt from vaccines that the inserts say.
[00:21:35.032 --> 00:21:36.373]  You can make a movie just reading the inserts.
[00:21:37.850 --> 00:21:39.250]  And it's everywhere.
[00:21:39.370 --> 00:21:40.371]  It's these professors.
[00:21:40.411 --> 00:21:42.191]  Let's pull up this Lemovitz guy.
[00:21:42.411 --> 00:21:43.872]  He says, look, it's censorship.
[00:21:43.972 --> 00:21:44.512]  We'll admit it.
[00:21:44.632 --> 00:21:45.432]  Take them off the air.
[00:21:45.452 --> 00:21:46.672]  And he says it's not enough.
[00:21:46.692 --> 00:21:48.673]  Then we have to train children Alex Jones is evil.
[00:21:49.953 --> 00:22:02.316]  And then I saw an Austin American Statesman article in a Star Tribune article, without even looking last night, with the same thing with writers going, I went to my granddaughter's school this week, or I went to my daughter's school this week.
[00:22:02.376 --> 00:22:03.037]  It was all daughters.
[00:22:03.217 --> 00:22:04.157]  That's the script they put out.
[00:22:05.182 --> 00:22:09.004]  And then they go and they go, oh, Alex Jones is attacking Hillary!
[00:22:09.064 --> 00:22:11.144]  And both articles were the same, the same day.
[00:22:12.245 --> 00:22:16.667]  And it was like the young girls saw him in eighth grade and they all got sick.
[00:22:18.087 --> 00:22:20.288]  And you're like, my God, is this Venezuela or something?
[00:22:20.888 --> 00:22:27.331]  There's state-run media everywhere where they are already in the schools saying, here's Alex Jones, he hates women, and the girls get sick.
[00:22:29.366 --> 00:22:31.749]  And they go, he hurt the Sandy Hook children!
[00:22:31.769 --> 00:22:33.050]  And they go, oh!
[00:22:33.610 --> 00:22:36.573]  And then it's just all this branding, this setup.
[00:22:36.854 --> 00:22:39.657]  I was told by high-level CIA that Sandy Hook didn't happen.
[00:22:40.748 --> 00:22:46.790]  And then I've always gone back and forth, but I'm not attacking the people, or the folks, and I can't sit there and look at those parents and have their kids die.
[00:22:47.030 --> 00:22:49.070]  So I've said, fine, I'm not going to argue that.
[00:22:49.330 --> 00:22:50.531]  I'm sorry, I apologize.
[00:22:50.711 --> 00:22:51.351]  But they don't care.
[00:22:51.391 --> 00:22:55.512]  The media always picks it up and rebrands it and says Jones is attacking children again.
