[00:00:02.165 --> 00:00:03.590]  We are drugged out!
[00:00:04.252 --> 00:00:06.520]  We are following other people's opinions!
[00:00:07.680 --> 00:00:09.921]  We are controlled by the media.
[00:00:10.461 --> 00:00:12.022]  Today, it all changes.
[00:00:12.342 --> 00:00:14.823]  This reality has been forced upon us.
[00:00:15.103 --> 00:00:17.944]  It is a choice, just like when I said slavery is a choice.
[00:00:17.964 --> 00:00:22.546]  Einstein says the death and event insanity is doing the same thing, expecting a different result.
[00:00:22.906 --> 00:00:25.788]  So we keep on saying, I hate you, I hate you, f*** you, f*** you, f*** you.
[00:00:26.028 --> 00:00:28.089]  How are we going to get a different result out of hate?
[00:00:28.409 --> 00:00:30.350]  Why don't we just try love?
[00:00:30.850 --> 00:00:32.270]  Why don't we just try love?
[00:00:32.490 --> 00:00:33.791]  We have the resources.
[00:00:36.408 --> 00:00:40.509]  You know, sometimes you need some crazy motherf***ers to change something.
[00:00:40.529 --> 00:00:41.870]  Steve Jobs is crazy.
[00:00:42.030 --> 00:00:43.610]  Now we all on Steve Jobs' phones.
[00:00:43.650 --> 00:00:44.530]  They say Trump's crazy.
[00:00:44.710 --> 00:00:45.611]  They say I'm crazy.
[00:00:45.791 --> 00:00:47.971]  But I'm here to show love.
[00:00:48.192 --> 00:00:51.773]  It's a bigger plan, and I'm just doing what the universe told me.
[00:00:53.333 --> 00:00:56.894]  Resistance to tyrants is obedience to God.
[00:00:57.474 --> 00:00:59.255]  It's Alex Jones.
[00:01:19.377 --> 00:01:20.018]  Well, there it is!
[00:01:20.799 --> 00:01:23.063]  Sunday, June 3rd, Texas.
[00:01:23.404 --> 00:01:27.370]  Broadcasting worldwide, it's Alex Jones.
[00:01:30.287 --> 00:01:32.349]  Hard to believe it's already Sunday, June 3rd, 2018.
[00:01:32.429 --> 00:01:39.054]  We're going to be live here for the next two hours and then of course back with the weekday transmission 11 a.m.
[00:01:39.094 --> 00:01:39.455]  Central.
[00:01:40.055 --> 00:01:41.556]  You've got David Knight in the morning.
[00:01:42.597 --> 00:01:49.303]  You've got Owen Schroer and Roger Stone after that as we add more live broadcast for the InfoWars radio slash TV lineup.
[00:01:50.343 --> 00:01:50.504]  Wow!
[00:01:52.677 --> 00:02:05.146]  Today we're going to have Zach on, who's just a really smart guy and a great source, and really already tells me things that I already basically know from other sources, but he likes to come on the show and we like to have him on the show.
[00:02:05.827 --> 00:02:21.398]  And he knows Elon Musk and he knows Louis Farrakhan, a lot of other folks that behind the scenes have been reached out to and basically have been resonating with, especially if you talk about somebody like Elon Musk with the bigger plan.
[00:02:22.574 --> 00:02:24.056]  Now, what is the bigger plan?
[00:02:27.401 --> 00:02:33.170]  The bigger plan is not the globalist plan.
[00:02:35.307 --> 00:02:59.034]  And I keep obsessing over this because I've always been trying to get humanity to get off the globalist track of depopulation, of planned austerity, of the globalists thinking humanity is a bunch of trash, dumbing us down, trying to make us fight with each other, so they can control the future and try to depopulate us before we discover the life extension technologies
[00:03:00.325 --> 00:03:02.746]  And all the other key information.
[00:03:03.566 --> 00:03:05.767]  And I've been obsessing over that for 20 plus years.
[00:03:05.827 --> 00:03:07.728]  I've made a film about it, several films.
[00:03:08.388 --> 00:03:10.749]  Endgame, Blueprint for Global Enslavement, turned a lot of heads.
[00:03:11.389 --> 00:03:25.754]  Because it's the quotes and the statements of the top billionaire globalists to almost a man, other than like Donald Trump or Elon Musk or a few others, who have bought into the plan
[00:03:26.940 --> 00:03:37.484]  To have this big, giant, global government and to cut off the resources and then have controlled bioweapon releases that wipe out large segments of the population?
[00:03:39.044 --> 00:03:40.665]  That's been the decided plan.
[00:03:41.565 --> 00:03:45.126]  And we've been building towards that plan for really 45 years or so.
[00:03:45.926 --> 00:03:49.208]  The globalists didn't get full control until about 45 years ago.
[00:03:49.248 --> 00:03:52.949]  They didn't have total control, but they got steering control.
